symbol,date,open,high,low,close,volume
EMERALDOIL,2022-01-02,43.0,43.0,41.8,42.1,599559.0
EMERALDOIL,2022-01-03,42.3,44.8,42.3,44.2,755627.0
EMERALDOIL,2022-01-04,45.1,45.3,43.2,43.3,535263.0
EMERALDOIL,2022-01-05,43.8,44.1,42.5,43.0,267489.0
EMERALDOIL,2022-01-06,43.9,43.9,40.1,40.7,347833.0
EMERALDOIL,2022-01-09,44.0,44.4,40.0,40.9,539801.0
EMERALDOIL,2022-01-10,41.0,42.3,38.8,39.8,444268.0
EMERALDOIL,2022-01-11,40.3,40.5,36.7,37.8,400168.0
EMERALDOIL,2022-01-12,38.5,38.5,35.3,36.1,548316.0
EMERALDOIL,2022-01-13,37.0,38.3,35.8,36.9,232841.0
EMERALDOIL,2022-01-16,36.9,37.9,36.0,36.1,256131.0
EMERALDOIL,2022-01-17,36.8,37.4,36.3,36.9,255792.0
EMERALDOIL,2022-01-18,37.1,38.0,37.0,37.3,118059.0
EMERALDOIL,2022-01-19,37.8,38.0,37.5,37.6,233478.0
EMERALDOIL,2022-01-20,37.8,38.9,37.8,38.6,216472.0
EMERALDOIL,2022-01-23,39.0,39.4,37.5,38.0,193627.0
EMERALDOIL,2022-01-24,38.1,38.4,36.5,36.9,301646.0
EMERALDOIL,2022-01-25,37.7,37.7,37.0,37.3,100316.0
EMERALDOIL,2022-01-26,37.3,37.8,37.0,37.5,79932.0
EMERALDOIL,2022-01-27,38.0,38.0,36.8,36.9,55440.0
EMERALDOIL,2022-01-30,37.2,37.2,36.4,36.4,74919.0
EMERALDOIL,2022-01-31,37.0,37.0,35.2,35.7,137185.0
EMERALDOIL,2022-02-01,35.9,36.8,35.2,35.7,76680.0
EMERALDOIL,2022-02-02,36.9,36.9,35.6,35.7,71008.0
EMERALDOIL,2022-02-03,35.5,35.9,35.3,35.6,78773.0
EMERALDOIL,2022-02-06,35.5,36.4,35.2,35.3,145742.0
EMERALDOIL,2022-02-07,35.3,35.6,34.2,34.5,280306.0
EMERALDOIL,2022-02-08,35.5,35.5,33.6,33.9,253889.0
EMERALDOIL,2022-02-09,34.1,35.0,33.6,33.9,214852.0
EMERALDOIL,2022-02-10,34.4,35.5,34.3,34.9,205967.0
EMERALDOIL,2022-02-13,35.5,36.8,35.2,36.5,418049.0
EMERALDOIL,2022-02-14,36.9,36.9,36.0,36.3,235277.0
EMERALDOIL,2022-02-15,36.4,36.6,35.7,36.1,179817.0
