symbol,date,open,high,low,close,volume
ENVOYTEX,2022-01-02,51.3,51.3,47.1,49.0,1490.0
ENVOYTEX,2022-01-03,47.5,50.4,47.5,49.1,11590.0
ENVOYTEX,2022-01-04,48.0,49.7,48.0,49.4,16189.0
ENVOYTEX,2022-01-05,49.0,49.4,45.1,48.2,38874.0
ENVOYTEX,2022-01-06,48.2,49.8,47.5,47.9,10494.0
ENVOYTEX,2022-01-09,47.0,48.5,44.6,45.4,10682.0
ENVOYTEX,2022-01-10,45.4,47.3,45.0,46.1,36580.0
ENVOYTEX,2022-01-11,42.3,48.9,42.3,45.1,33756.0
ENVOYTEX,2022-01-12,46.0,47.5,45.0,45.3,12461.0
ENVOYTEX,2022-01-13,45.2,46.5,44.2,44.7,4942.0
ENVOYTEX,2022-01-16,47.5,49.1,47.1,48.4,89032.0
ENVOYTEX,2022-01-17,48.6,50.0,48.5,48.9,16646.0
ENVOYTEX,2022-01-18,48.8,50.0,48.7,49.9,66366.0
ENVOYTEX,2022-01-19,49.2,50.1,48.1,49.6,15036.0
ENVOYTEX,2022-01-20,49.6,49.6,47.9,48.9,19516.0
ENVOYTEX,2022-01-23,49.9,49.9,46.7,48.2,20259.0
ENVOYTEX,2022-01-24,49.7,49.7,47.2,47.6,9893.0
ENVOYTEX,2022-01-25,48.9,49.4,47.0,48.1,26795.0
ENVOYTEX,2022-01-26,48.4,49.8,48.4,49.0,28796.0
ENVOYTEX,2022-01-27,48.2,49.3,48.2,48.9,23560.0
ENVOYTEX,2022-01-30,53.5,53.7,51.0,51.5,693735.0
ENVOYTEX,2022-01-31,50.6,52.6,48.6,49.8,42294.0
ENVOYTEX,2022-02-01,49.5,50.5,47.1,48.1,213134.0
ENVOYTEX,2022-02-02,47.8,49.0,47.5,48.2,31428.0
ENVOYTEX,2022-02-03,48.0,48.6,47.8,48.0,81598.0
ENVOYTEX,2022-02-06,47.7,48.9,47.7,48.1,43835.0
ENVOYTEX,2022-02-07,47.3,48.8,47.3,47.6,12859.0
ENVOYTEX,2022-02-08,48.2,48.6,47.0,47.1,18488.0
ENVOYTEX,2022-02-09,47.2,48.0,47.0,47.1,7969.0
ENVOYTEX,2022-02-10,47.2,48.4,47.1,47.2,65756.0
ENVOYTEX,2022-02-13,47.5,47.5,46.0,46.1,53937.0
ENVOYTEX,2022-02-14,46.5,46.9,46.1,46.3,161263.0
ENVOYTEX,2022-02-15,46.2,47.5,43.0,45.1,31920.0
ENVOYTEX,2022-02-16,45.2,46.5,45.0,45.6,17443.0
ENVOYTEX,2022-02-17,45.6,45.6,44.8,45.3,9219.0
ENVOYTEX,2022-02-20,44.7,45.5,44.7,45.4,11706.0
ENVOYTEX,2022-02-22,45.5,45.8,43.2,45.4,10466.0
ENVOYTEX,2022-02-23,45.3,45.5,45.1,45.5,59714.0
ENVOYTEX,2022-02-24,45.8,45.8,44.4,44.8,12001.0
ENVOYTEX,2022-02-27,43.2,43.2,42.3,42.6,7793.0
ENVOYTEX,2022-02-28,42.6,43.9,42.6,43.7,5018.0
ENVOYTEX,2022-03-01,43.3,43.3,43.0,43.0,7054.0
ENVOYTEX,2022-03-02,42.2,42.4,42.2,42.2,3978.0
ENVOYTEX,2022-03-03,42.0,42.5,42.0,42.3,2194.0
ENVOYTEX,2022-03-06,42.5,42.6,42.3,42.4,5381.0
ENVOYTEX,2022-03-07,42.5,42.5,38.2,38.4,7976.0
ENVOYTEX,2022-03-08,39.8,42.2,39.7,42.1,25590.0
ENVOYTEX,2022-03-09,42.2,43.2,42.2,42.4,3065.0
ENVOYTEX,2022-03-10,42.5,43.6,41.7,42.0,39054.0
ENVOYTEX,2022-03-13,42.0,43.8,42.0,42.7,33689.0
ENVOYTEX,2022-03-14,43.0,46.9,43.0,46.8,622854.0
ENVOYTEX,2022-03-15,51.4,51.4,50.0,50.9,2169444.0
ENVOYTEX,2022-03-16,50.7,51.2,49.9,49.9,349749.0
ENVOYTEX,2022-03-20,49.0,49.0,49.0,49.0,35053.0
ENVOYTEX,2022-03-21,48.1,48.1,48.1,48.1,11609.0
ENVOYTEX,2022-03-22,47.2,47.2,47.2,47.2,62270.0
ENVOYTEX,2022-03-23,46.3,46.3,46.3,46.3,42842.0
ENVOYTEX,2022-03-24,45.4,45.4,45.4,45.4,74569.0
ENVOYTEX,2022-03-27,45.4,45.9,44.5,44.5,398598.0
ENVOYTEX,2022-03-28,43.8,44.5,43.7,44.4,244766.0
ENVOYTEX,2022-03-29,44.2,44.8,43.6,43.7,159507.0
