symbol,date,open,high,low,close,volume
EPGL,2022-01-02,40.7,41.0,39.8,40.7,143113.0
EPGL,2022-01-03,41.0,42.4,41.0,41.6,257929.0
EPGL,2022-01-04,41.4,42.4,41.0,41.9,170524.0
EPGL,2022-01-05,42.0,43.6,41.9,42.9,438721.0
EPGL,2022-01-06,43.5,44.0,42.5,43.1,434553.0
EPGL,2022-01-09,43.2,43.5,41.8,42.1,207227.0
EPGL,2022-01-10,42.8,43.5,41.3,43.1,365568.0
EPGL,2022-01-11,42.7,46.1,42.7,44.2,1036945.0
EPGL,2022-01-12,44.2,45.0,43.3,43.6,272592.0
EPGL,2022-01-13,43.1,44.0,42.7,42.9,218009.0
EPGL,2022-01-16,43.0,44.5,42.7,43.0,265662.0
EPGL,2022-01-17,43.0,43.5,42.5,43.1,302603.0
EPGL,2022-01-18,43.2,43.7,42.6,42.8,290881.0
EPGL,2022-01-19,43.4,43.4,42.9,43.0,175545.0
EPGL,2022-01-20,43.0,43.4,42.7,42.8,284407.0
EPGL,2022-01-23,43.1,43.3,42.0,42.2,177962.0
EPGL,2022-01-24,42.1,42.3,40.9,41.0,284014.0
EPGL,2022-01-25,41.3,41.6,40.2,40.5,280934.0
EPGL,2022-01-26,40.5,41.3,40.4,40.7,133796.0
EPGL,2022-01-27,40.7,41.3,40.7,41.2,204083.0
EPGL,2022-01-30,41.4,41.4,40.6,40.8,97141.0
EPGL,2022-01-31,41.4,41.4,40.5,40.7,161983.0
EPGL,2022-02-01,40.8,42.5,40.7,41.4,335816.0
EPGL,2022-02-02,42.0,43.0,42.0,42.3,400305.0
EPGL,2022-02-03,42.5,42.7,41.9,42.1,223314.0
EPGL,2022-02-06,42.0,42.2,41.5,41.9,181714.0
EPGL,2022-02-07,42.3,42.3,41.7,41.9,180909.0
EPGL,2022-02-08,42.0,42.9,41.9,42.6,259342.0
EPGL,2022-02-09,42.7,43.3,42.5,42.7,200408.0
EPGL,2022-02-10,42.5,43.0,42.0,42.2,168266.0
EPGL,2022-02-13,42.7,42.9,41.8,41.9,199458.0
EPGL,2022-02-14,41.9,42.4,41.7,41.7,163878.0
EPGL,2022-02-15,41.5,42.5,41.2,41.9,191017.0
EPGL,2022-02-16,42.4,42.8,41.3,41.6,119323.0
EPGL,2022-02-17,41.3,41.9,41.1,41.4,81769.0
EPGL,2022-02-20,41.5,42.0,41.0,41.3,122336.0
EPGL,2022-02-22,41.1,41.8,41.0,41.3,174896.0
EPGL,2022-02-23,41.0,41.7,40.9,41.4,117765.0
EPGL,2022-02-24,41.3,41.7,40.6,40.7,178141.0
EPGL,2022-02-27,41.0,41.0,39.0,39.2,222080.0
EPGL,2022-02-28,39.2,40.0,39.1,39.2,104476.0
EPGL,2022-03-01,38.6,39.6,38.6,39.1,122936.0
EPGL,2022-03-02,39.2,39.4,38.2,38.6,170593.0
EPGL,2022-03-03,38.4,38.7,38.0,38.6,57606.0
EPGL,2022-03-06,39.0,39.0,38.1,38.3,51042.0
EPGL,2022-03-07,38.1,38.2,37.2,37.3,151287.0
EPGL,2022-03-08,36.9,37.7,36.3,37.2,125089.0
EPGL,2022-03-09,37.7,38.8,37.4,38.6,158082.0
EPGL,2022-03-10,38.7,39.8,38.7,39.5,234101.0
EPGL,2022-03-13,39.5,40.9,39.0,40.7,434898.0
EPGL,2022-03-14,40.9,41.3,39.9,40.0,216671.0
EPGL,2022-03-15,40.5,41.4,39.5,41.1,288863.0
EPGL,2022-03-16,41.1,41.8,40.6,40.8,267998.0
EPGL,2022-03-20,41.0,41.0,40.0,40.0,68028.0
EPGL,2022-03-21,39.8,40.0,39.2,39.5,156495.0
EPGL,2022-03-22,39.8,40.0,39.5,39.6,123971.0
EPGL,2022-03-23,39.8,39.8,39.1,39.3,109361.0
EPGL,2022-03-24,39.1,39.6,39.1,39.2,110275.0
EPGL,2022-03-27,39.5,39.7,39.0,39.1,74499.0
EPGL,2022-03-28,39.1,39.3,39.0,39.0,83389.0
EPGL,2022-03-29,39.1,39.7,39.1,39.3,172450.0
EPGL,2022-03-30,39.2,39.5,39.0,39.1,63908.0
EPGL,2022-03-31,39.5,39.5,38.7,38.9,132552.0
EPGL,2022-04-03,39.5,39.5,38.9,38.9,53801.0
EPGL,2022-04-04,38.8,38.9,38.4,38.5,115943.0
EPGL,2022-04-05,38.4,38.5,38.1,38.3,36237.0
EPGL,2022-04-06,38.3,38.9,38.0,38.2,37860.0
EPGL,2022-04-07,38.1,38.3,37.8,38.0,77054.0
EPGL,2022-04-10,38.1,38.9,37.8,38.2,40011.0
EPGL,2022-04-11,38.2,38.9,38.1,38.6,71770.0
EPGL,2022-04-12,38.7,38.7,37.9,37.9,73281.0
EPGL,2022-04-13,37.7,38.4,37.4,38.2,65420.0
EPGL,2022-04-17,37.6,38.3,37.5,37.6,73079.0
EPGL,2022-04-18,38.0,38.0,36.9,36.9,134082.0
EPGL,2022-04-19,36.5,37.4,36.4,37.4,89164.0
EPGL,2022-04-20,37.9,38.9,37.5,38.6,75340.0
EPGL,2022-04-21,38.5,39.7,38.3,39.2,126868.0
EPGL,2022-04-24,39.3,39.5,39.2,39.3,72594.0
EPGL,2022-04-25,39.3,39.3,38.5,38.7,59157.0
EPGL,2022-04-26,39.3,39.3,38.5,38.7,35838.0
EPGL,2022-04-27,38.4,38.4,37.8,38.0,140734.0
EPGL,2022-04-28,37.5,38.3,37.5,37.9,90210.0
EPGL,2022-05-05,38.1,38.1,37.4,37.8,63931.0
EPGL,2022-05-08,38.1,38.4,37.9,38.0,198131.0
EPGL,2022-05-09,38.4,40.3,38.2,40.2,534769.0
EPGL,2022-05-10,40.4,40.8,39.6,39.8,287574.0
EPGL,2022-05-11,39.2,39.8,38.6,38.8,238879.0
EPGL,2022-05-12,39.6,39.6,38.3,38.4,115771.0
EPGL,2022-05-16,38.1,39.0,36.6,36.8,212211.0
EPGL,2022-05-17,38.2,38.2,36.1,36.4,166737.0
EPGL,2022-05-18,37.8,37.8,36.0,36.2,76919.0
EPGL,2022-05-19,35.8,36.9,35.6,36.1,77947.0
EPGL,2022-05-22,36.0,36.0,34.3,34.4,179508.0
EPGL,2022-05-23,36.0,37.4,35.0,35.8,99274.0
EPGL,2022-05-24,36.0,36.2,35.0,35.1,94820.0
EPGL,2022-05-25,35.0,35.8,34.3,35.0,93832.0
EPGL,2022-05-26,34.3,36.1,34.3,35.9,173862.0
EPGL,2022-05-29,37.9,37.9,36.5,37.2,129903.0
EPGL,2022-05-30,37.1,37.5,36.8,36.9,141083.0
EPGL,2022-05-31,37.0,38.2,37.0,38.0,209940.0
EPGL,2022-06-01,37.8,38.6,37.8,38.0,213819.0
EPGL,2022-06-02,38.0,39.2,38.0,39.1,329210.0
EPGL,2022-06-05,39.3,40.2,39.2,40.0,272554.0
EPGL,2022-06-06,40.0,40.1,39.2,39.2,441571.0
EPGL,2022-06-07,39.0,40.2,38.5,39.9,645554.0
EPGL,2022-06-08,40.2,40.7,40.0,40.3,525758.0
EPGL,2022-06-09,40.3,40.5,39.5,39.6,198498.0
EPGL,2022-06-12,38.9,39.7,38.9,38.9,142129.0
EPGL,2022-06-13,39.3,39.7,38.2,38.2,89443.0
EPGL,2022-06-14,38.6,38.6,38.0,38.2,65697.0
EPGL,2022-06-15,39.0,39.2,38.0,39.0,148424.0
EPGL,2022-06-16,40.0,40.0,39.2,39.4,174697.0
EPGL,2022-06-19,39.6,40.4,39.2,39.6,441395.0
EPGL,2022-06-20,39.7,39.9,38.9,38.9,114197.0
EPGL,2022-06-21,38.3,38.5,38.2,38.2,95055.0
EPGL,2022-06-22,37.7,38.5,37.6,37.8,138621.0
EPGL,2022-06-23,38.7,38.9,37.9,38.0,64683.0
EPGL,2022-06-26,37.5,38.6,37.5,38.3,69694.0
EPGL,2022-06-27,38.0,39.0,38.0,38.7,127984.0
EPGL,2022-06-28,38.7,39.9,38.5,39.4,226332.0
EPGL,2022-06-29,39.9,40.2,39.8,39.9,235283.0
EPGL,2022-06-30,39.8,40.2,39.6,39.7,100957.0
EPGL,2022-07-03,40.1,40.1,39.0,39.1,269853.0
EPGL,2022-07-04,39.2,39.4,38.6,38.8,311230.0
EPGL,2022-07-05,39.2,42.5,38.8,41.8,2861471.0
EPGL,2022-07-06,42.4,42.6,41.0,41.0,818458.0
EPGL,2022-07-07,40.3,40.8,40.2,40.4,1248024.0
EPGL,2022-07-12,39.6,40.8,39.6,39.8,546233.0
EPGL,2022-07-13,39.9,40.0,39.1,39.5,436782.0
EPGL,2022-07-14,39.3,40.1,38.8,39.7,717518.0
EPGL,2022-07-17,39.4,39.7,39.0,39.0,347773.0
EPGL,2022-07-18,38.5,38.7,38.3,38.3,216878.0
EPGL,2022-07-19,37.6,37.6,37.6,37.6,45213.0
EPGL,2022-07-20,36.9,37.6,36.9,37.0,464376.0
EPGL,2022-07-21,37.1,37.8,36.3,36.3,425644.0
EPGL,2022-07-24,36.7,36.7,35.6,35.6,145509.0
EPGL,2022-07-25,35.8,35.8,34.9,35.0,564041.0
EPGL,2022-07-26,35.3,36.1,34.6,34.7,849894.0
EPGL,2022-07-27,34.8,34.9,34.1,34.1,391971.0
EPGL,2022-07-28,33.5,33.9,33.5,33.5,404187.0
EPGL,2022-07-31,34.5,34.5,34.5,34.5,341480.0
EPGL,2022-08-01,34.8,35.2,34.5,34.9,1138333.0
EPGL,2022-08-02,35.5,36.2,34.9,35.8,708475.0
EPGL,2022-08-03,35.8,36.2,35.5,35.6,568580.0
EPGL,2022-08-04,35.7,35.7,34.6,34.9,382704.0
EPGL,2022-08-07,34.9,36.0,34.6,35.8,652282.0
EPGL,2022-08-08,36.0,36.7,35.7,36.4,669255.0
EPGL,2022-08-10,36.1,36.5,34.8,35.2,329480.0
EPGL,2022-08-11,34.6,35.5,34.6,34.9,101022.0
EPGL,2022-08-14,35.0,35.4,34.5,34.8,388156.0
EPGL,2022-08-16,34.5,37.5,34.5,35.2,212868.0
EPGL,2022-08-17,35.0,35.7,35.0,35.5,270527.0
EPGL,2022-08-21,35.3,35.6,34.5,35.3,237938.0
EPGL,2022-08-22,35.6,36.1,35.4,35.6,576793.0
EPGL,2022-08-23,35.9,36.0,35.3,35.5,442462.0
EPGL,2022-08-24,34.6,35.7,34.6,35.2,189649.0
EPGL,2022-08-25,34.8,35.8,34.8,35.6,376443.0
EPGL,2022-08-28,35.7,37.1,35.7,37.0,971642.0
EPGL,2022-08-29,37.0,38.8,36.6,37.3,852418.0
EPGL,2022-08-30,37.8,37.8,36.8,37.2,540831.0
EPGL,2022-08-31,37.2,38.5,37.0,37.4,659188.0
EPGL,2022-09-01,37.7,38.2,37.1,37.7,648535.0
EPGL,2022-09-04,37.5,38.6,37.0,37.5,694356.0
EPGL,2022-09-05,37.5,37.8,36.6,36.7,351283.0
EPGL,2022-09-06,36.7,37.6,36.1,36.4,292425.0
EPGL,2022-09-07,36.6,37.0,36.0,36.2,386251.0
EPGL,2022-09-08,36.1,37.1,35.5,35.9,244432.0
EPGL,2022-09-11,35.3,35.9,34.9,35.0,306449.0
EPGL,2022-09-12,35.0,36.9,35.0,36.5,503565.0
EPGL,2022-09-13,36.5,36.6,35.4,35.6,218350.0
EPGL,2022-09-14,35.9,36.0,35.0,35.1,156669.0
EPGL,2022-09-15,35.7,35.7,35.0,35.2,185572.0
EPGL,2022-09-18,35.2,35.7,35.0,35.2,203721.0
EPGL,2022-09-19,34.5,35.4,34.5,34.9,413531.0
EPGL,2022-09-20,34.8,35.4,34.6,34.7,332973.0
EPGL,2022-09-21,34.8,35.4,34.7,34.9,215903.0
EPGL,2022-09-22,35.1,38.3,35.1,38.3,3438474.0
EPGL,2022-09-25,39.8,40.4,37.3,37.5,801011.0
EPGL,2022-09-26,36.9,37.2,35.5,35.8,967527.0
EPGL,2022-09-27,35.6,37.3,35.5,36.9,910982.0
EPGL,2022-09-28,36.9,37.8,36.5,36.7,690347.0
EPGL,2022-09-29,36.8,36.9,35.3,35.5,637447.0
EPGL,2022-10-02,35.6,36.2,35.0,35.2,645656.0
EPGL,2022-10-03,35.4,37.0,35.4,36.6,922702.0
EPGL,2022-10-04,36.6,38.4,36.3,37.2,1063195.0
EPGL,2022-10-06,37.3,37.9,36.5,36.7,415265.0
EPGL,2022-10-10,37.1,37.1,34.5,34.8,581029.0
EPGL,2022-10-11,35.1,35.5,34.5,34.6,478085.0
EPGL,2022-10-12,34.7,35.1,34.6,34.8,224032.0
EPGL,2022-10-13,34.9,35.6,34.7,34.8,205373.0
EPGL,2022-10-16,34.7,34.9,34.5,34.5,318497.0
EPGL,2022-10-17,34.5,34.7,34.5,34.5,194610.0
EPGL,2022-10-18,34.5,34.5,34.5,34.5,92836.0
EPGL,2022-10-19,34.5,34.5,34.5,34.5,30881.0
EPGL,2022-10-20,34.5,34.5,34.5,34.5,14824.0
EPGL,2022-10-23,34.5,34.5,34.5,34.5,3411.0
EPGL,2022-10-24,34.5,34.5,34.5,34.5,1712.0
EPGL,2022-10-25,34.5,34.5,34.5,34.5,14884.0
EPGL,2022-10-26,34.5,34.5,34.5,34.5,20065.0
EPGL,2022-10-27,34.5,34.5,34.5,34.5,29815.0
EPGL,2022-10-30,34.5,34.5,34.5,34.5,6029.0
EPGL,2022-10-31,34.5,34.5,34.5,34.5,1736.0
EPGL,2022-11-01,34.5,34.5,34.5,34.5,52445.0
EPGL,2022-11-02,34.5,35.6,34.5,34.8,817625.0
EPGL,2022-11-03,34.7,35.6,34.5,35.4,650439.0
EPGL,2022-11-06,35.6,36.9,35.6,36.2,1099102.0
EPGL,2022-11-07,36.3,36.3,34.8,35.3,438765.0
EPGL,2022-11-08,35.9,37.9,35.2,36.8,1720422.0
EPGL,2022-11-09,37.0,37.0,36.0,36.1,444778.0
EPGL,2022-11-10,35.9,36.1,34.5,35.1,1035973.0
EPGL,2022-11-13,35.9,35.9,34.5,34.5,245789.0
EPGL,2022-11-14,34.5,34.5,34.5,34.5,35142.0
EPGL,2022-11-15,34.5,34.5,34.5,34.5,10821.0
EPGL,2022-11-16,34.5,34.5,34.5,34.5,17213.0
EPGL,2022-11-20,34.5,34.5,34.5,34.5,26721.0
EPGL,2022-11-21,34.5,34.5,34.5,34.5,666.0
EPGL,2022-11-22,34.5,34.5,34.5,34.5,158.0
EPGL,2022-11-23,34.5,34.5,34.5,34.5,7176.0
EPGL,2022-11-24,34.5,34.5,34.5,34.5,3203.0
EPGL,2022-11-27,34.5,34.5,34.5,34.5,483.0
EPGL,2022-11-28,34.5,34.5,34.5,34.5,422.0
EPGL,2022-11-29,34.5,34.5,34.5,34.5,288.0
EPGL,2022-11-30,34.5,34.5,34.5,34.5,1118.0
EPGL,2022-12-01,34.5,34.5,34.5,34.5,123.0
EPGL,2022-12-04,34.5,34.5,34.5,34.5,1624.0
EPGL,2022-12-05,34.5,34.5,34.5,34.5,80.0
EPGL,2022-12-06,34.5,34.5,34.5,34.5,93.0
EPGL,2022-12-07,34.5,34.5,34.5,34.5,401.0
EPGL,2022-12-08,34.5,34.5,34.5,34.5,806.0
EPGL,2022-12-11,34.5,34.5,34.5,34.5,2501.0
EPGL,2022-12-12,34.5,34.5,34.5,34.5,3391.0
EPGL,2022-12-13,34.5,34.5,34.5,34.5,8330.0
EPGL,2022-12-14,34.5,34.5,34.5,34.5,5392.0
EPGL,2022-12-15,34.5,34.5,34.5,34.5,416.0
EPGL,2022-12-18,34.5,34.5,34.5,34.5,1000.0
EPGL,2022-12-19,34.5,34.5,34.5,34.5,230.0
EPGL,2022-12-20,34.5,34.5,34.5,34.5,6773.0
EPGL,2022-12-21,34.5,34.5,34.5,34.5,210.0
EPGL,2022-12-22,34.5,34.5,34.5,34.5,200.0
EPGL,2022-12-26,34.5,34.5,34.5,34.5,220.0
EPGL,2022-12-27,34.5,34.5,34.5,34.5,110.0
EPGL,2022-12-28,34.5,34.5,34.5,34.5,200.0
EPGL,2022-12-29,34.5,34.5,34.5,34.5,468.0
EPGL,2023-01-01,34.5,34.5,34.5,34.5,182.0
EPGL,2023-01-02,34.5,34.5,34.5,34.5,269.0
EPGL,2023-01-03,34.5,34.5,34.5,34.5,269.0
EPGL,2023-01-04,34.5,34.5,34.5,34.5,6169.0
EPGL,2023-01-05,34.5,34.5,34.5,34.5,10.0
EPGL,2023-01-09,34.5,34.5,34.5,34.5,1233.0
EPGL,2023-01-10,34.5,34.5,34.5,34.5,1094.0
EPGL,2023-01-11,34.5,34.5,34.5,34.5,20.0
EPGL,2023-01-12,34.5,34.5,34.5,34.5,40.0
EPGL,2023-01-15,34.5,34.5,34.5,34.5,1820.0
EPGL,2023-01-16,34.5,34.5,34.5,34.5,1895.0
EPGL,2023-01-17,34.5,34.5,34.5,34.5,5771.0
EPGL,2023-01-18,34.5,34.5,34.5,34.5,8371.0
EPGL,2023-01-19,34.5,34.5,34.5,34.5,501.0
EPGL,2023-01-22,34.5,34.5,34.5,34.5,310.0
EPGL,2023-01-23,34.5,34.5,34.5,34.5,64.0
