symbol,date,open,high,low,close,volume
ESQUIRENIT,2022-01-02,35.0,35.8,35.0,35.1,105059.0
ESQUIRENIT,2022-01-03,35.6,36.1,35.0,35.1,316138.0
ESQUIRENIT,2022-01-04,35.2,35.6,34.9,35.0,60519.0
ESQUIRENIT,2022-01-05,35.2,36.9,35.1,36.1,170395.0
ESQUIRENIT,2022-01-06,36.1,36.1,35.5,35.6,73802.0
ESQUIRENIT,2022-01-09,36.0,36.0,35.0,35.1,241393.0
ESQUIRENIT,2022-01-10,35.2,35.5,35.0,35.3,331916.0
ESQUIRENIT,2022-01-11,35.3,35.8,35.0,35.2,621403.0
ESQUIRENIT,2022-01-12,35.3,36.5,35.2,35.6,206045.0
ESQUIRENIT,2022-01-13,35.4,35.8,35.1,35.6,138718.0
ESQUIRENIT,2022-01-16,35.9,36.4,35.5,36.2,591196.0
ESQUIRENIT,2022-01-17,36.5,39.7,36.5,38.3,1214530.0
ESQUIRENIT,2022-01-18,38.8,39.1,37.6,37.8,521767.0
ESQUIRENIT,2022-01-19,37.8,38.8,37.4,38.0,351976.0
ESQUIRENIT,2022-01-20,38.0,38.3,36.7,37.1,499131.0
ESQUIRENIT,2022-01-23,37.1,37.3,36.0,36.3,357381.0
ESQUIRENIT,2022-01-24,36.5,36.5,35.5,35.6,355169.0
ESQUIRENIT,2022-01-25,35.6,37.8,35.5,36.5,566059.0
ESQUIRENIT,2022-01-26,37.0,37.6,36.4,36.9,328551.0
ESQUIRENIT,2022-01-27,36.6,37.4,36.6,36.8,300359.0
ESQUIRENIT,2022-01-30,37.4,37.4,35.8,36.1,234649.0
ESQUIRENIT,2022-01-31,36.0,36.0,35.1,35.5,245046.0
ESQUIRENIT,2022-02-01,35.6,36.6,35.4,36.1,293145.0
ESQUIRENIT,2022-02-02,36.0,36.3,35.1,35.6,277332.0
ESQUIRENIT,2022-02-03,35.4,35.7,35.0,35.3,449017.0
ESQUIRENIT,2022-02-06,35.7,36.2,35.0,35.1,519980.0
ESQUIRENIT,2022-02-07,35.6,35.8,35.2,35.6,190604.0
ESQUIRENIT,2022-02-08,35.3,35.8,34.8,34.9,639390.0
ESQUIRENIT,2022-02-09,35.5,35.9,35.3,35.5,220190.0
ESQUIRENIT,2022-02-10,35.5,36.0,35.2,35.8,280519.0
ESQUIRENIT,2022-02-13,36.0,36.8,35.6,36.0,340894.0
ESQUIRENIT,2022-02-14,36.5,36.5,35.4,35.7,281254.0
ESQUIRENIT,2022-02-15,35.7,35.8,35.2,35.4,97505.0
ESQUIRENIT,2022-02-16,35.6,35.8,35.3,35.4,99582.0
ESQUIRENIT,2022-02-17,35.3,35.3,34.5,34.5,405485.0
ESQUIRENIT,2022-02-20,34.5,34.5,34.1,34.2,120409.0
ESQUIRENIT,2022-02-22,34.2,34.7,34.0,34.2,201202.0
ESQUIRENIT,2022-02-23,34.2,35.3,34.2,35.3,129380.0
ESQUIRENIT,2022-02-24,35.4,35.7,34.5,34.7,220268.0
ESQUIRENIT,2022-02-27,34.7,34.7,33.8,33.8,167925.0
ESQUIRENIT,2022-02-28,33.8,34.4,33.7,33.8,101174.0
ESQUIRENIT,2022-03-01,34.3,34.4,33.8,34.2,141198.0
ESQUIRENIT,2022-03-02,34.4,34.4,33.8,34.2,68156.0
ESQUIRENIT,2022-03-03,34.0,34.3,33.8,34.2,48872.0
ESQUIRENIT,2022-03-06,33.8,34.5,33.8,33.9,88304.0
ESQUIRENIT,2022-03-07,33.7,33.9,31.3,31.8,258499.0
ESQUIRENIT,2022-03-08,32.1,32.3,30.5,31.9,149733.0
ESQUIRENIT,2022-03-09,33.3,34.2,32.5,33.9,176657.0
