symbol,date,open,high,low,close,volume
EXIM1STMF,2022-01-02,6.3,6.4,6.2,6.3,309934.0
EXIM1STMF,2022-01-03,6.4,6.6,6.3,6.5,867907.0
EXIM1STMF,2022-01-04,6.5,6.6,6.4,6.5,469822.0
EXIM1STMF,2022-01-05,6.5,6.6,6.4,6.5,683260.0
EXIM1STMF,2022-01-06,6.5,6.7,6.5,6.5,467848.0
EXIM1STMF,2022-01-09,6.6,6.6,6.4,6.5,357220.0
EXIM1STMF,2022-01-10,6.5,6.5,6.4,6.4,394901.0
EXIM1STMF,2022-01-11,6.5,6.8,6.4,6.7,1386123.0
EXIM1STMF,2022-01-12,6.7,6.8,6.5,6.6,579080.0
EXIM1STMF,2022-01-13,6.6,6.7,6.4,6.5,630656.0
EXIM1STMF,2022-01-16,6.6,6.6,6.4,6.4,871438.0
EXIM1STMF,2022-01-17,6.4,6.6,6.4,6.5,85285.0
EXIM1STMF,2022-01-18,6.5,6.6,6.4,6.4,411061.0
EXIM1STMF,2022-01-19,6.5,6.5,6.4,6.5,453513.0
EXIM1STMF,2022-01-20,6.5,6.5,6.4,6.4,550216.0
EXIM1STMF,2022-01-23,6.5,6.5,6.4,6.4,274962.0
EXIM1STMF,2022-01-24,6.4,6.5,6.3,6.4,248983.0
EXIM1STMF,2022-01-25,6.4,6.5,6.3,6.4,245637.0
EXIM1STMF,2022-01-26,6.4,6.4,6.2,6.3,697782.0
EXIM1STMF,2022-01-27,6.4,6.5,6.2,6.3,611972.0
EXIM1STMF,2022-01-30,6.3,6.3,6.2,6.2,540272.0
EXIM1STMF,2022-01-31,6.2,6.2,6.1,6.1,445932.0
EXIM1STMF,2022-02-01,6.1,6.3,6.1,6.1,753302.0
EXIM1STMF,2022-02-02,6.2,6.3,6.1,6.2,396240.0
EXIM1STMF,2022-02-03,6.2,6.2,6.1,6.1,197577.0
EXIM1STMF,2022-02-06,6.2,6.2,6.1,6.1,505850.0
EXIM1STMF,2022-02-07,6.1,6.2,6.1,6.2,649166.0
EXIM1STMF,2022-02-08,6.2,6.2,6.1,6.2,1046767.0
EXIM1STMF,2022-02-09,6.2,6.3,6.2,6.2,457367.0
EXIM1STMF,2022-02-10,6.2,6.3,6.2,6.2,481046.0
EXIM1STMF,2022-02-13,6.2,6.3,6.2,6.2,294104.0
EXIM1STMF,2022-02-14,6.2,6.3,6.1,6.2,269148.0
EXIM1STMF,2022-02-15,6.2,6.2,6.1,6.2,468822.0
EXIM1STMF,2022-02-16,6.2,6.3,6.1,6.2,96453.0
