symbol,date,open,high,low,close,volume
FARCHEM,2022-01-02,11.4,11.9,11.4,11.8,663393.0
FARCHEM,2022-01-03,11.8,12.2,11.8,11.9,908665.0
FARCHEM,2022-01-04,12.0,12.1,11.8,12.0,623879.0
FARCHEM,2022-01-05,12.2,12.7,12.2,12.5,1464227.0
FARCHEM,2022-01-06,12.5,12.8,12.4,12.4,931429.0
FARCHEM,2022-01-09,12.5,12.6,12.0,12.0,1023582.0
FARCHEM,2022-01-10,12.1,12.5,12.0,12.3,712653.0
FARCHEM,2022-01-11,12.4,12.5,12.0,12.1,866569.0
FARCHEM,2022-01-12,12.2,12.3,11.9,12.0,646021.0
FARCHEM,2022-01-13,12.1,12.1,11.8,12.0,387584.0
FARCHEM,2022-01-16,12.0,12.1,11.9,11.9,512867.0
FARCHEM,2022-01-17,12.0,12.2,11.8,11.9,374398.0
FARCHEM,2022-01-18,11.9,12.1,11.9,12.0,1024150.0
FARCHEM,2022-01-19,12.2,12.5,12.0,12.4,1265307.0
FARCHEM,2022-01-20,12.7,13.1,12.6,12.7,2316699.0
FARCHEM,2022-01-23,12.7,12.8,12.2,12.3,931680.0
FARCHEM,2022-01-24,12.3,12.3,11.9,12.0,893601.0
FARCHEM,2022-01-25,11.6,11.6,11.1,11.4,2249589.0
FARCHEM,2022-01-26,11.4,11.6,11.4,11.5,517673.0
FARCHEM,2022-01-27,11.5,11.8,11.4,11.7,585679.0
FARCHEM,2022-01-30,11.7,11.7,11.4,11.5,421530.0
FARCHEM,2022-01-31,11.5,11.6,11.3,11.4,466805.0
FARCHEM,2022-02-01,11.4,11.7,11.3,11.5,421487.0
FARCHEM,2022-02-02,11.5,12.3,11.4,12.1,961407.0
FARCHEM,2022-02-03,12.4,12.4,11.9,11.9,868398.0
FARCHEM,2022-02-06,11.9,12.0,11.7,11.7,581676.0
FARCHEM,2022-02-07,11.8,11.9,11.7,11.8,474234.0
FARCHEM,2022-02-08,12.0,12.8,11.7,12.7,2715301.0
FARCHEM,2022-02-09,12.8,13.5,12.5,12.8,4170054.0
FARCHEM,2022-02-10,12.8,12.9,12.6,12.8,1398164.0
FARCHEM,2022-02-13,12.9,13.4,12.8,13.2,4602465.0
FARCHEM,2022-02-14,13.4,13.8,13.1,13.3,3994787.0
FARCHEM,2022-02-15,13.3,13.8,13.2,13.5,4787780.0
FARCHEM,2022-02-16,13.6,13.8,13.3,13.4,2780451.0
FARCHEM,2022-02-17,13.5,13.5,12.8,12.9,1572491.0
FARCHEM,2022-02-20,12.8,13.0,12.4,12.5,1242939.0
FARCHEM,2022-02-22,12.5,12.7,12.4,12.7,767038.0
FARCHEM,2022-02-23,12.8,13.3,12.7,13.1,1840728.0
FARCHEM,2022-02-24,13.2,13.3,12.6,12.7,1301449.0
FARCHEM,2022-02-27,12.7,12.8,12.0,12.1,1250111.0
FARCHEM,2022-02-28,12.3,12.5,12.2,12.4,801782.0
FARCHEM,2022-03-01,12.5,12.6,12.1,12.2,782996.0
