symbol,date,open,high,low,close,volume
FAREASTLIF,2022-01-02,53.9,58.1,53.8,57.3,321096.0
FAREASTLIF,2022-01-03,57.9,63.0,57.9,63.0,718100.0
FAREASTLIF,2022-01-04,64.0,69.3,63.5,69.3,2553384.0
FAREASTLIF,2022-01-05,71.2,74.0,69.6,72.2,2046386.0
FAREASTLIF,2022-01-06,71.2,73.4,67.3,68.3,2425090.0
FAREASTLIF,2022-01-09,68.5,75.1,67.2,75.1,3738307.0
FAREASTLIF,2022-01-10,82.6,82.6,82.6,82.6,1054357.0
FAREASTLIF,2022-01-11,90.8,90.8,88.0,90.8,7691052.0
FAREASTLIF,2022-01-12,95.2,97.8,88.2,89.4,4482628.0
FAREASTLIF,2022-01-13,91.0,98.3,90.4,98.3,3477157.0
FAREASTLIF,2022-01-16,104.7,108.1,101.0,107.7,4674102.0
FAREASTLIF,2022-01-17,106.1,110.8,102.0,104.5,4039218.0
FAREASTLIF,2022-01-18,105.5,114.9,105.0,114.4,4373153.0
FAREASTLIF,2022-01-19,114.8,119.0,109.5,112.3,2630261.0
FAREASTLIF,2022-01-20,112.2,114.1,104.1,105.2,1531984.0
FAREASTLIF,2022-01-23,106.0,111.7,104.7,108.8,1654014.0
FAREASTLIF,2022-01-24,111.5,115.9,108.5,109.4,1530099.0
FAREASTLIF,2022-01-25,110.0,110.7,103.5,105.4,1167789.0
FAREASTLIF,2022-01-26,106.8,107.9,100.0,101.2,778831.0
FAREASTLIF,2022-01-27,101.2,109.7,100.4,106.4,1122207.0
FAREASTLIF,2022-01-30,102.2,106.0,100.2,101.6,770395.0
FAREASTLIF,2022-01-31,102.6,108.9,102.1,107.4,1049883.0
FAREASTLIF,2022-02-01,109.9,114.1,109.5,113.1,2381256.0
FAREASTLIF,2022-02-02,115.1,117.0,112.0,113.7,1656922.0
FAREASTLIF,2022-02-03,114.3,114.3,106.1,107.4,1546885.0
FAREASTLIF,2022-02-06,109.1,114.0,107.8,112.3,1167048.0
FAREASTLIF,2022-02-07,115.0,116.6,106.2,107.0,2368103.0
FAREASTLIF,2022-02-08,107.0,109.5,101.2,102.3,1397190.0
FAREASTLIF,2022-02-09,103.6,107.0,103.3,105.9,1387217.0
FAREASTLIF,2022-02-10,107.7,108.9,102.5,103.1,1067755.0
FAREASTLIF,2022-02-13,103.2,104.0,98.2,99.0,1157373.0
FAREASTLIF,2022-02-14,100.0,100.0,92.7,93.4,1577199.0
FAREASTLIF,2022-02-15,94.2,95.9,92.7,94.9,825023.0
FAREASTLIF,2022-02-16,95.8,97.5,92.5,92.9,671070.0
FAREASTLIF,2022-02-17,93.3,94.8,92.1,94.0,668249.0
FAREASTLIF,2022-02-20,94.9,94.9,92.5,93.1,382160.0
FAREASTLIF,2022-02-22,93.0,94.6,92.2,92.5,467697.0
FAREASTLIF,2022-02-23,92.7,93.9,92.2,93.2,244246.0
FAREASTLIF,2022-02-24,94.0,94.2,87.6,88.5,809953.0
FAREASTLIF,2022-02-27,89.0,89.5,82.1,82.9,553198.0
FAREASTLIF,2022-02-28,84.2,86.4,83.2,85.1,365206.0
FAREASTLIF,2022-03-01,87.0,92.6,86.8,90.9,1084397.0
FAREASTLIF,2022-03-02,92.0,96.7,89.0,93.2,834858.0
FAREASTLIF,2022-03-03,92.9,97.4,91.1,95.2,979275.0
FAREASTLIF,2022-03-06,96.3,99.5,95.5,97.0,1194159.0
FAREASTLIF,2022-03-07,97.0,97.0,90.6,91.1,523556.0
FAREASTLIF,2022-03-08,92.0,94.2,87.7,92.5,652604.0
FAREASTLIF,2022-03-09,94.4,95.6,92.1,93.9,684367.0
FAREASTLIF,2022-03-10,94.1,96.3,92.8,93.7,690346.0
FAREASTLIF,2022-03-13,94.8,94.8,91.9,92.0,510084.0
FAREASTLIF,2022-03-14,93.1,96.0,91.0,93.5,667141.0
FAREASTLIF,2022-03-15,93.9,94.8,92.6,92.9,377704.0
FAREASTLIF,2022-03-16,92.4,93.5,91.7,92.4,401490.0
FAREASTLIF,2022-03-20,93.0,93.0,90.6,90.6,232535.0
FAREASTLIF,2022-03-21,89.1,91.9,88.8,89.6,445955.0
FAREASTLIF,2022-03-22,90.8,91.1,89.0,89.8,421724.0
FAREASTLIF,2022-03-23,91.0,94.8,91.0,92.8,809811.0
FAREASTLIF,2022-03-24,93.2,98.5,93.0,96.7,1757837.0
FAREASTLIF,2022-03-27,96.9,99.2,94.8,95.0,828260.0
FAREASTLIF,2022-03-28,95.0,95.8,93.7,94.4,547883.0
FAREASTLIF,2022-03-29,95.0,96.4,94.0,95.5,621911.0
FAREASTLIF,2022-03-30,96.4,97.8,95.5,96.8,837274.0
FAREASTLIF,2022-03-31,96.7,96.7,95.0,95.1,521087.0
FAREASTLIF,2022-04-03,96.3,96.3,93.5,93.8,267470.0
FAREASTLIF,2022-04-04,94.0,94.0,92.0,92.0,195486.0
FAREASTLIF,2022-04-05,90.8,92.8,90.2,90.2,283692.0
FAREASTLIF,2022-04-06,92.4,92.4,88.4,89.0,284813.0
FAREASTLIF,2022-04-07,89.0,89.4,87.3,87.8,219934.0
FAREASTLIF,2022-04-10,89.3,89.3,87.1,88.5,178634.0
FAREASTLIF,2022-04-11,89.4,89.5,87.1,87.9,194613.0
FAREASTLIF,2022-04-12,88.3,88.3,86.2,86.2,128037.0
FAREASTLIF,2022-04-13,84.5,86.5,84.5,86.1,258898.0
FAREASTLIF,2022-04-17,88.0,88.0,84.4,85.4,141435.0
FAREASTLIF,2022-04-18,85.3,85.3,83.7,83.7,27726.0
FAREASTLIF,2022-04-19,82.1,87.8,82.1,85.5,297795.0
FAREASTLIF,2022-04-20,87.2,88.3,85.5,87.5,233806.0
FAREASTLIF,2022-04-21,87.5,89.9,87.1,89.1,240855.0
FAREASTLIF,2022-04-24,90.1,90.1,85.0,87.0,308973.0
FAREASTLIF,2022-04-25,86.7,86.7,84.5,84.9,141230.0
FAREASTLIF,2022-04-26,85.5,86.3,83.3,85.1,303119.0
FAREASTLIF,2022-04-27,84.8,85.7,83.6,85.0,174515.0
FAREASTLIF,2022-04-28,84.0,86.9,83.8,86.3,241599.0
FAREASTLIF,2022-05-05,86.3,87.4,84.6,86.9,90679.0
FAREASTLIF,2022-05-08,86.9,89.4,86.2,88.3,341482.0
FAREASTLIF,2022-05-09,89.9,92.8,89.3,90.8,642429.0
FAREASTLIF,2022-05-10,90.5,91.8,88.0,88.8,323357.0
FAREASTLIF,2022-05-11,89.5,89.5,84.4,85.2,404994.0
FAREASTLIF,2022-05-12,86.6,86.6,83.4,84.8,243881.0
FAREASTLIF,2022-05-16,85.3,85.5,80.6,81.9,401622.0
FAREASTLIF,2022-05-17,81.9,83.2,77.9,80.5,363393.0
FAREASTLIF,2022-05-18,83.4,83.4,76.6,77.7,288734.0
FAREASTLIF,2022-05-19,80.7,81.0,74.2,79.1,273761.0
FAREASTLIF,2022-05-22,81.0,81.0,75.5,77.4,180964.0
FAREASTLIF,2022-05-23,83.0,83.0,78.5,80.4,153992.0
FAREASTLIF,2022-05-24,83.6,83.6,79.0,79.5,288129.0
FAREASTLIF,2022-05-25,77.8,82.8,77.7,81.0,180475.0
FAREASTLIF,2022-05-26,82.9,82.9,79.4,80.9,129720.0
FAREASTLIF,2022-05-29,84.4,84.6,81.2,84.0,302736.0
FAREASTLIF,2022-05-30,84.9,85.2,82.5,83.6,271324.0
FAREASTLIF,2022-05-31,87.0,87.0,82.7,83.9,155046.0
FAREASTLIF,2022-06-01,85.2,88.4,83.5,87.3,365298.0
FAREASTLIF,2022-06-02,89.7,90.8,88.4,90.3,785088.0
FAREASTLIF,2022-06-05,90.8,92.5,89.6,91.5,668440.0
FAREASTLIF,2022-06-06,91.2,92.0,89.7,89.7,681699.0
FAREASTLIF,2022-06-07,89.2,93.1,88.2,91.4,1416547.0
FAREASTLIF,2022-06-08,92.0,92.6,90.3,91.1,557469.0
FAREASTLIF,2022-06-09,91.0,91.5,89.3,89.4,340107.0
FAREASTLIF,2022-06-12,89.1,90.5,88.0,89.4,392194.0
FAREASTLIF,2022-06-13,90.0,90.0,87.7,87.9,249064.0
FAREASTLIF,2022-06-14,87.9,88.0,86.2,86.2,464950.0
FAREASTLIF,2022-06-15,86.5,89.4,85.5,87.5,405515.0
FAREASTLIF,2022-06-16,89.5,89.5,86.5,87.0,224099.0
