symbol,date,open,high,low,close,volume
FASFIN,2022-01-02,7.2,7.2,6.9,7.1,559065.0
FASFIN,2022-01-03,7.2,7.3,7.0,7.1,828557.0
FASFIN,2022-01-04,7.1,7.2,6.9,7.0,628853.0
FASFIN,2022-01-05,7.1,7.4,7.1,7.2,1521299.0
FASFIN,2022-01-06,7.2,7.4,7.0,7.1,1633002.0
FASFIN,2022-01-09,7.2,7.3,6.9,6.9,805567.0
FASFIN,2022-01-10,7.0,7.1,6.9,7.0,954964.0
FASFIN,2022-01-11,7.0,7.2,6.9,6.9,1407208.0
FASFIN,2022-01-12,7.0,7.1,6.8,6.9,950633.0
FASFIN,2022-01-13,6.9,7.0,6.8,6.9,593112.0
FASFIN,2022-01-16,6.9,7.0,6.8,6.9,1073681.0
FASFIN,2022-01-17,6.9,7.0,6.8,6.8,536617.0
FASFIN,2022-01-18,6.9,7.1,6.9,7.0,1734153.0
FASFIN,2022-01-19,7.1,7.1,6.8,6.8,1229568.0
FASFIN,2022-01-20,6.8,7.1,6.8,7.0,2161777.0
FASFIN,2022-01-23,6.9,7.0,6.8,6.9,963975.0
FASFIN,2022-01-24,6.9,6.9,6.8,6.8,902527.0
FASFIN,2022-01-25,6.8,6.9,6.7,6.8,829859.0
FASFIN,2022-01-26,6.8,7.0,6.7,6.9,698937.0
FASFIN,2022-01-27,6.9,6.9,6.7,6.8,977603.0
FASFIN,2022-01-30,6.8,6.8,6.7,6.7,385433.0
FASFIN,2022-01-31,6.7,6.8,6.6,6.7,554706.0
FASFIN,2022-02-01,6.7,6.8,6.6,6.6,488849.0
FASFIN,2022-02-02,6.7,6.8,6.7,6.8,619916.0
FASFIN,2022-02-03,6.8,6.8,6.7,6.7,540907.0
FASFIN,2022-02-06,6.8,6.9,6.7,6.7,662278.0
FASFIN,2022-02-07,6.7,6.8,6.6,6.6,596976.0
FASFIN,2022-02-08,6.6,6.9,6.6,6.8,1811367.0
FASFIN,2022-02-09,6.8,6.9,6.7,6.8,652664.0
FASFIN,2022-02-10,6.8,6.8,6.5,6.6,2310150.0
FASFIN,2022-02-13,6.7,6.7,6.5,6.6,1198318.0
FASFIN,2022-02-14,6.6,6.7,6.6,6.6,485976.0
FASFIN,2022-02-15,6.6,6.7,6.5,6.5,622298.0
FASFIN,2022-02-16,6.6,6.6,6.5,6.5,430945.0
FASFIN,2022-02-17,6.5,6.5,6.3,6.4,706678.0
FASFIN,2022-02-20,6.4,6.5,6.3,6.3,650251.0
FASFIN,2022-02-22,6.3,6.4,6.2,6.3,314441.0
FASFIN,2022-02-23,6.3,6.3,6.2,6.2,615640.0
FASFIN,2022-02-24,6.2,6.3,6.0,6.1,971286.0
FASFIN,2022-02-27,6.0,6.0,5.7,5.7,975352.0
FASFIN,2022-02-28,5.8,6.1,5.8,6.0,783813.0
FASFIN,2022-03-01,6.0,6.1,5.9,6.0,711809.0
FASFIN,2022-03-02,6.0,6.0,5.8,5.8,294811.0
FASFIN,2022-03-03,5.8,5.9,5.7,5.8,233970.0
FASFIN,2022-03-06,5.9,5.9,5.7,5.7,423075.0
FASFIN,2022-03-07,5.7,5.7,5.5,5.5,634257.0
FASFIN,2022-03-08,5.6,5.7,5.3,5.7,809006.0
FASFIN,2022-03-09,5.7,5.9,5.7,5.8,350998.0
FASFIN,2022-03-10,5.8,6.0,5.8,5.8,757690.0
FASFIN,2022-03-13,5.9,6.1,5.8,6.0,786969.0
FASFIN,2022-03-14,6.1,6.2,6.0,6.1,953887.0
FASFIN,2022-03-15,6.1,6.1,6.0,6.0,1032101.0
FASFIN,2022-03-16,6.1,6.1,5.9,6.0,701762.0
FASFIN,2022-03-20,5.9,6.0,5.9,5.9,404104.0
FASFIN,2022-03-21,5.8,5.9,5.8,5.8,396129.0
FASFIN,2022-03-22,5.8,5.9,5.8,5.8,464300.0
FASFIN,2022-03-23,5.9,5.9,5.8,5.8,253724.0
FASFIN,2022-03-24,5.8,5.9,5.8,5.8,335193.0
FASFIN,2022-03-27,5.8,5.8,5.7,5.7,251962.0
FASFIN,2022-03-28,5.7,5.8,5.7,5.7,538917.0
FASFIN,2022-03-29,5.7,5.8,5.7,5.7,272474.0
FASFIN,2022-03-30,5.7,5.8,5.7,5.7,287485.0
FASFIN,2022-03-31,5.7,5.8,5.7,5.7,276131.0
FASFIN,2022-04-03,5.7,6.0,5.7,5.8,749951.0
FASFIN,2022-04-04,5.9,5.9,5.7,5.8,190997.0
FASFIN,2022-04-05,5.7,5.8,5.7,5.7,326658.0
FASFIN,2022-04-06,5.7,5.8,5.6,5.7,236210.0
FASFIN,2022-04-07,5.6,5.7,5.6,5.6,268212.0
FASFIN,2022-04-10,5.6,5.7,5.5,5.6,182636.0
FASFIN,2022-04-11,5.6,5.7,5.5,5.6,220972.0
FASFIN,2022-04-12,5.5,5.6,5.5,5.5,334841.0
FASFIN,2022-04-13,5.5,5.6,5.4,5.5,187837.0
FASFIN,2022-04-17,5.4,5.5,5.4,5.5,83514.0
FASFIN,2022-04-18,5.4,5.5,5.4,5.4,301214.0
FASFIN,2022-04-19,5.4,5.5,5.3,5.4,432089.0
FASFIN,2022-04-20,5.5,5.5,5.3,5.3,805891.0
FASFIN,2022-04-21,5.3,5.5,5.3,5.4,762833.0
FASFIN,2022-04-24,5.4,5.5,5.4,5.4,588824.0
FASFIN,2022-04-25,5.4,5.4,5.3,5.4,319749.0
FASFIN,2022-04-26,5.3,5.4,5.3,5.3,521422.0
FASFIN,2022-04-27,5.3,5.3,5.1,5.2,827053.0
FASFIN,2022-04-28,5.3,5.3,5.1,5.3,352848.0
FASFIN,2022-05-05,5.3,5.3,5.1,5.2,251622.0
FASFIN,2022-05-08,5.2,5.2,5.1,5.2,602984.0
FASFIN,2022-05-09,5.2,5.3,5.1,5.2,1034373.0
FASFIN,2022-05-10,5.2,5.4,5.2,5.2,950879.0
FASFIN,2022-05-11,5.2,5.3,5.1,5.1,703490.0
FASFIN,2022-05-12,5.2,5.2,5.1,5.1,297839.0
FASFIN,2022-05-16,5.6,5.6,5.4,5.6,4104630.0
FASFIN,2022-05-17,5.8,6.1,5.5,5.8,3937506.0
FASFIN,2022-05-18,5.8,5.9,5.6,5.6,485794.0
FASFIN,2022-05-19,5.4,5.4,5.4,5.4,228298.0
FASFIN,2022-05-22,5.2,5.3,5.2,5.2,573838.0
FASFIN,2022-05-23,5.2,5.3,5.0,5.1,1539732.0
FASFIN,2022-05-24,5.1,5.3,5.1,5.2,821242.0
FASFIN,2022-05-25,5.2,5.2,5.0,5.0,1506419.0
FASFIN,2022-05-26,5.2,5.2,5.0,5.1,547607.0
FASFIN,2022-05-29,5.2,5.3,5.1,5.2,869294.0
FASFIN,2022-05-30,5.2,5.3,5.1,5.2,716927.0
FASFIN,2022-05-31,5.3,5.3,5.1,5.2,692534.0
FASFIN,2022-06-01,5.2,5.3,5.2,5.2,436687.0
FASFIN,2022-06-02,5.3,5.3,5.2,5.3,800020.0
FASFIN,2022-06-05,5.3,5.3,5.2,5.2,971630.0
FASFIN,2022-06-06,5.2,5.2,5.1,5.1,733242.0
FASFIN,2022-06-07,5.1,5.2,5.0,5.1,914356.0
FASFIN,2022-06-08,5.2,5.2,5.1,5.1,431281.0
FASFIN,2022-06-09,5.1,5.2,5.1,5.1,324650.0
FASFIN,2022-06-12,5.1,5.2,5.1,5.1,598002.0
FASFIN,2022-06-13,5.1,5.2,5.0,5.1,499335.0
FASFIN,2022-06-14,5.1,5.2,5.0,5.0,548955.0
FASFIN,2022-06-15,5.0,5.1,5.0,5.0,446586.0
FASFIN,2022-06-16,5.1,5.1,5.0,5.1,474597.0
FASFIN,2022-06-19,5.1,5.1,5.0,5.0,548095.0
FASFIN,2022-06-20,5.0,5.1,4.9,4.9,863306.0
FASFIN,2022-06-21,4.9,5.0,4.9,4.9,490026.0
FASFIN,2022-06-22,5.0,5.0,4.9,5.0,309945.0
FASFIN,2022-06-23,5.0,5.1,4.9,5.0,771453.0
FASFIN,2022-06-26,5.0,5.0,4.9,4.9,236147.0
FASFIN,2022-06-27,5.0,5.0,4.9,5.0,120823.0
FASFIN,2022-06-28,5.0,5.0,4.9,5.0,422449.0
FASFIN,2022-06-29,5.0,5.1,4.9,5.0,675160.0
FASFIN,2022-06-30,5.0,5.1,4.9,5.0,366013.0
FASFIN,2022-07-03,5.0,5.1,4.9,5.0,322406.0
FASFIN,2022-07-04,5.0,5.1,5.0,5.0,503465.0
FASFIN,2022-07-05,5.0,5.1,5.0,5.0,395319.0
FASFIN,2022-07-06,5.0,5.1,4.9,5.0,609051.0
FASFIN,2022-07-07,5.1,5.1,4.9,5.0,534553.0
FASFIN,2022-07-12,5.0,5.2,5.0,5.1,762758.0
FASFIN,2022-07-13,5.1,5.2,5.0,5.0,431007.0
FASFIN,2022-07-14,5.0,5.1,5.0,5.0,234458.0
FASFIN,2022-07-17,5.1,5.1,5.0,5.1,740555.0
FASFIN,2022-07-18,5.1,5.2,5.0,5.0,1281774.0
FASFIN,2022-07-19,5.0,5.1,4.9,5.0,874981.0
FASFIN,2022-07-20,5.0,5.1,5.0,5.1,190325.0
FASFIN,2022-07-21,5.0,5.1,5.0,5.1,561254.0
FASFIN,2022-07-24,5.1,5.6,5.1,5.6,4102223.0
FASFIN,2022-07-25,5.7,5.8,5.5,5.5,2016087.0
FASFIN,2022-07-26,5.5,5.5,5.4,5.4,1093819.0
