symbol,date,open,high,low,close,volume
FEKDIL,2022-01-02,16.0,16.6,15.7,16.4,612124.0
FEKDIL,2022-01-03,16.5,17.2,16.4,16.8,674754.0
FEKDIL,2022-01-04,17.0,17.0,16.4,16.5,154956.0
FEKDIL,2022-01-05,16.7,17.5,16.5,17.3,897042.0
FEKDIL,2022-01-06,17.3,17.7,17.0,17.1,430082.0
FEKDIL,2022-01-09,17.0,17.4,16.5,16.8,358584.0
FEKDIL,2022-01-10,16.8,16.9,16.5,16.6,597562.0
FEKDIL,2022-01-11,16.6,17.4,16.6,16.9,660792.0
FEKDIL,2022-01-12,17.1,17.5,17.0,17.1,522529.0
FEKDIL,2022-01-13,17.0,17.5,16.5,16.7,490972.0
FEKDIL,2022-01-16,16.8,17.4,16.7,17.0,368449.0
FEKDIL,2022-01-17,17.1,17.3,16.9,17.0,392276.0
FEKDIL,2022-01-18,17.2,17.7,17.2,17.4,1259418.0
FEKDIL,2022-01-19,17.6,17.7,17.4,17.5,429993.0
FEKDIL,2022-01-20,17.6,17.9,17.3,17.4,810010.0
FEKDIL,2022-01-23,17.5,17.5,17.0,17.2,601811.0
FEKDIL,2022-01-24,17.2,17.2,16.7,16.8,303677.0
FEKDIL,2022-01-25,17.2,17.6,16.8,17.3,803007.0
FEKDIL,2022-01-26,17.3,18.4,17.3,17.9,1604263.0
FEKDIL,2022-01-27,18.0,18.1,17.5,17.9,434648.0
FEKDIL,2022-01-30,18.4,18.4,17.7,17.9,728260.0
FEKDIL,2022-01-31,18.0,18.1,17.5,17.5,475999.0
FEKDIL,2022-02-01,18.0,18.2,17.8,17.9,1244879.0
FEKDIL,2022-02-02,18.2,18.2,17.9,18.1,606013.0
FEKDIL,2022-02-03,18.2,18.2,17.8,17.8,338633.0
FEKDIL,2022-02-06,18.0,18.0,17.7,17.8,379437.0
FEKDIL,2022-02-07,17.9,18.8,17.7,18.2,738932.0
FEKDIL,2022-02-08,18.4,18.4,17.6,17.9,875850.0
FEKDIL,2022-02-09,18.0,18.2,17.9,18.0,307437.0
FEKDIL,2022-02-10,18.2,18.4,17.9,18.3,568711.0
FEKDIL,2022-02-13,18.4,18.5,18.2,18.4,527415.0
