symbol,date,open,high,low,close,volume
FINEFOODS,2022-01-02,50.0,52.0,49.9,50.1,181749.0
FINEFOODS,2022-01-03,50.0,51.5,49.9,50.1,197974.0
FINEFOODS,2022-01-04,51.0,51.2,50.2,50.7,182376.0
FINEFOODS,2022-01-05,51.3,53.7,50.6,51.4,290554.0
FINEFOODS,2022-01-06,51.4,51.9,50.1,50.4,212125.0
FINEFOODS,2022-01-09,50.5,51.3,49.1,49.3,142303.0
FINEFOODS,2022-01-10,49.6,50.6,49.0,49.3,114032.0
FINEFOODS,2022-01-11,50.5,50.8,49.0,49.3,172648.0
FINEFOODS,2022-01-12,50.6,50.6,46.6,47.1,221662.0
FINEFOODS,2022-01-13,48.1,49.5,47.2,48.5,133567.0
FINEFOODS,2022-01-16,53.3,53.3,51.5,53.3,724999.0
FINEFOODS,2022-01-17,53.9,54.2,51.3,51.9,246494.0
FINEFOODS,2022-01-18,50.7,52.2,50.4,50.7,222393.0
FINEFOODS,2022-01-19,50.9,52.4,50.8,51.4,144405.0
FINEFOODS,2022-01-20,51.7,52.5,50.0,50.6,168482.0
FINEFOODS,2022-01-23,50.2,51.3,49.1,49.3,160787.0
FINEFOODS,2022-01-24,50.5,50.5,48.1,48.4,100396.0
FINEFOODS,2022-01-25,48.5,49.2,47.5,47.8,187719.0
FINEFOODS,2022-01-26,47.6,48.3,47.0,47.1,118917.0
FINEFOODS,2022-01-27,47.5,48.5,47.2,48.0,64102.0
FINEFOODS,2022-01-30,48.2,48.2,46.4,46.8,93738.0
FINEFOODS,2022-01-31,47.5,48.1,46.5,46.8,83031.0
FINEFOODS,2022-02-01,46.7,47.8,46.7,47.6,67305.0
FINEFOODS,2022-02-02,48.0,49.6,48.0,48.8,117357.0
FINEFOODS,2022-02-03,49.9,51.5,49.2,49.7,223823.0
FINEFOODS,2022-02-06,49.7,49.9,48.8,48.9,90303.0
FINEFOODS,2022-02-07,48.5,49.7,47.7,47.9,84469.0
FINEFOODS,2022-02-08,47.5,48.5,47.5,48.0,77626.0
FINEFOODS,2022-02-09,47.9,48.4,47.7,47.9,128659.0
FINEFOODS,2022-02-10,48.7,48.7,48.0,48.4,51994.0
FINEFOODS,2022-02-13,48.0,49.8,48.0,48.4,249025.0
FINEFOODS,2022-02-14,49.3,49.3,48.0,48.2,83433.0
FINEFOODS,2022-02-15,48.5,48.7,48.1,48.4,133958.0
FINEFOODS,2022-02-16,48.4,51.4,48.4,49.7,420172.0
FINEFOODS,2022-02-17,50.1,51.0,48.9,49.3,170981.0
FINEFOODS,2022-02-20,49.8,53.4,49.8,52.0,692298.0
FINEFOODS,2022-02-22,52.0,54.3,49.0,50.3,389412.0
FINEFOODS,2022-02-23,50.7,50.9,49.8,50.0,187144.0
FINEFOODS,2022-02-24,51.7,52.5,48.0,48.5,271574.0
FINEFOODS,2022-02-27,48.5,48.5,46.5,46.7,193627.0
FINEFOODS,2022-02-28,47.3,48.9,47.0,47.9,104343.0
FINEFOODS,2022-03-01,49.4,49.4,46.8,47.4,88772.0
FINEFOODS,2022-03-02,47.5,48.2,46.0,46.6,56459.0
FINEFOODS,2022-03-03,46.5,47.7,46.5,47.5,40776.0
FINEFOODS,2022-03-06,47.6,47.9,46.5,46.7,73337.0
FINEFOODS,2022-03-07,46.8,46.9,43.9,44.7,110707.0
FINEFOODS,2022-03-08,45.8,45.8,42.5,45.2,91538.0
FINEFOODS,2022-03-09,46.1,47.0,46.0,46.7,77878.0
FINEFOODS,2022-03-10,47.2,47.5,45.8,46.2,176856.0
FINEFOODS,2022-03-13,46.8,47.1,46.5,46.8,43890.0
FINEFOODS,2022-03-14,47.5,48.4,46.7,48.2,134525.0
FINEFOODS,2022-03-15,48.3,49.7,48.2,48.4,198897.0
FINEFOODS,2022-03-16,48.2,49.0,47.6,47.7,139285.0
FINEFOODS,2022-03-20,48.0,48.0,46.8,46.9,122617.0
FINEFOODS,2022-03-21,46.9,46.9,46.0,46.2,81644.0
FINEFOODS,2022-03-22,47.9,47.9,46.7,47.3,31739.0
FINEFOODS,2022-03-23,47.6,47.6,46.4,46.4,64610.0
FINEFOODS,2022-03-24,47.1,47.1,45.7,46.3,84617.0
FINEFOODS,2022-03-27,46.9,47.2,46.3,46.8,73356.0
FINEFOODS,2022-03-28,47.2,47.5,46.6,46.9,74319.0
FINEFOODS,2022-03-29,46.9,47.4,46.3,46.5,55137.0
FINEFOODS,2022-03-30,46.7,46.7,46.1,46.1,42063.0
FINEFOODS,2022-03-31,46.1,46.8,45.2,45.6,119438.0
FINEFOODS,2022-04-03,46.2,46.2,45.6,45.6,42274.0
FINEFOODS,2022-04-04,45.9,45.9,44.8,44.9,48144.0
FINEFOODS,2022-04-05,45.5,45.5,44.5,44.7,21048.0
FINEFOODS,2022-04-06,45.4,45.4,43.9,43.9,40525.0
FINEFOODS,2022-04-07,43.6,44.4,43.3,43.5,28707.0
FINEFOODS,2022-04-10,44.8,44.8,43.7,44.1,27006.0
FINEFOODS,2022-04-11,44.7,44.7,43.7,43.8,19512.0
FINEFOODS,2022-04-12,43.5,44.0,43.0,43.0,29536.0
FINEFOODS,2022-04-13,42.4,42.9,42.2,42.3,45140.0
FINEFOODS,2022-04-17,43.4,43.4,41.5,41.5,40828.0
FINEFOODS,2022-04-18,42.6,42.6,40.7,40.7,31645.0
FINEFOODS,2022-04-19,40.0,41.7,39.9,41.3,49738.0
FINEFOODS,2022-04-20,42.0,42.0,40.9,41.4,45230.0
FINEFOODS,2022-04-21,41.5,42.9,41.3,42.8,39191.0
FINEFOODS,2022-04-24,43.9,43.9,42.1,42.4,15215.0
FINEFOODS,2022-04-25,41.6,42.4,41.2,41.9,27166.0
FINEFOODS,2022-04-26,42.5,42.5,41.5,42.0,34418.0
FINEFOODS,2022-04-27,42.0,42.6,41.8,42.3,27204.0
FINEFOODS,2022-04-28,41.7,42.2,41.2,41.8,19553.0
FINEFOODS,2022-05-05,42.6,44.0,42.5,43.9,65001.0
FINEFOODS,2022-05-08,44.6,46.2,44.3,45.5,98653.0
FINEFOODS,2022-05-09,45.6,45.9,45.1,45.4,114654.0
FINEFOODS,2022-05-10,46.3,46.5,44.5,45.0,63878.0
FINEFOODS,2022-05-11,44.9,44.9,43.1,43.2,75625.0
FINEFOODS,2022-05-12,43.5,44.0,43.1,43.4,69206.0
FINEFOODS,2022-05-16,43.1,43.1,41.5,41.6,70823.0
FINEFOODS,2022-05-17,41.8,42.6,40.9,41.6,41479.0
FINEFOODS,2022-05-18,41.9,42.9,40.1,40.6,53589.0
FINEFOODS,2022-05-19,40.5,41.7,40.1,40.6,38501.0
FINEFOODS,2022-05-22,40.8,41.3,39.0,39.4,27773.0
FINEFOODS,2022-05-23,40.0,43.1,40.0,42.6,47155.0
FINEFOODS,2022-05-24,42.6,42.9,41.5,41.9,53844.0
FINEFOODS,2022-05-25,41.8,42.0,40.8,41.2,20465.0
FINEFOODS,2022-05-26,41.4,42.0,41.3,41.7,11596.0
FINEFOODS,2022-05-29,42.2,43.3,42.2,42.9,40465.0
FINEFOODS,2022-05-30,43.0,43.7,42.6,42.8,27286.0
FINEFOODS,2022-05-31,43.0,43.0,42.0,42.2,41050.0
FINEFOODS,2022-06-01,45.0,45.0,42.7,44.0,99592.0
FINEFOODS,2022-06-02,46.0,46.0,43.6,43.7,84159.0
FINEFOODS,2022-06-05,43.3,44.6,43.3,44.1,106124.0
FINEFOODS,2022-06-06,44.1,45.2,43.5,43.6,94489.0
FINEFOODS,2022-06-07,43.7,44.5,42.8,43.0,54285.0
FINEFOODS,2022-06-08,43.0,43.8,42.6,42.9,31319.0
FINEFOODS,2022-06-09,43.4,43.5,42.8,43.1,33224.0
FINEFOODS,2022-06-12,42.9,43.5,42.3,42.4,61005.0
FINEFOODS,2022-06-13,43.0,43.0,42.1,42.2,34677.0
FINEFOODS,2022-06-14,42.4,43.3,42.2,42.7,101664.0
FINEFOODS,2022-06-15,42.9,46.0,42.7,44.1,374953.0
FINEFOODS,2022-06-16,45.4,45.4,43.4,43.6,154969.0
FINEFOODS,2022-06-19,43.7,45.3,43.4,44.2,371301.0
FINEFOODS,2022-06-20,44.0,47.4,44.0,46.4,853204.0
FINEFOODS,2022-06-21,46.5,46.6,45.5,45.5,230812.0
FINEFOODS,2022-06-22,45.0,48.4,44.9,47.9,858966.0
FINEFOODS,2022-06-23,48.8,49.6,47.2,47.6,524217.0
FINEFOODS,2022-06-26,47.7,48.2,46.7,46.8,368381.0
FINEFOODS,2022-06-27,46.7,46.7,45.9,45.9,361652.0
FINEFOODS,2022-06-28,45.3,47.6,45.2,45.7,250711.0
FINEFOODS,2022-06-29,45.8,47.2,45.8,46.0,256896.0
FINEFOODS,2022-06-30,46.4,46.5,45.1,45.2,185541.0
FINEFOODS,2022-07-03,45.2,45.9,44.3,44.6,154760.0
FINEFOODS,2022-07-04,45.0,46.0,44.8,45.8,186888.0
FINEFOODS,2022-07-05,46.6,46.7,45.1,45.4,167608.0
FINEFOODS,2022-07-06,45.6,46.3,44.9,45.2,147034.0
FINEFOODS,2022-07-07,45.7,45.9,45.2,45.4,68025.0
FINEFOODS,2022-07-12,45.4,48.0,45.4,46.3,263808.0
FINEFOODS,2022-07-13,46.3,48.3,46.3,47.9,381297.0
FINEFOODS,2022-07-14,48.0,51.0,47.8,50.4,1103957.0
FINEFOODS,2022-07-17,50.6,50.7,49.4,50.2,400094.0
FINEFOODS,2022-07-18,51.0,51.3,49.2,49.2,486673.0
FINEFOODS,2022-07-19,48.3,48.3,48.3,48.3,32334.0
