symbol,date,open,high,low,close,volume
FORTUNE,2022-01-02,93.7,101.3,93.7,101.3,4788027.0
FORTUNE,2022-01-03,104.3,110.8,104.1,107.7,6441215.0
FORTUNE,2022-01-04,107.9,111.5,104.3,108.1,4556323.0
FORTUNE,2022-01-05,109.2,116.0,107.1,113.1,6053916.0
FORTUNE,2022-01-06,114.1,115.2,109.0,110.6,3651985.0
FORTUNE,2022-01-09,112.0,116.7,111.0,116.2,3537306.0
FORTUNE,2022-01-10,117.1,121.9,117.0,119.0,4263849.0
FORTUNE,2022-01-11,119.0,120.4,114.0,116.8,3238889.0
FORTUNE,2022-01-12,116.8,126.0,116.8,123.3,8262481.0
FORTUNE,2022-01-13,126.0,126.0,120.5,121.7,2950527.0
FORTUNE,2022-01-16,122.1,129.5,121.1,127.2,5911099.0
FORTUNE,2022-01-17,128.7,131.2,125.0,129.3,3113488.0
FORTUNE,2022-01-18,129.0,131.1,127.1,130.1,3228193.0
FORTUNE,2022-01-19,130.0,135.6,126.9,130.3,12918296.0
FORTUNE,2022-01-20,130.0,130.1,122.0,124.6,3295716.0
FORTUNE,2022-01-23,124.9,127.0,121.9,125.2,2705976.0
FORTUNE,2022-01-24,125.6,127.2,121.8,123.4,1563438.0
FORTUNE,2022-01-25,124.0,128.0,123.6,127.4,2868022.0
FORTUNE,2022-01-26,128.1,129.0,124.5,125.0,905283.0
FORTUNE,2022-01-27,126.0,127.5,121.0,124.9,1772519.0
FORTUNE,2022-01-31,122.5,122.5,112.0,115.0,1129385.0
FORTUNE,2022-02-01,115.1,117.0,109.6,111.1,1724787.0
FORTUNE,2022-02-02,113.0,118.1,112.8,117.8,3193769.0
FORTUNE,2022-02-03,118.0,119.3,115.1,117.2,3290682.0
FORTUNE,2022-02-06,117.9,123.2,115.9,121.5,2492525.0
FORTUNE,2022-02-07,123.0,126.5,121.9,124.7,5690820.0
FORTUNE,2022-02-08,125.1,125.8,122.6,124.4,3819057.0
FORTUNE,2022-02-09,124.2,124.7,121.0,123.9,2991268.0
FORTUNE,2022-02-10,123.8,123.8,119.1,121.3,1071568.0
FORTUNE,2022-02-13,121.9,131.9,121.9,130.2,7761407.0
FORTUNE,2022-02-14,130.2,138.0,130.2,136.6,5742505.0
FORTUNE,2022-02-15,136.6,140.4,134.4,136.5,18252192.0
FORTUNE,2022-02-16,136.4,141.0,132.1,139.6,3637799.0
FORTUNE,2022-02-17,139.1,139.1,132.5,134.5,1576129.0
FORTUNE,2022-02-20,135.9,135.9,128.0,130.3,14479082.0
FORTUNE,2022-02-22,131.0,136.2,127.7,129.3,2086405.0
FORTUNE,2022-02-23,131.9,131.9,126.2,128.5,1551099.0
FORTUNE,2022-02-24,128.5,129.8,123.0,125.6,1175873.0
FORTUNE,2022-02-27,124.1,124.1,117.1,119.2,2101713.0
FORTUNE,2022-02-28,119.0,124.8,119.0,121.6,1912491.0
FORTUNE,2022-03-01,121.6,124.9,121.6,124.6,1581611.0
FORTUNE,2022-03-02,124.5,124.6,121.0,123.0,668543.0
FORTUNE,2022-03-03,123.7,123.7,120.9,123.3,1900881.0
FORTUNE,2022-03-06,123.4,124.6,122.0,124.1,5475661.0
FORTUNE,2022-03-07,123.2,124.0,112.5,116.7,1179928.0
FORTUNE,2022-03-08,116.5,118.0,108.1,115.0,979454.0
FORTUNE,2022-03-09,115.0,124.3,115.0,123.2,2128231.0
FORTUNE,2022-03-10,124.0,124.7,121.1,122.0,3701749.0
FORTUNE,2022-03-13,121.0,123.4,119.9,120.7,1503825.0
FORTUNE,2022-03-14,121.3,122.4,118.5,118.8,488872.0
FORTUNE,2022-03-15,119.9,119.9,117.4,118.4,542652.0
FORTUNE,2022-03-16,118.4,119.8,116.1,116.2,809875.0
FORTUNE,2022-03-20,114.7,115.0,113.9,113.9,502894.0
FORTUNE,2022-03-21,111.9,122.3,111.8,118.9,1149341.0
FORTUNE,2022-03-22,119.1,124.0,119.1,122.8,1000774.0
FORTUNE,2022-03-23,123.7,125.5,120.9,122.0,1577481.0
FORTUNE,2022-03-24,123.6,127.5,121.4,126.6,5837145.0
FORTUNE,2022-03-27,127.3,131.7,125.8,130.5,5195610.0
FORTUNE,2022-03-28,130.5,137.9,129.2,135.4,2898154.0
FORTUNE,2022-03-29,137.4,137.4,133.0,135.1,4069814.0
FORTUNE,2022-03-30,133.2,143.0,132.5,140.7,5948306.0
FORTUNE,2022-03-31,141.4,145.8,137.9,142.8,9703780.0
FORTUNE,2022-04-03,140.7,141.0,140.0,140.0,2592662.0
FORTUNE,2022-04-04,137.3,137.5,137.2,137.2,58405.0
FORTUNE,2022-04-05,134.5,134.5,134.5,134.5,54522.0
FORTUNE,2022-04-06,131.9,131.9,131.9,131.9,159442.0
FORTUNE,2022-04-07,129.3,129.3,129.3,129.3,27123.0
FORTUNE,2022-04-10,126.8,132.4,126.8,129.0,1533528.0
FORTUNE,2022-04-11,129.0,131.5,126.5,126.5,1007650.0
FORTUNE,2022-04-12,125.1,128.6,124.0,124.1,683433.0
FORTUNE,2022-04-13,122.2,125.0,121.7,122.6,786592.0
FORTUNE,2022-04-17,122.6,124.5,120.2,120.4,443246.0
FORTUNE,2022-04-18,118.3,118.3,118.0,118.0,58207.0
FORTUNE,2022-04-19,115.8,119.8,115.7,118.5,1729788.0
FORTUNE,2022-04-20,118.9,128.5,118.8,125.1,1093410.0
FORTUNE,2022-04-21,125.5,126.8,120.2,121.3,1055293.0
FORTUNE,2022-04-24,121.9,125.4,120.0,121.7,2391269.0
FORTUNE,2022-04-25,121.7,122.4,119.9,121.0,238891.0
FORTUNE,2022-04-26,120.5,122.6,119.0,120.2,724587.0
FORTUNE,2022-04-27,121.7,123.0,118.4,119.8,760677.0
FORTUNE,2022-04-28,120.1,124.9,118.0,121.0,1200458.0
FORTUNE,2022-05-05,122.0,123.9,121.4,122.6,411752.0
FORTUNE,2022-05-08,122.6,123.6,121.0,122.1,819191.0
FORTUNE,2022-05-09,122.3,124.1,119.8,120.5,5224614.0
FORTUNE,2022-05-10,121.8,122.8,118.6,121.0,1094333.0
FORTUNE,2022-05-11,120.8,123.0,116.2,121.0,2071730.0
FORTUNE,2022-05-12,120.9,120.9,117.0,117.8,496813.0
FORTUNE,2022-05-16,119.3,119.3,112.0,112.9,1068113.0
FORTUNE,2022-05-17,113.0,115.0,107.3,113.0,1437268.0
FORTUNE,2022-05-18,114.0,117.3,107.4,109.7,758137.0
FORTUNE,2022-05-19,109.0,116.7,104.7,110.5,799700.0
FORTUNE,2022-05-22,111.9,112.1,105.5,106.5,370491.0
FORTUNE,2022-05-23,109.0,113.0,103.9,104.9,1118372.0
FORTUNE,2022-05-24,105.5,107.6,99.7,100.7,637664.0
FORTUNE,2022-05-25,101.8,106.9,95.7,101.5,1440460.0
FORTUNE,2022-05-26,101.6,107.0,101.0,105.4,3677132.0
FORTUNE,2022-05-29,110.8,111.9,108.4,109.8,2562829.0
FORTUNE,2022-05-30,109.8,111.9,107.7,107.7,1738416.0
FORTUNE,2022-05-31,107.7,108.6,105.6,105.9,293169.0
FORTUNE,2022-06-01,107.0,108.9,104.7,107.3,487842.0
FORTUNE,2022-06-02,108.6,110.0,107.0,108.1,853167.0
FORTUNE,2022-06-05,109.0,109.5,106.2,106.7,275148.0
FORTUNE,2022-06-06,106.7,107.3,104.6,104.7,1342622.0
FORTUNE,2022-06-07,103.5,104.2,102.7,102.7,200918.0
FORTUNE,2022-06-08,103.8,104.7,101.7,103.4,588695.0
FORTUNE,2022-06-09,104.9,108.1,103.9,107.8,1609205.0
FORTUNE,2022-06-12,107.0,107.0,105.7,106.0,1343528.0
FORTUNE,2022-06-13,104.0,106.0,103.9,104.0,877994.0
FORTUNE,2022-06-14,105.0,105.2,102.0,102.0,344199.0
FORTUNE,2022-06-15,103.0,105.4,101.4,101.7,500725.0
FORTUNE,2022-06-16,104.1,104.1,101.8,102.4,999813.0
FORTUNE,2022-06-19,104.5,104.5,100.4,101.5,481473.0
FORTUNE,2022-06-20,101.5,102.6,99.5,99.5,344643.0
FORTUNE,2022-06-21,99.5,99.5,97.6,97.6,388659.0
FORTUNE,2022-06-22,95.8,98.4,95.7,95.9,681481.0
FORTUNE,2022-06-23,99.9,99.9,95.3,97.1,2343924.0
FORTUNE,2022-06-26,99.4,99.4,95.2,95.2,299572.0
FORTUNE,2022-06-27,96.7,96.7,93.3,93.3,279694.0
FORTUNE,2022-06-28,92.0,94.0,91.5,91.5,1499550.0
FORTUNE,2022-06-29,91.5,92.0,89.7,89.7,510086.0
FORTUNE,2022-06-30,89.1,94.4,88.0,93.3,2757144.0
FORTUNE,2022-07-03,93.3,94.9,91.5,91.5,662960.0
FORTUNE,2022-07-04,89.7,91.9,89.7,90.1,2055122.0
FORTUNE,2022-07-05,92.0,93.2,89.1,90.6,1986998.0
FORTUNE,2022-07-06,91.5,93.9,88.8,90.4,4470311.0
FORTUNE,2022-07-07,92.3,92.3,88.6,88.7,2782411.0
FORTUNE,2022-07-12,88.7,92.0,88.0,89.6,3905701.0
