symbol,date,open,high,low,close,volume
FUWANGCER,2022-01-02,16.4,16.7,16.3,16.6,536176.0
FUWANGCER,2022-01-03,16.8,17.2,16.6,16.7,881748.0
FUWANGCER,2022-01-04,16.7,16.9,16.5,16.8,541137.0
FUWANGCER,2022-01-05,17.0,18.3,17.0,18.0,2504811.0
FUWANGCER,2022-01-06,18.0,18.0,17.5,17.7,1244555.0
FUWANGCER,2022-01-09,17.7,18.4,16.9,17.1,1669069.0
FUWANGCER,2022-01-10,17.3,17.6,17.1,17.1,757504.0
FUWANGCER,2022-01-11,17.4,17.7,17.0,17.2,1671538.0
FUWANGCER,2022-01-12,17.3,18.3,17.3,17.5,2098622.0
FUWANGCER,2022-01-13,17.7,17.8,17.2,17.3,1044165.0
FUWANGCER,2022-01-16,17.6,18.6,17.5,18.3,3509784.0
FUWANGCER,2022-01-17,18.6,19.0,18.3,18.4,1972845.0
FUWANGCER,2022-01-18,18.5,19.4,17.8,18.8,3510575.0
FUWANGCER,2022-01-19,19.1,19.8,18.8,19.3,2329690.0
FUWANGCER,2022-01-20,19.3,19.7,18.6,18.7,2120868.0
FUWANGCER,2022-01-23,19.3,20.4,18.9,20.2,4610931.0
FUWANGCER,2022-01-24,20.4,20.4,18.7,18.9,1816467.0
FUWANGCER,2022-01-25,18.8,19.2,18.2,18.3,1516049.0
FUWANGCER,2022-01-26,18.3,18.8,18.1,18.2,628542.0
FUWANGCER,2022-01-27,18.2,19.6,18.1,19.0,1727806.0
FUWANGCER,2022-01-30,19.1,19.3,18.3,18.4,976312.0
FUWANGCER,2022-01-31,18.6,18.6,17.7,17.8,982953.0
FUWANGCER,2022-02-01,18.3,18.3,17.8,17.9,854800.0
FUWANGCER,2022-02-02,18.0,18.7,17.9,17.9,1071002.0
FUWANGCER,2022-02-03,18.2,18.3,17.9,18.1,858088.0
FUWANGCER,2022-02-06,18.3,18.3,17.8,17.8,1098465.0
FUWANGCER,2022-02-07,17.9,18.1,17.6,17.7,704158.0
FUWANGCER,2022-02-08,17.9,18.2,17.6,18.0,633491.0
FUWANGCER,2022-02-09,18.1,18.2,17.8,17.9,580308.0
FUWANGCER,2022-02-10,18.0,18.3,17.9,18.1,845308.0
FUWANGCER,2022-02-13,18.1,18.3,17.9,18.0,697078.0
FUWANGCER,2022-02-14,18.0,18.0,17.5,17.7,576097.0
FUWANGCER,2022-02-15,17.7,17.7,17.4,17.5,487584.0
FUWANGCER,2022-02-16,17.4,17.5,17.2,17.2,689343.0
FUWANGCER,2022-02-17,17.2,17.6,17.0,17.3,389127.0
FUWANGCER,2022-02-20,17.2,17.3,17.0,17.1,311391.0
FUWANGCER,2022-02-22,17.0,17.3,16.9,17.1,296189.0
FUWANGCER,2022-02-23,17.1,17.6,17.1,17.4,461720.0
FUWANGCER,2022-02-24,17.4,17.4,16.9,17.1,700511.0
FUWANGCER,2022-02-27,17.1,17.1,16.1,16.3,631746.0
FUWANGCER,2022-02-28,16.2,16.8,16.0,16.4,687297.0
FUWANGCER,2022-03-01,16.4,16.8,16.2,16.3,281571.0
FUWANGCER,2022-03-02,16.4,16.5,15.9,16.0,532845.0
FUWANGCER,2022-03-03,16.2,16.2,15.8,16.1,271581.0
FUWANGCER,2022-03-06,16.1,16.3,15.9,15.9,287905.0
FUWANGCER,2022-03-07,15.9,16.0,15.1,15.3,353391.0
FUWANGCER,2022-03-08,15.3,15.9,15.1,15.7,562716.0
FUWANGCER,2022-03-09,15.9,16.7,15.8,16.6,603545.0
FUWANGCER,2022-03-10,16.6,16.8,16.3,16.6,884662.0
FUWANGCER,2022-03-13,16.6,17.8,16.6,17.7,1261461.0
FUWANGCER,2022-03-14,17.8,17.9,17.4,17.5,870341.0
FUWANGCER,2022-03-15,17.6,17.6,17.2,17.2,622600.0
FUWANGCER,2022-03-16,17.4,17.5,17.0,17.1,529106.0
FUWANGCER,2022-03-20,17.0,17.2,16.8,16.8,292558.0
FUWANGCER,2022-03-21,16.8,16.9,16.5,16.7,312095.0
FUWANGCER,2022-03-22,16.9,17.1,16.5,16.7,365117.0
FUWANGCER,2022-03-23,16.9,17.4,16.7,16.9,637429.0
FUWANGCER,2022-03-24,16.9,17.1,16.8,16.8,276203.0
FUWANGCER,2022-03-27,16.8,17.8,16.7,17.6,1380361.0
FUWANGCER,2022-03-28,17.6,17.6,17.3,17.3,279124.0
FUWANGCER,2022-03-29,17.1,17.5,17.1,17.1,573599.0
FUWANGCER,2022-03-30,17.2,17.3,16.8,16.8,378834.0
FUWANGCER,2022-03-31,16.8,17.6,16.8,17.3,716916.0
FUWANGCER,2022-04-03,17.3,17.6,17.2,17.3,407404.0
FUWANGCER,2022-04-04,17.3,17.3,17.0,17.0,364596.0
FUWANGCER,2022-04-05,16.9,16.9,16.7,16.7,231684.0
FUWANGCER,2022-04-06,16.7,16.8,16.4,16.4,436966.0
FUWANGCER,2022-04-07,16.4,16.5,16.1,16.3,353287.0
FUWANGCER,2022-04-10,16.6,16.7,16.3,16.4,199232.0
FUWANGCER,2022-04-11,16.5,16.5,16.1,16.1,429852.0
FUWANGCER,2022-04-12,16.2,16.2,15.8,15.8,307515.0
FUWANGCER,2022-04-13,15.6,15.8,15.5,15.7,403418.0
FUWANGCER,2022-04-17,15.8,15.8,15.4,15.5,249227.0
FUWANGCER,2022-04-18,15.3,15.3,15.2,15.2,107971.0
FUWANGCER,2022-04-19,15.1,15.3,14.9,15.2,591869.0
FUWANGCER,2022-04-20,15.3,15.5,15.0,15.4,497792.0
FUWANGCER,2022-04-21,15.4,16.2,15.2,16.1,627316.0
FUWANGCER,2022-04-24,16.1,16.4,15.6,15.8,396161.0
FUWANGCER,2022-04-25,15.8,15.8,15.4,15.5,314117.0
FUWANGCER,2022-04-26,15.7,16.1,15.5,16.1,404124.0
FUWANGCER,2022-04-27,15.8,16.3,15.8,15.9,198573.0
FUWANGCER,2022-04-28,16.0,16.1,15.7,15.7,340279.0
FUWANGCER,2022-05-05,16.0,16.6,15.7,16.4,653002.0
FUWANGCER,2022-05-08,16.5,16.9,16.4,16.8,990281.0
FUWANGCER,2022-05-09,16.9,17.5,16.9,17.2,1740389.0
FUWANGCER,2022-05-10,17.3,17.3,16.6,16.7,912949.0
FUWANGCER,2022-05-11,16.7,16.9,16.0,16.2,748817.0
FUWANGCER,2022-05-12,16.5,17.8,16.1,17.8,2635758.0
FUWANGCER,2022-05-16,18.8,19.5,18.6,19.5,10486550.0
FUWANGCER,2022-05-17,20.4,21.2,18.7,20.7,9326107.0
FUWANGCER,2022-05-18,21.0,21.3,19.7,19.7,4937961.0
FUWANGCER,2022-05-19,19.0,19.4,18.8,18.8,4260081.0
