symbol,date,open,high,low,close,volume
FUWANGFOOD,2022-01-02,15.3,15.6,15.2,15.4,685994.0
FUWANGFOOD,2022-01-03,15.7,16.1,15.5,15.6,1051232.0
FUWANGFOOD,2022-01-04,15.6,15.9,15.5,15.7,885084.0
FUWANGFOOD,2022-01-05,15.9,17.2,15.9,17.2,2914032.0
FUWANGFOOD,2022-01-06,17.1,17.3,16.6,16.6,1282569.0
FUWANGFOOD,2022-01-09,16.7,17.5,16.6,16.7,2073880.0
FUWANGFOOD,2022-01-10,16.7,17.1,16.5,16.9,1155001.0
FUWANGFOOD,2022-01-11,17.0,17.2,16.5,16.9,2161357.0
FUWANGFOOD,2022-01-12,17.0,18.1,17.0,17.3,3432598.0
FUWANGFOOD,2022-01-13,17.4,18.0,17.4,17.6,2695770.0
FUWANGFOOD,2022-01-16,17.9,19.3,17.9,19.3,6601791.0
FUWANGFOOD,2022-01-17,20.8,21.2,19.9,21.1,15910626.0
FUWANGFOOD,2022-01-18,21.5,22.8,20.6,21.9,9904701.0
FUWANGFOOD,2022-01-19,22.0,23.7,21.5,23.3,11860877.0
FUWANGFOOD,2022-01-20,23.4,23.5,21.5,21.8,8403983.0
FUWANGFOOD,2022-01-23,23.9,23.9,23.0,23.9,9079035.0
FUWANGFOOD,2022-01-24,24.6,25.0,22.2,22.5,13612956.0
FUWANGFOOD,2022-01-25,22.6,23.1,21.4,22.4,6541898.0
FUWANGFOOD,2022-01-26,22.7,23.1,21.3,21.7,5187211.0
FUWANGFOOD,2022-01-27,21.6,23.8,21.3,23.3,13187422.0
FUWANGFOOD,2022-01-30,23.1,24.0,22.4,22.6,6596781.0
FUWANGFOOD,2022-01-31,22.6,22.8,22.0,22.2,4828719.0
FUWANGFOOD,2022-02-01,22.4,23.1,22.0,22.3,4826190.0
FUWANGFOOD,2022-02-02,22.4,24.0,22.4,23.1,7772232.0
FUWANGFOOD,2022-02-03,23.5,23.8,22.9,23.2,5597158.0
FUWANGFOOD,2022-02-06,23.6,23.7,22.2,22.4,6368671.0
FUWANGFOOD,2022-02-07,22.5,22.7,21.6,21.9,3622191.0
FUWANGFOOD,2022-02-08,21.9,22.5,21.5,22.2,3318245.0
FUWANGFOOD,2022-02-09,22.2,22.5,21.8,21.9,1915171.0
FUWANGFOOD,2022-02-10,22.1,22.7,21.7,22.1,4302475.0
FUWANGFOOD,2022-02-13,22.2,22.5,21.7,21.8,2035348.0
FUWANGFOOD,2022-02-14,21.9,21.9,21.3,21.6,2659851.0
FUWANGFOOD,2022-02-15,21.7,21.7,20.8,21.0,2674780.0
FUWANGFOOD,2022-02-16,21.4,21.5,20.9,20.9,1601994.0
FUWANGFOOD,2022-02-17,21.3,22.1,21.0,21.5,3466795.0
FUWANGFOOD,2022-02-20,21.7,21.8,21.0,21.1,1705143.0
FUWANGFOOD,2022-02-22,21.1,21.3,20.5,20.7,1563192.0
FUWANGFOOD,2022-02-23,21.0,21.3,20.8,20.9,1350879.0
FUWANGFOOD,2022-02-24,21.0,21.2,20.1,20.2,1972301.0
FUWANGFOOD,2022-02-27,19.2,19.7,19.0,19.1,2496822.0
FUWANGFOOD,2022-02-28,19.2,20.3,19.2,19.8,1967472.0
FUWANGFOOD,2022-03-01,19.9,20.3,19.6,19.8,1895206.0
FUWANGFOOD,2022-03-02,19.7,19.9,18.8,19.0,1659088.0
FUWANGFOOD,2022-03-03,19.0,19.7,18.7,19.4,1319972.0
FUWANGFOOD,2022-03-06,19.5,19.7,19.1,19.2,959221.0
FUWANGFOOD,2022-03-07,19.3,19.3,18.5,18.7,1664654.0
FUWANGFOOD,2022-03-08,18.8,19.4,18.2,19.1,1825988.0
FUWANGFOOD,2022-03-09,19.2,20.5,19.2,20.4,2424155.0
FUWANGFOOD,2022-03-10,20.4,21.2,20.0,21.1,4474090.0
FUWANGFOOD,2022-03-13,21.1,23.0,21.0,22.8,7940712.0
FUWANGFOOD,2022-03-14,22.9,22.9,22.4,22.4,2782953.0
FUWANGFOOD,2022-03-15,22.3,22.4,22.0,22.0,3787692.0
FUWANGFOOD,2022-03-16,22.0,22.4,21.6,21.8,3658404.0
FUWANGFOOD,2022-03-20,21.9,22.0,21.4,21.4,1819657.0
FUWANGFOOD,2022-03-21,21.2,21.8,21.0,21.6,2066706.0
FUWANGFOOD,2022-03-22,21.9,22.2,21.3,21.5,2566386.0
FUWANGFOOD,2022-03-23,21.9,22.8,21.6,22.1,6148427.0
FUWANGFOOD,2022-03-24,22.2,22.4,22.0,22.2,2257917.0
FUWANGFOOD,2022-03-27,22.4,24.2,22.3,23.5,11149807.0
FUWANGFOOD,2022-03-28,23.7,23.8,23.1,23.1,3197258.0
FUWANGFOOD,2022-03-29,22.9,23.9,22.8,23.5,6341693.0
FUWANGFOOD,2022-03-30,23.6,23.8,23.2,23.4,3402156.0
FUWANGFOOD,2022-03-31,23.6,24.6,23.6,24.4,9305226.0
FUWANGFOOD,2022-04-03,24.6,25.0,24.3,24.4,5508121.0
FUWANGFOOD,2022-04-04,24.5,24.5,24.0,24.0,3413219.0
FUWANGFOOD,2022-04-05,23.7,23.7,23.6,23.6,983137.0
FUWANGFOOD,2022-04-06,23.2,23.5,23.2,23.2,2976558.0
FUWANGFOOD,2022-04-07,23.3,23.3,22.8,22.9,1828320.0
FUWANGFOOD,2022-04-10,23.0,23.3,22.5,22.8,2771973.0
FUWANGFOOD,2022-04-11,23.0,23.2,22.4,22.4,1742136.0
FUWANGFOOD,2022-04-12,22.2,22.3,22.0,22.0,235537.0
FUWANGFOOD,2022-04-13,21.6,22.0,21.6,21.8,2717544.0
FUWANGFOOD,2022-04-17,22.0,22.0,21.4,21.4,1292624.0
FUWANGFOOD,2022-04-18,21.0,21.0,21.0,21.0,159777.0
FUWANGFOOD,2022-04-19,20.7,21.0,20.6,20.9,1822492.0
FUWANGFOOD,2022-04-20,20.9,21.3,20.5,20.8,2980353.0
FUWANGFOOD,2022-04-21,21.0,22.3,21.0,21.9,3774635.0
FUWANGFOOD,2022-04-24,22.1,22.2,21.1,21.3,2256625.0
FUWANGFOOD,2022-04-25,21.0,21.2,20.6,21.0,1188695.0
FUWANGFOOD,2022-04-26,21.0,21.6,20.9,21.3,1821949.0
FUWANGFOOD,2022-04-27,21.2,22.0,21.1,21.4,2149639.0
FUWANGFOOD,2022-04-28,21.5,21.7,21.1,21.2,1823873.0
FUWANGFOOD,2022-05-05,21.0,21.4,20.9,21.1,513935.0
FUWANGFOOD,2022-05-08,21.2,22.0,21.2,21.8,3099606.0
FUWANGFOOD,2022-05-09,21.9,22.4,21.6,21.8,2728658.0
FUWANGFOOD,2022-05-10,21.9,22.1,21.0,21.1,3853836.0
FUWANGFOOD,2022-05-11,21.3,21.5,20.2,20.3,2053414.0
FUWANGFOOD,2022-05-12,20.6,21.6,20.1,21.2,3053841.0
FUWANGFOOD,2022-05-16,21.4,22.2,21.0,21.6,4512459.0
