symbol,date,open,high,low,close,volume
GBBPOWER,2022-01-02,34.8,35.1,33.9,34.2,415166.0
GBBPOWER,2022-01-03,34.0,36.5,34.0,36.2,1346493.0
GBBPOWER,2022-01-04,36.2,36.4,35.2,35.6,369297.0
GBBPOWER,2022-01-05,35.6,37.5,35.4,37.2,1087912.0
GBBPOWER,2022-01-06,37.5,39.0,36.5,38.6,1532445.0
GBBPOWER,2022-01-09,38.6,38.7,36.2,36.6,576574.0
GBBPOWER,2022-01-10,37.4,38.5,35.9,38.2,1031085.0
GBBPOWER,2022-01-11,38.7,38.7,37.2,37.8,751242.0
GBBPOWER,2022-01-12,37.0,37.7,35.4,36.4,818521.0
GBBPOWER,2022-01-13,36.4,37.7,36.2,36.7,786004.0
GBBPOWER,2022-01-16,37.2,37.4,36.0,37.0,417995.0
GBBPOWER,2022-01-17,36.2,37.0,36.0,36.8,522808.0
GBBPOWER,2022-01-18,36.6,37.2,35.8,36.3,755169.0
GBBPOWER,2022-01-19,36.3,36.4,35.5,36.1,506375.0
GBBPOWER,2022-01-20,36.3,37.4,36.0,37.0,1069405.0
GBBPOWER,2022-01-23,37.3,37.9,35.5,36.5,1258738.0
GBBPOWER,2022-01-24,35.1,36.8,34.0,34.3,787222.0
GBBPOWER,2022-01-25,34.9,35.3,34.0,34.4,771512.0
GBBPOWER,2022-01-26,34.2,34.9,33.9,34.5,796742.0
GBBPOWER,2022-01-27,34.2,34.7,33.4,34.0,797000.0
GBBPOWER,2022-01-30,34.6,34.6,33.8,34.1,202222.0
GBBPOWER,2022-01-31,32.7,34.9,32.4,34.5,1047984.0
GBBPOWER,2022-02-01,34.7,36.6,34.4,36.4,1354629.0
GBBPOWER,2022-02-02,36.3,37.3,36.1,36.6,794445.0
GBBPOWER,2022-02-03,36.1,36.1,35.1,35.7,702212.0
GBBPOWER,2022-02-06,35.5,35.9,34.5,34.9,978520.0
GBBPOWER,2022-02-07,35.0,35.7,34.0,35.1,618007.0
GBBPOWER,2022-02-08,35.3,35.4,34.0,34.5,466267.0
GBBPOWER,2022-02-09,34.5,34.9,34.1,34.6,249044.0
GBBPOWER,2022-02-10,34.7,35.5,34.7,35.0,576330.0
GBBPOWER,2022-02-13,35.3,35.3,34.5,34.6,163531.0
GBBPOWER,2022-02-14,34.8,34.9,34.0,34.6,218473.0
GBBPOWER,2022-02-15,34.6,34.9,33.9,34.1,200515.0
GBBPOWER,2022-02-16,34.5,34.6,33.7,34.3,391357.0
GBBPOWER,2022-02-17,34.3,34.6,33.8,34.3,172379.0
GBBPOWER,2022-02-20,34.3,34.3,33.5,33.9,170055.0
GBBPOWER,2022-02-22,34.0,34.2,33.1,33.6,146019.0
GBBPOWER,2022-02-23,33.6,34.1,33.6,34.0,159375.0
GBBPOWER,2022-02-24,33.9,34.3,32.9,33.7,342494.0
GBBPOWER,2022-02-27,33.1,33.3,32.0,32.4,225080.0
GBBPOWER,2022-02-28,33.0,33.3,31.9,32.5,269231.0
GBBPOWER,2022-03-01,32.5,33.2,32.3,32.9,146809.0
GBBPOWER,2022-03-02,32.2,33.0,32.1,32.7,131310.0
GBBPOWER,2022-03-03,32.5,33.3,32.1,32.7,489501.0
GBBPOWER,2022-03-06,33.1,34.4,32.7,33.9,484696.0
GBBPOWER,2022-03-07,34.0,34.4,33.2,33.7,728358.0
GBBPOWER,2022-03-08,34.0,34.7,33.0,34.2,572517.0
GBBPOWER,2022-03-09,34.6,35.2,34.2,35.1,654270.0
GBBPOWER,2022-03-10,35.4,36.3,34.6,35.5,1853195.0
GBBPOWER,2022-03-13,35.5,35.6,34.8,35.3,713121.0
GBBPOWER,2022-03-14,35.0,36.2,34.6,35.7,1718234.0
GBBPOWER,2022-03-15,35.5,36.9,35.0,36.6,3182075.0
GBBPOWER,2022-03-16,36.3,37.2,35.9,37.0,5517881.0
GBBPOWER,2022-03-20,36.8,36.8,36.3,36.5,1688507.0
GBBPOWER,2022-03-21,36.1,36.5,35.8,36.2,2261165.0
GBBPOWER,2022-03-22,35.6,36.2,35.5,35.7,3100119.0
GBBPOWER,2022-03-23,35.7,35.7,35.0,35.0,857608.0
GBBPOWER,2022-03-24,34.8,34.8,34.3,34.4,2632902.0
GBBPOWER,2022-03-27,33.9,34.5,33.8,34.1,981833.0
GBBPOWER,2022-03-28,33.6,33.9,33.5,33.7,1032956.0
GBBPOWER,2022-03-29,33.1,33.2,33.1,33.1,3035834.0
