symbol,date,open,high,low,close,volume
GEMINISEA,2022-01-02,280.3,293.9,280.2,288.8,132211.0
GEMINISEA,2022-01-03,292.1,297.0,276.2,279.1,101897.0
GEMINISEA,2022-01-04,279.0,292.9,277.0,291.2,116960.0
GEMINISEA,2022-01-05,291.5,299.9,282.8,285.1,110796.0
GEMINISEA,2022-01-06,282.2,289.9,275.0,276.9,88639.0
GEMINISEA,2022-01-09,277.0,292.8,276.6,291.0,141252.0
GEMINISEA,2022-01-10,293.2,298.0,285.1,290.2,114862.0
GEMINISEA,2022-01-11,288.1,291.5,281.0,281.9,108584.0
GEMINISEA,2022-01-12,288.0,288.0,277.8,279.0,96572.0
GEMINISEA,2022-01-13,277.5,303.4,277.5,303.4,195846.0
GEMINISEA,2022-01-16,309.0,329.9,309.0,329.9,111629.0
GEMINISEA,2022-01-17,343.6,345.0,320.0,324.0,187845.0
GEMINISEA,2022-01-18,325.5,350.0,325.5,347.7,214707.0
GEMINISEA,2022-01-19,340.7,359.0,336.2,339.4,119520.0
GEMINISEA,2022-01-20,336.2,359.0,336.2,351.3,149330.0
GEMINISEA,2022-01-23,345.4,382.0,345.4,376.2,216939.0
GEMINISEA,2022-01-24,381.1,386.0,365.9,372.3,166594.0
GEMINISEA,2022-01-25,381.2,388.0,368.0,373.0,160705.0
GEMINISEA,2022-01-26,375.0,377.0,352.0,356.4,162422.0
GEMINISEA,2022-01-27,370.0,378.0,355.2,359.1,337575.0
GEMINISEA,2022-01-30,361.0,390.5,351.4,389.7,258665.0
GEMINISEA,2022-01-31,390.0,409.0,382.6,389.4,208080.0
GEMINISEA,2022-02-01,388.7,408.0,381.5,391.9,197892.0
GEMINISEA,2022-02-02,393.4,399.3,382.0,384.2,120572.0
GEMINISEA,2022-02-03,385.2,394.9,382.2,384.5,116649.0
GEMINISEA,2022-02-06,388.0,394.5,373.7,376.4,96732.0
GEMINISEA,2022-02-07,372.1,384.8,366.0,368.7,72236.0
GEMINISEA,2022-02-08,367.0,385.0,367.0,378.5,84297.0
GEMINISEA,2022-02-09,383.0,396.0,379.1,381.4,141813.0
GEMINISEA,2022-02-10,382.5,394.9,380.1,391.4,87910.0
GEMINISEA,2022-02-13,395.0,425.0,395.0,422.4,246720.0
GEMINISEA,2022-02-14,426.0,428.9,406.3,409.3,108784.0
GEMINISEA,2022-02-15,409.3,438.0,409.3,431.2,164294.0
GEMINISEA,2022-02-16,431.2,443.9,426.0,433.9,167647.0
GEMINISEA,2022-02-17,433.9,438.3,425.0,428.7,136400.0
GEMINISEA,2022-02-20,428.7,438.9,425.0,428.0,88264.0
GEMINISEA,2022-02-22,425.5,433.9,420.3,422.6,81106.0
GEMINISEA,2022-02-23,418.5,428.0,410.2,413.6,103145.0
GEMINISEA,2022-02-24,412.0,417.0,400.0,402.9,113599.0
GEMINISEA,2022-02-27,404.1,408.9,387.0,392.5,122663.0
GEMINISEA,2022-02-28,394.0,404.3,390.0,391.2,64267.0
GEMINISEA,2022-03-01,391.6,403.9,387.7,391.6,45823.0
GEMINISEA,2022-03-02,391.5,397.0,381.1,383.1,44256.0
GEMINISEA,2022-03-03,387.9,389.0,378.0,383.9,34109.0
GEMINISEA,2022-03-06,384.1,396.0,381.4,384.4,50981.0
GEMINISEA,2022-03-07,383.4,393.9,362.0,366.2,52347.0
GEMINISEA,2022-03-08,374.0,374.0,350.0,359.9,110866.0
GEMINISEA,2022-03-09,363.3,384.0,363.3,381.7,55907.0
GEMINISEA,2022-03-10,382.0,386.7,374.1,374.1,69425.0
GEMINISEA,2022-03-13,377.5,377.5,366.7,369.6,67281.0
GEMINISEA,2022-03-14,365.3,384.0,365.3,375.8,65262.0
GEMINISEA,2022-03-15,370.3,379.9,369.3,376.5,57644.0
GEMINISEA,2022-03-16,376.6,409.4,375.0,408.6,173574.0
GEMINISEA,2022-03-20,416.0,421.0,406.1,408.5,163835.0
GEMINISEA,2022-03-21,408.0,444.2,404.0,440.5,210794.0
GEMINISEA,2022-03-22,450.0,474.7,445.0,458.7,222017.0
GEMINISEA,2022-03-23,455.0,472.0,449.8,453.8,162543.0
GEMINISEA,2022-03-24,457.9,488.0,453.0,482.0,191903.0
GEMINISEA,2022-03-27,483.0,497.6,478.1,490.4,140181.0
GEMINISEA,2022-03-28,492.0,504.0,481.1,483.0,195857.0
GEMINISEA,2022-03-29,481.0,489.4,473.4,473.4,102069.0
GEMINISEA,2022-03-30,474.9,489.7,464.2,484.8,123036.0
GEMINISEA,2022-03-31,487.1,520.0,487.1,510.5,170811.0
GEMINISEA,2022-04-03,511.0,521.0,505.2,514.9,114320.0
GEMINISEA,2022-04-04,515.2,542.0,511.7,538.9,148422.0
GEMINISEA,2022-04-05,540.5,553.9,528.2,528.2,172212.0
GEMINISEA,2022-04-06,522.0,524.9,517.7,517.7,36637.0
GEMINISEA,2022-04-07,507.4,507.4,507.4,507.4,21967.0
GEMINISEA,2022-04-10,497.3,534.3,497.3,518.9,229357.0
GEMINISEA,2022-04-11,520.0,538.0,520.0,528.5,93140.0
GEMINISEA,2022-04-12,530.2,535.0,518.0,518.0,133332.0
GEMINISEA,2022-04-13,508.0,523.1,507.7,518.3,126302.0
GEMINISEA,2022-04-17,520.0,523.7,508.0,508.0,72596.0
GEMINISEA,2022-04-18,497.9,497.9,497.9,497.9,11676.0
GEMINISEA,2022-04-19,488.0,494.0,488.0,488.0,82397.0
GEMINISEA,2022-04-20,482.0,494.8,478.3,481.3,136220.0
GEMINISEA,2022-04-21,481.3,488.0,460.0,472.0,99331.0
GEMINISEA,2022-04-24,472.0,478.0,460.0,461.7,96464.0
GEMINISEA,2022-04-25,462.2,462.2,438.7,438.7,128906.0
GEMINISEA,2022-04-26,425.5,445.9,416.8,417.0,239510.0
GEMINISEA,2022-04-27,397.0,435.0,397.0,428.7,194811.0
GEMINISEA,2022-04-28,427.9,435.0,411.3,414.7,108835.0
GEMINISEA,2022-05-05,410.0,410.0,394.0,394.0,77095.0
GEMINISEA,2022-05-08,376.1,398.6,376.0,382.1,147956.0
GEMINISEA,2022-05-09,384.0,391.8,379.0,385.5,134044.0
GEMINISEA,2022-05-10,387.6,395.0,375.5,378.4,101152.0
GEMINISEA,2022-05-11,378.4,378.4,359.5,359.6,186324.0
GEMINISEA,2022-05-12,359.0,360.1,341.7,342.4,172272.0
GEMINISEA,2022-05-16,343.0,344.0,325.3,325.3,130082.0
GEMINISEA,2022-05-17,323.8,334.9,312.0,326.3,135478.0
GEMINISEA,2022-05-18,334.9,352.9,329.3,330.9,171246.0
GEMINISEA,2022-05-19,329.0,344.6,321.0,327.9,133587.0
GEMINISEA,2022-05-22,322.2,336.3,312.5,319.6,84212.0
GEMINISEA,2022-05-23,330.0,339.0,325.0,326.9,76700.0
GEMINISEA,2022-05-24,330.0,334.9,312.0,314.4,80056.0
GEMINISEA,2022-05-25,314.9,314.9,298.7,301.2,84854.0
GEMINISEA,2022-05-26,299.9,303.0,295.2,296.4,89993.0
GEMINISEA,2022-05-29,308.0,322.3,303.2,322.3,82766.0
GEMINISEA,2022-05-30,329.8,349.8,329.8,335.4,199425.0
GEMINISEA,2022-05-31,331.5,355.0,331.4,347.6,143539.0
GEMINISEA,2022-06-01,355.1,378.0,355.1,376.6,165832.0
GEMINISEA,2022-06-02,379.0,385.0,369.1,370.8,173256.0
GEMINISEA,2022-06-05,370.0,373.0,363.4,363.4,110697.0
GEMINISEA,2022-06-06,361.1,375.0,358.3,360.6,96763.0
GEMINISEA,2022-06-07,362.6,366.0,353.4,353.4,96369.0
GEMINISEA,2022-06-08,360.0,360.0,347.1,352.7,107857.0
GEMINISEA,2022-06-09,359.0,375.0,353.3,373.2,120318.0
GEMINISEA,2022-06-12,373.2,390.9,371.4,378.3,184661.0
GEMINISEA,2022-06-13,380.0,386.7,375.5,381.7,149953.0
GEMINISEA,2022-06-14,388.0,392.0,374.1,374.1,151375.0
GEMINISEA,2022-06-15,378.9,378.9,366.7,366.7,83936.0
GEMINISEA,2022-06-16,371.8,371.8,359.4,359.6,103371.0
GEMINISEA,2022-06-19,366.5,370.0,352.6,363.2,92089.0
GEMINISEA,2022-06-20,357.0,373.7,357.0,369.4,103582.0
GEMINISEA,2022-06-21,368.1,372.0,362.1,362.1,66564.0
GEMINISEA,2022-06-22,354.9,361.7,354.9,356.9,57962.0
GEMINISEA,2022-06-23,355.0,362.9,353.2,355.0,41630.0
GEMINISEA,2022-06-26,355.0,359.0,348.1,348.6,54997.0
GEMINISEA,2022-06-27,344.1,359.3,342.0,351.9,73501.0
GEMINISEA,2022-06-28,356.0,369.0,344.9,345.6,81485.0
GEMINISEA,2022-06-29,348.0,350.9,339.1,344.8,85594.0
GEMINISEA,2022-06-30,349.0,352.0,341.2,342.2,49566.0
GEMINISEA,2022-07-03,349.8,349.8,338.0,339.3,53543.0
GEMINISEA,2022-07-04,344.0,344.0,337.0,338.5,39844.0
GEMINISEA,2022-07-05,342.0,346.0,340.0,341.6,52573.0
GEMINISEA,2022-07-06,341.8,344.8,339.5,340.0,40178.0
GEMINISEA,2022-07-07,340.0,341.9,338.0,339.6,29334.0
GEMINISEA,2022-07-12,340.0,345.0,335.1,336.9,26074.0
GEMINISEA,2022-07-13,336.0,338.5,331.1,331.7,35666.0
GEMINISEA,2022-07-14,332.0,358.0,332.0,357.2,115710.0
GEMINISEA,2022-07-17,358.0,367.0,351.0,353.9,84009.0
GEMINISEA,2022-07-18,353.9,353.9,346.9,346.9,48280.0
GEMINISEA,2022-07-19,340.0,340.0,340.0,340.0,7787.0
GEMINISEA,2022-07-20,333.2,341.8,333.2,334.6,55212.0
GEMINISEA,2022-07-21,350.0,350.0,328.0,328.5,35701.0
GEMINISEA,2022-07-24,327.0,329.0,322.0,322.0,23979.0
GEMINISEA,2022-07-25,316.1,325.9,315.6,323.7,65240.0
