symbol,date,open,high,low,close,volume
GHAIL,2022-01-02,17.0,17.0,16.5,16.8,93493.0
GHAIL,2022-01-03,16.8,17.4,16.7,17.3,260198.0
GHAIL,2022-01-04,17.3,17.3,16.9,17.1,128682.0
GHAIL,2022-01-05,17.1,17.7,17.1,17.6,368173.0
GHAIL,2022-01-06,17.6,18.2,17.6,18.1,698426.0
GHAIL,2022-01-09,18.2,18.2,17.3,17.4,377971.0
GHAIL,2022-01-10,17.3,17.7,17.1,17.3,757915.0
GHAIL,2022-01-11,17.4,17.6,17.1,17.2,1257633.0
GHAIL,2022-01-12,17.2,17.5,17.2,17.3,691844.0
GHAIL,2022-01-13,17.4,17.4,16.9,17.0,339589.0
GHAIL,2022-01-16,17.4,17.8,17.2,17.7,781664.0
GHAIL,2022-01-17,17.8,17.9,17.4,17.6,616988.0
GHAIL,2022-01-18,17.6,17.7,17.5,17.6,520586.0
GHAIL,2022-01-19,17.7,18.2,17.5,17.9,687155.0
GHAIL,2022-01-20,18.1,19.6,17.9,19.3,2940780.0
GHAIL,2022-01-23,19.3,19.3,18.6,18.8,1023164.0
GHAIL,2022-01-24,18.8,18.8,18.0,18.1,861553.0
GHAIL,2022-01-25,18.2,18.4,18.1,18.2,422340.0
GHAIL,2022-01-26,18.4,18.7,18.1,18.3,440745.0
GHAIL,2022-01-27,18.6,19.4,18.5,18.8,1129935.0
GHAIL,2022-01-30,18.8,19.3,18.7,19.2,998596.0
GHAIL,2022-01-31,19.2,19.4,18.3,18.6,859823.0
GHAIL,2022-02-01,18.8,19.5,18.7,19.2,1327925.0
GHAIL,2022-02-02,19.4,19.8,19.2,19.3,1271768.0
GHAIL,2022-02-03,19.3,20.5,19.1,20.3,2321340.0
GHAIL,2022-02-06,20.5,20.8,19.6,19.8,1533771.0
GHAIL,2022-02-07,19.8,20.0,19.2,19.3,1060947.0
GHAIL,2022-02-08,19.4,20.7,19.4,20.5,2459283.0
GHAIL,2022-02-09,20.7,21.1,20.0,20.3,1449815.0
GHAIL,2022-02-10,20.1,20.5,19.7,19.8,1302225.0
GHAIL,2022-02-13,20.0,20.2,19.5,19.6,775100.0
GHAIL,2022-02-14,19.8,19.9,19.3,19.4,656447.0
GHAIL,2022-02-15,19.3,19.4,18.7,18.8,823637.0
GHAIL,2022-02-16,19.0,19.1,18.7,18.8,307088.0
GHAIL,2022-02-17,18.6,18.8,18.5,18.6,464565.0
GHAIL,2022-02-20,18.8,18.8,18.1,18.2,354985.0
GHAIL,2022-02-22,18.3,18.6,18.1,18.3,425873.0
GHAIL,2022-02-23,18.4,18.8,18.4,18.7,378337.0
GHAIL,2022-02-24,18.8,18.9,18.1,18.1,620778.0
GHAIL,2022-02-27,18.2,18.2,17.0,17.3,555151.0
GHAIL,2022-02-28,17.7,17.8,17.1,17.6,357329.0
GHAIL,2022-03-01,17.9,18.1,17.6,17.6,457921.0
GHAIL,2022-03-02,17.8,17.8,17.2,17.3,203770.0
GHAIL,2022-03-03,17.3,17.6,17.1,17.4,193996.0
GHAIL,2022-03-06,17.6,17.7,17.2,17.3,240344.0
GHAIL,2022-03-07,17.3,17.3,16.7,16.8,251857.0
GHAIL,2022-03-08,17.0,17.1,16.0,16.8,463193.0
GHAIL,2022-03-09,17.0,17.9,17.0,17.7,331353.0
GHAIL,2022-03-10,17.7,18.1,17.4,17.8,540654.0
GHAIL,2022-03-13,17.8,18.8,17.8,18.6,631642.0
GHAIL,2022-03-14,18.7,18.7,18.3,18.3,464293.0
GHAIL,2022-03-15,18.4,18.6,18.0,18.3,563260.0
GHAIL,2022-03-16,18.3,18.5,18.0,18.0,332019.0
GHAIL,2022-03-20,18.0,18.0,17.7,17.7,443101.0
GHAIL,2022-03-21,17.7,17.9,17.6,17.7,180448.0
GHAIL,2022-03-22,17.9,17.9,17.7,17.9,195767.0
GHAIL,2022-03-23,17.9,18.1,17.8,17.8,286291.0
GHAIL,2022-03-24,18.0,18.0,17.6,17.8,240616.0
GHAIL,2022-03-27,17.8,17.9,17.5,17.7,274193.0
GHAIL,2022-03-28,17.7,17.9,17.6,17.7,225570.0
GHAIL,2022-03-29,17.9,18.2,17.8,18.0,351699.0
GHAIL,2022-03-30,18.1,18.4,17.8,17.9,162357.0
GHAIL,2022-03-31,17.9,18.2,17.8,18.1,365981.0
GHAIL,2022-04-03,18.3,18.7,18.2,18.4,540380.0
GHAIL,2022-04-04,18.4,18.5,18.1,18.1,164428.0
GHAIL,2022-04-05,17.8,18.0,17.8,17.8,243866.0
GHAIL,2022-04-06,18.0,18.0,17.5,17.6,212649.0
GHAIL,2022-04-07,17.9,17.9,17.4,17.8,104464.0
GHAIL,2022-04-10,18.0,18.0,17.7,17.7,148271.0
GHAIL,2022-04-11,17.7,17.9,17.6,17.7,282138.0
GHAIL,2022-04-12,17.6,17.6,17.4,17.5,387839.0
GHAIL,2022-04-13,17.2,17.4,17.2,17.3,223378.0
GHAIL,2022-04-17,17.8,17.8,17.2,17.3,95743.0
GHAIL,2022-04-18,17.1,17.3,17.0,17.0,92545.0
GHAIL,2022-04-19,16.8,17.3,16.7,17.1,174688.0
GHAIL,2022-04-20,17.5,17.5,17.1,17.4,170955.0
GHAIL,2022-04-21,17.3,17.7,17.2,17.5,293283.0
GHAIL,2022-04-24,17.8,17.8,17.4,17.6,133397.0
GHAIL,2022-04-25,17.4,17.9,17.1,17.8,167892.0
GHAIL,2022-04-26,17.9,17.9,17.5,17.7,77480.0
GHAIL,2022-04-27,17.9,18.0,17.5,17.8,292535.0
GHAIL,2022-04-28,17.8,17.8,17.5,17.5,140347.0
GHAIL,2022-05-05,17.6,17.7,17.1,17.3,201605.0
GHAIL,2022-05-08,17.4,18.2,17.4,18.1,622593.0
GHAIL,2022-05-09,18.2,18.5,18.0,18.3,694108.0
GHAIL,2022-05-10,18.3,18.6,18.0,18.1,814510.0
GHAIL,2022-05-11,18.1,18.2,17.6,17.7,399773.0
GHAIL,2022-05-12,17.7,18.6,17.3,18.3,1035583.0
GHAIL,2022-05-16,18.5,20.1,18.2,19.9,7186427.0
GHAIL,2022-05-17,19.9,20.0,19.0,19.3,2031595.0
GHAIL,2022-05-18,19.3,20.4,18.9,19.1,4319398.0
GHAIL,2022-05-19,19.1,19.8,18.7,18.9,1756381.0
GHAIL,2022-05-22,19.2,19.2,18.0,18.0,1628544.0
GHAIL,2022-05-23,18.7,19.0,18.2,18.4,1805304.0
GHAIL,2022-05-24,18.6,19.9,18.3,19.2,2727412.0
GHAIL,2022-05-25,19.1,20.2,18.8,19.9,3762072.0
GHAIL,2022-05-26,20.2,20.2,19.6,19.7,1819780.0
