symbol,date,open,high,low,close,volume
GLOBALINS,2022-01-02,54.6,54.9,53.6,53.9,628440.0
GLOBALINS,2022-01-03,54.4,55.0,53.0,53.4,672437.0
GLOBALINS,2022-01-04,53.9,55.2,53.3,53.8,663281.0
GLOBALINS,2022-01-05,54.1,54.8,53.5,53.6,471825.0
GLOBALINS,2022-01-06,53.8,54.0,51.5,52.0,861636.0
GLOBALINS,2022-01-09,52.0,53.0,51.2,51.4,416329.0
GLOBALINS,2022-01-10,51.1,52.0,50.6,51.0,339059.0
GLOBALINS,2022-01-11,51.0,51.9,50.5,50.8,349062.0
GLOBALINS,2022-01-12,51.0,51.5,49.1,49.6,341312.0
GLOBALINS,2022-01-13,49.8,50.4,48.6,48.8,226197.0
GLOBALINS,2022-01-16,50.3,50.3,48.8,49.0,223100.0
GLOBALINS,2022-01-17,49.4,52.0,49.0,51.5,518677.0
GLOBALINS,2022-01-18,51.5,52.1,50.3,50.5,271738.0
GLOBALINS,2022-01-19,50.2,50.8,49.1,49.3,402377.0
GLOBALINS,2022-01-20,49.8,50.5,49.1,49.8,197145.0
GLOBALINS,2022-01-23,51.2,53.7,51.2,53.2,1023621.0
GLOBALINS,2022-01-24,54.3,54.8,52.6,52.7,799601.0
GLOBALINS,2022-01-25,52.8,53.4,51.7,51.8,334287.0
GLOBALINS,2022-01-26,51.9,52.7,51.2,52.2,484233.0
GLOBALINS,2022-01-27,53.0,53.0,51.6,51.8,243767.0
GLOBALINS,2022-01-30,52.1,52.9,51.7,52.6,628259.0
GLOBALINS,2022-01-31,53.1,53.7,52.5,52.7,468522.0
GLOBALINS,2022-02-01,53.0,53.0,51.8,52.0,257146.0
GLOBALINS,2022-02-02,52.0,53.2,51.7,52.9,328316.0
GLOBALINS,2022-02-03,53.2,53.8,52.1,52.3,435955.0
GLOBALINS,2022-02-06,52.8,54.3,52.4,53.5,945050.0
GLOBALINS,2022-02-07,53.9,56.0,53.5,55.2,1203348.0
GLOBALINS,2022-02-08,55.7,58.0,55.5,57.4,1665517.0
GLOBALINS,2022-02-09,57.0,57.4,55.9,56.2,880724.0
GLOBALINS,2022-02-10,56.0,56.4,54.9,55.4,652620.0
GLOBALINS,2022-02-13,55.8,56.0,53.8,54.1,455878.0
GLOBALINS,2022-02-14,54.2,54.4,52.8,53.0,367323.0
GLOBALINS,2022-02-15,53.8,53.8,51.7,52.0,303869.0
GLOBALINS,2022-02-16,52.0,52.7,51.3,51.6,270414.0
GLOBALINS,2022-02-17,51.6,52.2,51.1,51.6,149380.0
GLOBALINS,2022-02-20,52.6,52.6,50.1,50.3,273769.0
GLOBALINS,2022-02-22,50.4,51.4,49.8,50.5,279886.0
GLOBALINS,2022-02-23,50.5,51.4,50.1,50.5,160013.0
GLOBALINS,2022-02-24,51.0,51.0,48.1,48.7,216821.0
GLOBALINS,2022-02-27,48.5,48.6,45.7,46.3,160600.0
GLOBALINS,2022-02-28,47.5,47.9,46.7,46.8,152047.0
GLOBALINS,2022-03-01,47.1,49.7,47.1,47.5,227214.0
GLOBALINS,2022-03-02,48.0,48.0,46.0,46.7,152432.0
GLOBALINS,2022-03-03,46.4,47.6,46.0,47.2,170558.0
GLOBALINS,2022-03-06,47.3,47.7,46.3,46.4,125368.0
GLOBALINS,2022-03-07,46.4,46.4,43.0,44.1,149321.0
GLOBALINS,2022-03-08,45.8,45.8,43.0,44.5,161275.0
GLOBALINS,2022-03-09,46.2,48.7,45.7,47.8,216975.0
GLOBALINS,2022-03-10,49.0,50.5,47.8,48.2,311887.0
GLOBALINS,2022-03-13,49.8,49.8,47.9,48.7,149233.0
GLOBALINS,2022-03-14,49.5,49.5,48.1,48.2,114153.0
GLOBALINS,2022-03-15,48.4,48.5,47.3,47.3,217020.0
GLOBALINS,2022-03-16,47.3,47.3,46.4,46.4,88308.0
GLOBALINS,2022-03-20,45.8,46.1,45.5,45.6,186259.0
GLOBALINS,2022-03-21,45.1,46.6,45.0,45.1,89115.0
GLOBALINS,2022-03-22,46.5,46.5,44.4,45.1,88015.0
GLOBALINS,2022-03-23,45.6,46.1,44.5,44.7,99333.0
GLOBALINS,2022-03-24,44.3,45.0,44.0,44.4,142996.0
GLOBALINS,2022-03-27,44.3,45.1,43.9,44.3,68909.0
GLOBALINS,2022-03-28,44.9,46.1,44.9,45.5,111496.0
GLOBALINS,2022-03-29,46.1,46.1,45.0,45.2,61352.0
GLOBALINS,2022-03-30,46.0,47.8,45.9,47.4,342731.0
GLOBALINS,2022-03-31,48.9,48.9,47.1,47.8,224618.0
GLOBALINS,2022-04-03,48.4,48.4,46.9,46.9,70381.0
GLOBALINS,2022-04-04,46.5,46.6,46.0,46.0,72227.0
GLOBALINS,2022-04-05,45.2,45.9,45.1,45.2,75031.0
GLOBALINS,2022-04-06,44.4,45.3,44.3,44.5,88801.0
GLOBALINS,2022-04-07,45.8,45.8,43.7,44.5,58568.0
GLOBALINS,2022-04-10,44.5,44.9,44.3,44.7,76849.0
GLOBALINS,2022-04-11,45.4,45.5,44.2,44.3,47455.0
GLOBALINS,2022-04-12,44.0,44.0,43.5,43.5,67353.0
GLOBALINS,2022-04-13,43.4,43.9,42.7,42.9,49266.0
GLOBALINS,2022-04-17,42.6,42.8,42.1,42.1,65985.0
GLOBALINS,2022-04-18,43.1,43.1,41.3,41.3,30565.0
GLOBALINS,2022-04-19,40.6,42.4,40.5,41.3,83647.0
GLOBALINS,2022-04-20,42.6,42.6,41.5,41.7,34973.0
GLOBALINS,2022-04-21,41.7,43.0,41.0,42.4,130402.0
GLOBALINS,2022-04-24,43.2,44.2,42.6,43.8,81036.0
GLOBALINS,2022-04-25,44.3,45.9,43.7,45.7,169477.0
GLOBALINS,2022-04-26,46.0,47.7,45.6,46.9,242441.0
GLOBALINS,2022-04-27,47.5,47.5,44.8,45.1,125991.0
GLOBALINS,2022-04-28,45.7,45.7,43.2,43.9,93379.0
GLOBALINS,2022-05-05,43.9,45.5,42.1,42.3,141749.0
GLOBALINS,2022-05-08,42.0,42.8,41.3,41.9,124520.0
GLOBALINS,2022-05-09,41.8,43.4,41.8,42.6,155320.0
GLOBALINS,2022-05-10,43.0,44.0,42.6,43.1,174263.0
GLOBALINS,2022-05-11,42.9,43.0,41.0,41.1,156787.0
GLOBALINS,2022-05-12,41.6,41.6,40.5,41.3,106041.0
GLOBALINS,2022-05-16,41.0,41.0,39.3,39.3,140439.0
GLOBALINS,2022-05-17,39.3,39.3,37.4,37.6,181561.0
GLOBALINS,2022-05-18,38.0,38.3,35.8,35.8,140571.0
GLOBALINS,2022-05-19,35.0,36.0,34.4,35.2,139713.0
GLOBALINS,2022-05-22,35.5,35.5,33.5,33.5,229561.0
GLOBALINS,2022-05-23,35.6,36.5,33.9,35.9,175678.0
GLOBALINS,2022-05-24,36.1,37.0,35.0,35.3,72188.0
GLOBALINS,2022-05-25,35.5,35.5,33.9,34.6,63835.0
GLOBALINS,2022-05-26,37.6,37.6,34.0,34.6,43387.0
GLOBALINS,2022-05-29,35.0,36.3,34.9,35.5,124138.0
GLOBALINS,2022-05-31,35.0,38.1,35.0,37.0,534699.0
GLOBALINS,2022-06-01,38.6,38.6,37.4,37.9,127633.0
GLOBALINS,2022-06-02,38.0,38.0,37.2,37.3,267101.0
GLOBALINS,2022-06-05,37.7,38.9,37.4,38.7,173056.0
GLOBALINS,2022-06-06,40.0,42.5,39.2,42.5,625690.0
GLOBALINS,2022-06-07,43.0,45.5,42.3,44.8,853733.0
GLOBALINS,2022-06-08,45.0,45.5,44.0,44.0,502946.0
GLOBALINS,2022-06-09,43.3,43.5,43.2,43.2,160623.0
GLOBALINS,2022-06-12,42.4,42.4,42.4,42.4,40070.0
GLOBALINS,2022-06-13,41.6,42.3,41.6,41.6,96919.0
GLOBALINS,2022-06-14,40.8,43.4,40.8,41.1,409367.0
GLOBALINS,2022-06-15,41.5,42.3,40.3,40.3,183162.0
GLOBALINS,2022-06-16,40.0,41.2,39.7,40.1,166519.0
GLOBALINS,2022-06-19,40.5,40.5,39.3,39.3,110512.0
GLOBALINS,2022-06-20,38.7,39.3,38.6,38.6,98828.0
GLOBALINS,2022-06-21,37.9,39.0,37.9,38.2,191634.0
GLOBALINS,2022-06-22,39.0,39.3,37.6,37.9,105072.0
GLOBALINS,2022-06-23,37.9,38.2,37.2,37.9,125799.0
GLOBALINS,2022-06-26,37.9,37.9,37.2,37.2,73669.0
GLOBALINS,2022-06-27,38.5,38.8,37.0,38.1,145183.0
GLOBALINS,2022-06-28,38.4,39.7,37.5,37.8,162935.0
GLOBALINS,2022-06-29,38.0,38.9,37.1,37.3,120935.0
GLOBALINS,2022-06-30,39.7,39.7,36.6,37.5,167686.0
GLOBALINS,2022-07-03,39.0,40.0,37.4,37.6,60047.0
GLOBALINS,2022-07-04,38.7,38.7,36.9,37.0,107589.0
GLOBALINS,2022-07-05,37.0,37.6,36.5,36.9,122322.0
GLOBALINS,2022-07-06,37.4,37.4,36.6,36.8,69261.0
GLOBALINS,2022-07-07,37.2,37.2,36.5,36.8,31933.0
GLOBALINS,2022-07-12,36.5,36.5,36.1,36.1,55903.0
GLOBALINS,2022-07-13,35.4,36.7,35.4,35.9,73088.0
GLOBALINS,2022-07-14,37.7,37.7,35.2,35.4,87285.0
GLOBALINS,2022-07-17,35.0,36.0,34.7,34.7,122806.0
GLOBALINS,2022-07-18,34.2,34.2,34.1,34.1,50255.0
GLOBALINS,2022-07-19,35.9,35.9,33.5,33.5,94852.0
GLOBALINS,2022-07-20,33.1,34.4,32.9,33.1,81443.0
GLOBALINS,2022-07-21,33.2,33.7,32.5,32.5,86559.0
GLOBALINS,2022-07-24,32.7,32.7,31.9,31.9,60462.0
GLOBALINS,2022-07-25,31.3,31.9,31.3,31.6,144960.0
GLOBALINS,2022-07-26,33.2,34.6,32.0,33.9,242365.0
GLOBALINS,2022-07-27,34.0,34.8,33.3,33.4,276670.0
GLOBALINS,2022-07-28,33.0,33.3,32.8,32.8,111601.0
GLOBALINS,2022-07-31,33.5,35.9,33.0,35.9,258058.0
GLOBALINS,2022-08-01,37.4,38.9,35.9,36.3,339345.0
GLOBALINS,2022-08-02,36.0,38.3,35.5,37.5,355043.0
GLOBALINS,2022-08-03,38.8,38.8,37.3,37.5,196637.0
GLOBALINS,2022-08-04,38.5,38.5,36.1,36.3,168405.0
GLOBALINS,2022-08-07,36.0,36.5,35.2,35.4,116675.0
GLOBALINS,2022-08-08,35.8,36.4,34.8,35.1,139842.0
GLOBALINS,2022-08-10,35.0,35.4,33.8,34.0,92674.0
GLOBALINS,2022-08-11,34.6,34.7,33.0,33.2,108187.0
GLOBALINS,2022-08-14,34.9,34.9,33.2,33.3,93952.0
GLOBALINS,2022-08-16,33.9,34.1,33.1,33.5,128248.0
GLOBALINS,2022-08-17,33.9,35.4,33.6,34.9,161960.0
