symbol,date,open,high,low,close,volume
GOLDENSON,2022-01-02,19.3,20.7,19.3,20.5,2858070.0
GOLDENSON,2022-01-03,20.6,21.3,20.4,20.6,3439165.0
GOLDENSON,2022-01-04,20.5,21.3,20.0,20.9,3111758.0
GOLDENSON,2022-01-05,21.5,21.6,21.1,21.2,3380552.0
GOLDENSON,2022-01-06,21.4,21.5,20.5,20.6,2854346.0
GOLDENSON,2022-01-09,20.8,21.2,20.5,20.7,2176403.0
GOLDENSON,2022-01-10,20.8,21.4,20.5,21.2,3192741.0
GOLDENSON,2022-01-11,21.3,21.6,20.3,20.6,4308668.0
GOLDENSON,2022-01-12,20.7,20.7,19.7,19.8,3074866.0
GOLDENSON,2022-01-13,20.0,20.2,19.6,19.8,1495020.0
GOLDENSON,2022-01-16,19.8,20.5,19.7,20.1,1560075.0
GOLDENSON,2022-01-17,20.1,20.4,19.6,19.8,2348368.0
GOLDENSON,2022-01-18,19.9,20.7,19.8,20.5,3288933.0
GOLDENSON,2022-01-19,20.9,20.9,20.1,20.2,3314686.0
GOLDENSON,2022-01-20,20.2,22.2,19.9,22.2,6806524.0
GOLDENSON,2022-01-23,22.7,22.7,20.8,21.1,7356372.0
GOLDENSON,2022-01-24,20.8,20.8,19.2,19.6,7095340.0
GOLDENSON,2022-01-25,19.9,20.2,19.2,19.3,3602802.0
GOLDENSON,2022-01-26,19.5,19.9,19.1,19.5,2579390.0
GOLDENSON,2022-01-27,19.7,20.2,19.6,19.9,2801805.0
GOLDENSON,2022-01-30,20.1,20.1,19.1,19.3,2083115.0
GOLDENSON,2022-01-31,19.4,19.4,18.8,18.9,2084439.0
GOLDENSON,2022-02-01,19.1,19.7,18.9,19.3,2061342.0
GOLDENSON,2022-02-02,19.5,20.1,19.4,19.8,2742004.0
GOLDENSON,2022-02-03,19.8,20.2,19.5,19.8,1907629.0
GOLDENSON,2022-02-06,20.0,20.0,19.2,19.3,1756623.0
GOLDENSON,2022-02-07,19.5,19.5,19.0,19.1,1674037.0
GOLDENSON,2022-02-08,19.3,19.5,19.0,19.4,1183020.0
GOLDENSON,2022-02-09,19.6,19.8,19.3,19.4,1903923.0
GOLDENSON,2022-02-10,19.4,21.2,19.4,20.8,7548011.0
GOLDENSON,2022-02-13,21.1,21.8,20.7,20.9,5618614.0
GOLDENSON,2022-02-14,20.8,21.1,19.9,20.0,4263215.0
GOLDENSON,2022-02-15,20.3,20.5,19.5,19.6,2371149.0
GOLDENSON,2022-02-16,19.8,20.8,19.6,19.9,3531922.0
GOLDENSON,2022-02-17,20.2,20.4,19.7,19.9,1141206.0
GOLDENSON,2022-02-20,19.8,19.9,19.2,19.3,1302753.0
GOLDENSON,2022-02-22,19.5,19.7,19.0,19.4,1494918.0
GOLDENSON,2022-02-23,19.5,19.8,19.3,19.4,1046817.0
GOLDENSON,2022-02-24,19.6,19.6,18.9,19.0,1893806.0
GOLDENSON,2022-02-27,19.0,19.1,18.5,18.6,1418765.0
GOLDENSON,2022-02-28,18.7,19.1,18.5,18.6,1026040.0
GOLDENSON,2022-03-01,18.8,19.0,18.6,18.7,580466.0
GOLDENSON,2022-03-02,18.7,18.7,18.0,18.1,848320.0
GOLDENSON,2022-03-03,18.2,18.2,17.7,17.9,823934.0
GOLDENSON,2022-03-06,18.0,18.1,17.6,17.7,415671.0
GOLDENSON,2022-03-07,17.5,17.8,16.1,16.4,1748425.0
GOLDENSON,2022-03-08,16.5,17.1,16.1,16.9,898231.0
GOLDENSON,2022-03-09,17.1,17.9,17.0,17.8,1387400.0
GOLDENSON,2022-03-10,17.8,18.4,17.5,18.1,1459573.0
GOLDENSON,2022-03-13,18.1,19.6,18.1,19.3,2539406.0
GOLDENSON,2022-03-14,19.2,19.3,19.0,19.0,1329314.0
GOLDENSON,2022-03-15,19.0,19.1,18.7,18.8,1507054.0
GOLDENSON,2022-03-16,18.9,18.9,18.5,18.6,1193536.0
GOLDENSON,2022-03-20,18.5,18.5,18.3,18.3,695344.0
GOLDENSON,2022-03-21,18.2,18.4,18.0,18.1,722843.0
GOLDENSON,2022-03-22,18.2,18.6,18.2,18.5,509879.0
GOLDENSON,2022-03-23,18.4,18.7,18.3,18.3,656258.0
GOLDENSON,2022-03-24,18.5,18.5,18.1,18.3,375428.0
GOLDENSON,2022-03-27,18.4,18.4,18.0,18.1,464971.0
GOLDENSON,2022-03-28,18.1,18.2,17.9,18.0,575579.0
GOLDENSON,2022-03-29,18.0,18.3,17.9,18.0,363089.0
GOLDENSON,2022-03-30,18.3,18.3,17.9,17.9,395499.0
