symbol,date,open,high,low,close,volume
GP,2022-01-02,350.0,350.9,349.1,349.6,34527.0
GP,2022-01-03,350.6,353.0,346.1,347.8,153227.0
GP,2022-01-04,347.8,349.5,347.8,349.2,54663.0
GP,2022-01-05,350.3,350.3,346.0,346.4,189855.0
GP,2022-01-06,346.5,350.0,345.2,348.3,168718.0
GP,2022-01-09,350.1,354.9,349.5,350.6,106027.0
GP,2022-01-10,350.1,350.7,348.0,350.0,126170.0
GP,2022-01-11,350.0,355.9,350.0,353.4,120840.0
GP,2022-01-12,354.0,359.9,354.0,357.1,180605.0
GP,2022-01-13,357.1,360.4,357.0,359.3,144823.0
GP,2022-01-16,359.9,360.8,358.6,359.4,110161.0
GP,2022-01-17,360.0,360.0,358.1,359.5,52264.0
GP,2022-01-18,360.0,360.0,358.1,358.6,46287.0
GP,2022-01-19,358.6,359.5,358.6,359.0,50696.0
GP,2022-01-20,359.2,360.0,356.0,357.3,110033.0
GP,2022-01-23,356.2,359.3,355.0,358.8,57877.0
GP,2022-01-24,359.8,360.0,358.5,359.0,57929.0
GP,2022-01-25,359.0,359.4,355.0,355.2,75180.0
GP,2022-01-26,356.0,358.0,354.6,355.4,47114.0
GP,2022-01-27,351.4,355.0,350.0,351.4,168166.0
GP,2022-01-30,352.0,355.8,351.5,354.0,64732.0
GP,2022-01-31,356.2,356.7,353.0,355.9,45035.0
GP,2022-02-01,356.9,356.9,354.1,354.6,29764.0
GP,2022-02-02,355.0,355.9,354.6,355.2,52959.0
GP,2022-02-03,356.9,356.9,354.5,355.2,54936.0
GP,2022-02-06,354.5,358.2,354.2,357.9,54848.0
GP,2022-02-07,355.3,358.0,354.7,355.8,127292.0
GP,2022-02-08,357.4,358.5,355.8,358.2,87082.0
GP,2022-02-09,359.5,359.5,356.5,357.9,53828.0
GP,2022-02-10,357.0,358.5,355.0,358.0,56065.0
GP,2022-02-13,358.0,358.6,357.0,357.9,61984.0
GP,2022-02-14,358.0,359.5,357.3,357.6,101486.0
GP,2022-02-15,358.0,359.5,357.0,357.9,152373.0
GP,2022-02-16,357.0,358.0,356.2,357.7,112177.0
GP,2022-02-17,357.0,358.0,354.6,356.8,120936.0
GP,2022-02-20,358.8,358.8,352.3,354.6,106818.0
GP,2022-02-22,355.8,356.2,354.2,355.4,158411.0
GP,2022-02-24,349.3,349.3,340.2,341.9,184963.0
GP,2022-02-27,345.0,347.7,336.0,340.9,62001.0
GP,2022-02-28,340.5,344.3,339.5,340.0,97320.0
GP,2022-03-01,340.0,341.6,340.0,340.3,68695.0
GP,2022-03-02,340.5,340.5,333.4,335.1,130682.0
GP,2022-03-03,338.7,338.7,327.5,328.8,201798.0
GP,2022-03-06,333.0,333.0,322.0,323.1,150057.0
GP,2022-03-07,327.9,327.9,317.2,317.6,167368.0
GP,2022-03-08,320.2,320.2,315.0,316.4,192180.0
GP,2022-03-09,320.0,325.5,318.8,320.5,171792.0
GP,2022-03-10,324.0,326.9,318.0,322.2,119580.0
GP,2022-03-13,323.0,329.8,322.0,327.8,87038.0
GP,2022-03-14,329.9,342.8,327.2,330.0,120145.0
GP,2022-03-15,334.0,334.0,330.2,332.0,30297.0
GP,2022-03-16,330.1,332.0,325.5,325.9,113892.0
GP,2022-03-20,326.0,329.4,325.3,326.1,35114.0
GP,2022-03-21,326.2,326.9,322.1,325.0,49618.0
GP,2022-03-22,327.0,327.0,323.3,324.7,141557.0
