symbol,date,open,high,low,close,volume
GREENDELT,2022-01-02,107.1,109.5,105.0,107.9,222335.0
GREENDELT,2022-01-03,107.0,109.9,105.2,105.8,158010.0
GREENDELT,2022-01-04,108.2,109.0,105.5,106.6,121628.0
GREENDELT,2022-01-05,106.1,108.6,106.0,106.5,129832.0
GREENDELT,2022-01-06,108.1,108.2,103.1,104.4,195670.0
GREENDELT,2022-01-09,106.0,106.0,102.9,103.3,106411.0
GREENDELT,2022-01-10,103.3,105.5,101.6,103.6,140209.0
GREENDELT,2022-01-11,102.2,104.1,100.0,100.2,172711.0
GREENDELT,2022-01-12,101.0,103.0,96.5,99.6,149193.0
GREENDELT,2022-01-13,100.0,102.8,97.8,99.8,129480.0
GREENDELT,2022-01-16,102.8,102.8,98.5,98.9,69422.0
GREENDELT,2022-01-17,100.0,101.5,99.1,100.1,339682.0
GREENDELT,2022-01-18,102.0,102.0,98.0,99.1,163170.0
GREENDELT,2022-01-19,100.5,102.0,96.6,97.2,269990.0
GREENDELT,2022-01-20,100.8,100.8,97.2,97.7,151389.0
GREENDELT,2022-01-23,100.0,100.9,97.8,98.2,155253.0
GREENDELT,2022-01-24,100.0,100.5,96.8,97.1,203466.0
GREENDELT,2022-01-25,97.9,99.7,96.5,96.9,188063.0
GREENDELT,2022-01-26,97.2,98.0,95.5,96.0,203420.0
GREENDELT,2022-01-27,97.9,97.9,96.1,96.8,91757.0
GREENDELT,2022-01-30,96.1,99.2,95.2,97.7,91569.0
GREENDELT,2022-01-31,99.0,99.0,96.3,96.5,182243.0
GREENDELT,2022-02-01,98.1,98.1,96.5,96.9,64861.0
GREENDELT,2022-02-02,98.0,99.7,96.5,99.0,171068.0
GREENDELT,2022-02-03,99.9,101.0,96.6,99.6,274739.0
GREENDELT,2022-02-06,100.8,109.0,100.7,107.4,731431.0
GREENDELT,2022-02-07,110.5,113.6,108.3,111.1,1135533.0
GREENDELT,2022-02-08,113.6,113.7,107.1,107.8,511741.0
GREENDELT,2022-02-09,109.7,109.7,103.0,104.5,445552.0
GREENDELT,2022-02-10,104.9,110.0,102.6,108.8,564188.0
GREENDELT,2022-02-13,109.4,112.0,105.2,105.9,578691.0
GREENDELT,2022-02-14,106.9,106.9,99.0,100.8,665006.0
GREENDELT,2022-02-15,100.4,100.4,95.2,96.0,742966.0
GREENDELT,2022-02-16,99.5,99.5,95.2,95.7,312044.0
GREENDELT,2022-02-17,97.5,97.5,93.5,94.3,375721.0
GREENDELT,2022-02-20,93.3,94.4,92.8,93.6,157402.0
GREENDELT,2022-02-22,95.0,95.0,92.5,93.0,138615.0
GREENDELT,2022-02-23,93.4,93.4,91.7,92.4,456239.0
GREENDELT,2022-02-24,92.5,92.5,87.3,89.0,302343.0
GREENDELT,2022-02-27,89.0,89.1,84.1,85.8,211002.0
GREENDELT,2022-02-28,89.0,89.0,85.5,87.6,249378.0
GREENDELT,2022-03-01,88.7,91.1,87.5,89.1,190562.0
GREENDELT,2022-03-02,89.1,89.6,87.1,88.6,87399.0
GREENDELT,2022-03-03,88.5,90.5,87.0,89.2,116319.0
GREENDELT,2022-03-06,89.4,90.0,87.0,87.3,91419.0
GREENDELT,2022-03-07,87.3,87.8,83.5,83.8,212583.0
GREENDELT,2022-03-09,82.2,87.6,82.2,85.1,326871.0
GREENDELT,2022-03-10,88.8,89.9,85.0,85.5,173733.0
GREENDELT,2022-03-13,84.3,85.6,83.8,84.5,263902.0
GREENDELT,2022-03-14,84.1,85.2,83.1,83.4,78454.0
GREENDELT,2022-03-15,83.5,84.0,81.9,82.1,126028.0
GREENDELT,2022-03-16,82.0,82.7,80.5,81.8,106095.0
GREENDELT,2022-03-20,81.3,82.9,80.4,81.3,154229.0
GREENDELT,2022-03-21,80.8,82.7,80.7,82.3,122979.0
GREENDELT,2022-03-22,82.1,83.0,82.0,82.0,93402.0
GREENDELT,2022-03-23,82.3,83.2,82.3,82.6,108476.0
GREENDELT,2022-03-24,82.5,84.0,82.5,82.8,68624.0
GREENDELT,2022-03-27,83.0,83.1,81.5,81.8,50256.0
GREENDELT,2022-03-28,83.9,84.8,81.6,82.1,118929.0
GREENDELT,2022-03-29,83.5,83.5,82.5,82.9,52449.0
GREENDELT,2022-03-30,83.8,86.9,83.0,83.7,171843.0
GREENDELT,2022-03-31,85.8,87.4,84.5,86.6,175644.0
GREENDELT,2022-04-03,86.0,87.2,84.9,85.0,112831.0
GREENDELT,2022-04-04,83.5,85.0,83.5,83.9,28161.0
GREENDELT,2022-04-05,83.0,84.8,82.3,82.6,56306.0
GREENDELT,2022-04-06,81.3,83.6,81.1,81.5,34360.0
GREENDELT,2022-04-07,81.5,82.2,80.0,81.5,32438.0
GREENDELT,2022-04-10,83.6,83.6,81.1,81.4,32630.0
GREENDELT,2022-04-11,82.6,82.6,80.0,80.6,48522.0
GREENDELT,2022-04-12,80.6,80.6,79.0,79.5,53153.0
GREENDELT,2022-04-13,78.2,79.6,78.0,78.5,50443.0
GREENDELT,2022-04-17,79.8,79.8,77.0,77.0,23075.0
GREENDELT,2022-04-18,78.9,78.9,75.5,75.5,58447.0
GREENDELT,2022-04-19,74.5,75.4,74.0,75.1,30744.0
GREENDELT,2022-04-20,76.3,76.5,75.4,76.0,23348.0
GREENDELT,2022-04-21,76.8,78.0,75.8,77.8,26141.0
GREENDELT,2022-04-24,77.4,80.0,77.4,79.7,39376.0
GREENDELT,2022-04-25,79.5,81.2,79.5,80.8,84127.0
GREENDELT,2022-04-26,82.5,85.0,81.0,81.2,71721.0
GREENDELT,2022-04-27,81.0,81.0,78.8,79.5,53266.0
GREENDELT,2022-04-28,79.8,79.8,77.3,78.6,44667.0
GREENDELT,2022-05-05,79.0,81.0,76.0,78.3,14181.0
GREENDELT,2022-05-08,78.1,79.9,78.0,78.4,52284.0
GREENDELT,2022-05-09,78.5,80.0,78.5,78.8,92716.0
GREENDELT,2022-05-10,79.0,80.5,78.7,79.2,95371.0
GREENDELT,2022-05-11,79.5,80.0,77.6,77.9,45950.0
GREENDELT,2022-05-12,80.4,80.9,76.7,77.0,57505.0
GREENDELT,2022-05-16,78.9,79.0,73.2,73.2,96052.0
GREENDELT,2022-05-17,73.3,73.3,69.6,70.2,124990.0
GREENDELT,2022-05-18,71.1,72.5,68.0,68.4,96997.0
GREENDELT,2022-05-19,71.0,71.0,66.5,68.1,36031.0
GREENDELT,2022-05-22,68.0,68.0,65.1,65.9,91791.0
GREENDELT,2022-05-23,66.5,70.0,66.5,68.4,33647.0
GREENDELT,2022-05-24,68.4,70.0,66.5,66.6,38730.0
GREENDELT,2022-05-25,68.5,68.5,66.0,66.9,34485.0
GREENDELT,2022-05-26,69.8,69.8,66.7,67.5,36304.0
GREENDELT,2022-05-29,69.9,70.8,68.5,69.9,53676.0
GREENDELT,2022-05-30,71.7,71.7,69.9,70.9,35995.0
GREENDELT,2022-05-31,73.3,74.0,70.5,71.7,88535.0
GREENDELT,2022-06-01,73.0,73.3,71.9,73.1,43330.0
GREENDELT,2022-06-02,74.7,74.7,72.2,72.8,54513.0
GREENDELT,2022-06-05,72.8,73.9,72.0,73.6,85236.0
GREENDELT,2022-06-06,74.5,80.9,74.5,80.9,479762.0
GREENDELT,2022-06-07,81.0,84.6,81.0,83.5,378377.0
GREENDELT,2022-06-08,81.9,84.8,81.9,81.9,197958.0
GREENDELT,2022-06-09,80.3,81.6,80.3,80.3,85507.0
GREENDELT,2022-06-12,78.7,79.9,78.7,78.7,55062.0
GREENDELT,2022-06-13,77.3,77.3,77.2,77.2,57997.0
GREENDELT,2022-06-14,75.7,79.8,75.7,75.9,237293.0
GREENDELT,2022-06-15,74.4,79.7,74.4,74.4,48241.0
GREENDELT,2022-06-16,74.4,75.7,73.0,73.2,87310.0
GREENDELT,2022-06-19,72.3,75.0,71.8,71.8,70670.0
GREENDELT,2022-06-20,74.7,74.7,71.4,72.2,80568.0
GREENDELT,2022-06-21,71.6,73.1,71.5,72.2,17744.0
GREENDELT,2022-06-22,73.0,73.0,71.6,72.0,67619.0
GREENDELT,2022-06-23,75.6,75.6,71.8,72.0,42760.0
GREENDELT,2022-06-26,72.1,72.1,71.0,71.6,61522.0
GREENDELT,2022-06-27,71.0,72.0,70.2,71.5,78754.0
GREENDELT,2022-06-28,70.9,73.0,70.8,71.2,67607.0
GREENDELT,2022-06-29,71.0,71.5,70.3,71.0,23891.0
GREENDELT,2022-06-30,75.0,75.0,70.6,71.5,30704.0
GREENDELT,2022-07-03,71.5,71.5,70.1,70.4,51140.0
GREENDELT,2022-07-04,70.4,71.0,69.6,70.2,54489.0
GREENDELT,2022-07-05,71.4,71.5,69.6,69.9,25510.0
GREENDELT,2022-07-06,70.5,70.5,69.2,69.5,21338.0
GREENDELT,2022-07-07,71.0,71.0,68.2,70.0,19464.0
GREENDELT,2022-07-12,69.0,70.3,69.0,69.6,7955.0
GREENDELT,2022-07-13,68.5,69.7,68.3,68.4,49396.0
GREENDELT,2022-07-14,68.4,68.6,67.1,68.1,32586.0
GREENDELT,2022-07-17,67.0,68.0,67.0,67.4,38568.0
GREENDELT,2022-07-18,67.0,68.0,66.1,66.1,30548.0
GREENDELT,2022-07-19,64.8,66.0,64.8,64.8,53521.0
GREENDELT,2022-07-20,64.0,65.0,63.9,64.3,65161.0
GREENDELT,2022-07-21,65.0,65.0,64.0,64.3,25838.0
GREENDELT,2022-07-24,65.5,67.0,63.1,63.1,39994.0
GREENDELT,2022-07-25,63.1,65.0,61.9,64.7,32387.0
GREENDELT,2022-07-26,65.1,71.0,65.1,66.5,57169.0
GREENDELT,2022-07-27,68.5,68.5,65.3,65.3,37998.0
GREENDELT,2022-07-28,64.0,67.3,64.0,65.9,22334.0
GREENDELT,2022-07-31,68.5,71.5,66.7,71.4,81108.0
GREENDELT,2022-08-01,72.4,73.0,68.0,68.9,60608.0
GREENDELT,2022-08-02,68.5,71.4,67.5,69.8,50562.0
GREENDELT,2022-08-03,73.5,74.0,70.1,70.8,56396.0
GREENDELT,2022-08-04,72.0,72.0,69.9,70.1,42836.0
GREENDELT,2022-08-07,70.1,70.1,68.0,68.7,76628.0
GREENDELT,2022-08-08,68.1,68.9,68.1,68.8,29552.0
GREENDELT,2022-08-10,68.8,68.8,67.5,68.1,24511.0
GREENDELT,2022-08-11,68.8,69.8,66.9,68.0,30257.0
