symbol,date,open,high,low,close,volume
GSPFINANCE,2022-01-02,27.4,28.7,26.9,28.1,10140706.0
GSPFINANCE,2022-01-03,28.5,28.5,27.4,27.6,6172563.0
GSPFINANCE,2022-01-04,27.6,27.7,27.1,27.5,8060371.0
GSPFINANCE,2022-01-05,27.9,28.9,27.7,28.1,9809396.0
GSPFINANCE,2022-01-06,28.3,28.3,27.5,27.8,6651254.0
GSPFINANCE,2022-01-09,27.9,28.4,27.6,27.8,6545751.0
GSPFINANCE,2022-01-10,27.9,28.3,27.7,28.0,6424012.0
GSPFINANCE,2022-01-11,28.3,29.8,28.3,28.8,14487935.0
GSPFINANCE,2022-01-12,29.0,29.4,28.3,28.5,8017447.0
GSPFINANCE,2022-01-13,28.6,28.8,27.8,27.9,5659383.0
GSPFINANCE,2022-01-16,28.0,28.8,27.8,28.5,5909627.0
GSPFINANCE,2022-01-17,28.6,29.5,28.3,29.0,6457323.0
GSPFINANCE,2022-01-18,29.5,30.3,29.0,29.2,14659065.0
GSPFINANCE,2022-01-19,29.3,29.3,28.7,28.8,5786144.0
GSPFINANCE,2022-01-20,28.8,29.1,28.5,28.7,6035495.0
GSPFINANCE,2022-01-23,28.8,28.9,27.9,28.1,2844303.0
GSPFINANCE,2022-01-24,28.2,28.4,27.0,27.2,2852444.0
GSPFINANCE,2022-01-25,27.3,27.7,26.9,27.0,1801057.0
GSPFINANCE,2022-01-26,27.4,28.0,26.9,27.6,2446159.0
GSPFINANCE,2022-01-27,27.7,28.0,27.3,27.4,1698255.0
GSPFINANCE,2022-01-30,27.6,27.6,27.0,27.1,1915312.0
GSPFINANCE,2022-01-31,27.1,27.6,27.1,27.3,1501394.0
GSPFINANCE,2022-02-01,27.5,27.8,27.3,27.4,1885716.0
GSPFINANCE,2022-02-02,27.5,28.0,27.3,27.5,1978162.0
GSPFINANCE,2022-02-03,27.6,28.3,27.5,28.1,5517329.0
GSPFINANCE,2022-02-06,28.5,28.5,27.7,27.9,3856571.0
GSPFINANCE,2022-02-07,28.1,28.1,27.4,27.5,1985230.0
GSPFINANCE,2022-02-08,27.5,28.8,27.5,27.9,5742538.0
GSPFINANCE,2022-02-09,28.0,28.2,27.5,27.8,3750141.0
GSPFINANCE,2022-02-10,28.0,28.0,27.4,27.5,2720501.0
GSPFINANCE,2022-02-13,27.7,27.7,27.2,27.3,1529293.0
GSPFINANCE,2022-02-14,27.4,27.7,27.3,27.4,1814326.0
GSPFINANCE,2022-02-15,27.5,27.5,27.0,27.1,1565031.0
GSPFINANCE,2022-02-16,27.4,27.4,26.4,26.7,2079626.0
GSPFINANCE,2022-02-17,26.7,26.7,25.7,25.8,1823771.0
GSPFINANCE,2022-02-20,25.8,25.8,24.8,24.9,1817568.0
GSPFINANCE,2022-02-22,25.0,26.8,25.0,26.6,2887150.0
GSPFINANCE,2022-02-23,26.7,27.0,26.3,26.6,4017960.0
GSPFINANCE,2022-02-24,26.6,26.6,25.2,25.7,1632448.0
GSPFINANCE,2022-02-27,25.6,25.7,25.1,25.4,1812337.0
GSPFINANCE,2022-02-28,25.7,26.1,25.3,25.7,918255.0
GSPFINANCE,2022-03-01,25.7,26.3,25.5,25.7,1199293.0
GSPFINANCE,2022-03-02,25.9,26.0,25.3,25.6,779347.0
GSPFINANCE,2022-03-03,25.6,25.7,25.2,25.5,870105.0
GSPFINANCE,2022-03-06,25.5,25.5,25.2,25.4,569911.0
GSPFINANCE,2022-03-07,25.3,25.4,23.0,24.2,1461449.0
GSPFINANCE,2022-03-08,23.8,25.0,22.7,24.9,1464743.0
GSPFINANCE,2022-03-09,25.1,26.8,25.0,26.5,1373538.0
GSPFINANCE,2022-03-10,26.7,27.3,26.2,27.0,3561355.0
GSPFINANCE,2022-03-13,27.2,28.0,27.0,27.8,3860747.0
GSPFINANCE,2022-03-14,28.0,28.4,27.6,28.1,5032412.0
GSPFINANCE,2022-03-15,28.2,28.7,28.1,28.4,5329076.0
