symbol,date,open,high,low,close,volume
HAKKANIPUL,2022-01-02,58.0,58.6,57.0,57.4,164023.0
HAKKANIPUL,2022-01-03,58.3,58.3,56.5,56.9,205224.0
HAKKANIPUL,2022-01-04,56.7,57.8,56.1,56.4,156308.0
HAKKANIPUL,2022-01-05,56.6,58.4,56.6,57.4,107353.0
HAKKANIPUL,2022-01-06,58.0,58.7,57.5,57.7,183882.0
HAKKANIPUL,2022-01-09,58.8,61.6,58.0,59.4,339604.0
HAKKANIPUL,2022-01-10,59.9,62.1,59.0,61.2,459904.0
HAKKANIPUL,2022-01-11,61.6,64.5,60.2,61.1,363519.0
HAKKANIPUL,2022-01-12,62.0,62.3,58.2,58.4,190329.0
HAKKANIPUL,2022-01-13,59.9,59.9,58.3,58.8,137085.0
HAKKANIPUL,2022-01-16,60.0,64.0,59.7,62.5,322531.0
HAKKANIPUL,2022-01-17,62.9,63.5,60.5,61.1,245856.0
HAKKANIPUL,2022-01-18,61.1,63.0,60.6,61.0,216272.0
HAKKANIPUL,2022-01-19,62.4,62.4,60.3,61.0,152527.0
HAKKANIPUL,2022-01-20,62.1,62.1,60.1,60.7,118821.0
HAKKANIPUL,2022-01-23,60.9,60.9,57.9,58.9,97060.0
HAKKANIPUL,2022-01-24,58.1,59.8,58.1,58.3,85402.0
HAKKANIPUL,2022-01-25,58.4,59.4,58.0,58.1,64832.0
HAKKANIPUL,2022-01-26,58.5,58.5,56.6,56.8,83316.0
HAKKANIPUL,2022-01-27,58.6,58.6,56.6,57.8,63333.0
HAKKANIPUL,2022-01-30,57.0,58.5,56.4,56.6,92978.0
HAKKANIPUL,2022-01-31,56.4,56.5,54.7,54.8,133338.0
HAKKANIPUL,2022-02-01,56.0,56.5,54.6,55.3,78051.0
HAKKANIPUL,2022-02-02,55.1,56.8,55.0,56.0,45167.0
HAKKANIPUL,2022-02-03,56.2,57.0,56.0,56.2,44070.0
HAKKANIPUL,2022-02-06,56.5,56.8,56.1,56.2,56535.0
HAKKANIPUL,2022-02-07,57.0,57.0,55.8,56.0,50929.0
HAKKANIPUL,2022-02-08,56.0,56.0,55.3,55.7,67692.0
HAKKANIPUL,2022-02-09,55.5,56.5,55.5,56.1,38982.0
HAKKANIPUL,2022-02-10,56.7,58.2,56.1,57.3,102803.0
HAKKANIPUL,2022-02-13,58.0,59.8,58.0,58.6,180082.0
HAKKANIPUL,2022-02-14,59.0,59.5,57.6,57.8,84341.0
HAKKANIPUL,2022-02-15,57.2,59.0,57.2,58.6,130157.0
HAKKANIPUL,2022-02-16,59.6,62.5,59.0,60.9,481980.0
HAKKANIPUL,2022-02-17,61.8,63.4,60.7,61.0,287115.0
HAKKANIPUL,2022-02-20,61.7,67.1,61.2,67.1,1179911.0
HAKKANIPUL,2022-02-22,69.0,69.8,65.2,66.2,607585.0
HAKKANIPUL,2022-02-23,65.2,65.7,62.5,63.1,523016.0
HAKKANIPUL,2022-02-24,63.9,64.3,60.1,60.7,312968.0
HAKKANIPUL,2022-02-27,62.5,62.5,55.5,57.0,368803.0
