symbol,date,open,high,low,close,volume
HFL,2022-01-02,23.0,24.2,23.0,23.9,768293.0
HFL,2022-01-03,24.1,24.4,23.2,23.3,1017964.0
HFL,2022-01-04,23.3,23.5,22.5,22.6,688330.0
HFL,2022-01-05,22.7,24.5,22.6,24.1,1738676.0
HFL,2022-01-06,24.2,25.5,23.9,24.4,1641450.0
HFL,2022-01-09,24.8,25.3,23.6,24.0,1231401.0
HFL,2022-01-10,24.1,24.6,23.9,24.0,947111.0
HFL,2022-01-11,24.4,24.6,23.8,23.9,1031382.0
HFL,2022-01-12,24.3,24.6,23.4,23.6,752804.0
HFL,2022-01-13,23.9,24.1,23.2,23.4,491235.0
HFL,2022-01-16,23.5,24.5,23.4,23.9,700314.0
HFL,2022-01-17,24.2,24.3,23.6,23.8,542779.0
HFL,2022-01-18,24.0,25.3,23.9,24.8,2274306.0
HFL,2022-01-19,25.2,26.8,25.2,25.8,2248380.0
HFL,2022-01-20,25.8,26.5,25.0,25.2,1417646.0
HFL,2022-01-23,25.2,25.2,24.4,24.6,695001.0
HFL,2022-01-24,24.7,24.8,24.1,24.5,860977.0
HFL,2022-01-25,24.7,26.6,24.6,26.3,2151579.0
HFL,2022-01-26,26.4,27.1,25.4,25.7,1804874.0
HFL,2022-01-27,26.0,27.7,25.5,26.7,3104653.0
HFL,2022-01-30,26.9,26.9,24.3,24.5,2210776.0
HFL,2022-01-31,24.5,24.7,23.4,23.6,1211614.0
HFL,2022-02-01,23.6,24.3,23.6,23.8,886056.0
HFL,2022-02-02,24.1,24.3,23.4,23.6,855406.0
HFL,2022-02-03,23.8,24.0,23.0,23.4,1208533.0
HFL,2022-02-06,23.9,23.9,23.1,23.2,955571.0
HFL,2022-02-07,23.6,23.7,23.0,23.1,567956.0
HFL,2022-02-08,23.3,23.3,22.5,22.7,911654.0
HFL,2022-02-09,22.9,23.2,22.8,23.0,746090.0
HFL,2022-02-10,23.2,23.9,23.0,23.7,860257.0
HFL,2022-02-13,23.9,23.9,22.9,23.0,819636.0
HFL,2022-02-14,23.4,23.4,22.8,22.9,733916.0
HFL,2022-02-15,23.0,23.3,22.7,22.9,525610.0
HFL,2022-02-16,23.2,23.5,22.9,22.9,385185.0
HFL,2022-02-17,23.0,23.2,22.5,22.6,688407.0
HFL,2022-02-20,22.9,23.0,22.0,22.2,354019.0
HFL,2022-02-22,22.7,22.7,22.1,22.3,400350.0
HFL,2022-02-23,22.4,23.0,22.4,22.6,508691.0
HFL,2022-02-24,22.8,23.5,22.5,22.7,1207182.0
HFL,2022-02-27,22.9,22.9,21.7,21.9,452621.0
HFL,2022-02-28,21.6,22.5,21.6,22.2,462921.0
HFL,2022-03-01,22.2,22.5,21.8,21.9,470381.0
HFL,2022-03-02,21.8,21.8,20.5,20.7,815099.0
HFL,2022-03-03,20.8,20.9,19.8,20.3,1376626.0
HFL,2022-03-06,20.7,20.7,20.2,20.2,223576.0
HFL,2022-03-07,20.2,20.4,18.8,19.0,620118.0
HFL,2022-03-08,19.2,19.8,18.1,19.6,837169.0
HFL,2022-03-09,20.0,20.7,19.8,20.6,588664.0
HFL,2022-03-10,20.7,22.1,20.4,21.7,1516408.0
HFL,2022-03-13,21.9,23.0,21.9,22.5,1390339.0
HFL,2022-03-14,22.6,22.6,22.1,22.1,942153.0
HFL,2022-03-15,21.7,22.7,21.7,22.1,1047361.0
HFL,2022-03-16,22.1,22.6,22.0,22.1,514280.0
HFL,2022-03-20,21.9,22.2,21.7,21.7,435726.0
