symbol,date,open,high,low,close,volume
IBBLPBOND,2024-09-24,767.0,772.0,767.0,770.0,103.0
IBBLPBOND,2024-09-25,760.0,762.0,760.0,761.5,6.0
IBBLPBOND,2024-09-30,770.0,770.0,766.0,770.0,26.0
IBBLPBOND,2024-10-01,760.0,760.0,760.0,760.0,5.0
IBBLPBOND,2024-10-02,770.0,770.0,760.0,761.0,17.0
IBBLPBOND,2024-10-03,761.0,761.0,761.0,761.0,5.0
IBBLPBOND,2024-10-06,761.0,761.0,761.0,761.0,20.0
IBBLPBOND,2024-10-07,755.0,757.0,755.0,755.0,11.0
IBBLPBOND,2024-10-08,750.0,750.0,750.0,750.0,44.0
IBBLPBOND,2024-10-09,755.0,755.5,755.0,755.5,10.0
IBBLPBOND,2024-10-14,756.0,756.0,756.0,756.0,55.0
IBBLPBOND,2024-10-15,756.0,756.0,756.0,756.0,3.0
IBBLPBOND,2024-10-16,699.5,753.0,699.5,732.0,14.0
IBBLPBOND,2024-10-17,750.0,750.0,750.0,750.0,20.0
IBBLPBOND,2024-10-20,750.0,750.0,750.0,750.0,20.0
IBBLPBOND,2024-10-21,758.0,760.5,758.0,759.5,10.0
IBBLPBOND,2024-10-22,760.0,760.5,760.0,760.0,304.0
IBBLPBOND,2024-10-23,760.0,770.0,760.0,768.0,19.0
IBBLPBOND,2024-10-24,762.0,762.0,762.0,762.0,25.0
IBBLPBOND,2024-10-27,755.0,760.0,755.0,757.5,20.0
IBBLPBOND,2024-10-28,765.0,765.0,760.0,760.0,150.0
IBBLPBOND,2024-10-29,756.0,756.0,750.0,752.5,30.0
IBBLPBOND,2024-10-30,755.0,755.0,752.0,753.5,20.0
IBBLPBOND,2024-10-31,755.0,760.0,755.0,757.0,45.0
IBBLPBOND,2024-11-03,760.0,770.0,759.0,767.5,338.0
IBBLPBOND,2024-11-04,760.0,760.0,750.0,759.5,474.0
IBBLPBOND,2024-11-05,765.0,765.0,765.0,765.0,105.0
IBBLPBOND,2024-11-06,757.5,760.0,757.5,757.5,16.0
IBBLPBOND,2024-11-07,770.0,770.0,755.0,768.5,39.0
IBBLPBOND,2024-11-11,755.5,755.5,755.5,755.5,14.0
IBBLPBOND,2024-11-12,755.5,755.5,750.5,754.5,28.0
IBBLPBOND,2024-11-13,759.5,759.5,754.5,758.5,60.0
IBBLPBOND,2024-11-14,750.0,760.0,750.0,755.0,13.0
IBBLPBOND,2024-11-17,759.5,759.5,759.5,759.5,5.0
IBBLPBOND,2024-11-18,760.0,761.5,760.0,761.0,29.0
IBBLPBOND,2024-11-19,762.0,762.0,762.0,762.0,50.0
IBBLPBOND,2024-11-20,767.5,772.0,767.5,769.5,68.0
IBBLPBOND,2024-11-21,772.5,772.5,772.0,772.5,39.0
IBBLPBOND,2024-11-24,770.0,770.5,770.0,770.5,23.0
IBBLPBOND,2024-11-25,775.5,775.5,775.5,775.5,5.0
IBBLPBOND,2024-11-26,780.0,780.0,780.0,780.0,3.0
IBBLPBOND,2024-11-27,780.0,798.0,780.0,787.0,65.0
IBBLPBOND,2024-12-01,800.0,845.0,800.0,811.0,182.0
IBBLPBOND,2024-12-02,811.0,811.0,811.0,811.0,3.0
IBBLPBOND,2024-12-03,820.0,820.0,800.5,805.5,94.0
IBBLPBOND,2024-12-04,850.0,860.0,830.0,852.0,450.0
IBBLPBOND,2024-12-05,820.5,820.5,820.5,820.5,1.0
IBBLPBOND,2024-12-08,823.5,824.0,808.0,818.0,116.0
IBBLPBOND,2024-12-09,806.0,806.0,806.0,806.0,10.0
IBBLPBOND,2024-12-10,800.0,850.0,800.0,849.0,223.0
IBBLPBOND,2024-12-11,795.0,795.0,795.0,795.0,5.0
IBBLPBOND,2024-12-12,790.0,800.0,790.0,799.5,155.0
IBBLPBOND,2024-12-17,795.0,795.0,795.0,795.0,4.0
IBBLPBOND,2024-12-18,795.0,795.0,795.0,795.0,20.0
IBBLPBOND,2024-12-19,795.0,800.0,795.0,799.5,22.0
IBBLPBOND,2024-12-22,790.0,790.0,790.0,790.0,25.0
IBBLPBOND,2024-12-24,794.0,794.0,794.0,794.0,1.0
