symbol,date,open,high,low,close,volume
IBNSINA,2022-01-02,271.0,272.0,270.1,270.4,6566.0
IBNSINA,2022-01-03,270.4,271.7,268.7,268.9,26149.0
IBNSINA,2022-01-04,270.5,270.5,267.0,270.0,39604.0
IBNSINA,2022-01-05,272.0,273.0,269.0,271.0,9017.0
IBNSINA,2022-01-06,273.0,273.0,268.1,269.6,28019.0
IBNSINA,2022-01-09,274.0,275.5,269.9,274.3,28356.0
IBNSINA,2022-01-10,274.0,277.8,270.0,276.4,24101.0
IBNSINA,2022-01-11,280.0,282.6,277.6,277.6,26372.0
IBNSINA,2022-01-12,282.0,282.0,272.2,275.4,13072.0
IBNSINA,2022-01-13,275.0,282.0,271.4,276.8,15248.0
IBNSINA,2022-01-16,276.8,285.0,275.0,284.5,28643.0
IBNSINA,2022-01-17,288.0,292.0,282.0,284.1,32039.0
IBNSINA,2022-01-18,288.0,288.0,279.0,282.2,29089.0
IBNSINA,2022-01-19,282.8,294.0,280.0,289.6,57578.0
IBNSINA,2022-01-20,290.0,291.0,287.0,290.0,57678.0
IBNSINA,2022-01-23,297.0,298.0,281.0,293.2,208370.0
IBNSINA,2022-01-24,291.2,293.8,285.5,292.2,160105.0
IBNSINA,2022-01-25,292.0,292.0,286.5,288.3,21660.0
IBNSINA,2022-01-26,288.3,290.0,286.0,289.1,24904.0
IBNSINA,2022-01-27,290.0,290.0,286.1,286.5,22168.0
IBNSINA,2022-01-30,287.3,287.8,283.0,284.2,24586.0
IBNSINA,2022-01-31,278.0,289.8,277.9,283.0,23433.0
IBNSINA,2022-02-01,283.0,298.8,283.0,293.4,59445.0
IBNSINA,2022-02-02,293.1,305.0,293.1,300.2,214781.0
IBNSINA,2022-02-03,305.0,305.0,297.3,297.6,34396.0
IBNSINA,2022-02-06,296.0,305.0,296.0,303.1,193431.0
IBNSINA,2022-02-07,304.0,305.0,296.0,298.6,39852.0
IBNSINA,2022-02-08,296.5,299.4,294.1,296.4,29979.0
IBNSINA,2022-02-09,293.5,296.8,293.0,293.6,26171.0
IBNSINA,2022-02-10,293.0,299.8,292.1,297.2,84791.0
IBNSINA,2022-02-13,297.0,303.0,297.0,298.7,85018.0
IBNSINA,2022-02-14,299.5,299.5,293.0,296.1,24994.0
IBNSINA,2022-02-15,292.4,295.4,290.0,290.6,60673.0
IBNSINA,2022-02-16,291.5,294.8,291.4,294.6,10703.0
IBNSINA,2022-02-17,294.2,297.0,294.2,295.5,44435.0
IBNSINA,2022-02-20,293.3,297.8,293.3,294.4,34168.0
IBNSINA,2022-02-22,297.0,297.0,295.2,295.4,22861.0
IBNSINA,2022-02-23,296.0,297.5,294.1,297.0,62187.0
IBNSINA,2022-02-24,294.5,297.6,290.0,291.6,16243.0
IBNSINA,2022-02-27,290.0,292.0,285.5,286.5,56982.0
IBNSINA,2022-02-28,287.0,290.0,285.0,285.0,44598.0
IBNSINA,2022-03-01,302.0,302.0,287.1,288.3,3961.0
IBNSINA,2022-03-02,295.0,295.0,284.5,285.8,6068.0
IBNSINA,2022-03-03,285.9,290.0,284.0,285.6,7830.0
IBNSINA,2022-03-06,285.0,295.0,284.5,285.5,7871.0
IBNSINA,2022-03-07,285.5,285.5,276.1,277.9,8747.0
IBNSINA,2022-03-08,284.7,290.0,275.0,288.0,12626.0
IBNSINA,2022-03-09,290.0,290.0,285.3,288.5,16706.0
IBNSINA,2022-03-10,289.8,289.8,286.4,287.2,13599.0
IBNSINA,2022-03-13,292.0,292.0,286.0,288.4,3674.0
IBNSINA,2022-03-14,294.9,294.9,286.0,289.0,30186.0
IBNSINA,2022-03-15,291.0,291.0,288.0,288.8,36890.0
IBNSINA,2022-03-16,289.1,293.0,289.1,289.7,4515.0
IBNSINA,2022-03-20,295.0,295.0,286.2,287.8,5425.0
IBNSINA,2022-03-21,286.6,289.1,286.2,286.4,28892.0
IBNSINA,2022-03-22,291.8,292.0,288.0,289.6,3977.0
IBNSINA,2022-03-23,288.6,291.0,287.0,287.1,19538.0
IBNSINA,2022-03-24,286.6,290.7,286.5,286.7,7834.0
IBNSINA,2022-03-27,287.0,287.1,284.0,284.4,21656.0
IBNSINA,2022-03-28,287.0,291.9,285.2,289.4,30002.0
IBNSINA,2022-03-29,291.0,296.2,291.0,295.6,19913.0
IBNSINA,2022-03-30,299.9,299.9,290.0,295.1,14415.0
IBNSINA,2022-03-31,293.9,300.0,292.0,298.1,33334.0
IBNSINA,2022-04-03,295.0,298.0,295.0,296.5,3743.0
IBNSINA,2022-04-04,295.2,300.0,295.0,299.2,20643.0
IBNSINA,2022-04-05,300.0,300.0,295.3,296.5,3890.0
IBNSINA,2022-04-06,294.0,297.0,293.1,294.9,7737.0
IBNSINA,2022-04-07,291.2,295.0,290.0,290.0,23097.0
IBNSINA,2022-04-10,290.0,294.8,285.5,290.9,4321.0
IBNSINA,2022-04-11,290.9,294.7,289.0,292.5,2973.0
IBNSINA,2022-04-12,290.5,293.9,288.4,290.0,9271.0
IBNSINA,2022-04-13,288.0,291.7,285.0,290.5,12371.0
IBNSINA,2022-04-17,292.0,293.9,288.0,288.7,2198.0
IBNSINA,2022-04-18,286.1,292.8,286.1,288.7,9159.0
IBNSINA,2022-04-19,288.5,307.0,288.0,294.2,28141.0
IBNSINA,2022-04-20,295.0,300.0,292.0,292.9,16646.0
IBNSINA,2022-04-21,295.0,299.0,293.2,297.8,43761.0
IBNSINA,2022-04-24,294.9,297.9,292.0,292.7,30867.0
IBNSINA,2022-04-25,293.9,297.0,288.0,290.6,10690.0
IBNSINA,2022-04-26,290.1,295.0,290.1,294.9,25275.0
IBNSINA,2022-04-27,292.1,293.2,292.1,293.1,3778.0
IBNSINA,2022-04-28,290.5,296.8,290.5,295.7,19680.0
IBNSINA,2022-05-05,294.0,297.0,293.9,294.2,16581.0
IBNSINA,2022-05-08,295.0,295.0,292.0,294.1,21511.0
IBNSINA,2022-05-09,295.0,296.0,292.1,294.6,14916.0
IBNSINA,2022-05-10,295.5,305.0,295.5,297.3,32330.0
IBNSINA,2022-05-11,297.0,300.0,291.2,292.3,21136.0
IBNSINA,2022-05-12,292.0,295.3,290.1,294.2,12259.0
IBNSINA,2022-05-16,292.6,292.6,287.0,287.6,14712.0
IBNSINA,2022-05-17,288.0,293.0,285.0,291.6,58329.0
IBNSINA,2022-05-18,290.0,291.3,284.0,285.7,21148.0
IBNSINA,2022-05-19,285.0,290.0,282.0,289.8,21418.0
IBNSINA,2022-05-22,285.2,285.2,276.2,279.7,7015.0
IBNSINA,2022-05-23,288.8,288.8,282.1,284.0,46057.0
