symbol,date,open,high,low,close,volume
IBP,2022-01-02,17.4,17.9,17.4,17.7,278334.0
IBP,2022-01-03,17.8,18.4,17.8,18.3,572902.0
IBP,2022-01-04,18.3,18.9,18.0,18.7,589909.0
IBP,2022-01-05,18.6,19.3,18.6,19.2,371631.0
IBP,2022-01-06,19.3,19.4,18.7,18.8,496911.0
IBP,2022-01-09,18.6,19.0,18.3,18.4,363304.0
IBP,2022-01-10,18.5,18.6,18.0,18.4,610159.0
IBP,2022-01-11,18.5,18.8,18.4,18.6,673098.0
IBP,2022-01-12,18.7,19.0,18.4,18.4,776838.0
IBP,2022-01-13,18.7,18.7,18.4,18.4,401373.0
IBP,2022-01-16,18.6,18.6,18.1,18.2,808393.0
IBP,2022-01-17,18.5,18.6,18.0,18.1,498590.0
IBP,2022-01-18,18.4,19.9,18.3,19.4,2788830.0
IBP,2022-01-19,19.6,20.0,19.4,19.6,1387493.0
IBP,2022-01-20,19.5,19.8,19.3,19.4,901844.0
IBP,2022-01-23,19.5,19.6,18.8,19.0,1287954.0
IBP,2022-01-24,19.1,19.2,18.7,18.7,396539.0
IBP,2022-01-25,18.9,19.0,18.7,18.8,250694.0
IBP,2022-01-26,18.8,18.8,18.2,18.3,686995.0
IBP,2022-01-27,18.4,18.6,18.0,18.1,1189610.0
IBP,2022-01-30,18.5,18.5,18.0,18.2,343413.0
IBP,2022-01-31,18.0,18.0,17.5,17.6,656206.0
IBP,2022-02-01,17.8,18.2,17.6,18.0,433531.0
IBP,2022-02-02,18.1,18.4,18.0,18.2,787668.0
IBP,2022-02-03,18.4,18.4,18.0,18.1,352662.0
IBP,2022-02-06,18.1,18.8,18.0,18.3,599436.0
IBP,2022-02-07,18.5,18.6,18.1,18.2,396523.0
IBP,2022-02-08,18.2,18.9,18.1,18.8,888383.0
IBP,2022-02-09,19.0,19.5,18.9,19.0,2206090.0
IBP,2022-02-10,19.1,19.2,18.8,19.0,872391.0
IBP,2022-02-13,19.0,19.4,18.8,18.9,906166.0
IBP,2022-02-14,19.1,19.1,18.5,18.6,769015.0
IBP,2022-02-15,18.7,18.8,18.3,18.4,593716.0
IBP,2022-02-16,18.5,18.7,18.3,18.5,466531.0
IBP,2022-02-17,18.4,18.4,18.1,18.2,664476.0
IBP,2022-02-20,18.2,18.2,17.8,17.9,439600.0
IBP,2022-02-22,18.1,18.3,17.9,18.1,503079.0
IBP,2022-02-23,18.2,18.4,18.1,18.3,567400.0
IBP,2022-02-24,18.3,18.5,18.1,18.1,859527.0
IBP,2022-02-27,18.1,18.1,17.4,17.5,847539.0
IBP,2022-02-28,17.8,18.0,17.6,17.9,288607.0
IBP,2022-03-01,17.8,18.1,17.7,17.8,297053.0
IBP,2022-03-02,17.8,17.8,17.4,17.4,245736.0
IBP,2022-03-03,17.4,17.5,17.2,17.4,962374.0
IBP,2022-03-06,17.5,17.5,17.3,17.4,143683.0
IBP,2022-03-07,17.3,17.3,16.8,16.9,270155.0
IBP,2022-03-08,17.2,17.5,16.4,17.0,286811.0
IBP,2022-03-09,17.3,17.9,17.2,17.7,251220.0
IBP,2022-03-10,17.7,18.0,17.6,17.8,410838.0
IBP,2022-03-13,17.8,18.9,17.8,18.8,1849132.0
IBP,2022-03-14,19.0,19.0,18.5,18.5,631665.0
IBP,2022-03-15,18.5,19.7,18.3,19.2,2936815.0
IBP,2022-03-16,19.4,19.9,19.0,19.2,2092918.0
IBP,2022-03-20,19.2,19.2,18.9,18.9,612487.0
IBP,2022-03-21,19.0,19.3,18.6,19.1,1082564.0
IBP,2022-03-22,19.2,19.4,18.9,19.1,613756.0
IBP,2022-03-23,19.2,19.2,18.8,18.8,704312.0
IBP,2022-03-24,18.8,19.0,18.5,18.6,497906.0
IBP,2022-03-27,18.6,18.6,18.3,18.3,430662.0
IBP,2022-03-28,18.3,18.6,18.0,18.5,282605.0
IBP,2022-03-29,18.5,18.7,18.3,18.4,420502.0
IBP,2022-03-30,18.4,18.7,18.2,18.3,432217.0
IBP,2022-03-31,18.4,18.5,18.0,18.2,386149.0
IBP,2022-04-03,18.5,19.2,18.3,18.8,622368.0
IBP,2022-04-04,18.8,18.9,18.5,18.5,293357.0
IBP,2022-04-05,18.3,18.4,18.2,18.2,365882.0
IBP,2022-04-06,18.2,18.4,18.0,18.0,208236.0
IBP,2022-04-07,18.0,18.4,17.8,18.3,184338.0
IBP,2022-04-10,18.3,18.5,18.1,18.1,264183.0
IBP,2022-04-11,18.1,18.4,18.0,18.0,243028.0
IBP,2022-04-12,18.0,18.1,17.7,17.7,436756.0
IBP,2022-04-13,17.6,17.9,17.5,17.8,108334.0
IBP,2022-04-17,17.8,18.0,17.5,17.5,148486.0
IBP,2022-04-18,17.3,17.5,17.2,17.2,161704.0
IBP,2022-04-19,17.1,17.7,16.9,17.5,225447.0
IBP,2022-04-20,17.7,17.8,17.5,17.7,84499.0
IBP,2022-04-21,17.5,18.2,17.5,18.1,260544.0
IBP,2022-04-24,18.3,18.3,18.0,18.2,218894.0
IBP,2022-04-25,18.2,18.2,17.9,18.0,241892.0
IBP,2022-04-26,18.1,18.2,17.9,18.0,93246.0
IBP,2022-04-27,18.0,18.2,17.7,17.8,163015.0
IBP,2022-04-28,17.6,17.9,17.5,17.6,230215.0
IBP,2022-05-05,17.5,17.8,17.4,17.6,198948.0
IBP,2022-05-08,17.8,18.3,17.6,18.1,793684.0
IBP,2022-05-09,18.3,18.6,18.2,18.3,539635.0
IBP,2022-05-10,18.3,18.5,17.9,17.9,628371.0
IBP,2022-05-11,18.0,18.1,17.6,17.7,361149.0
IBP,2022-05-12,17.7,17.9,17.6,17.8,287519.0
IBP,2022-05-16,17.8,17.8,17.0,17.1,565988.0
IBP,2022-05-17,17.4,17.4,16.9,17.1,352220.0
IBP,2022-05-18,17.3,17.4,16.8,16.9,473226.0
IBP,2022-05-19,16.8,17.1,16.6,16.9,251637.0
IBP,2022-05-22,17.3,17.3,16.5,16.6,612774.0
IBP,2022-05-23,17.4,17.4,16.8,17.2,214766.0
IBP,2022-05-24,17.3,18.5,17.0,17.9,1274343.0
IBP,2022-05-25,18.0,18.2,17.4,17.6,695902.0
IBP,2022-05-26,17.3,17.7,17.3,17.5,290736.0
IBP,2022-05-29,18.2,18.2,17.8,18.0,616622.0
IBP,2022-05-30,18.2,18.3,17.9,18.0,994738.0
IBP,2022-05-31,17.8,18.1,17.7,17.9,546398.0
IBP,2022-06-01,18.5,18.5,17.9,18.2,310648.0
IBP,2022-06-02,18.3,18.3,18.0,18.1,1159135.0
IBP,2022-06-05,18.2,19.3,18.0,19.1,5277838.0
IBP,2022-06-06,19.2,19.5,18.8,18.8,1766259.0
IBP,2022-06-07,18.5,18.6,18.5,18.5,848636.0
IBP,2022-06-08,18.4,18.7,18.2,18.3,995139.0
IBP,2022-06-09,18.3,18.5,18.2,18.3,515979.0
IBP,2022-06-12,18.4,18.5,18.0,18.1,1342077.0
IBP,2022-06-14,17.9,17.9,17.3,17.4,742915.0
IBP,2022-06-15,17.5,17.9,17.5,17.7,1141009.0
IBP,2022-06-16,17.9,18.3,17.8,18.0,1249385.0
IBP,2022-06-19,18.1,18.1,17.7,17.8,714579.0
IBP,2022-06-20,17.8,17.8,17.5,17.5,702414.0
IBP,2022-06-21,17.4,17.5,17.2,17.3,311721.0
IBP,2022-06-22,17.6,17.6,17.1,17.3,324728.0
IBP,2022-06-23,17.6,17.6,17.3,17.5,179746.0
IBP,2022-06-26,17.5,17.7,17.4,17.4,193727.0
IBP,2022-06-27,17.2,17.6,17.2,17.5,215041.0
IBP,2022-06-28,17.6,17.7,17.5,17.5,330044.0
IBP,2022-06-29,17.5,18.1,17.5,17.9,1110064.0
IBP,2022-06-30,18.1,18.2,17.9,17.9,818565.0
IBP,2022-07-03,18.0,18.2,17.8,18.1,1033902.0
IBP,2022-07-04,18.2,18.8,18.1,18.6,2715885.0
IBP,2022-07-05,18.8,19.0,18.3,18.3,1429066.0
IBP,2022-07-06,18.5,18.5,18.0,18.1,947133.0
IBP,2022-07-07,18.0,18.4,17.9,18.3,877227.0
IBP,2022-07-12,18.2,18.3,18.1,18.2,505228.0
IBP,2022-07-13,18.2,18.6,18.2,18.3,879534.0
IBP,2022-07-14,18.1,18.4,18.0,18.2,592687.0
IBP,2022-07-17,18.1,18.3,17.9,18.0,487132.0
IBP,2022-07-18,17.9,18.0,17.7,17.7,369197.0
IBP,2022-07-19,17.4,17.5,17.4,17.4,409123.0
IBP,2022-07-20,17.2,17.7,17.2,17.6,355046.0
IBP,2022-07-21,17.8,17.9,17.3,17.3,597238.0
IBP,2022-07-24,17.5,17.5,17.0,17.0,373626.0
IBP,2022-07-25,16.7,17.5,16.7,17.4,395725.0
IBP,2022-07-26,17.5,17.7,17.1,17.2,425675.0
IBP,2022-07-27,17.1,17.2,16.9,16.9,477843.0
IBP,2022-07-28,16.7,17.0,16.6,16.7,381859.0
IBP,2022-07-31,17.0,17.3,17.0,17.2,306370.0
IBP,2022-08-01,17.1,17.6,17.1,17.4,853579.0
IBP,2022-08-02,17.4,17.8,17.4,17.5,592641.0
IBP,2022-08-03,17.5,18.0,17.5,17.5,958524.0
IBP,2022-08-04,17.7,18.1,17.3,18.0,1224630.0
IBP,2022-08-07,18.0,18.2,17.8,18.1,1041338.0
IBP,2022-08-08,18.0,18.5,18.0,18.2,1995034.0
IBP,2022-08-10,18.1,18.4,17.8,17.9,1194623.0
IBP,2022-08-11,18.1,18.1,17.5,17.7,311403.0
IBP,2022-08-14,17.8,17.9,17.6,17.8,307497.0
IBP,2022-08-16,18.0,18.1,17.7,18.0,893291.0
IBP,2022-08-17,18.1,18.5,17.8,17.9,1354778.0
IBP,2022-08-21,17.9,18.1,17.8,17.9,696094.0
IBP,2022-08-22,18.0,18.4,18.0,18.1,1495278.0
IBP,2022-08-23,18.1,18.5,18.0,18.1,1595851.0
IBP,2022-08-24,18.1,18.4,18.0,18.1,1254506.0
IBP,2022-08-25,18.3,18.4,18.0,18.1,1253792.0
IBP,2022-08-28,18.3,18.7,18.1,18.4,2782726.0
IBP,2022-08-29,18.6,18.7,18.3,18.3,1690151.0
IBP,2022-08-30,18.3,19.8,18.2,19.6,7361138.0
IBP,2022-08-31,20.0,21.0,19.7,20.7,7231340.0
IBP,2022-09-01,20.7,21.3,20.2,20.9,6660154.0
IBP,2022-09-04,21.4,22.9,21.3,22.9,11535382.0
IBP,2022-09-05,23.4,24.1,21.8,22.2,9741553.0
IBP,2022-09-06,22.4,23.5,22.1,23.2,8686050.0
IBP,2022-09-07,23.8,24.8,23.4,23.9,11190727.0
IBP,2022-09-08,24.0,24.0,21.9,22.4,5622545.0
IBP,2022-09-11,22.9,22.9,20.9,21.3,4540867.0
IBP,2022-09-12,21.2,22.7,20.6,22.4,2477477.0
IBP,2022-09-13,22.5,23.0,22.3,22.5,4049009.0
IBP,2022-09-14,22.7,22.7,21.1,21.3,2913510.0
IBP,2022-09-15,21.5,22.2,20.8,21.8,2297657.0
IBP,2022-09-18,22.5,22.5,21.3,21.5,2951316.0
IBP,2022-09-19,20.8,21.9,20.7,20.8,3268948.0
IBP,2022-09-20,20.9,22.8,20.8,22.3,7255570.0
IBP,2022-09-21,22.5,24.1,22.1,23.5,7302041.0
IBP,2022-09-22,23.9,24.4,22.8,22.9,4971573.0
IBP,2022-09-25,23.0,23.0,21.8,22.0,4681034.0
IBP,2022-09-26,22.4,22.6,21.9,22.0,1855408.0
IBP,2022-09-27,22.0,22.6,22.0,22.1,2720702.0
IBP,2022-09-28,22.4,22.4,21.0,21.1,2575721.0
IBP,2022-09-29,21.5,21.9,21.1,21.3,1879518.0
IBP,2022-10-02,21.3,21.8,21.2,21.3,1473173.0
IBP,2022-10-03,21.5,22.2,21.2,21.8,3020350.0
IBP,2022-10-04,22.0,22.1,21.3,21.4,1484748.0
IBP,2022-10-06,21.2,21.9,20.8,21.0,1787447.0
IBP,2022-10-10,21.4,23.1,19.6,23.1,8973413.0
IBP,2022-10-11,25.4,25.4,23.8,25.1,15942349.0
IBP,2022-10-12,26.7,27.4,24.9,26.9,12135797.0
IBP,2022-10-13,26.6,28.7,25.8,27.4,11254686.0
IBP,2022-10-16,27.5,27.5,24.7,24.9,9808983.0
IBP,2022-10-17,24.6,26.5,23.3,23.6,8659984.0
IBP,2022-10-18,23.6,24.5,22.6,23.0,4664912.0
IBP,2022-10-19,23.4,23.8,20.7,20.9,5696417.0
IBP,2022-10-20,20.9,22.9,20.5,22.5,3768051.0
IBP,2022-10-23,22.9,23.8,20.3,20.4,5000866.0
IBP,2022-10-24,20.5,21.3,20.2,21.0,1856275.0
IBP,2022-10-25,21.3,22.5,21.2,21.7,3149827.0
IBP,2022-10-26,22.0,22.6,21.3,21.8,3953419.0
IBP,2022-10-27,21.8,22.3,20.8,21.0,3496757.0
IBP,2022-10-30,20.7,20.8,18.9,18.9,2930286.0
IBP,2022-10-31,18.9,19.6,17.2,18.4,2623002.0
IBP,2022-11-01,18.2,19.5,17.9,19.0,1788137.0
IBP,2022-11-02,19.1,19.5,18.3,18.6,3112454.0
IBP,2022-11-03,18.6,20.4,18.4,20.4,4389886.0
IBP,2022-11-06,21.0,21.6,19.9,20.5,3188167.0
IBP,2022-11-07,20.2,20.3,18.7,18.9,2946762.0
IBP,2022-11-08,17.0,18.2,17.0,17.2,6346068.0
