symbol,date,open,high,low,close,volume
ICB,2022-01-02,124.5,125.3,121.8,122.4,51081.0
ICB,2022-01-03,122.1,123.5,120.6,122.0,81067.0
ICB,2022-01-04,122.0,124.7,121.8,122.6,58275.0
ICB,2022-01-05,121.8,129.0,121.7,127.4,223703.0
ICB,2022-01-06,128.0,130.5,125.4,129.4,202539.0
ICB,2022-01-09,130.9,130.9,126.4,127.0,126929.0
ICB,2022-01-10,128.9,135.0,126.4,133.7,302411.0
ICB,2022-01-11,134.0,138.8,133.0,134.3,403157.0
ICB,2022-01-12,135.1,135.1,128.0,130.5,254552.0
ICB,2022-01-13,131.9,135.0,129.1,130.0,74145.0
ICB,2022-01-16,130.1,135.0,129.4,130.5,182707.0
ICB,2022-01-17,130.6,131.2,128.1,128.5,107008.0
ICB,2022-01-18,131.7,131.7,127.2,128.2,135494.0
ICB,2022-01-19,132.6,132.6,128.2,128.5,90392.0
ICB,2022-01-20,128.0,130.0,126.0,126.9,100252.0
ICB,2022-01-23,127.1,129.0,125.2,127.3,60191.0
ICB,2022-01-24,128.5,130.2,124.4,124.8,90443.0
ICB,2022-01-25,127.3,133.6,127.1,132.5,403719.0
ICB,2022-01-26,133.0,137.5,132.4,136.4,534410.0
ICB,2022-01-27,134.7,143.8,134.7,143.1,701792.0
ICB,2022-01-30,141.9,141.9,130.5,134.7,589197.0
ICB,2022-01-31,133.1,133.1,129.2,129.8,166121.0
ICB,2022-02-01,130.3,130.9,126.9,129.3,136233.0
ICB,2022-02-02,130.0,132.9,127.2,127.7,145886.0
ICB,2022-02-03,127.4,129.9,125.7,127.0,167262.0
ICB,2022-02-06,126.4,130.9,126.1,126.8,110820.0
ICB,2022-02-07,126.2,128.9,125.5,126.0,106515.0
ICB,2022-02-08,127.5,132.0,127.5,129.0,147944.0
ICB,2022-02-09,130.3,131.7,128.2,128.7,72812.0
ICB,2022-02-10,128.2,130.4,128.0,128.4,52444.0
ICB,2022-02-13,129.7,129.9,127.0,127.3,49150.0
ICB,2022-02-14,129.8,129.8,126.2,127.3,68043.0
ICB,2022-02-15,127.3,128.0,125.4,125.6,67956.0
ICB,2022-02-16,129.9,130.6,127.0,127.1,51069.0
ICB,2022-02-17,125.8,125.8,119.9,123.3,240018.0
ICB,2022-02-20,122.0,122.1,119.5,119.9,117675.0
ICB,2022-02-22,120.0,120.2,118.4,118.9,120656.0
ICB,2022-02-23,119.0,121.0,118.9,119.6,94832.0
ICB,2022-02-24,119.1,119.2,115.6,116.0,163661.0
ICB,2022-02-27,116.0,117.9,112.4,113.0,115248.0
ICB,2022-02-28,117.0,117.0,113.5,113.7,88165.0
ICB,2022-03-01,116.6,116.6,112.5,113.1,96286.0
ICB,2022-03-02,113.3,113.9,110.5,110.8,90062.0
ICB,2022-03-03,110.8,111.5,108.3,108.6,89393.0
ICB,2022-03-06,110.5,111.7,106.7,107.6,53844.0
ICB,2022-03-07,108.1,108.8,102.8,103.0,146363.0
ICB,2022-03-08,105.9,105.9,100.3,102.0,188977.0
ICB,2022-03-09,107.7,112.2,105.0,111.0,232900.0
ICB,2022-03-10,112.5,116.0,110.0,112.6,157732.0
ICB,2022-03-13,112.0,115.8,112.0,114.0,90624.0
ICB,2022-03-14,116.4,118.0,113.5,113.9,92978.0
ICB,2022-03-15,116.2,116.2,114.1,114.3,51240.0
ICB,2022-03-16,114.0,114.2,112.1,112.1,97970.0
ICB,2022-03-20,110.5,110.5,109.9,109.9,32575.0
ICB,2022-03-21,108.1,108.9,107.8,107.9,92672.0
ICB,2022-03-22,107.0,109.5,106.7,108.4,257399.0
ICB,2022-03-23,108.4,109.6,106.3,106.7,143277.0
ICB,2022-03-24,107.8,107.8,104.6,105.6,82445.0
ICB,2022-03-27,106.4,106.4,104.3,104.6,79251.0
ICB,2022-03-28,105.7,105.7,102.6,102.9,241906.0
ICB,2022-03-29,105.9,106.5,103.5,105.1,231665.0
ICB,2022-03-30,106.2,106.4,104.5,105.3,86516.0
ICB,2022-03-31,104.9,105.8,104.5,105.5,70541.0
ICB,2022-04-03,105.7,108.7,105.1,107.1,246421.0
ICB,2022-04-04,107.1,108.6,105.9,106.8,75979.0
ICB,2022-04-05,107.0,107.0,104.7,105.1,78190.0
ICB,2022-04-06,105.6,106.5,104.0,104.3,36959.0
ICB,2022-04-07,104.7,106.3,103.0,103.2,76323.0
ICB,2022-04-10,103.5,104.9,103.2,103.4,99907.0
ICB,2022-04-11,103.6,105.0,103.0,103.2,114624.0
ICB,2022-04-12,102.9,102.9,101.2,101.3,74957.0
ICB,2022-04-13,100.3,102.0,99.3,100.0,95474.0
ICB,2022-04-17,100.0,102.0,99.1,99.5,41531.0
ICB,2022-04-18,98.6,99.1,97.6,97.7,61427.0
ICB,2022-04-19,96.0,97.7,95.8,96.9,163251.0
ICB,2022-04-20,100.0,100.0,98.6,99.6,87228.0
