symbol,date,open,high,low,close,volume
ICBEPMF1S1,2022-01-02,7.2,7.4,7.2,7.4,27539.0
ICBEPMF1S1,2022-01-03,7.3,7.5,7.1,7.4,311701.0
ICBEPMF1S1,2022-01-04,7.3,7.4,7.2,7.2,29794.0
ICBEPMF1S1,2022-01-05,7.3,7.4,7.3,7.3,17010.0
ICBEPMF1S1,2022-01-06,7.2,7.4,7.2,7.3,11675.0
ICBEPMF1S1,2022-01-09,7.3,7.4,7.3,7.3,77926.0
ICBEPMF1S1,2022-01-10,7.3,7.5,7.2,7.4,493430.0
ICBEPMF1S1,2022-01-11,7.5,8.1,7.5,8.0,1869514.0
ICBEPMF1S1,2022-01-12,7.9,8.1,7.8,8.0,803978.0
ICBEPMF1S1,2022-01-13,7.9,8.1,7.8,8.0,308542.0
ICBEPMF1S1,2022-01-16,8.0,8.3,7.9,8.1,692054.0
ICBEPMF1S1,2022-01-17,8.3,8.4,8.0,8.1,628651.0
ICBEPMF1S1,2022-01-18,7.8,8.3,7.8,8.0,19801.0
ICBEPMF1S1,2022-01-19,7.9,7.9,7.7,7.8,331517.0
ICBEPMF1S1,2022-01-20,7.7,7.7,7.6,7.7,132261.0
ICBEPMF1S1,2022-01-23,7.6,7.7,7.6,7.6,68850.0
ICBEPMF1S1,2022-01-24,7.5,7.6,7.3,7.3,767246.0
ICBEPMF1S1,2022-01-25,7.4,7.5,7.3,7.4,411406.0
ICBEPMF1S1,2022-01-26,7.7,7.8,7.4,7.5,245135.0
ICBEPMF1S1,2022-01-27,7.4,7.5,7.4,7.4,53600.0
ICBEPMF1S1,2022-01-30,7.4,7.4,7.2,7.3,155800.0
ICBEPMF1S1,2022-01-31,7.2,7.3,7.2,7.2,284000.0
ICBEPMF1S1,2022-02-01,7.3,7.3,7.2,7.3,33000.0
ICBEPMF1S1,2022-02-02,7.3,7.4,7.3,7.4,14704.0
ICBEPMF1S1,2022-02-03,7.4,7.4,7.3,7.3,12551.0
ICBEPMF1S1,2022-02-06,7.5,7.5,7.3,7.4,70860.0
ICBEPMF1S1,2022-02-07,7.3,7.4,7.3,7.4,26830.0
ICBEPMF1S1,2022-02-08,7.5,7.5,7.4,7.4,120546.0
ICBEPMF1S1,2022-02-09,7.5,7.5,7.4,7.5,23149.0
ICBEPMF1S1,2022-02-10,7.7,8.0,7.5,7.5,1050677.0
ICBEPMF1S1,2022-02-13,7.5,7.5,7.5,7.5,27500.0
ICBEPMF1S1,2022-02-14,7.6,7.6,7.4,7.5,74891.0
ICBEPMF1S1,2022-02-15,7.4,7.5,7.3,7.4,45710.0
ICBEPMF1S1,2022-02-16,7.4,7.5,7.3,7.3,91286.0
ICBEPMF1S1,2022-02-17,7.3,7.4,7.1,7.2,131100.0
ICBEPMF1S1,2022-02-20,7.3,7.3,7.2,7.2,10618.0
ICBEPMF1S1,2022-02-22,7.2,7.4,7.1,7.2,36635.0
ICBEPMF1S1,2022-02-23,7.2,7.2,7.2,7.2,17170.0
ICBEPMF1S1,2022-02-24,7.3,7.3,7.2,7.3,39375.0
ICBEPMF1S1,2022-02-27,7.2,7.2,6.8,7.0,188713.0
ICBEPMF1S1,2022-02-28,6.9,7.3,6.9,7.1,14824.0
ICBEPMF1S1,2022-03-01,7.2,7.3,7.1,7.2,48346.0
ICBEPMF1S1,2022-03-02,7.2,7.2,7.0,7.1,70601.0
ICBEPMF1S1,2022-03-03,7.0,7.1,7.0,7.0,40727.0
ICBEPMF1S1,2022-03-06,7.0,7.2,7.0,7.0,296709.0
ICBEPMF1S1,2022-03-07,7.1,7.1,6.9,7.0,481500.0
ICBEPMF1S1,2022-03-08,6.9,7.1,6.9,6.9,60805.0
ICBEPMF1S1,2022-03-09,7.1,7.1,7.0,7.0,23600.0
ICBEPMF1S1,2022-03-10,7.2,7.2,7.0,7.2,145000.0
ICBEPMF1S1,2022-03-13,7.3,7.3,7.1,7.2,75655.0
ICBEPMF1S1,2022-03-14,7.2,7.3,7.2,7.2,135813.0
ICBEPMF1S1,2022-03-15,7.3,7.7,7.3,7.7,785693.0
ICBEPMF1S1,2022-03-16,7.6,7.8,7.6,7.7,80202.0
ICBEPMF1S1,2022-03-20,7.6,8.0,7.6,7.8,473370.0
ICBEPMF1S1,2022-03-21,7.9,7.9,7.7,7.9,77000.0
ICBEPMF1S1,2022-03-22,7.8,7.8,7.8,7.8,128600.0
ICBEPMF1S1,2022-03-23,7.8,7.8,7.7,7.7,114921.0
ICBEPMF1S1,2022-03-24,7.6,7.6,7.6,7.6,12900.0
ICBEPMF1S1,2022-03-27,7.5,7.6,7.5,7.5,30210.0
ICBEPMF1S1,2022-03-28,7.4,7.8,7.4,7.7,279081.0
ICBEPMF1S1,2022-03-29,7.8,7.8,7.7,7.7,19510.0
ICBEPMF1S1,2022-03-30,7.8,7.8,7.6,7.7,141585.0
ICBEPMF1S1,2022-03-31,7.6,7.7,7.6,7.7,3710.0
ICBEPMF1S1,2022-04-03,7.7,7.7,7.6,7.6,25289.0
ICBEPMF1S1,2022-04-04,7.6,7.6,7.5,7.5,2317.0
ICBEPMF1S1,2022-04-05,7.4,7.4,7.4,7.4,40787.0
ICBEPMF1S1,2022-04-06,7.3,7.3,7.3,7.3,212513.0
ICBEPMF1S1,2022-04-07,7.3,7.3,7.3,7.3,32257.0
ICBEPMF1S1,2022-04-10,7.3,7.3,7.3,7.3,1500.0
ICBEPMF1S1,2022-04-11,7.2,7.3,7.2,7.3,7500.0
ICBEPMF1S1,2022-04-12,7.4,7.4,7.3,7.3,14001.0
ICBEPMF1S1,2022-04-13,7.3,7.3,7.2,7.3,88743.0
ICBEPMF1S1,2022-04-17,7.2,7.3,7.2,7.2,1562.0
ICBEPMF1S1,2022-04-18,7.2,7.2,7.2,7.2,1010.0
ICBEPMF1S1,2022-04-19,7.3,7.4,7.3,7.4,2500.0
ICBEPMF1S1,2022-04-20,7.3,7.3,7.3,7.3,8226.0
ICBEPMF1S1,2022-04-21,7.4,7.4,7.4,7.4,40104.0
ICBEPMF1S1,2022-04-24,7.4,7.5,7.4,7.4,3100.0
ICBEPMF1S1,2022-04-25,7.3,7.5,7.3,7.5,16700.0
ICBEPMF1S1,2022-04-26,7.4,7.4,7.3,7.4,50501.0
ICBEPMF1S1,2022-04-27,7.4,7.5,7.4,7.4,32830.0
ICBEPMF1S1,2022-04-28,7.3,7.4,7.3,7.3,33000.0
ICBEPMF1S1,2022-05-05,7.3,7.5,7.3,7.4,1000.0
ICBEPMF1S1,2022-05-08,7.3,7.4,7.3,7.4,6900.0
ICBEPMF1S1,2022-05-09,7.3,7.5,7.3,7.4,28501.0
ICBEPMF1S1,2022-05-10,7.3,7.5,7.3,7.4,6520.0
ICBEPMF1S1,2022-05-11,7.4,7.4,7.3,7.4,5296.0
ICBEPMF1S1,2022-05-12,7.2,7.2,7.2,7.2,58700.0
ICBEPMF1S1,2022-05-16,7.2,7.2,6.9,7.0,138270.0
ICBEPMF1S1,2022-05-17,7.1,7.1,7.1,7.1,22.0
ICBEPMF1S1,2022-05-18,6.8,7.2,6.8,7.0,42655.0
ICBEPMF1S1,2022-05-19,6.9,7.0,6.9,6.9,13500.0
ICBEPMF1S1,2022-05-22,6.9,6.9,6.6,6.7,241033.0
ICBEPMF1S1,2022-05-23,6.7,6.9,6.7,6.8,1400.0
ICBEPMF1S1,2022-05-24,7.3,7.3,6.8,7.0,20322.0
ICBEPMF1S1,2022-05-25,6.8,6.8,6.7,6.8,147328.0
ICBEPMF1S1,2022-05-26,7.0,7.0,6.7,6.8,56967.0
ICBEPMF1S1,2022-05-29,6.9,7.0,6.9,7.0,23890.0
ICBEPMF1S1,2022-05-30,6.9,7.1,6.9,7.0,41517.0
ICBEPMF1S1,2022-05-31,7.1,7.1,7.0,7.1,114205.0
ICBEPMF1S1,2022-06-01,7.0,7.1,7.0,7.1,20200.0
ICBEPMF1S1,2022-06-02,7.1,7.1,7.0,7.1,22080.0
ICBEPMF1S1,2022-06-05,7.1,7.1,7.0,7.1,87150.0
ICBEPMF1S1,2022-06-06,7.1,7.1,7.0,7.1,167897.0
ICBEPMF1S1,2022-06-07,7.1,7.1,7.0,7.1,23180.0
ICBEPMF1S1,2022-06-08,7.1,7.6,7.0,7.4,359349.0
ICBEPMF1S1,2022-06-09,7.5,7.5,7.3,7.5,107705.0
ICBEPMF1S1,2022-06-12,7.4,7.4,7.4,7.4,18600.0
ICBEPMF1S1,2022-06-13,7.3,7.3,7.3,7.3,2515.0
ICBEPMF1S1,2022-06-14,7.2,7.3,7.2,7.2,90494.0
ICBEPMF1S1,2022-06-15,7.4,7.4,7.1,7.2,28266.0
ICBEPMF1S1,2022-06-16,7.2,7.3,7.1,7.2,18500.0
ICBEPMF1S1,2022-06-19,7.1,7.3,7.1,7.2,7769.0
ICBEPMF1S1,2022-06-20,7.2,7.2,7.1,7.2,57244.0
ICBEPMF1S1,2022-06-21,7.2,7.3,7.1,7.2,38719.0
ICBEPMF1S1,2022-06-22,7.1,7.2,7.1,7.1,12403.0
ICBEPMF1S1,2022-06-23,7.2,7.2,7.1,7.1,126849.0
ICBEPMF1S1,2022-06-26,7.1,7.2,7.0,7.1,11665.0
ICBEPMF1S1,2022-06-27,7.1,7.1,7.1,7.1,500.0
ICBEPMF1S1,2022-06-28,7.2,7.3,7.1,7.3,91409.0
ICBEPMF1S1,2022-06-29,7.3,7.4,7.2,7.2,115787.0
ICBEPMF1S1,2022-06-30,7.3,7.4,7.2,7.2,31296.0
ICBEPMF1S1,2022-07-03,7.2,7.2,7.1,7.2,56778.0
ICBEPMF1S1,2022-07-04,7.2,7.2,7.1,7.1,109783.0
ICBEPMF1S1,2022-07-05,7.2,7.2,7.1,7.2,89883.0
ICBEPMF1S1,2022-07-06,7.1,7.2,7.1,7.2,109383.0
ICBEPMF1S1,2022-07-07,7.1,7.3,7.1,7.2,15612.0
ICBEPMF1S1,2022-07-12,7.1,7.7,7.1,7.6,305255.0
ICBEPMF1S1,2022-07-13,7.6,7.6,7.5,7.5,4000.0
ICBEPMF1S1,2022-07-14,7.4,7.4,7.4,7.4,600.0
ICBEPMF1S1,2022-07-17,7.3,7.3,7.3,7.3,3719.0
ICBEPMF1S1,2022-07-18,7.2,7.2,7.2,7.2,62521.0
ICBEPMF1S1,2022-07-19,7.1,7.2,7.1,7.1,41203.0
ICBEPMF1S1,2022-07-20,7.1,7.2,7.1,7.1,2373.0
ICBEPMF1S1,2022-07-21,7.1,7.1,7.0,7.1,20588.0
ICBEPMF1S1,2022-07-24,7.2,7.2,7.1,7.1,8224.0
ICBEPMF1S1,2022-07-25,7.1,7.2,7.1,7.2,20409.0
ICBEPMF1S1,2022-07-26,7.2,7.3,7.1,7.3,61476.0
ICBEPMF1S1,2022-07-27,7.2,7.2,7.2,7.2,11466.0
ICBEPMF1S1,2022-07-28,7.1,7.1,7.1,7.1,25201.0
ICBEPMF1S1,2022-07-31,7.2,7.3,7.1,7.2,82319.0
ICBEPMF1S1,2022-08-01,7.3,7.3,7.1,7.2,8500.0
ICBEPMF1S1,2022-08-02,7.2,7.3,7.2,7.2,59427.0
ICBEPMF1S1,2022-08-03,7.3,7.5,7.2,7.5,219805.0
ICBEPMF1S1,2022-08-04,7.2,7.3,7.1,7.2,228804.0
ICBEPMF1S1,2022-08-07,7.1,7.2,7.1,7.1,190691.0
ICBEPMF1S1,2022-08-08,7.1,7.3,7.1,7.1,128826.0
ICBEPMF1S1,2022-08-10,7.1,7.2,7.1,7.1,25218.0
ICBEPMF1S1,2022-08-11,7.2,7.3,7.1,7.2,65697.0
ICBEPMF1S1,2022-08-14,7.1,7.3,7.1,7.1,4617.0
ICBEPMF1S1,2022-08-16,7.2,7.2,7.1,7.2,95629.0
ICBEPMF1S1,2022-08-17,7.2,7.2,7.1,7.2,40223.0
ICBEPMF1S1,2022-08-21,7.1,7.1,7.1,7.1,76521.0
ICBEPMF1S1,2022-08-22,7.1,7.2,7.1,7.1,253573.0
ICBEPMF1S1,2022-08-23,7.2,7.2,7.1,7.1,27500.0
ICBEPMF1S1,2022-08-24,7.1,7.1,7.1,7.1,11185.0
ICBEPMF1S1,2022-08-25,7.1,7.1,7.1,7.1,22575.0
ICBEPMF1S1,2022-08-28,7.1,7.1,7.1,7.1,8004.0
ICBEPMF1S1,2022-08-29,7.1,7.1,7.1,7.1,13450.0
ICBEPMF1S1,2022-08-30,7.1,7.1,7.1,7.1,11665.0
ICBEPMF1S1,2022-08-31,7.1,7.1,7.1,7.1,181285.0
ICBEPMF1S1,2022-09-01,7.1,7.2,7.1,7.1,69990.0
ICBEPMF1S1,2022-09-04,7.1,7.2,7.1,7.2,113578.0
ICBEPMF1S1,2022-09-06,7.1,7.1,7.1,7.1,207.0
ICBEPMF1S1,2022-09-11,7.1,7.1,7.1,7.1,1010.0
ICBEPMF1S1,2022-09-21,7.1,7.1,7.1,7.1,2682.0
ICBEPMF1S1,2022-09-22,7.1,7.1,7.1,7.1,4500.0
ICBEPMF1S1,2022-09-28,7.1,7.1,7.1,7.1,2000.0
ICBEPMF1S1,2022-10-04,7.1,7.1,7.1,7.1,1000.0
ICBEPMF1S1,2022-10-06,7.1,7.1,7.1,7.1,1000.0
ICBEPMF1S1,2022-10-13,7.1,7.1,7.1,7.1,100.0
ICBEPMF1S1,2022-10-17,7.1,7.1,7.1,7.1,400.0
ICBEPMF1S1,2022-10-19,7.1,7.1,7.1,7.1,1.0
ICBEPMF1S1,2022-10-30,7.1,7.1,7.1,7.1,9.0
ICBEPMF1S1,2022-11-01,7.1,7.1,7.1,7.1,600.0
ICBEPMF1S1,2022-11-08,7.1,7.1,7.1,7.1,5.0
ICBEPMF1S1,2022-11-14,7.1,7.1,7.1,7.1,1.0
ICBEPMF1S1,2022-11-27,7.1,7.1,7.1,7.1,5.0
ICBEPMF1S1,2022-12-12,7.1,7.1,7.1,7.1,4336.0
ICBEPMF1S1,2022-12-13,7.1,7.1,7.1,7.1,10.0
ICBEPMF1S1,2022-12-22,7.1,7.1,7.1,7.1,101.0
ICBEPMF1S1,2023-01-05,7.1,7.1,7.1,7.1,25.0
ICBEPMF1S1,2023-01-10,7.1,7.1,7.1,7.1,900.0
ICBEPMF1S1,2023-01-18,7.1,7.1,7.1,7.1,1.0
ICBEPMF1S1,2023-01-19,7.1,7.1,7.1,7.1,9.0
ICBEPMF1S1,2023-01-22,7.1,7.1,7.1,7.1,100.0
ICBEPMF1S1,2023-01-24,7.1,7.1,7.1,7.1,10.0
ICBEPMF1S1,2023-02-13,7.1,7.1,7.1,7.1,14900.0
ICBEPMF1S1,2023-02-16,7.1,7.1,7.1,7.1,10000.0
ICBEPMF1S1,2023-05-03,7.1,7.1,7.1,7.1,5.0
ICBEPMF1S1,2023-05-08,7.1,7.1,7.1,7.1,1.0
ICBEPMF1S1,2023-05-21,7.1,7.1,7.1,7.1,20.0
ICBEPMF1S1,2023-05-24,7.1,7.1,7.1,7.1,30.0
ICBEPMF1S1,2023-05-29,7.1,7.1,7.1,7.1,1600.0
ICBEPMF1S1,2023-05-30,7.1,7.1,7.1,7.1,16700.0
ICBEPMF1S1,2023-05-31,7.1,7.1,7.1,7.1,500.0
ICBEPMF1S1,2023-06-05,7.1,7.1,7.1,7.1,85.0
