symbol,date,open,high,low,close,volume
ICBSONALI1,2022-01-02,7.9,8.0,7.9,8.0,50646.0
ICBSONALI1,2022-01-03,8.0,8.2,8.0,8.1,19973.0
ICBSONALI1,2022-01-04,8.1,8.1,8.0,8.0,25714.0
ICBSONALI1,2022-01-05,8.1,8.1,7.6,7.7,230214.0
ICBSONALI1,2022-01-06,7.9,8.1,7.8,7.8,24296.0
ICBSONALI1,2022-01-09,7.9,8.0,7.9,8.0,6766.0
ICBSONALI1,2022-01-10,7.9,8.1,7.9,8.1,221350.0
ICBSONALI1,2022-01-11,8.0,8.3,8.0,8.2,121479.0
ICBSONALI1,2022-01-12,8.1,8.3,8.1,8.2,6661.0
ICBSONALI1,2022-01-13,8.1,8.3,8.1,8.2,5103.0
ICBSONALI1,2022-01-16,8.3,8.3,8.0,8.1,32203.0
ICBSONALI1,2022-01-17,8.1,8.2,8.1,8.1,17300.0
ICBSONALI1,2022-01-18,8.2,8.2,8.1,8.1,14158.0
ICBSONALI1,2022-01-19,8.1,8.2,7.9,8.0,17461.0
ICBSONALI1,2022-01-20,8.1,8.3,8.1,8.1,5002.0
ICBSONALI1,2022-01-23,8.1,8.1,8.0,8.0,22006.0
ICBSONALI1,2022-01-24,8.0,8.0,7.9,8.0,14755.0
ICBSONALI1,2022-01-25,8.0,8.0,8.0,8.0,22158.0
ICBSONALI1,2022-01-26,7.9,8.1,7.9,8.0,12535.0
ICBSONALI1,2022-01-27,8.0,8.0,8.0,8.0,1012.0
ICBSONALI1,2022-01-30,8.0,8.1,7.9,7.9,2251.0
ICBSONALI1,2022-01-31,7.9,8.0,7.5,7.6,172834.0
ICBSONALI1,2022-02-01,8.1,8.1,7.8,8.1,19671.0
ICBSONALI1,2022-02-02,8.1,8.2,8.1,8.2,163510.0
ICBSONALI1,2022-02-03,8.2,8.2,8.0,8.0,23095.0
ICBSONALI1,2022-02-06,8.0,8.2,8.0,8.1,1705.0
ICBSONALI1,2022-02-07,8.2,8.2,8.0,8.2,21886.0
ICBSONALI1,2022-02-08,8.1,8.2,8.1,8.2,11036.0
ICBSONALI1,2022-02-09,8.2,8.2,8.1,8.1,7612.0
ICBSONALI1,2022-02-10,8.0,8.2,8.0,8.0,24002.0
ICBSONALI1,2022-02-13,8.0,8.1,8.0,8.0,2283.0
ICBSONALI1,2022-02-14,8.1,8.1,7.9,8.0,30751.0
