symbol,date,open,high,low,close,volume
IDLC,2022-01-02,60.2,61.2,60.2,60.5,118471.0
IDLC,2022-01-03,61.0,61.2,59.7,59.9,203463.0
IDLC,2022-01-04,60.7,60.7,59.8,59.9,147866.0
IDLC,2022-01-05,60.0,61.8,60.0,60.9,295755.0
IDLC,2022-01-06,61.9,61.9,61.0,61.1,361597.0
IDLC,2022-01-09,61.2,61.3,60.1,60.2,427961.0
IDLC,2022-01-10,61.0,61.0,59.1,59.7,408983.0
IDLC,2022-01-11,60.6,61.9,59.2,60.7,540251.0
IDLC,2022-01-12,60.6,61.0,60.1,60.6,330854.0
IDLC,2022-01-13,59.6,61.7,59.6,60.5,132695.0
IDLC,2022-01-16,60.3,61.5,59.8,59.9,524164.0
IDLC,2022-01-17,61.0,61.0,59.8,60.2,253130.0
IDLC,2022-01-18,60.9,61.5,60.6,60.9,287869.0
IDLC,2022-01-19,61.8,61.8,60.3,61.0,149268.0
IDLC,2022-01-20,61.5,61.5,60.8,61.0,187719.0
IDLC,2022-01-23,60.6,61.4,60.3,60.9,214946.0
IDLC,2022-01-24,61.0,61.5,60.1,60.4,165482.0
IDLC,2022-01-25,60.2,60.7,60.0,60.2,228304.0
IDLC,2022-01-26,61.0,61.4,59.8,60.0,341840.0
IDLC,2022-01-27,61.3,61.3,58.7,59.1,884405.0
IDLC,2022-01-30,60.4,61.0,59.2,59.8,175161.0
IDLC,2022-01-31,59.2,60.3,58.8,59.1,432143.0
IDLC,2022-02-01,60.0,60.7,59.4,59.8,86774.0
IDLC,2022-02-02,60.4,60.4,59.2,59.3,127372.0
IDLC,2022-02-03,59.9,60.2,59.4,59.7,104324.0
IDLC,2022-02-06,60.1,61.1,59.1,60.7,327059.0
IDLC,2022-02-07,60.1,61.4,60.1,60.8,200300.0
IDLC,2022-02-08,60.8,62.4,60.8,61.2,1048578.0
IDLC,2022-02-09,61.7,61.7,60.2,60.5,423086.0
IDLC,2022-02-10,61.0,62.4,60.4,60.6,607017.0
IDLC,2022-02-13,60.9,61.0,60.0,60.5,324678.0
IDLC,2022-02-14,60.6,60.7,58.8,59.0,794716.0
IDLC,2022-02-15,59.0,59.0,57.5,57.7,598600.0
IDLC,2022-02-16,58.3,58.7,56.9,57.2,632691.0
IDLC,2022-02-17,57.5,57.5,56.7,56.9,222281.0
IDLC,2022-02-20,57.5,57.5,55.7,56.2,288538.0
IDLC,2022-02-22,55.3,56.9,55.3,56.5,191526.0
IDLC,2022-02-23,56.5,57.4,56.2,56.9,186961.0
IDLC,2022-02-24,56.9,57.5,56.0,56.1,290714.0
IDLC,2022-02-27,56.1,56.3,52.8,54.6,419486.0
IDLC,2022-02-28,55.9,55.9,54.9,55.8,171919.0
IDLC,2022-03-01,55.8,56.4,55.5,55.5,127077.0
IDLC,2022-03-02,56.0,56.0,54.6,55.4,207847.0
IDLC,2022-03-03,55.5,55.9,54.4,55.1,375519.0
IDLC,2022-03-06,55.1,55.7,54.8,55.0,232881.0
IDLC,2022-03-07,55.0,55.1,53.1,53.3,414363.0
IDLC,2022-03-09,52.0,52.0,50.1,50.7,1137798.0
IDLC,2022-03-10,51.0,51.9,50.5,50.8,733396.0
IDLC,2022-03-13,51.0,52.7,51.0,52.1,287579.0
IDLC,2022-03-14,52.1,52.7,51.9,52.5,458197.0
IDLC,2022-03-15,52.5,52.8,52.0,52.5,400773.0
IDLC,2022-03-16,52.3,52.7,51.5,52.1,174640.0
IDLC,2022-03-20,52.1,52.1,51.1,51.6,185116.0
IDLC,2022-03-21,51.3,51.4,50.6,51.0,181897.0
IDLC,2022-03-22,51.3,51.7,51.2,51.5,116703.0
IDLC,2022-03-23,51.8,51.9,51.0,51.1,152382.0
