symbol,date,open,high,low,close,volume
IFADAUTOS,2022-01-02,47.6,49.5,47.1,48.5,238905.0
IFADAUTOS,2022-01-03,49.7,49.7,48.0,48.6,168550.0
IFADAUTOS,2022-01-04,48.3,49.1,47.9,48.2,158969.0
IFADAUTOS,2022-01-05,48.3,50.6,48.1,49.1,305249.0
IFADAUTOS,2022-01-06,49.1,51.5,48.7,50.7,564434.0
IFADAUTOS,2022-01-09,51.0,51.7,48.1,48.5,540158.0
IFADAUTOS,2022-01-10,48.5,50.0,48.1,49.6,536787.0
IFADAUTOS,2022-01-11,50.3,54.5,50.0,54.3,2574316.0
IFADAUTOS,2022-01-12,55.2,55.2,52.0,52.3,601081.0
IFADAUTOS,2022-01-13,52.5,53.4,51.5,53.1,458091.0
IFADAUTOS,2022-01-16,53.8,53.8,51.8,52.1,592368.0
IFADAUTOS,2022-01-17,52.2,52.9,51.3,51.5,424298.0
IFADAUTOS,2022-01-18,51.6,52.4,50.4,51.1,336756.0
IFADAUTOS,2022-01-19,51.0,51.3,50.2,50.5,337768.0
IFADAUTOS,2022-01-20,50.5,51.5,50.0,50.2,331314.0
IFADAUTOS,2022-01-23,50.0,50.1,49.0,49.3,224591.0
IFADAUTOS,2022-01-24,49.4,49.4,48.4,48.6,167128.0
IFADAUTOS,2022-01-25,48.6,49.5,48.4,49.2,183263.0
IFADAUTOS,2022-01-26,49.4,50.9,49.3,50.4,266217.0
IFADAUTOS,2022-01-27,50.4,50.9,49.9,50.6,217405.0
IFADAUTOS,2022-01-30,50.8,50.8,49.2,50.3,198840.0
IFADAUTOS,2022-01-31,49.7,50.8,49.3,49.5,268993.0
IFADAUTOS,2022-02-01,48.5,49.0,47.4,48.4,580846.0
IFADAUTOS,2022-02-02,48.6,49.6,48.5,48.8,278505.0
IFADAUTOS,2022-02-03,48.9,50.0,48.1,48.4,363427.0
IFADAUTOS,2022-02-06,48.7,49.0,47.9,48.1,329087.0
IFADAUTOS,2022-02-07,48.1,48.6,48.0,48.1,214973.0
IFADAUTOS,2022-02-08,48.1,48.5,47.6,47.8,276288.0
IFADAUTOS,2022-02-09,47.8,48.4,47.6,47.8,153786.0
IFADAUTOS,2022-02-10,47.7,48.4,47.7,48.0,265574.0
IFADAUTOS,2022-02-13,48.0,48.7,47.9,48.1,230625.0
