symbol,date,open,high,low,close,volume
IFIC,2022-01-02,17.3,18.4,17.2,18.2,16914261.0
IFIC,2022-01-03,18.5,18.9,17.9,18.1,12007028.0
IFIC,2022-01-04,18.0,18.2,17.8,17.9,7799645.0
IFIC,2022-01-05,18.0,18.3,17.9,18.1,8199121.0
IFIC,2022-01-06,18.2,18.7,18.2,18.4,11208000.0
IFIC,2022-01-09,18.5,18.6,17.9,18.0,7534544.0
IFIC,2022-01-10,18.0,18.1,17.7,17.8,7122778.0
IFIC,2022-01-11,17.9,18.2,17.7,17.8,9000389.0
IFIC,2022-01-12,18.0,18.0,17.7,17.7,6252102.0
IFIC,2022-01-13,17.7,17.9,17.5,17.6,4409562.0
IFIC,2022-01-16,17.7,17.9,17.3,17.5,6639822.0
IFIC,2022-01-17,17.5,17.7,17.3,17.5,7709325.0
IFIC,2022-01-18,17.7,17.8,17.4,17.5,5791265.0
IFIC,2022-01-19,17.5,17.7,17.4,17.6,5188914.0
IFIC,2022-01-20,17.6,17.8,17.4,17.5,4746485.0
IFIC,2022-01-23,17.6,17.6,17.2,17.3,4337503.0
IFIC,2022-01-24,17.4,17.4,17.0,17.1,4215392.0
IFIC,2022-01-25,17.1,17.3,17.1,17.2,2923604.0
IFIC,2022-01-26,17.2,17.4,17.0,17.2,3370446.0
IFIC,2022-01-27,17.2,17.4,17.1,17.2,2724251.0
IFIC,2022-01-30,17.2,17.2,16.8,16.9,4592218.0
IFIC,2022-01-31,16.9,17.0,16.7,16.8,3520046.0
IFIC,2022-02-01,16.8,17.0,16.7,16.9,3046112.0
IFIC,2022-02-02,16.9,17.0,16.8,16.8,2394411.0
IFIC,2022-02-03,16.8,17.3,16.7,17.2,5163665.0
IFIC,2022-02-06,17.4,17.4,17.1,17.2,3531804.0
IFIC,2022-02-07,17.2,17.2,16.9,17.0,2756161.0
IFIC,2022-02-08,17.0,17.3,16.9,17.1,3470218.0
IFIC,2022-02-09,17.2,17.2,17.0,17.1,2701781.0
IFIC,2022-02-10,17.2,17.3,17.0,17.1,3296098.0
