symbol,date,open,high,low,close,volume
IFILISLMF1,2022-01-02,6.4,6.4,6.3,6.4,25358.0
IFILISLMF1,2022-01-03,6.4,6.5,6.4,6.5,74543.0
IFILISLMF1,2022-01-04,6.5,6.5,6.5,6.5,25465.0
IFILISLMF1,2022-01-05,6.5,6.6,6.4,6.5,80726.0
IFILISLMF1,2022-01-06,6.5,6.5,6.5,6.5,30000.0
IFILISLMF1,2022-01-09,6.5,6.5,6.5,6.5,110137.0
IFILISLMF1,2022-01-10,6.5,6.7,6.4,6.5,508951.0
IFILISLMF1,2022-01-11,6.6,6.7,6.5,6.7,482298.0
IFILISLMF1,2022-01-12,6.6,6.7,6.5,6.5,28332.0
IFILISLMF1,2022-01-13,6.6,6.8,6.6,6.7,152605.0
IFILISLMF1,2022-01-16,6.7,6.8,6.7,6.7,181623.0
IFILISLMF1,2022-01-17,6.7,6.8,6.7,6.7,15615.0
IFILISLMF1,2022-01-18,6.8,6.9,6.7,6.9,548064.0
IFILISLMF1,2022-01-19,6.8,7.0,6.8,7.0,323626.0
IFILISLMF1,2022-01-20,6.9,7.0,6.8,6.8,39327.0
IFILISLMF1,2022-01-23,6.7,6.7,6.7,6.7,14426.0
IFILISLMF1,2022-01-24,6.7,6.7,6.7,6.7,37206.0
IFILISLMF1,2022-01-25,6.7,7.0,6.7,6.9,509010.0
IFILISLMF1,2022-01-26,6.9,7.0,6.9,7.0,375936.0
IFILISLMF1,2022-01-27,6.9,7.0,6.9,7.0,285393.0
IFILISLMF1,2022-01-30,6.8,7.0,6.7,6.8,26557.0
IFILISLMF1,2022-01-31,6.9,7.0,6.8,7.0,910933.0
IFILISLMF1,2022-02-01,6.9,7.0,6.9,7.0,320519.0
IFILISLMF1,2022-02-02,6.9,6.9,6.7,6.8,33112.0
IFILISLMF1,2022-02-03,7.0,7.0,6.8,7.0,352913.0
IFILISLMF1,2022-02-06,6.9,7.0,6.8,6.9,21001.0
IFILISLMF1,2022-02-07,6.8,7.0,6.8,7.0,162037.0
IFILISLMF1,2022-02-08,7.0,7.1,6.9,7.1,197087.0
IFILISLMF1,2022-02-09,6.9,7.0,6.9,7.0,13200.0
IFILISLMF1,2022-02-10,6.9,7.0,6.9,7.0,89477.0
IFILISLMF1,2022-02-13,7.0,7.0,6.9,6.9,7400.0
IFILISLMF1,2022-02-14,6.9,6.9,6.8,6.9,6723.0
IFILISLMF1,2022-02-15,6.9,7.0,6.8,6.9,58495.0
IFILISLMF1,2022-02-16,6.8,6.9,6.8,6.9,2000.0
IFILISLMF1,2022-02-17,6.9,6.9,6.8,6.9,87167.0
IFILISLMF1,2022-02-20,6.8,6.8,6.8,6.8,2115.0
IFILISLMF1,2022-02-22,6.9,6.9,6.8,6.9,10855.0
IFILISLMF1,2022-02-23,6.9,7.0,6.8,7.0,17128.0
IFILISLMF1,2022-02-24,6.9,6.9,6.7,6.8,85501.0
IFILISLMF1,2022-02-27,6.7,6.8,6.7,6.7,76072.0
IFILISLMF1,2022-02-28,6.7,6.8,6.7,6.7,28555.0
