symbol,date,open,high,low,close,volume
ILFSL,2022-01-02,6.7,6.9,6.5,6.8,559193.0
ILFSL,2022-01-03,6.9,7.1,6.8,7.0,397217.0
ILFSL,2022-01-04,7.0,7.0,6.8,6.9,396659.0
ILFSL,2022-01-05,6.9,7.2,6.9,7.0,450111.0
ILFSL,2022-01-06,7.1,7.3,6.9,7.0,381085.0
ILFSL,2022-01-09,7.0,7.0,6.7,6.8,445586.0
ILFSL,2022-01-10,6.9,6.9,6.7,6.8,363848.0
ILFSL,2022-01-11,6.9,7.0,6.7,6.8,649931.0
ILFSL,2022-01-12,6.9,6.9,6.6,6.7,405032.0
ILFSL,2022-01-13,6.7,6.8,6.6,6.6,343407.0
ILFSL,2022-01-16,6.6,6.7,6.4,6.6,775202.0
ILFSL,2022-01-17,6.7,6.7,6.6,6.6,343566.0
ILFSL,2022-01-18,6.6,6.8,6.6,6.7,475585.0
ILFSL,2022-01-19,6.7,6.8,6.5,6.6,398510.0
ILFSL,2022-01-20,6.6,6.7,6.6,6.6,449424.0
ILFSL,2022-01-23,6.6,6.7,6.5,6.6,325021.0
ILFSL,2022-01-24,6.6,6.7,6.4,6.5,324008.0
ILFSL,2022-01-25,6.5,6.6,6.4,6.4,289623.0
ILFSL,2022-01-26,6.4,6.7,6.4,6.5,284974.0
ILFSL,2022-01-27,6.6,6.7,6.5,6.6,296051.0
ILFSL,2022-01-30,6.7,6.7,6.4,6.4,549336.0
ILFSL,2022-01-31,6.4,6.5,6.4,6.4,201264.0
ILFSL,2022-02-01,6.4,6.5,6.3,6.3,273180.0
ILFSL,2022-02-02,6.4,6.5,6.1,6.3,934664.0
ILFSL,2022-02-03,6.4,6.4,6.2,6.4,332161.0
ILFSL,2022-02-06,6.4,6.5,6.3,6.4,260673.0
ILFSL,2022-02-07,6.4,6.5,6.2,6.3,254743.0
ILFSL,2022-02-08,6.4,6.8,6.3,6.7,1410663.0
ILFSL,2022-02-09,6.7,6.9,6.6,6.7,414248.0
ILFSL,2022-02-10,6.7,6.8,6.5,6.6,481504.0
ILFSL,2022-02-13,6.6,6.7,6.5,6.6,281818.0
ILFSL,2022-02-14,6.6,6.8,6.6,6.6,641035.0
ILFSL,2022-02-15,6.6,6.7,6.5,6.5,181624.0
ILFSL,2022-02-16,6.5,6.5,6.4,6.5,280014.0
ILFSL,2022-02-17,6.5,6.5,6.4,6.4,237353.0
ILFSL,2022-02-20,6.4,6.4,6.2,6.3,380338.0
ILFSL,2022-02-22,6.3,6.4,6.2,6.4,280545.0
ILFSL,2022-02-23,6.4,6.4,6.2,6.3,291416.0
ILFSL,2022-02-24,6.2,6.3,6.1,6.1,341701.0
ILFSL,2022-02-27,6.1,6.1,5.6,5.8,630186.0
ILFSL,2022-02-28,5.8,6.1,5.8,5.9,257653.0
ILFSL,2022-03-01,6.0,6.1,5.9,5.9,298142.0
ILFSL,2022-03-02,6.0,6.0,5.7,5.8,438703.0
ILFSL,2022-03-03,5.7,5.9,5.6,5.8,215567.0
ILFSL,2022-03-06,5.9,5.9,5.7,5.7,269398.0
ILFSL,2022-03-07,5.8,5.8,5.6,5.6,243939.0
ILFSL,2022-03-08,5.6,5.7,5.5,5.6,142496.0
ILFSL,2022-03-09,5.8,5.9,5.7,5.9,199660.0
ILFSL,2022-03-10,5.9,6.2,5.9,6.1,386692.0
ILFSL,2022-03-13,6.1,6.3,6.1,6.3,163365.0
ILFSL,2022-03-14,6.3,6.3,6.2,6.2,697699.0
