symbol,date,open,high,low,close,volume
ISLAMIBANK,2022-01-02,32.2,32.6,32.1,32.4,130435.0
ISLAMIBANK,2022-01-03,32.8,32.8,32.0,32.0,125118.0
ISLAMIBANK,2022-01-04,32.0,32.5,32.0,32.0,130167.0
ISLAMIBANK,2022-01-05,32.1,32.2,32.0,32.0,233450.0
ISLAMIBANK,2022-01-06,32.3,32.5,32.1,32.3,206067.0
ISLAMIBANK,2022-01-09,32.6,32.6,32.0,32.0,197505.0
ISLAMIBANK,2022-01-10,32.1,32.4,32.0,32.1,155579.0
ISLAMIBANK,2022-01-11,32.3,32.5,32.0,32.1,218451.0
ISLAMIBANK,2022-01-12,32.2,32.3,32.0,32.1,196778.0
ISLAMIBANK,2022-01-13,32.0,32.2,32.0,32.0,225747.0
ISLAMIBANK,2022-01-16,32.0,32.2,32.0,32.0,385481.0
ISLAMIBANK,2022-01-17,32.1,32.2,32.0,32.0,139476.0
ISLAMIBANK,2022-01-18,32.1,32.2,32.0,32.0,213229.0
ISLAMIBANK,2022-01-19,32.0,32.2,32.0,32.0,190641.0
ISLAMIBANK,2022-01-20,32.0,32.4,32.0,32.2,365912.0
ISLAMIBANK,2022-01-23,32.1,32.2,32.0,32.0,129528.0
ISLAMIBANK,2022-01-24,32.2,32.3,31.9,32.2,130379.0
ISLAMIBANK,2022-01-25,32.2,33.2,32.2,32.9,513177.0
ISLAMIBANK,2022-01-26,32.6,33.0,32.4,32.9,175747.0
ISLAMIBANK,2022-01-27,32.8,33.0,32.5,32.5,347035.0
ISLAMIBANK,2022-01-30,32.4,32.7,32.4,32.5,143924.0
ISLAMIBANK,2022-01-31,32.4,32.6,32.4,32.5,240068.0
ISLAMIBANK,2022-02-01,32.8,32.8,32.5,32.5,147608.0
ISLAMIBANK,2022-02-02,35.4,35.4,32.5,32.7,144120.0
ISLAMIBANK,2022-02-03,33.0,33.0,32.5,32.9,173970.0
ISLAMIBANK,2022-02-06,32.7,32.8,32.5,32.6,106308.0
ISLAMIBANK,2022-02-07,32.7,33.0,32.5,33.0,15289334.0
ISLAMIBANK,2022-02-08,33.2,33.5,32.7,33.1,17476888.0
ISLAMIBANK,2022-02-09,33.2,33.2,32.8,32.9,276095.0
ISLAMIBANK,2022-02-10,32.9,33.1,32.3,32.5,453690.0
ISLAMIBANK,2022-02-13,32.5,32.9,32.4,32.5,332089.0
ISLAMIBANK,2022-02-14,32.8,32.9,32.6,32.7,332762.0
ISLAMIBANK,2022-02-15,32.5,32.7,32.4,32.5,542414.0
ISLAMIBANK,2022-02-16,32.5,32.6,32.5,32.5,208227.0
ISLAMIBANK,2022-02-17,32.6,32.6,32.3,32.5,439719.0
ISLAMIBANK,2022-02-20,32.2,32.6,32.1,32.5,621523.0
ISLAMIBANK,2022-02-22,32.4,32.6,32.4,32.5,150643.0
ISLAMIBANK,2022-02-23,32.4,32.6,32.4,32.5,745053.0
ISLAMIBANK,2022-02-24,32.4,32.6,32.4,32.5,516142.0
ISLAMIBANK,2022-02-27,32.4,32.5,32.3,32.4,2161401.0
ISLAMIBANK,2022-02-28,32.3,32.6,32.3,32.6,1807952.0
ISLAMIBANK,2022-03-01,32.4,32.6,32.4,32.5,1066616.0
ISLAMIBANK,2022-03-02,32.5,32.6,32.4,32.5,288916.0
ISLAMIBANK,2022-03-03,32.5,32.5,32.4,32.5,312681.0
ISLAMIBANK,2022-03-06,32.5,32.6,32.4,32.5,130275.0
ISLAMIBANK,2022-03-07,32.4,32.6,32.3,32.5,529037.0
ISLAMIBANK,2022-03-08,32.4,32.5,32.3,32.5,417258.0
ISLAMIBANK,2022-03-09,32.5,32.6,32.4,32.5,132462.0
ISLAMIBANK,2022-03-10,32.4,32.7,32.4,32.6,101109.0
ISLAMIBANK,2022-03-13,32.6,32.8,32.5,32.6,41045.0
ISLAMIBANK,2022-03-14,32.5,32.6,32.4,32.5,461126.0
ISLAMIBANK,2022-03-15,32.5,32.6,32.5,32.5,77455.0
ISLAMIBANK,2022-03-16,32.5,32.6,32.5,32.5,75782.0
ISLAMIBANK,2022-03-20,32.5,32.6,32.5,32.5,114096.0
ISLAMIBANK,2022-03-21,32.5,32.5,32.5,32.5,138166.0
ISLAMIBANK,2022-03-22,32.4,32.6,32.4,32.5,50850.0
ISLAMIBANK,2022-03-23,32.5,32.6,32.4,32.5,331444.0
ISLAMIBANK,2022-03-24,32.5,32.6,32.5,32.5,555621.0
ISLAMIBANK,2022-03-27,32.5,32.6,32.5,32.5,55683.0
ISLAMIBANK,2022-03-28,32.5,32.6,32.5,32.5,69267.0
ISLAMIBANK,2022-03-29,32.5,32.8,32.5,32.8,110408.0
ISLAMIBANK,2022-03-30,32.6,32.8,32.5,32.6,41745.0
ISLAMIBANK,2022-03-31,32.5,33.0,32.5,32.8,279771.0
ISLAMIBANK,2022-04-03,32.6,32.7,32.5,32.6,133302.0
ISLAMIBANK,2022-04-04,32.5,32.7,32.5,32.5,306477.0
ISLAMIBANK,2022-04-05,32.5,32.7,32.4,32.5,241253.0
ISLAMIBANK,2022-04-06,32.4,32.6,32.4,32.5,261891.0
ISLAMIBANK,2022-04-07,32.4,32.6,32.3,32.5,571155.0
ISLAMIBANK,2022-04-10,32.4,32.5,32.3,32.4,226404.0
ISLAMIBANK,2022-04-11,32.3,32.6,32.3,32.5,532795.0
ISLAMIBANK,2022-04-12,32.4,32.6,32.4,32.5,693650.0
ISLAMIBANK,2022-04-13,32.5,32.6,32.4,32.5,305826.0
ISLAMIBANK,2022-04-17,32.5,32.6,32.5,32.6,346430.0
ISLAMIBANK,2022-04-18,32.5,32.6,32.5,32.6,462854.0
ISLAMIBANK,2022-04-19,32.5,32.7,32.5,32.7,294947.0
ISLAMIBANK,2022-04-20,32.5,32.9,32.5,32.7,160286.0
ISLAMIBANK,2022-04-21,32.8,32.9,32.5,32.6,177202.0
ISLAMIBANK,2022-04-24,32.6,32.9,32.6,32.9,305190.0
ISLAMIBANK,2022-04-25,32.9,32.9,32.7,32.9,251658.0
ISLAMIBANK,2022-04-26,32.7,33.2,32.7,33.0,420728.0
ISLAMIBANK,2022-04-27,32.6,32.6,32.4,32.5,606021.0
ISLAMIBANK,2022-04-28,32.4,32.7,32.4,32.6,709855.0
ISLAMIBANK,2022-05-05,32.4,32.6,32.4,32.6,113167.0
ISLAMIBANK,2022-05-08,32.5,32.7,32.5,32.6,426644.0
ISLAMIBANK,2022-05-09,32.5,33.0,32.5,33.0,718955.0
ISLAMIBANK,2022-05-10,32.8,33.0,32.6,33.0,973738.0
ISLAMIBANK,2022-05-11,32.6,33.0,32.5,33.0,684954.0
ISLAMIBANK,2022-05-12,32.8,33.0,32.7,33.0,1012962.0
ISLAMIBANK,2022-05-16,32.5,33.0,32.5,32.9,866433.0
ISLAMIBANK,2022-05-17,32.6,33.1,32.6,33.0,719619.0
ISLAMIBANK,2022-05-18,32.6,34.5,32.6,34.4,15017335.0
ISLAMIBANK,2022-05-19,33.1,34.5,32.7,34.2,10053194.0
ISLAMIBANK,2022-05-22,33.0,33.5,33.0,33.1,121920.0
ISLAMIBANK,2022-05-23,33.9,33.9,32.6,32.8,214912.0
ISLAMIBANK,2022-05-24,32.5,33.5,32.5,33.0,759044.0
ISLAMIBANK,2022-05-25,33.0,33.0,32.3,32.5,439761.0
ISLAMIBANK,2022-05-29,32.3,32.3,31.9,31.9,212606.0
ISLAMIBANK,2022-05-30,31.4,32.0,31.3,31.9,331591.0
ISLAMIBANK,2022-05-31,31.9,32.5,31.9,32.3,481742.0
ISLAMIBANK,2022-06-01,31.9,32.0,31.7,32.0,65205.0
ISLAMIBANK,2022-06-02,32.0,32.3,31.8,31.9,249962.0
ISLAMIBANK,2022-06-05,31.8,32.0,31.7,31.8,139713.0
ISLAMIBANK,2022-06-06,32.0,32.2,31.7,31.9,113181.0
ISLAMIBANK,2022-06-07,31.8,32.0,31.8,31.9,64035.0
ISLAMIBANK,2022-06-08,32.0,32.4,31.7,32.3,631502.0
ISLAMIBANK,2022-06-09,32.3,32.5,32.2,32.4,291552.0
ISLAMIBANK,2022-06-12,32.0,32.5,32.0,32.2,125373.0
ISLAMIBANK,2022-06-13,32.1,32.5,32.0,32.4,423048.0
ISLAMIBANK,2022-06-14,32.4,32.5,32.1,32.4,354370.0
ISLAMIBANK,2022-06-15,32.4,32.5,32.1,32.3,372243.0
ISLAMIBANK,2022-06-16,32.2,33.0,32.2,32.7,620167.0
ISLAMIBANK,2022-06-19,32.4,32.6,32.3,32.5,471593.0
ISLAMIBANK,2022-06-20,32.3,32.7,32.2,32.6,514978.0
ISLAMIBANK,2022-06-21,32.3,32.6,32.3,32.5,710493.0
ISLAMIBANK,2022-06-22,33.4,33.4,32.5,32.8,414477.0
ISLAMIBANK,2022-06-23,32.8,33.2,32.6,32.8,128689.0
ISLAMIBANK,2022-06-26,32.6,32.8,32.5,32.7,193706.0
ISLAMIBANK,2022-06-27,32.7,32.9,32.6,32.7,189212.0
ISLAMIBANK,2022-06-28,32.8,33.0,32.8,33.0,311640.0
ISLAMIBANK,2022-06-29,33.0,33.0,32.5,32.9,226923.0
ISLAMIBANK,2022-06-30,32.9,33.0,32.6,32.9,268650.0
ISLAMIBANK,2022-07-03,32.9,32.9,32.4,32.6,52789.0
ISLAMIBANK,2022-07-04,32.4,32.5,32.3,32.4,165847.0
ISLAMIBANK,2022-07-05,31.9,32.5,31.9,32.3,102064.0
ISLAMIBANK,2022-07-06,32.2,32.3,32.2,32.3,85724.0
ISLAMIBANK,2022-07-07,31.9,32.3,31.9,32.2,22572.0
ISLAMIBANK,2022-07-12,32.2,32.5,32.2,32.4,26212.0
