symbol,date,open,high,low,close,volume
ISLAMIINS,2022-01-02,65.4,65.7,64.2,65.4,316899.0
ISLAMIINS,2022-01-03,66.1,66.9,64.2,64.7,435749.0
ISLAMIINS,2022-01-04,65.5,66.5,64.9,65.2,318158.0
ISLAMIINS,2022-01-05,65.5,67.3,65.1,66.1,574353.0
ISLAMIINS,2022-01-06,67.0,67.0,65.0,65.4,389167.0
ISLAMIINS,2022-01-09,66.2,66.2,64.5,64.7,197414.0
ISLAMIINS,2022-01-10,64.6,65.5,63.7,63.8,321457.0
ISLAMIINS,2022-01-11,63.8,65.0,63.5,63.7,322752.0
ISLAMIINS,2022-01-12,63.5,64.9,62.7,62.9,239578.0
ISLAMIINS,2022-01-13,63.2,63.5,61.8,62.0,247497.0
ISLAMIINS,2022-01-16,63.8,64.0,62.4,62.6,226581.0
ISLAMIINS,2022-01-17,63.0,65.0,62.7,63.8,239428.0
ISLAMIINS,2022-01-18,63.8,64.2,62.6,62.8,224821.0
ISLAMIINS,2022-01-19,62.8,63.9,62.0,62.4,227027.0
ISLAMIINS,2022-01-20,63.3,63.3,61.9,62.2,200584.0
ISLAMIINS,2022-01-23,63.0,63.7,62.9,63.4,220250.0
ISLAMIINS,2022-01-24,63.8,64.0,62.1,62.3,160196.0
ISLAMIINS,2022-01-25,63.3,63.5,62.1,62.2,151916.0
ISLAMIINS,2022-01-26,62.9,62.9,62.1,62.3,116257.0
ISLAMIINS,2022-01-27,62.9,62.9,61.8,61.9,201501.0
ISLAMIINS,2022-01-30,61.6,62.9,61.6,62.4,152570.0
ISLAMIINS,2022-01-31,62.4,63.3,62.2,62.3,183838.0
ISLAMIINS,2022-02-01,63.0,63.0,62.0,62.4,104524.0
ISLAMIINS,2022-02-02,62.3,62.8,62.1,62.6,175360.0
ISLAMIINS,2022-02-03,62.8,63.4,62.5,62.6,113215.0
ISLAMIINS,2022-02-06,63.0,65.8,63.0,63.8,374844.0
ISLAMIINS,2022-02-07,64.2,65.8,63.5,65.3,511811.0
ISLAMIINS,2022-02-08,65.8,66.6,64.5,64.9,413681.0
ISLAMIINS,2022-02-09,65.8,65.8,63.8,64.3,169731.0
ISLAMIINS,2022-02-10,63.6,64.3,63.6,63.9,115695.0
ISLAMIINS,2022-02-13,64.4,64.4,62.8,63.3,189073.0
ISLAMIINS,2022-02-14,63.8,64.0,62.9,63.1,168617.0
ISLAMIINS,2022-02-15,62.9,63.1,62.4,62.5,104037.0
ISLAMIINS,2022-02-16,63.4,63.4,62.2,62.3,102454.0
ISLAMIINS,2022-02-17,63.2,63.2,60.0,60.7,347763.0
ISLAMIINS,2022-02-20,62.3,62.3,58.5,58.8,188016.0
ISLAMIINS,2022-02-22,59.0,59.5,57.5,57.8,179546.0
ISLAMIINS,2022-02-23,58.8,59.4,58.3,58.6,43234.0
ISLAMIINS,2022-02-24,59.6,59.6,56.5,57.2,116078.0
ISLAMIINS,2022-02-27,57.0,57.0,54.2,54.4,109325.0
ISLAMIINS,2022-02-28,55.6,58.0,55.6,57.4,157685.0
ISLAMIINS,2022-03-01,58.2,58.4,56.6,56.8,124150.0
ISLAMIINS,2022-03-02,58.0,58.0,55.0,55.8,81355.0
ISLAMIINS,2022-03-03,55.4,56.5,55.4,56.0,53296.0
ISLAMIINS,2022-03-06,55.8,56.1,54.9,55.0,71972.0
ISLAMIINS,2022-03-07,55.0,55.0,51.2,51.5,123326.0
ISLAMIINS,2022-03-08,53.2,53.2,48.1,50.6,192492.0
ISLAMIINS,2022-03-09,53.7,55.4,51.0,55.0,176785.0
ISLAMIINS,2022-03-10,56.3,58.0,54.4,54.6,282877.0
ISLAMIINS,2022-03-13,54.7,55.7,54.4,55.4,93366.0
ISLAMIINS,2022-03-14,55.5,55.7,54.7,55.1,92575.0
ISLAMIINS,2022-03-15,55.6,55.6,54.1,54.2,83274.0
ISLAMIINS,2022-03-16,53.8,54.0,53.2,53.4,104376.0
ISLAMIINS,2022-03-20,53.5,53.5,52.4,52.5,42328.0
ISLAMIINS,2022-03-21,53.4,53.4,52.0,52.9,27396.0
ISLAMIINS,2022-03-22,53.1,53.4,52.5,52.9,46852.0
ISLAMIINS,2022-03-23,53.4,53.7,52.3,52.3,61671.0
