symbol,date,open,high,low,close,volume
ISNLTD,2022-01-02,41.0,43.7,41.0,42.4,101214.0
ISNLTD,2022-01-03,43.0,43.2,42.5,42.6,155606.0
ISNLTD,2022-01-04,42.3,43.9,42.3,43.4,188078.0
ISNLTD,2022-01-05,43.6,44.3,42.5,42.7,160035.0
ISNLTD,2022-01-06,43.8,43.8,41.6,42.2,124002.0
ISNLTD,2022-01-09,42.2,43.6,40.9,41.2,103927.0
ISNLTD,2022-01-10,42.8,45.3,41.7,45.3,442287.0
ISNLTD,2022-01-11,49.5,49.8,47.0,47.5,732721.0
ISNLTD,2022-01-12,48.0,48.0,44.5,45.1,301335.0
ISNLTD,2022-01-13,44.8,46.5,44.4,44.8,163484.0
ISNLTD,2022-01-16,45.2,46.8,44.8,45.0,168878.0
ISNLTD,2022-01-17,46.9,47.0,43.4,44.1,217721.0
ISNLTD,2022-01-18,44.8,45.7,43.9,44.1,115696.0
ISNLTD,2022-01-19,45.0,45.0,43.3,44.0,126137.0
ISNLTD,2022-01-20,43.5,45.0,43.2,43.4,146888.0
ISNLTD,2022-01-23,43.1,44.2,42.5,42.7,121734.0
ISNLTD,2022-01-24,42.6,43.0,42.0,42.2,88805.0
ISNLTD,2022-01-25,42.5,43.5,42.2,42.4,114695.0
ISNLTD,2022-01-26,43.5,43.8,42.4,42.8,68194.0
ISNLTD,2022-01-27,43.0,43.7,42.2,42.5,40554.0
ISNLTD,2022-01-30,43.7,43.7,41.8,42.1,74418.0
ISNLTD,2022-01-31,43.4,43.4,41.0,41.6,75254.0
ISNLTD,2022-02-01,42.3,45.7,42.3,45.7,343494.0
ISNLTD,2022-02-02,48.0,48.0,45.5,46.4,573242.0
ISNLTD,2022-02-03,45.4,48.3,45.1,45.3,204514.0
ISNLTD,2022-02-06,46.0,46.7,44.5,45.2,111258.0
ISNLTD,2022-02-07,45.1,46.0,43.0,43.3,300814.0
ISNLTD,2022-02-08,44.6,44.9,43.0,43.5,91866.0
ISNLTD,2022-02-09,44.6,44.6,43.1,44.0,88578.0
ISNLTD,2022-02-10,44.4,44.5,43.1,43.3,116042.0
ISNLTD,2022-02-13,44.0,44.4,43.7,44.1,116921.0
ISNLTD,2022-02-14,44.5,45.0,43.1,43.4,76393.0
ISNLTD,2022-02-15,44.0,44.0,42.5,42.8,144942.0
ISNLTD,2022-02-16,42.5,44.6,42.5,44.1,144367.0
ISNLTD,2022-02-17,44.1,45.4,43.9,44.7,175962.0
ISNLTD,2022-02-20,44.8,47.8,44.7,47.2,594011.0
ISNLTD,2022-02-22,47.7,48.8,45.9,46.2,403607.0
ISNLTD,2022-02-23,45.7,46.4,45.1,45.4,258767.0
ISNLTD,2022-02-24,45.1,45.8,43.6,43.7,176714.0
ISNLTD,2022-02-27,43.6,43.6,41.0,41.9,192433.0
ISNLTD,2022-02-28,43.5,43.5,42.1,43.0,95317.0
ISNLTD,2022-03-01,42.8,44.2,42.5,42.8,99949.0
ISNLTD,2022-03-02,43.5,43.5,42.0,42.2,66150.0
ISNLTD,2022-03-03,42.0,43.1,42.0,42.4,42181.0
ISNLTD,2022-03-06,43.4,43.4,42.6,42.9,57983.0
ISNLTD,2022-03-07,42.3,43.1,40.8,41.1,175337.0
ISNLTD,2022-03-08,42.7,43.4,40.8,42.7,161130.0
ISNLTD,2022-03-09,42.7,44.0,42.6,43.4,168483.0
ISNLTD,2022-03-10,44.1,46.9,42.8,45.4,306737.0
ISNLTD,2022-03-13,46.7,47.0,44.8,45.0,225613.0
ISNLTD,2022-03-14,45.0,45.5,44.2,44.6,138857.0
ISNLTD,2022-03-15,45.5,48.4,45.2,46.6,545104.0
ISNLTD,2022-03-16,46.9,48.6,46.0,46.4,626545.0
ISNLTD,2022-03-20,47.6,47.6,45.5,45.5,138359.0
ISNLTD,2022-03-21,44.7,45.9,44.6,44.7,245020.0
ISNLTD,2022-03-22,45.1,46.1,44.2,45.6,232726.0
ISNLTD,2022-03-23,46.5,46.5,44.7,44.7,176034.0
ISNLTD,2022-03-24,45.2,45.5,44.5,44.7,115785.0
ISNLTD,2022-03-27,45.0,45.8,44.1,44.3,188037.0
ISNLTD,2022-03-28,44.6,45.3,44.3,45.1,110167.0
ISNLTD,2022-03-29,45.2,45.5,44.5,44.7,80010.0
ISNLTD,2022-03-30,44.5,45.3,44.3,44.4,85560.0
ISNLTD,2022-03-31,44.9,45.2,44.4,45.0,122581.0
ISNLTD,2022-04-03,45.0,45.5,44.2,44.3,111507.0
ISNLTD,2022-04-04,44.1,44.7,43.8,43.9,85262.0
ISNLTD,2022-04-05,43.3,43.9,43.2,43.3,71439.0
ISNLTD,2022-04-06,43.4,43.6,42.6,43.2,112436.0
ISNLTD,2022-04-07,43.1,43.7,43.0,43.3,39847.0
ISNLTD,2022-04-10,43.3,43.8,42.8,43.6,45687.0
ISNLTD,2022-04-11,43.6,44.5,43.6,44.2,64647.0
ISNLTD,2022-04-12,43.7,43.9,43.4,43.4,46464.0
ISNLTD,2022-04-13,42.6,43.6,42.6,43.2,58851.0
ISNLTD,2022-04-17,43.9,43.9,42.8,42.8,12943.0
ISNLTD,2022-04-18,42.0,42.4,42.0,42.0,50681.0
ISNLTD,2022-04-19,41.3,43.5,41.3,43.2,36780.0
ISNLTD,2022-04-20,43.9,43.9,42.5,42.8,43249.0
ISNLTD,2022-04-21,42.9,44.6,42.9,43.3,62095.0
ISNLTD,2022-04-24,43.0,44.0,42.5,42.9,34748.0
ISNLTD,2022-04-25,42.6,43.2,42.6,42.8,45710.0
ISNLTD,2022-04-26,42.8,43.5,42.2,42.8,34326.0
ISNLTD,2022-04-27,42.9,44.0,42.9,43.5,46768.0
ISNLTD,2022-04-28,43.2,43.7,42.8,43.1,62708.0
ISNLTD,2022-05-05,43.8,46.5,43.7,46.1,257446.0
ISNLTD,2022-05-08,46.9,47.8,45.0,45.8,255375.0
ISNLTD,2022-05-09,45.8,46.9,45.1,46.4,168871.0
ISNLTD,2022-05-10,46.5,47.3,44.7,45.2,229279.0
ISNLTD,2022-05-11,44.7,45.5,43.8,44.0,109894.0
ISNLTD,2022-05-12,44.8,44.8,43.2,43.4,90387.0
ISNLTD,2022-05-16,43.4,43.4,42.8,42.9,139610.0
ISNLTD,2022-05-17,43.3,43.6,42.5,43.1,91569.0
ISNLTD,2022-05-18,43.2,44.5,42.5,42.7,93901.0
ISNLTD,2022-05-19,42.7,43.7,42.0,42.8,58825.0
ISNLTD,2022-05-22,42.8,43.0,42.5,42.7,112842.0
ISNLTD,2022-05-23,43.1,44.0,42.8,43.3,58148.0
ISNLTD,2022-05-24,43.3,43.9,42.9,43.3,37056.0
ISNLTD,2022-05-25,43.5,43.5,42.8,43.0,24382.0
ISNLTD,2022-05-26,42.8,43.3,42.8,42.9,25730.0
ISNLTD,2022-05-29,42.9,44.8,42.9,43.4,37493.0
ISNLTD,2022-05-30,44.0,44.5,43.1,43.3,54412.0
ISNLTD,2022-05-31,43.6,43.9,43.0,43.2,102291.0
ISNLTD,2022-06-01,44.3,45.5,43.5,44.9,172130.0
ISNLTD,2022-06-02,45.1,46.1,44.6,45.4,207487.0
ISNLTD,2022-06-05,45.9,45.9,44.6,44.9,110858.0
ISNLTD,2022-06-06,44.4,45.3,44.1,44.3,59984.0
ISNLTD,2022-06-07,44.7,44.7,43.5,43.6,94964.0
ISNLTD,2022-06-08,43.3,44.3,43.3,44.0,57554.0
ISNLTD,2022-06-09,44.0,44.3,43.4,43.6,35295.0
ISNLTD,2022-06-12,44.0,46.9,43.6,46.5,461781.0
ISNLTD,2022-06-13,46.7,47.4,45.7,45.7,133398.0
ISNLTD,2022-06-14,45.9,46.4,44.8,45.0,183101.0
ISNLTD,2022-06-15,48.0,48.0,44.6,45.4,192810.0
ISNLTD,2022-06-16,46.6,47.4,45.9,46.8,301636.0
ISNLTD,2022-06-19,47.2,51.0,47.0,48.2,568459.0
ISNLTD,2022-06-20,48.7,48.8,47.3,47.9,189598.0
ISNLTD,2022-06-21,47.6,49.6,47.6,48.7,314372.0
ISNLTD,2022-06-22,49.8,53.5,49.0,53.5,1137982.0
ISNLTD,2022-06-23,54.5,57.0,52.6,53.1,718612.0
ISNLTD,2022-06-26,52.9,54.7,52.1,52.1,719510.0
ISNLTD,2022-06-27,52.4,52.4,51.1,51.1,386097.0
ISNLTD,2022-06-28,50.4,52.7,50.3,51.4,355044.0
ISNLTD,2022-06-29,52.4,55.5,51.7,55.0,734735.0
