symbol,date,open,high,low,close,volume
ITC,2022-01-02,32.7,33.7,32.7,33.3,22083.0
ITC,2022-01-03,34.2,34.4,33.5,33.9,38180.0
ITC,2022-01-04,33.5,35.4,33.5,35.1,282132.0
ITC,2022-01-05,35.3,35.5,34.9,35.0,90643.0
ITC,2022-01-06,35.4,35.4,34.7,34.8,138836.0
ITC,2022-01-09,34.4,35.3,34.3,34.5,72662.0
ITC,2022-01-10,34.3,36.2,34.1,36.0,207970.0
ITC,2022-01-11,35.8,37.4,35.3,36.3,161735.0
ITC,2022-01-12,36.9,36.9,35.9,35.9,177406.0
ITC,2022-01-13,35.6,36.5,35.5,35.9,32483.0
ITC,2022-01-16,36.5,36.5,35.0,36.0,90600.0
ITC,2022-01-17,36.0,36.9,35.2,36.5,144635.0
ITC,2022-01-18,35.9,36.3,34.6,34.9,152846.0
ITC,2022-01-19,34.1,35.1,34.0,34.2,157251.0
ITC,2022-01-20,34.2,35.8,33.9,34.5,86908.0
ITC,2022-01-23,34.4,34.5,33.5,33.9,157700.0
ITC,2022-01-24,34.4,34.4,33.1,33.2,84463.0
ITC,2022-01-25,33.3,33.9,33.0,33.2,45406.0
ITC,2022-01-26,33.1,34.5,33.1,34.2,58352.0
ITC,2022-01-27,34.9,34.9,33.8,34.0,32820.0
ITC,2022-01-30,33.8,34.7,33.5,33.6,23226.0
ITC,2022-01-31,33.9,34.0,32.3,32.6,185677.0
ITC,2022-02-01,32.6,34.3,32.6,33.4,76907.0
ITC,2022-02-02,33.0,34.5,33.0,33.6,163739.0
ITC,2022-02-03,33.9,34.7,33.9,34.5,208684.0
ITC,2022-02-06,34.5,36.2,34.1,35.7,614142.0
ITC,2022-02-07,35.7,36.1,34.7,35.0,153067.0
ITC,2022-02-08,34.6,35.6,34.3,34.5,140155.0
ITC,2022-02-09,34.3,35.4,34.3,34.8,108243.0
ITC,2022-02-10,34.6,35.9,34.6,35.0,90174.0
ITC,2022-02-13,34.8,35.0,34.5,34.6,59433.0
ITC,2022-02-14,35.0,35.0,33.9,34.1,93551.0
ITC,2022-02-15,34.0,34.3,33.4,33.6,81210.0
ITC,2022-02-16,33.5,35.0,33.5,33.9,104513.0
ITC,2022-02-17,34.6,34.6,33.6,33.9,11388.0
ITC,2022-02-20,33.5,34.0,33.0,33.3,55669.0
ITC,2022-02-22,33.0,35.1,32.8,34.6,218946.0
ITC,2022-02-23,34.3,35.5,34.1,34.3,55926.0
ITC,2022-02-24,34.8,35.5,34.0,34.2,282275.0
ITC,2022-02-27,34.0,34.7,32.8,33.3,111368.0
ITC,2022-02-28,33.3,34.7,33.2,33.6,26081.0
ITC,2022-03-01,34.0,34.0,31.5,32.6,149535.0
ITC,2022-03-02,33.5,33.5,31.9,32.4,24100.0
ITC,2022-03-03,31.9,32.9,30.6,32.3,112488.0
ITC,2022-03-06,33.7,33.7,32.0,32.4,12431.0
ITC,2022-03-07,33.0,33.4,31.8,32.3,161166.0
ITC,2022-03-08,32.6,33.4,31.5,32.9,176757.0
ITC,2022-03-09,33.0,35.1,33.0,34.4,227044.0
ITC,2022-03-10,35.3,36.3,33.8,35.5,479018.0
ITC,2022-03-13,36.6,39.0,36.1,37.7,1410350.0
ITC,2022-03-14,37.1,37.6,37.0,37.1,398618.0
ITC,2022-03-15,36.5,39.7,36.5,38.4,1119971.0
ITC,2022-03-16,38.5,39.6,37.7,37.7,699640.0
ITC,2022-03-20,37.9,37.9,37.0,37.0,77155.0
ITC,2022-03-21,36.5,37.0,36.3,36.3,374465.0
ITC,2022-03-22,36.2,38.0,35.6,37.6,478650.0
ITC,2022-03-23,37.7,38.0,36.9,36.9,222868.0
ITC,2022-03-24,36.3,36.9,36.2,36.2,146064.0
ITC,2022-03-27,36.2,36.6,35.5,35.5,244260.0
ITC,2022-03-28,35.3,36.2,35.0,35.6,124222.0
ITC,2022-03-29,36.0,36.0,35.0,35.1,111119.0
ITC,2022-03-30,35.4,35.4,35.0,35.0,99546.0
ITC,2022-03-31,35.3,36.2,34.9,35.7,256268.0
ITC,2022-04-03,35.9,35.9,35.2,35.6,74254.0
ITC,2022-04-04,35.7,35.7,34.9,34.9,83937.0
ITC,2022-04-05,35.5,35.5,34.3,34.4,182903.0
ITC,2022-04-06,34.2,35.7,34.1,35.4,99895.0
ITC,2022-04-07,35.5,35.5,34.7,34.7,73791.0
ITC,2022-04-10,35.5,35.8,34.1,35.6,82684.0
ITC,2022-04-11,35.3,35.6,34.9,34.9,538227.0
ITC,2022-04-12,35.3,35.3,34.3,34.3,41052.0
ITC,2022-04-13,34.7,34.7,33.8,34.0,10416.0
ITC,2022-04-17,35.1,35.1,33.4,33.6,26268.0
ITC,2022-04-18,34.4,34.4,33.0,33.0,35299.0
ITC,2022-04-19,33.0,33.0,32.4,32.5,143352.0
ITC,2022-04-20,33.0,34.3,33.0,33.2,55271.0
ITC,2022-04-21,33.6,35.0,33.2,33.8,286449.0
ITC,2022-04-24,34.1,34.8,33.7,34.0,43218.0
ITC,2022-04-25,33.9,34.0,33.5,33.6,99048.0
ITC,2022-04-26,34.8,35.3,33.9,34.9,209699.0
ITC,2022-04-27,35.1,35.9,34.5,34.8,462847.0
ITC,2022-04-28,35.3,35.6,34.3,35.0,137706.0
ITC,2022-05-05,35.7,35.7,34.1,34.6,82425.0
ITC,2022-05-08,34.7,35.5,34.7,34.9,178311.0
ITC,2022-05-09,35.2,36.5,35.2,35.7,409525.0
ITC,2022-05-10,36.5,36.5,35.2,35.5,141733.0
ITC,2022-05-11,35.6,35.8,33.9,34.3,184967.0
ITC,2022-05-12,35.0,35.0,33.7,33.8,131781.0
ITC,2022-05-16,33.5,34.6,32.3,32.8,122419.0
ITC,2022-05-17,33.5,33.5,32.3,32.8,107896.0
ITC,2022-05-18,33.7,33.7,32.2,32.4,62646.0
ITC,2022-05-19,32.7,32.7,31.0,32.1,91377.0
ITC,2022-05-22,32.7,32.7,31.0,31.3,38896.0
ITC,2022-05-23,32.3,33.2,32.1,33.0,93880.0
ITC,2022-05-24,33.3,33.5,32.0,32.5,101735.0
