symbol,date,open,high,low,close,volume
JAMUNABANK,2022-01-02,23.5,23.7,23.5,23.7,386964.0
JAMUNABANK,2022-01-03,23.7,23.9,23.6,23.6,184544.0
JAMUNABANK,2022-01-04,23.5,23.6,23.4,23.5,295354.0
JAMUNABANK,2022-01-05,23.5,23.6,23.4,23.5,488117.0
JAMUNABANK,2022-01-06,23.9,24.0,23.5,23.7,388882.0
JAMUNABANK,2022-01-09,23.9,24.2,23.5,23.6,483804.0
JAMUNABANK,2022-01-10,23.8,24.0,23.5,23.7,415843.0
JAMUNABANK,2022-01-11,23.6,23.8,23.5,23.6,602143.0
JAMUNABANK,2022-01-12,23.6,23.8,23.4,23.6,438765.0
JAMUNABANK,2022-01-13,23.5,23.6,23.4,23.5,88711.0
JAMUNABANK,2022-01-16,23.5,23.7,23.4,23.5,204165.0
JAMUNABANK,2022-01-17,23.4,23.7,23.4,23.7,305454.0
JAMUNABANK,2022-01-18,23.6,23.8,23.5,23.7,360205.0
JAMUNABANK,2022-01-19,23.6,23.7,23.3,23.4,174550.0
JAMUNABANK,2022-01-20,23.3,23.7,23.3,23.6,115551.0
JAMUNABANK,2022-01-23,23.6,23.6,23.3,23.3,567725.0
JAMUNABANK,2022-01-24,23.3,23.5,23.3,23.4,376061.0
JAMUNABANK,2022-01-25,23.4,23.5,23.3,23.4,119599.0
JAMUNABANK,2022-01-26,23.4,23.5,23.2,23.4,244731.0
JAMUNABANK,2022-01-27,23.4,23.6,23.4,23.6,460796.0
JAMUNABANK,2022-01-30,23.4,23.7,23.4,23.6,304484.0
JAMUNABANK,2022-01-31,23.7,23.7,23.3,23.4,287959.0
JAMUNABANK,2022-02-01,23.5,23.7,23.4,23.6,299717.0
JAMUNABANK,2022-02-02,23.5,23.7,23.4,23.6,145052.0
JAMUNABANK,2022-02-03,23.6,23.7,23.3,23.6,426022.0
JAMUNABANK,2022-02-06,23.5,23.7,23.5,23.5,490260.0
JAMUNABANK,2022-02-07,23.5,23.6,23.4,23.5,225073.0
JAMUNABANK,2022-02-08,23.5,23.6,23.4,23.5,204403.0
JAMUNABANK,2022-02-09,23.6,23.8,23.3,23.6,412999.0
JAMUNABANK,2022-02-10,23.7,23.8,23.4,23.7,282766.0
JAMUNABANK,2022-02-13,23.5,23.9,23.4,23.8,667011.0
JAMUNABANK,2022-02-14,23.7,24.0,23.7,23.8,514099.0
JAMUNABANK,2022-02-15,23.7,23.8,23.6,23.6,424660.0
JAMUNABANK,2022-02-16,23.6,23.7,23.5,23.6,325302.0
JAMUNABANK,2022-02-17,23.5,23.7,23.4,23.5,407660.0
