symbol,date,open,high,low,close,volume
JAMUNAOIL,2022-01-02,174.7,175.0,169.3,170.4,53441.0
JAMUNAOIL,2022-01-03,173.0,173.0,169.1,171.7,43528.0
JAMUNAOIL,2022-01-04,172.9,173.9,171.7,172.4,29869.0
JAMUNAOIL,2022-01-05,172.4,173.0,172.2,172.8,17223.0
JAMUNAOIL,2022-01-06,173.0,176.0,172.7,175.0,192897.0
JAMUNAOIL,2022-01-09,175.5,177.9,175.5,177.2,60797.0
JAMUNAOIL,2022-01-10,177.3,184.8,176.0,183.1,242243.0
JAMUNAOIL,2022-01-11,183.5,192.0,183.5,186.8,340297.0
JAMUNAOIL,2022-01-12,182.9,188.4,179.2,181.0,170725.0
JAMUNAOIL,2022-01-13,181.0,184.9,181.0,181.2,106382.0
JAMUNAOIL,2022-01-16,182.3,183.7,181.1,181.4,93691.0
JAMUNAOIL,2022-01-17,181.4,182.0,180.1,181.3,39290.0
JAMUNAOIL,2022-01-18,180.1,184.9,180.1,182.1,83190.0
JAMUNAOIL,2022-01-19,184.8,184.9,182.0,182.8,94709.0
JAMUNAOIL,2022-01-20,182.5,187.7,180.6,183.0,320412.0
JAMUNAOIL,2022-01-24,174.3,174.3,167.0,169.8,90582.0
JAMUNAOIL,2022-01-25,171.2,171.2,168.3,169.4,41152.0
JAMUNAOIL,2022-01-26,170.3,170.3,169.4,170.1,22570.0
JAMUNAOIL,2022-01-27,170.1,170.2,169.0,169.4,37053.0
JAMUNAOIL,2022-01-30,169.4,169.5,167.2,167.4,39484.0
JAMUNAOIL,2022-01-31,167.4,168.5,167.2,167.8,22315.0
JAMUNAOIL,2022-02-01,168.5,168.5,167.1,168.0,12807.0
JAMUNAOIL,2022-02-02,168.0,168.8,168.0,168.0,10744.0
JAMUNAOIL,2022-02-03,168.5,168.8,166.5,168.4,18833.0
JAMUNAOIL,2022-02-06,168.4,169.2,167.5,167.9,22479.0
JAMUNAOIL,2022-02-07,167.2,168.7,167.0,167.6,35699.0
JAMUNAOIL,2022-02-08,167.6,170.0,167.6,169.6,23253.0
JAMUNAOIL,2022-02-09,170.1,171.9,169.9,171.5,31389.0
JAMUNAOIL,2022-02-10,172.4,172.4,171.0,171.2,10271.0
JAMUNAOIL,2022-02-13,170.0,171.2,168.3,170.0,19135.0
JAMUNAOIL,2022-02-14,170.9,170.9,168.3,169.3,11616.0
JAMUNAOIL,2022-02-15,170.0,171.7,169.6,170.7,20024.0
JAMUNAOIL,2022-02-16,171.0,171.0,168.5,169.2,10661.0
JAMUNAOIL,2022-02-17,169.0,169.6,167.2,168.3,12753.0
JAMUNAOIL,2022-02-20,167.5,168.8,167.5,168.1,9075.0
JAMUNAOIL,2022-02-22,167.5,172.0,167.0,169.7,14741.0
JAMUNAOIL,2022-02-23,168.6,170.5,168.6,169.4,5023.0
JAMUNAOIL,2022-02-24,168.6,170.8,168.1,168.6,15156.0
JAMUNAOIL,2022-02-27,168.1,168.2,165.0,166.8,22927.0
JAMUNAOIL,2022-02-28,162.8,168.9,162.8,168.2,11806.0
JAMUNAOIL,2022-03-01,166.2,168.9,166.2,167.4,6170.0
JAMUNAOIL,2022-03-02,167.4,168.0,164.5,167.8,5186.0
JAMUNAOIL,2022-03-03,168.5,168.5,165.1,166.4,13332.0
JAMUNAOIL,2022-03-06,165.1,166.0,165.1,165.3,5192.0
