symbol,date,open,high,low,close,volume
JANATAINS,2022-01-02,48.1,48.3,46.9,47.3,278177.0
JANATAINS,2022-01-03,48.0,48.6,47.6,47.9,388144.0
JANATAINS,2022-01-04,48.1,48.7,47.6,47.9,361260.0
JANATAINS,2022-01-05,48.2,48.5,47.6,47.8,300338.0
JANATAINS,2022-01-06,48.3,49.3,46.5,46.8,300753.0
JANATAINS,2022-01-09,46.6,47.7,45.6,45.9,152083.0
JANATAINS,2022-01-10,46.0,46.3,45.0,45.1,212239.0
JANATAINS,2022-01-11,45.1,46.0,44.8,45.6,140279.0
JANATAINS,2022-01-12,45.6,46.4,45.1,45.5,179033.0
JANATAINS,2022-01-13,42.6,45.9,42.6,45.6,108319.0
JANATAINS,2022-01-16,46.5,47.5,44.8,45.1,242235.0
JANATAINS,2022-01-17,45.2,47.2,45.2,46.9,223908.0
JANATAINS,2022-01-18,47.0,47.4,45.3,45.6,129743.0
JANATAINS,2022-01-19,45.0,45.9,44.7,44.9,125617.0
JANATAINS,2022-01-20,45.1,45.3,44.0,44.8,135644.0
JANATAINS,2022-01-23,45.8,46.3,45.2,45.7,98187.0
JANATAINS,2022-01-24,45.7,45.7,44.5,44.9,50542.0
JANATAINS,2022-01-25,44.9,45.6,44.1,44.4,60641.0
JANATAINS,2022-01-26,44.5,44.8,44.2,44.5,34527.0
JANATAINS,2022-01-27,45.2,45.2,44.1,44.7,60831.0
JANATAINS,2022-01-30,45.7,45.7,44.8,45.5,59977.0
JANATAINS,2022-01-31,45.6,45.6,44.2,44.7,72798.0
JANATAINS,2022-02-01,46.1,46.1,44.1,44.4,56461.0
JANATAINS,2022-02-02,44.5,45.8,44.1,45.5,84450.0
JANATAINS,2022-02-03,46.1,46.4,45.2,45.4,57581.0
JANATAINS,2022-02-06,45.8,46.9,45.7,46.3,133109.0
JANATAINS,2022-02-07,46.5,47.6,46.0,46.6,150272.0
JANATAINS,2022-02-08,46.3,48.0,46.0,46.2,170245.0
JANATAINS,2022-02-09,46.5,47.0,45.5,45.7,63789.0
JANATAINS,2022-02-10,45.7,46.5,45.0,45.1,71924.0
JANATAINS,2022-02-13,45.1,45.3,44.5,44.6,69174.0
JANATAINS,2022-02-14,45.3,45.3,43.9,44.1,84371.0
JANATAINS,2022-02-15,44.0,44.3,43.3,43.8,38670.0
JANATAINS,2022-02-16,43.9,44.1,43.0,43.5,41649.0
JANATAINS,2022-02-17,43.2,43.6,42.7,43.0,77135.0
JANATAINS,2022-02-20,42.6,43.3,42.6,42.7,40241.0
JANATAINS,2022-02-22,42.5,43.9,42.0,42.6,31449.0
JANATAINS,2022-02-23,43.6,43.6,42.5,42.7,41996.0
JANATAINS,2022-02-24,42.2,43.0,41.9,42.0,126294.0
JANATAINS,2022-02-27,40.5,42.7,39.3,39.8,57039.0
JANATAINS,2022-02-28,41.0,41.0,39.8,40.1,47079.0
JANATAINS,2022-03-01,40.1,42.5,40.1,40.4,46111.0
JANATAINS,2022-03-02,41.7,41.7,40.0,40.1,26201.0
JANATAINS,2022-03-03,39.9,40.6,39.9,40.0,31609.0
JANATAINS,2022-03-06,41.8,41.8,39.0,39.3,33708.0
JANATAINS,2022-03-07,39.1,39.4,36.7,37.1,75884.0
JANATAINS,2022-03-08,37.2,37.6,35.3,36.6,67802.0
JANATAINS,2022-03-09,37.7,40.2,37.7,39.5,95042.0
JANATAINS,2022-03-10,41.0,41.7,38.9,39.6,134605.0
JANATAINS,2022-03-13,39.4,40.9,39.4,40.4,30166.0
JANATAINS,2022-03-14,40.5,40.7,39.8,39.9,37543.0
JANATAINS,2022-03-15,39.9,39.9,39.2,39.2,52641.0
JANATAINS,2022-03-16,38.9,40.0,38.5,38.6,47733.0
JANATAINS,2022-03-20,38.0,38.4,37.9,37.9,23787.0
JANATAINS,2022-03-21,37.5,38.2,37.5,37.5,17825.0
JANATAINS,2022-03-22,37.5,38.9,37.5,38.3,29645.0
JANATAINS,2022-03-23,38.5,39.0,38.5,38.7,72811.0
JANATAINS,2022-03-24,39.0,39.0,38.0,38.3,46280.0
JANATAINS,2022-03-27,40.3,40.3,37.9,38.6,21958.0
JANATAINS,2022-03-28,39.0,39.7,38.9,39.2,42192.0
JANATAINS,2022-03-29,39.4,40.0,38.8,39.3,45127.0
JANATAINS,2022-03-30,40.0,42.9,40.0,42.6,488940.0
JANATAINS,2022-03-31,43.0,46.0,43.0,44.4,508931.0
JANATAINS,2022-04-03,44.5,46.2,44.0,44.4,401174.0
JANATAINS,2022-04-04,44.9,45.8,43.6,43.6,432165.0
JANATAINS,2022-04-05,42.9,43.4,42.8,42.8,30967.0
JANATAINS,2022-04-06,42.1,42.5,42.0,42.0,32177.0
JANATAINS,2022-04-07,41.2,41.4,41.2,41.2,50431.0
JANATAINS,2022-04-10,42.0,42.0,40.8,41.0,37811.0
JANATAINS,2022-04-11,41.7,41.8,40.3,40.3,36693.0
JANATAINS,2022-04-12,39.7,40.8,39.5,39.5,45468.0
JANATAINS,2022-04-13,39.0,40.1,38.8,39.0,8849.0
JANATAINS,2022-04-17,38.6,39.0,38.3,38.5,87970.0
JANATAINS,2022-04-18,38.0,38.0,37.8,37.8,58850.0
JANATAINS,2022-04-19,37.1,41.4,37.1,39.8,57877.0
JANATAINS,2022-04-20,39.2,40.7,39.1,39.6,69829.0
JANATAINS,2022-04-21,40.2,40.4,38.8,39.3,40356.0
JANATAINS,2022-04-24,39.8,40.5,39.1,39.3,63099.0
JANATAINS,2022-04-25,39.4,41.1,39.4,40.9,109594.0
JANATAINS,2022-04-26,40.9,42.7,40.0,40.6,91151.0
JANATAINS,2022-04-27,40.7,41.5,40.3,40.6,27880.0
JANATAINS,2022-04-28,40.6,40.7,40.2,40.3,21069.0
JANATAINS,2022-05-05,40.3,41.0,40.0,40.4,20089.0
JANATAINS,2022-05-08,40.4,40.4,39.3,39.5,36980.0
JANATAINS,2022-05-09,39.7,40.3,39.0,39.6,20896.0
JANATAINS,2022-05-10,39.8,41.2,38.6,39.7,58030.0
JANATAINS,2022-05-11,40.5,40.5,38.8,38.8,22217.0
JANATAINS,2022-05-12,38.9,39.1,37.8,38.1,26065.0
JANATAINS,2022-05-16,37.5,38.4,37.0,37.0,25998.0
JANATAINS,2022-05-17,37.0,37.1,35.2,35.4,45802.0
JANATAINS,2022-05-18,36.0,36.7,35.0,35.0,39282.0
JANATAINS,2022-05-19,34.1,35.0,34.0,34.3,29783.0
JANATAINS,2022-05-22,34.0,34.5,32.6,32.6,43026.0
JANATAINS,2022-05-23,33.5,34.5,33.0,33.5,32066.0
JANATAINS,2022-05-24,34.0,34.5,32.5,32.9,87752.0
JANATAINS,2022-05-25,32.9,33.3,31.6,32.3,71032.0
JANATAINS,2022-05-26,34.5,34.5,32.3,32.7,39049.0
JANATAINS,2022-05-29,34.6,34.6,32.6,33.6,16445.0
JANATAINS,2022-05-30,36.3,36.3,33.8,35.8,170067.0
JANATAINS,2022-05-31,36.0,39.2,35.6,38.6,154294.0
JANATAINS,2022-06-01,38.9,40.5,37.9,38.0,239862.0
JANATAINS,2022-06-02,38.2,38.9,37.4,37.5,238637.0
JANATAINS,2022-06-05,39.9,39.9,37.0,37.5,245807.0
JANATAINS,2022-06-06,38.9,41.2,38.9,41.2,537566.0
JANATAINS,2022-06-07,41.0,43.1,40.7,42.0,657111.0
JANATAINS,2022-06-08,42.9,42.9,41.2,41.2,333142.0
JANATAINS,2022-06-09,41.2,41.9,39.9,40.3,423955.0
JANATAINS,2022-06-12,39.5,41.8,39.5,39.5,172237.0
JANATAINS,2022-06-13,40.9,40.9,38.8,38.8,92573.0
JANATAINS,2022-06-14,42.0,42.0,39.0,39.6,340419.0
JANATAINS,2022-06-15,40.4,40.4,38.9,38.9,122455.0
JANATAINS,2022-06-16,38.2,40.0,38.2,38.3,190147.0
JANATAINS,2022-06-19,39.0,39.0,37.6,37.9,65034.0
JANATAINS,2022-06-20,37.6,38.1,37.2,37.2,96353.0
JANATAINS,2022-06-21,37.4,37.8,36.5,37.0,112876.0
JANATAINS,2022-06-22,38.0,38.0,36.7,36.9,68256.0
JANATAINS,2022-06-23,36.9,37.1,36.2,36.2,176135.0
JANATAINS,2022-06-26,36.0,36.2,35.5,35.5,36947.0
JANATAINS,2022-06-27,39.0,39.0,35.0,36.0,190030.0
JANATAINS,2022-06-28,36.4,36.9,35.3,35.3,374435.0
JANATAINS,2022-06-29,36.0,36.0,34.6,34.6,296843.0
JANATAINS,2022-06-30,34.5,37.0,34.0,35.0,409129.0
JANATAINS,2022-07-03,35.7,35.8,35.1,35.4,191867.0
JANATAINS,2022-07-04,35.7,35.7,34.7,34.9,141913.0
JANATAINS,2022-07-05,35.6,38.3,34.9,35.1,187214.0
JANATAINS,2022-07-06,35.8,35.8,34.8,34.9,153910.0
JANATAINS,2022-07-12,33.4,33.4,32.6,32.6,175296.0
JANATAINS,2022-07-13,32.0,33.0,32.0,32.1,221026.0
JANATAINS,2022-07-14,32.0,32.6,31.6,31.9,134817.0
JANATAINS,2022-07-17,31.8,32.6,31.3,31.7,135153.0
JANATAINS,2022-07-18,31.7,31.7,31.1,31.1,58088.0
JANATAINS,2022-07-19,30.5,30.5,30.5,30.5,42436.0
JANATAINS,2022-07-20,30.7,30.7,29.9,29.9,138646.0
JANATAINS,2022-07-21,30.0,30.3,29.4,29.4,65170.0
JANATAINS,2022-07-24,29.6,30.0,28.9,28.9,43797.0
JANATAINS,2022-07-25,28.6,29.5,28.4,29.1,88216.0
JANATAINS,2022-07-26,29.5,31.2,29.5,30.7,187778.0
JANATAINS,2022-07-27,30.4,31.9,30.1,30.1,122914.0
JANATAINS,2022-07-28,30.5,30.9,29.5,29.5,206058.0
JANATAINS,2022-07-31,30.0,32.5,29.6,32.4,336049.0
JANATAINS,2022-08-01,32.8,33.4,30.9,31.1,148956.0
JANATAINS,2022-08-02,30.9,33.0,30.8,32.2,152739.0
JANATAINS,2022-08-03,33.0,33.4,31.6,32.1,196915.0
JANATAINS,2022-08-04,31.7,31.9,31.1,31.7,93398.0
JANATAINS,2022-08-07,31.6,31.6,30.5,31.3,60958.0
