symbol,date,open,high,low,close,volume
JMISMDL,2022-01-02,333.1,340.0,333.1,338.4,7325.0
JMISMDL,2022-01-03,337.0,342.7,337.0,337.9,17814.0
JMISMDL,2022-01-04,338.0,338.2,334.0,335.3,14610.0
JMISMDL,2022-01-05,333.2,340.9,333.1,335.6,12334.0
JMISMDL,2022-01-06,336.0,346.8,335.9,343.7,24960.0
JMISMDL,2022-01-09,345.2,347.9,336.0,338.2,22220.0
JMISMDL,2022-01-10,336.4,342.5,336.4,339.2,23953.0
JMISMDL,2022-01-11,346.9,346.9,338.0,341.2,13822.0
JMISMDL,2022-01-12,340.6,342.8,339.0,339.1,12071.0
JMISMDL,2022-01-13,341.0,350.0,339.2,345.6,34996.0
JMISMDL,2022-01-16,350.0,357.9,342.5,343.9,65628.0
JMISMDL,2022-01-17,346.0,349.1,340.2,343.3,18534.0
JMISMDL,2022-01-18,343.0,345.0,339.1,340.0,35125.0
JMISMDL,2022-01-19,341.5,349.9,341.0,348.3,30329.0
JMISMDL,2022-01-20,349.0,350.9,341.8,342.3,13009.0
JMISMDL,2022-01-23,348.0,354.0,342.3,350.6,42546.0
JMISMDL,2022-01-24,354.0,360.0,348.7,356.7,64834.0
JMISMDL,2022-01-25,358.0,368.0,356.0,358.5,77234.0
JMISMDL,2022-01-26,359.5,359.5,348.0,350.4,28533.0
JMISMDL,2022-01-27,348.9,348.9,342.5,343.2,45490.0
JMISMDL,2022-01-30,340.2,346.3,335.2,336.9,30516.0
JMISMDL,2022-01-31,337.1,341.7,335.5,336.9,22352.0
JMISMDL,2022-02-01,337.4,340.9,336.0,336.3,27815.0
JMISMDL,2022-02-02,344.0,344.0,336.6,337.0,14711.0
JMISMDL,2022-02-03,337.3,340.9,335.0,335.4,23419.0
JMISMDL,2022-02-06,335.5,341.0,335.0,338.1,23064.0
JMISMDL,2022-02-07,342.6,342.6,337.1,337.5,7115.0
JMISMDL,2022-02-08,338.0,341.2,335.1,338.0,20926.0
JMISMDL,2022-02-09,337.0,342.5,337.0,339.2,12549.0
JMISMDL,2022-02-10,343.0,347.0,340.1,340.8,26773.0
JMISMDL,2022-02-13,341.1,343.9,341.0,342.2,14783.0
JMISMDL,2022-02-14,345.0,345.0,338.4,339.5,10731.0
JMISMDL,2022-02-15,341.0,346.7,339.0,340.4,29133.0
JMISMDL,2022-02-16,340.6,354.0,340.6,349.3,34418.0
