symbol,date,open,high,low,close,volume
JUTESPINN,2022-01-02,121.1,121.1,121.1,121.1,5.0
JUTESPINN,2022-01-03,118.1,122.7,118.0,119.5,185.0
JUTESPINN,2022-01-04,120.9,122.5,118.5,122.3,1155.0
JUTESPINN,2022-01-05,121.0,121.0,120.0,120.2,368.0
JUTESPINN,2022-01-06,120.2,122.0,117.1,120.7,2343.0
JUTESPINN,2022-01-09,126.9,127.0,115.5,125.6,586.0
JUTESPINN,2022-01-11,123.0,125.0,120.5,123.1,294.0
JUTESPINN,2022-01-12,121.0,121.0,119.0,120.1,289.0
JUTESPINN,2022-01-13,118.0,122.0,118.0,120.5,900.0
JUTESPINN,2022-01-16,122.2,127.0,122.2,125.8,1934.0
JUTESPINN,2022-01-17,122.3,123.5,122.0,122.4,183.0
JUTESPINN,2022-01-18,124.7,124.7,122.0,122.1,229.0
JUTESPINN,2022-01-19,118.5,125.0,118.4,121.3,1513.0
JUTESPINN,2022-01-20,116.1,123.5,116.1,122.6,1281.0
JUTESPINN,2022-01-23,116.6,120.0,116.2,117.1,1556.0
JUTESPINN,2022-01-24,115.3,115.7,115.0,115.3,4392.0
JUTESPINN,2022-01-25,113.0,119.9,112.3,116.9,3431.0
JUTESPINN,2022-01-26,119.0,119.0,115.1,116.9,371.0
JUTESPINN,2022-01-27,117.5,119.0,111.0,112.0,5824.0
JUTESPINN,2022-01-30,112.3,113.6,112.2,113.3,743.0
JUTESPINN,2022-01-31,118.4,118.4,114.0,117.9,73.0
JUTESPINN,2022-02-01,111.1,116.9,111.1,115.8,421.0
JUTESPINN,2022-02-02,117.0,117.0,113.5,113.8,419.0
JUTESPINN,2022-02-03,114.0,114.2,114.0,114.0,436.0
JUTESPINN,2022-02-06,113.0,113.1,113.0,113.0,2040.0
JUTESPINN,2022-02-07,116.0,116.0,110.3,110.9,319.0
JUTESPINN,2022-02-08,112.0,113.0,112.0,112.1,183.0
JUTESPINN,2022-02-09,112.0,115.5,112.0,112.4,3181.0
JUTESPINN,2022-02-10,116.0,123.6,116.0,120.0,5412.0
JUTESPINN,2022-02-13,127.0,127.0,120.0,121.9,3449.0
JUTESPINN,2022-02-14,116.0,116.0,116.0,116.0,200.0
JUTESPINN,2022-02-15,112.3,120.0,112.3,115.1,2507.0
JUTESPINN,2022-02-16,119.0,119.0,115.0,115.6,3066.0
JUTESPINN,2022-02-17,115.6,115.6,115.6,115.6,301.0
JUTESPINN,2022-02-20,121.0,121.5,118.2,120.1,2430.0
JUTESPINN,2022-02-22,123.3,123.3,116.2,120.5,702.0
JUTESPINN,2022-02-23,120.7,122.4,120.7,121.4,1486.0
JUTESPINN,2022-02-24,124.0,124.0,116.6,118.5,2523.0
JUTESPINN,2022-02-27,110.6,116.0,110.5,112.8,3521.0
JUTESPINN,2022-02-28,120.8,120.8,115.6,118.2,90.0
JUTESPINN,2022-03-01,127.7,127.7,120.0,122.6,1451.0
JUTESPINN,2022-03-02,120.0,122.5,119.2,121.2,2206.0
JUTESPINN,2022-03-03,123.0,133.3,122.9,132.2,15865.0
JUTESPINN,2022-03-06,139.0,145.4,134.1,142.5,20222.0
JUTESPINN,2022-03-07,149.0,149.0,129.1,130.1,17019.0
JUTESPINN,2022-03-08,130.1,139.9,122.0,130.8,7485.0
JUTESPINN,2022-03-09,135.9,142.7,130.8,137.3,3810.0
JUTESPINN,2022-03-10,137.1,137.7,134.6,134.8,1721.0
JUTESPINN,2022-03-13,135.0,135.2,132.5,133.0,2739.0
JUTESPINN,2022-03-14,134.7,144.6,131.2,135.3,6076.0
JUTESPINN,2022-03-15,135.2,138.8,134.0,134.9,882.0
JUTESPINN,2022-03-16,135.0,135.0,132.5,133.0,1682.0
JUTESPINN,2022-03-20,133.1,135.0,130.4,130.5,2133.0
JUTESPINN,2022-03-21,130.4,134.9,127.9,131.7,3425.0
JUTESPINN,2022-03-22,131.8,137.7,131.8,132.1,3655.0
JUTESPINN,2022-03-23,137.0,137.0,131.0,131.9,3744.0
JUTESPINN,2022-03-24,131.0,131.0,129.3,129.3,3422.0
JUTESPINN,2022-03-27,129.3,130.8,127.6,128.0,3000.0
JUTESPINN,2022-03-28,128.0,130.8,127.5,128.1,838.0
JUTESPINN,2022-03-29,133.3,136.0,129.0,133.2,2521.0
JUTESPINN,2022-03-30,131.1,135.0,130.7,132.1,1537.0
JUTESPINN,2022-03-31,130.2,138.5,130.1,135.4,1342.0
JUTESPINN,2022-04-03,133.6,137.9,133.5,135.3,1506.0
JUTESPINN,2022-04-04,134.8,137.0,133.5,134.3,770.0
JUTESPINN,2022-04-05,132.8,134.0,132.8,133.1,240.0
JUTESPINN,2022-04-06,136.9,136.9,135.0,135.9,181.0
JUTESPINN,2022-04-07,141.9,141.9,133.6,136.8,970.0
JUTESPINN,2022-04-10,134.2,137.0,134.2,135.2,1937.0
JUTESPINN,2022-04-11,134.1,139.5,134.1,136.0,3215.0
JUTESPINN,2022-04-12,134.3,138.0,134.3,137.5,3124.0
JUTESPINN,2022-04-13,137.0,141.0,136.2,138.3,1372.0
JUTESPINN,2022-04-17,138.0,140.4,137.2,138.6,1772.0
JUTESPINN,2022-04-18,138.6,138.6,135.9,135.9,2447.0
JUTESPINN,2022-04-19,135.9,136.0,133.3,135.5,765.0
JUTESPINN,2022-04-20,133.0,133.2,133.0,133.1,501.0
JUTESPINN,2022-04-21,133.3,133.6,133.2,133.5,1721.0
JUTESPINN,2022-04-24,133.5,133.7,133.5,133.6,111.0
JUTESPINN,2022-04-25,133.9,133.9,131.0,132.0,676.0
JUTESPINN,2022-04-26,133.0,133.0,130.1,131.2,401.0
JUTESPINN,2022-04-27,132.0,136.5,131.7,131.8,651.0
JUTESPINN,2022-04-28,132.5,137.0,132.4,132.6,53.0
JUTESPINN,2022-05-05,137.4,138.5,136.8,137.6,1582.0
JUTESPINN,2022-05-08,137.7,138.6,134.0,134.5,2017.0
JUTESPINN,2022-05-09,134.9,135.0,131.0,132.2,3865.0
JUTESPINN,2022-05-10,137.3,137.3,137.3,137.3,200.0
JUTESPINN,2022-05-11,135.8,135.8,131.8,132.7,385.0
JUTESPINN,2022-05-12,130.2,130.6,130.2,130.4,288.0
