symbol,date,open,high,low,close,volume
KBPPWBIL,2022-01-02,12.0,12.5,12.0,12.3,534615.0
KBPPWBIL,2022-01-03,12.5,12.9,12.1,12.2,809249.0
KBPPWBIL,2022-01-04,12.4,12.4,12.0,12.1,1333975.0
KBPPWBIL,2022-01-05,12.3,12.6,12.2,12.5,754368.0
KBPPWBIL,2022-01-06,12.6,13.0,12.2,12.4,1244439.0
KBPPWBIL,2022-01-09,12.6,13.3,12.4,12.8,1348188.0
KBPPWBIL,2022-01-10,13.2,13.7,13.0,13.6,2005299.0
KBPPWBIL,2022-01-11,13.7,13.9,12.8,12.9,1424968.0
KBPPWBIL,2022-01-12,13.1,13.2,12.4,12.5,1045896.0
KBPPWBIL,2022-01-13,12.8,13.0,12.4,12.6,587777.0
KBPPWBIL,2022-01-16,13.0,13.0,12.7,12.8,945709.0
KBPPWBIL,2022-01-17,13.0,13.2,12.5,12.7,525311.0
KBPPWBIL,2022-01-18,12.9,12.9,12.4,12.6,589847.0
KBPPWBIL,2022-01-19,12.7,13.1,12.6,13.0,685387.0
KBPPWBIL,2022-01-20,13.3,13.6,13.0,13.1,1238126.0
KBPPWBIL,2022-01-23,13.2,13.2,12.6,12.6,711811.0
KBPPWBIL,2022-01-24,12.6,12.8,12.4,12.5,547446.0
KBPPWBIL,2022-01-25,12.6,12.8,12.3,12.4,261694.0
KBPPWBIL,2022-01-26,12.5,12.9,12.5,12.7,694517.0
KBPPWBIL,2022-01-27,12.9,13.8,12.9,13.5,1936487.0
KBPPWBIL,2022-01-30,13.9,14.3,13.6,13.8,1995786.0
KBPPWBIL,2022-01-31,13.5,13.7,12.9,13.1,1947680.0
KBPPWBIL,2022-02-01,13.7,14.4,13.7,14.4,4455116.0
KBPPWBIL,2022-02-02,14.8,15.5,14.1,14.6,3007105.0
KBPPWBIL,2022-02-03,14.5,15.0,14.2,14.6,2535928.0
KBPPWBIL,2022-02-06,14.8,15.3,14.4,14.6,1385724.0
KBPPWBIL,2022-02-07,14.8,15.1,14.2,14.4,2060927.0
