symbol,date,open,high,low,close,volume
KDSALTD,2022-01-02,72.0,73.3,70.3,72.7,866898.0
KDSALTD,2022-01-03,71.7,73.5,71.7,72.3,734549.0
KDSALTD,2022-01-04,71.5,71.9,69.9,71.6,699402.0
KDSALTD,2022-01-05,71.6,74.2,71.6,73.6,1026757.0
KDSALTD,2022-01-06,73.6,74.9,70.0,70.9,1376815.0
KDSALTD,2022-01-09,70.5,72.7,67.5,69.1,445011.0
KDSALTD,2022-01-10,69.1,69.4,64.7,65.7,1348852.0
KDSALTD,2022-01-11,65.7,68.0,64.1,67.5,2280454.0
KDSALTD,2022-01-12,67.8,67.8,64.0,64.2,1044048.0
KDSALTD,2022-01-13,64.4,65.6,63.7,64.0,532665.0
KDSALTD,2022-01-16,64.3,65.9,64.3,64.9,558494.0
KDSALTD,2022-01-17,65.1,65.7,64.0,64.2,826904.0
KDSALTD,2022-01-18,65.1,65.2,63.6,64.4,858224.0
KDSALTD,2022-01-19,64.8,66.9,64.4,66.4,699218.0
KDSALTD,2022-01-20,66.8,67.7,64.9,65.2,762903.0
KDSALTD,2022-01-23,65.2,65.4,63.4,63.5,472481.0
KDSALTD,2022-01-24,63.5,64.0,61.8,62.0,504407.0
KDSALTD,2022-01-25,62.9,62.9,61.7,61.9,324355.0
KDSALTD,2022-01-26,61.8,62.4,60.7,61.2,314732.0
KDSALTD,2022-01-27,62.5,62.8,60.5,60.9,327707.0
KDSALTD,2022-01-30,60.5,60.5,59.5,59.7,305240.0
KDSALTD,2022-01-31,59.5,59.6,56.6,56.9,392289.0
KDSALTD,2022-02-01,57.0,60.6,57.0,59.5,256681.0
KDSALTD,2022-02-02,60.0,60.0,57.6,57.8,267361.0
KDSALTD,2022-02-03,58.0,58.4,57.5,58.0,229163.0
KDSALTD,2022-02-06,58.3,59.0,58.1,58.5,164482.0
KDSALTD,2022-02-07,58.5,58.5,57.0,57.2,398492.0
KDSALTD,2022-02-08,57.1,57.6,56.7,57.2,259763.0
KDSALTD,2022-02-09,57.0,58.7,57.0,57.5,311475.0
KDSALTD,2022-02-10,57.7,58.9,57.2,58.1,296818.0
KDSALTD,2022-02-13,58.5,59.2,57.8,58.0,434321.0
KDSALTD,2022-02-14,58.3,58.5,56.6,56.9,355590.0
KDSALTD,2022-02-15,57.1,57.7,56.1,56.4,232794.0
KDSALTD,2022-02-16,56.9,57.5,56.1,57.1,363063.0
KDSALTD,2022-02-17,57.1,57.2,56.5,57.0,171245.0
KDSALTD,2022-02-20,56.5,57.0,56.3,56.7,307619.0
KDSALTD,2022-02-22,56.8,59.2,56.8,58.6,538722.0
KDSALTD,2022-02-23,59.1,59.5,58.2,58.4,354442.0
KDSALTD,2022-02-24,58.1,59.6,56.0,56.6,314646.0
KDSALTD,2022-02-27,56.6,58.4,53.3,53.8,343785.0
KDSALTD,2022-02-28,53.8,55.9,53.8,55.0,137599.0
KDSALTD,2022-03-01,55.7,56.1,54.8,55.3,168619.0
KDSALTD,2022-03-02,55.3,55.3,53.5,53.9,173380.0
KDSALTD,2022-03-03,53.3,54.7,52.8,54.2,80559.0
KDSALTD,2022-03-06,54.7,54.8,53.4,53.8,84965.0
KDSALTD,2022-03-07,53.1,53.2,51.0,51.3,194407.0
KDSALTD,2022-03-08,50.2,53.4,50.2,52.2,184695.0
KDSALTD,2022-03-09,53.0,54.7,52.8,54.4,130483.0
KDSALTD,2022-03-10,55.0,56.2,54.0,55.4,349262.0
KDSALTD,2022-03-13,55.9,58.0,55.4,57.8,267306.0
KDSALTD,2022-03-14,57.9,59.5,57.4,58.8,667298.0
KDSALTD,2022-03-15,58.7,59.9,58.2,59.6,464220.0
KDSALTD,2022-03-16,59.7,59.7,58.5,58.7,273950.0
KDSALTD,2022-03-20,58.0,58.0,57.6,57.6,110149.0
KDSALTD,2022-03-21,56.8,57.6,56.5,57.3,174865.0
KDSALTD,2022-03-22,57.3,58.7,57.3,58.4,166650.0
KDSALTD,2022-03-23,58.5,59.5,58.3,58.6,297075.0
KDSALTD,2022-03-24,58.5,59.2,58.2,58.8,252104.0
KDSALTD,2022-03-27,59.0,59.0,57.7,58.2,162826.0
KDSALTD,2022-03-28,58.3,58.8,57.3,58.1,211924.0
KDSALTD,2022-03-29,58.5,58.5,57.4,57.6,174025.0
KDSALTD,2022-03-30,57.7,57.9,56.5,56.8,145568.0
KDSALTD,2022-03-31,56.2,57.5,56.2,56.9,125388.0
KDSALTD,2022-04-03,56.4,57.9,56.4,56.9,108668.0
KDSALTD,2022-04-04,57.0,57.0,56.3,56.6,46992.0
KDSALTD,2022-04-05,56.5,56.8,55.7,56.1,78866.0
KDSALTD,2022-04-06,55.3,56.1,55.0,55.1,62419.0
KDSALTD,2022-04-07,56.0,56.4,54.0,55.6,82196.0
KDSALTD,2022-04-10,56.0,56.8,54.8,55.1,64745.0
KDSALTD,2022-04-11,55.1,55.2,54.1,54.2,72555.0
KDSALTD,2022-04-12,55.9,55.9,53.3,53.5,54197.0
KDSALTD,2022-04-13,53.5,54.3,52.5,53.7,33408.0
KDSALTD,2022-04-17,54.9,54.9,52.7,52.9,46300.0
KDSALTD,2022-04-18,54.3,54.3,51.9,51.9,39726.0
KDSALTD,2022-04-19,51.0,53.5,50.9,53.1,57031.0
KDSALTD,2022-04-20,52.1,54.0,52.1,53.0,34483.0
KDSALTD,2022-04-21,52.5,54.2,52.5,54.0,75326.0
KDSALTD,2022-04-24,54.1,55.5,54.0,54.8,90828.0
KDSALTD,2022-04-25,54.8,55.5,53.7,53.9,68393.0
KDSALTD,2022-04-26,54.3,54.7,53.9,54.0,73044.0
KDSALTD,2022-04-27,54.9,54.9,53.5,53.6,61469.0
KDSALTD,2022-04-28,54.0,54.8,53.6,54.6,131238.0
KDSALTD,2022-05-05,55.0,55.5,54.1,55.3,78198.0
KDSALTD,2022-05-08,55.1,59.2,55.1,58.4,426616.0
KDSALTD,2022-05-09,58.2,60.8,57.7,60.1,1074308.0
KDSALTD,2022-05-10,60.1,60.9,57.3,57.8,733732.0
KDSALTD,2022-05-11,58.6,59.4,57.1,57.3,331715.0
KDSALTD,2022-05-12,58.2,58.2,55.7,56.7,89222.0
KDSALTD,2022-05-16,56.5,57.9,53.9,54.0,176754.0
KDSALTD,2022-05-17,54.0,56.4,51.3,53.3,97376.0
KDSALTD,2022-05-18,53.3,55.4,52.0,52.1,119495.0
KDSALTD,2022-05-19,54.4,54.4,51.7,52.3,91390.0
KDSALTD,2022-05-22,52.2,52.4,50.5,50.9,100509.0
KDSALTD,2022-05-23,53.7,53.7,52.1,52.9,138543.0
KDSALTD,2022-05-24,55.0,55.0,52.0,52.2,149690.0
KDSALTD,2022-05-25,54.8,54.8,51.9,52.4,88450.0
KDSALTD,2022-05-26,52.4,53.1,51.4,52.2,224009.0
KDSALTD,2022-05-29,53.1,56.3,53.1,55.9,141031.0
KDSALTD,2022-05-30,56.5,56.9,55.0,55.7,223995.0
KDSALTD,2022-05-31,54.6,56.1,54.6,55.1,100184.0
KDSALTD,2022-06-01,55.9,56.0,54.7,55.5,141412.0
KDSALTD,2022-06-02,56.3,56.3,55.3,55.9,196661.0
KDSALTD,2022-06-05,55.2,57.7,55.2,56.6,100634.0
KDSALTD,2022-06-06,55.8,57.3,55.6,56.3,112128.0
KDSALTD,2022-06-07,56.7,56.7,55.2,55.2,74859.0
KDSALTD,2022-06-08,54.6,55.5,54.5,54.9,81104.0
KDSALTD,2022-06-09,55.6,55.6,54.9,55.3,49529.0
KDSALTD,2022-06-12,55.4,55.5,54.5,54.7,71439.0
KDSALTD,2022-06-13,54.3,55.0,54.3,54.4,33422.0
KDSALTD,2022-06-14,55.0,55.0,53.8,54.1,52568.0
KDSALTD,2022-06-15,54.8,58.8,54.8,58.6,802156.0
KDSALTD,2022-06-16,58.6,59.6,58.3,59.3,575458.0
KDSALTD,2022-06-19,59.4,59.8,58.2,59.3,750315.0
KDSALTD,2022-06-20,58.8,61.7,58.7,61.3,2102434.0
KDSALTD,2022-06-21,60.3,61.8,60.1,60.4,664423.0
KDSALTD,2022-06-22,60.8,60.8,59.2,59.2,543919.0
KDSALTD,2022-06-23,59.4,59.7,58.1,58.1,562087.0
KDSALTD,2022-06-26,58.4,60.3,58.4,59.1,571134.0
KDSALTD,2022-06-27,58.9,59.8,58.4,58.6,436496.0
KDSALTD,2022-06-28,58.4,59.7,58.4,58.9,448321.0
KDSALTD,2022-06-29,59.4,59.9,58.6,59.7,541270.0
KDSALTD,2022-06-30,60.5,60.6,59.7,60.0,831100.0
KDSALTD,2022-07-03,60.1,61.0,59.7,60.9,615992.0
KDSALTD,2022-07-04,61.0,62.8,60.6,62.5,834603.0
KDSALTD,2022-07-05,62.0,62.6,61.3,61.3,627912.0
KDSALTD,2022-07-06,60.4,61.5,60.1,60.7,330356.0
KDSALTD,2022-07-07,59.8,61.2,59.8,60.9,393876.0
KDSALTD,2022-07-12,61.0,62.3,60.9,62.0,471907.0
KDSALTD,2022-07-13,61.9,62.4,61.1,61.9,687414.0
KDSALTD,2022-07-14,61.5,64.9,61.5,64.8,2186673.0
KDSALTD,2022-07-17,65.0,65.8,63.8,64.6,1297708.0
KDSALTD,2022-07-18,64.0,65.2,63.4,64.7,1835771.0
KDSALTD,2022-07-19,65.4,67.9,64.2,67.3,1536881.0
KDSALTD,2022-07-20,67.3,71.5,67.0,70.7,1803775.0
KDSALTD,2022-07-21,70.8,74.8,70.4,74.5,2376543.0
KDSALTD,2022-07-24,75.9,76.5,73.1,73.8,2267741.0
KDSALTD,2022-07-25,74.0,79.8,72.7,78.8,3024348.0
KDSALTD,2022-07-26,80.0,80.0,77.3,78.0,1824547.0
KDSALTD,2022-07-27,78.3,81.4,76.5,77.5,3809142.0
KDSALTD,2022-07-28,78.0,78.0,76.0,77.1,1296608.0
KDSALTD,2022-07-31,77.1,81.3,77.0,80.6,2642706.0
KDSALTD,2022-08-01,81.1,82.7,80.5,81.4,2466850.0
KDSALTD,2022-08-02,80.1,82.5,80.1,81.9,2224312.0
KDSALTD,2022-08-03,82.0,84.3,81.8,82.0,1351867.0
KDSALTD,2022-08-04,81.6,84.8,81.6,83.9,1135741.0
KDSALTD,2022-08-07,83.5,85.7,83.2,84.0,1273860.0
KDSALTD,2022-08-08,83.9,84.6,82.0,82.6,1211644.0
KDSALTD,2022-08-10,82.5,82.5,79.1,81.1,1225205.0
KDSALTD,2022-08-11,81.0,82.4,80.3,81.5,435993.0
KDSALTD,2022-08-14,82.1,84.4,82.0,84.0,1110616.0
KDSALTD,2022-08-16,84.3,86.5,83.7,84.4,1276526.0
KDSALTD,2022-08-17,84.2,90.0,84.2,89.2,2730285.0
KDSALTD,2022-08-21,89.5,90.5,88.5,88.8,1400570.0
KDSALTD,2022-08-22,89.1,91.6,83.2,86.1,2104648.0
KDSALTD,2022-08-23,85.5,86.5,81.2,82.0,1406011.0
KDSALTD,2022-08-24,81.6,82.2,80.0,81.0,1118580.0
KDSALTD,2022-08-25,82.4,84.0,81.1,82.3,873901.0
KDSALTD,2022-08-28,83.8,85.3,81.7,84.4,1416806.0
KDSALTD,2022-08-29,86.0,86.0,82.1,83.4,659862.0
KDSALTD,2022-08-30,83.8,86.3,83.5,84.7,1794933.0
KDSALTD,2022-08-31,84.9,85.0,81.6,83.0,1290718.0
KDSALTD,2022-09-01,83.1,84.0,81.3,81.6,909194.0
KDSALTD,2022-09-04,81.7,82.0,77.2,78.3,782321.0
KDSALTD,2022-09-05,77.9,77.9,77.0,77.0,672184.0
KDSALTD,2022-09-06,77.0,79.0,77.0,77.7,686500.0
KDSALTD,2022-09-07,79.0,79.0,77.0,77.0,467620.0
KDSALTD,2022-09-08,77.0,79.7,77.0,78.8,728727.0
KDSALTD,2022-09-11,78.8,79.6,77.3,77.6,939435.0
KDSALTD,2022-09-12,78.5,78.9,77.4,78.5,403414.0
