symbol,date,open,high,low,close,volume
KEYACOSMET,2022-01-02,7.0,7.2,6.9,7.1,1972504.0
KEYACOSMET,2022-01-03,7.1,7.4,7.1,7.2,2902882.0
KEYACOSMET,2022-01-04,7.2,7.3,7.1,7.1,1745763.0
KEYACOSMET,2022-01-05,7.1,7.4,7.1,7.3,3333250.0
KEYACOSMET,2022-01-06,7.4,7.4,7.1,7.2,4459550.0
KEYACOSMET,2022-01-09,7.3,7.3,7.1,7.1,2330798.0
KEYACOSMET,2022-01-10,7.1,7.2,7.0,7.1,3337111.0
KEYACOSMET,2022-01-11,7.2,7.3,7.0,7.0,5506219.0
KEYACOSMET,2022-01-12,7.1,7.1,7.0,7.0,2459833.0
KEYACOSMET,2022-01-13,7.1,7.1,6.9,7.0,3179640.0
KEYACOSMET,2022-01-16,7.0,7.1,6.9,7.0,1788923.0
KEYACOSMET,2022-01-17,7.0,7.0,6.9,6.9,1860672.0
KEYACOSMET,2022-01-18,7.0,7.1,6.9,7.0,2768873.0
KEYACOSMET,2022-01-19,7.0,7.1,6.9,7.0,2480391.0
KEYACOSMET,2022-01-20,7.0,7.7,7.0,7.7,13830132.0
KEYACOSMET,2022-01-23,7.9,7.9,7.2,7.3,9389996.0
KEYACOSMET,2022-01-24,7.3,7.3,7.0,7.1,6640686.0
KEYACOSMET,2022-01-25,7.2,7.6,7.1,7.3,5709077.0
KEYACOSMET,2022-01-26,7.3,7.4,7.2,7.2,2343672.0
KEYACOSMET,2022-01-27,7.3,7.4,7.1,7.2,2766716.0
KEYACOSMET,2022-01-30,7.3,7.3,7.1,7.1,2026402.0
KEYACOSMET,2022-01-31,7.1,7.2,7.0,7.0,2654263.0
KEYACOSMET,2022-02-01,7.1,7.4,7.0,7.2,3206085.0
KEYACOSMET,2022-02-02,7.3,7.4,7.2,7.3,2632375.0
KEYACOSMET,2022-02-03,7.3,7.4,7.1,7.1,2521907.0
KEYACOSMET,2022-02-06,7.2,7.3,7.1,7.1,1827645.0
KEYACOSMET,2022-02-07,7.2,7.3,7.0,7.1,3005462.0
KEYACOSMET,2022-02-08,7.1,7.2,7.0,7.1,2104854.0
KEYACOSMET,2022-02-09,7.2,7.7,7.2,7.3,8178212.0
KEYACOSMET,2022-02-10,7.3,7.4,7.3,7.3,1925306.0
KEYACOSMET,2022-02-13,7.4,7.5,7.3,7.3,4615899.0
KEYACOSMET,2022-02-14,7.4,7.4,7.2,7.2,2244197.0
KEYACOSMET,2022-02-15,7.2,7.3,7.1,7.2,2393279.0
KEYACOSMET,2022-02-16,7.3,7.3,7.1,7.2,1992091.0
KEYACOSMET,2022-02-17,7.2,7.2,7.1,7.1,2300726.0
KEYACOSMET,2022-02-20,7.1,7.2,7.0,7.1,2031064.0
KEYACOSMET,2022-02-22,7.1,7.2,7.0,7.1,1380283.0
KEYACOSMET,2022-02-23,7.1,7.3,7.1,7.3,3344490.0
KEYACOSMET,2022-02-24,7.4,7.5,7.1,7.2,7120436.0
KEYACOSMET,2022-02-27,7.2,7.2,6.9,7.0,5085609.0
KEYACOSMET,2022-02-28,7.1,7.3,7.0,7.2,4134054.0
KEYACOSMET,2022-03-01,7.3,7.8,7.1,7.5,22352389.0
KEYACOSMET,2022-03-02,7.5,7.7,7.3,7.5,6130204.0
KEYACOSMET,2022-03-03,7.5,7.6,7.3,7.5,6043041.0
KEYACOSMET,2022-03-06,7.5,8.0,7.5,7.8,17432691.0
KEYACOSMET,2022-03-07,7.8,7.9,7.4,7.5,11385139.0
KEYACOSMET,2022-03-08,7.5,7.7,7.3,7.6,9491119.0
KEYACOSMET,2022-03-09,7.6,7.9,7.6,7.8,10317520.0
KEYACOSMET,2022-03-10,7.9,7.9,7.7,7.7,7418941.0
KEYACOSMET,2022-03-13,7.6,8.3,7.6,8.0,16560828.0
KEYACOSMET,2022-03-14,8.2,8.4,8.0,8.3,17663559.0
KEYACOSMET,2022-03-15,8.3,8.6,8.2,8.4,14120108.0
KEYACOSMET,2022-03-16,8.4,8.5,8.3,8.3,8023431.0
KEYACOSMET,2022-03-20,8.2,8.3,8.2,8.2,2646680.0
KEYACOSMET,2022-03-21,8.1,8.1,8.1,8.1,552910.0
KEYACOSMET,2022-03-22,8.0,8.3,8.0,8.2,16073058.0
KEYACOSMET,2022-03-23,8.3,8.3,8.1,8.1,3879460.0
KEYACOSMET,2022-03-24,8.1,8.1,8.0,8.0,4717933.0
KEYACOSMET,2022-03-27,8.0,8.0,7.9,7.9,3653879.0
KEYACOSMET,2022-03-28,7.8,7.9,7.8,7.8,3303469.0
KEYACOSMET,2022-03-29,7.7,8.0,7.7,7.8,8314082.0
KEYACOSMET,2022-03-30,7.9,7.9,7.7,7.7,4727289.0
KEYACOSMET,2022-03-31,7.8,7.9,7.6,7.8,4059247.0
