symbol,date,open,high,low,close,volume
KOHINOOR,2022-01-02,402.0,402.0,398.5,399.7,2006.0
KOHINOOR,2022-01-03,400.0,408.0,399.2,404.7,9170.0
KOHINOOR,2022-01-04,396.0,408.0,396.0,400.7,1256.0
KOHINOOR,2022-01-05,400.0,403.5,398.0,399.2,5649.0
KOHINOOR,2022-01-06,404.9,405.0,395.5,396.8,8929.0
KOHINOOR,2022-01-09,399.0,402.0,393.0,396.6,8013.0
KOHINOOR,2022-01-10,400.0,400.0,394.3,398.4,6548.0
KOHINOOR,2022-01-11,400.0,405.0,394.0,395.4,5668.0
KOHINOOR,2022-01-12,396.1,399.9,390.0,393.7,4965.0
KOHINOOR,2022-01-13,395.8,405.0,393.0,403.2,10153.0
KOHINOOR,2022-01-16,407.0,414.0,400.0,407.9,9477.0
KOHINOOR,2022-01-17,412.0,412.0,403.0,404.5,4662.0
KOHINOOR,2022-01-18,404.5,410.0,404.5,406.4,8037.0
KOHINOOR,2022-01-19,406.4,411.9,406.4,407.4,9013.0
KOHINOOR,2022-01-20,407.4,408.5,401.3,401.9,4052.0
KOHINOOR,2022-01-23,402.0,405.0,397.2,403.1,5453.0
KOHINOOR,2022-01-24,409.0,438.3,404.0,431.0,71226.0
KOHINOOR,2022-01-25,436.0,439.7,420.1,422.8,26242.0
KOHINOOR,2022-01-26,426.5,426.5,408.0,410.6,19218.0
KOHINOOR,2022-01-27,413.6,419.0,410.0,412.1,9449.0
KOHINOOR,2022-01-30,408.5,415.0,408.5,414.1,13764.0
KOHINOOR,2022-01-31,417.8,417.8,405.2,407.1,22082.0
KOHINOOR,2022-02-01,417.0,417.0,409.6,411.0,8349.0
KOHINOOR,2022-02-02,408.3,414.7,407.1,410.0,7945.0
KOHINOOR,2022-02-03,414.4,414.4,407.0,407.8,12659.0
KOHINOOR,2022-02-06,407.5,412.8,407.1,409.1,6950.0
KOHINOOR,2022-02-07,412.0,412.0,407.2,408.8,4342.0
KOHINOOR,2022-02-08,423.3,423.3,407.1,408.0,4866.0
KOHINOOR,2022-02-09,410.0,411.9,407.1,410.0,4358.0
KOHINOOR,2022-02-10,407.1,411.0,405.0,408.7,5992.0
KOHINOOR,2022-02-13,410.1,412.4,408.9,410.7,6800.0
KOHINOOR,2022-02-14,412.0,415.0,408.8,409.4,6451.0
KOHINOOR,2022-02-15,410.0,417.0,408.4,412.3,5212.0
KOHINOOR,2022-02-16,415.0,423.0,410.5,420.1,19418.0
KOHINOOR,2022-02-17,421.0,438.9,420.1,428.5,63605.0
KOHINOOR,2022-02-20,430.0,435.0,421.5,425.9,22531.0
KOHINOOR,2022-02-22,429.8,429.8,416.0,418.8,14892.0
KOHINOOR,2022-02-23,426.8,426.8,412.5,412.9,12943.0
KOHINOOR,2022-02-24,423.0,423.0,410.5,411.1,12877.0
KOHINOOR,2022-02-27,402.2,406.0,397.0,398.3,11452.0
KOHINOOR,2022-02-28,404.0,408.0,401.1,402.5,5482.0
KOHINOOR,2022-03-01,406.0,408.9,401.0,402.6,6099.0
KOHINOOR,2022-03-02,401.0,404.5,396.6,400.2,3810.0
KOHINOOR,2022-03-03,416.0,416.0,396.0,399.8,3337.0
KOHINOOR,2022-03-06,400.0,405.0,399.0,400.6,4934.0
KOHINOOR,2022-03-07,409.0,409.0,392.3,393.0,9480.0
KOHINOOR,2022-03-08,395.0,399.9,390.0,396.2,5586.0
KOHINOOR,2022-03-09,400.0,405.1,395.0,398.5,5809.0
KOHINOOR,2022-03-10,408.9,408.9,393.2,396.0,10824.0
KOHINOOR,2022-03-13,396.0,399.6,395.7,397.7,6188.0
KOHINOOR,2022-03-14,396.5,405.0,396.5,400.4,2602.0
KOHINOOR,2022-03-15,396.2,408.6,396.2,398.5,2514.0
KOHINOOR,2022-03-16,402.0,402.0,398.1,399.1,6056.0
KOHINOOR,2022-03-20,405.0,405.0,399.0,400.2,6352.0
KOHINOOR,2022-03-21,400.0,401.0,399.0,399.3,2451.0
KOHINOOR,2022-03-22,408.9,408.9,400.0,400.9,5146.0
KOHINOOR,2022-03-23,401.3,403.9,399.8,400.1,5395.0
KOHINOOR,2022-03-24,403.0,403.0,400.0,400.7,1724.0
KOHINOOR,2022-03-27,400.7,403.0,400.0,400.6,2922.0
KOHINOOR,2022-03-28,400.4,404.5,400.4,402.6,2441.0
KOHINOOR,2022-03-29,402.6,405.0,400.0,402.4,4801.0
KOHINOOR,2022-03-30,400.1,404.9,399.0,399.6,5752.0
KOHINOOR,2022-03-31,396.6,402.4,396.6,400.2,1319.0
KOHINOOR,2022-04-03,401.1,401.1,399.0,400.0,558.0
KOHINOOR,2022-04-04,393.0,400.0,393.0,397.6,2919.0
KOHINOOR,2022-04-05,396.0,399.9,396.0,397.3,1453.0
