symbol,date,open,high,low,close,volume
KTL,2022-01-02,32.4,35.0,32.0,34.1,1416549.0
KTL,2022-01-03,34.0,35.0,34.0,34.7,2201076.0
KTL,2022-01-04,34.6,35.2,34.1,34.8,1821811.0
KTL,2022-01-05,35.0,37.0,34.6,36.6,4502271.0
KTL,2022-01-06,36.7,37.0,34.0,35.5,2784907.0
KTL,2022-01-09,35.2,36.1,33.6,34.0,1813061.0
KTL,2022-01-10,34.8,35.1,33.8,34.8,2656741.0
KTL,2022-01-11,34.0,35.6,33.5,35.1,1264871.0
KTL,2022-01-12,35.0,35.5,34.5,34.9,1375331.0
KTL,2022-01-13,34.5,35.4,34.5,35.1,1560368.0
KTL,2022-01-16,35.2,35.9,32.9,34.2,1055040.0
KTL,2022-01-17,34.5,34.7,32.2,32.7,924670.0
KTL,2022-01-18,34.0,35.3,33.3,34.9,1897723.0
KTL,2022-01-19,35.0,35.6,34.0,35.2,2966540.0
KTL,2022-01-20,35.0,35.0,33.1,33.9,819829.0
KTL,2022-01-23,32.6,33.5,31.5,32.3,861975.0
KTL,2022-01-24,32.8,33.6,30.7,31.5,1162778.0
KTL,2022-01-25,32.4,32.4,30.8,30.9,1496094.0
KTL,2022-01-26,31.0,31.5,30.0,30.2,1681295.0
KTL,2022-01-27,30.3,30.7,28.7,29.4,2867110.0
KTL,2022-01-30,29.4,29.8,28.1,28.5,742089.0
KTL,2022-01-31,28.4,29.8,27.8,29.1,774690.0
KTL,2022-02-01,29.6,30.2,29.1,29.8,943448.0
KTL,2022-02-02,30.0,30.6,29.6,30.3,805171.0
KTL,2022-02-03,30.5,33.3,30.1,33.2,6423227.0
KTL,2022-02-06,33.4,36.2,33.3,36.0,6079704.0
KTL,2022-02-07,35.0,36.5,33.8,36.2,3418833.0
KTL,2022-02-08,36.0,36.1,35.0,35.9,1701741.0
KTL,2022-02-09,35.6,38.6,35.4,38.4,5784473.0
KTL,2022-02-10,36.9,39.5,36.9,39.4,3090392.0
KTL,2022-02-13,39.4,40.1,38.0,38.8,2385258.0
KTL,2022-02-14,38.2,39.9,38.0,39.8,5297747.0
KTL,2022-02-15,40.4,40.4,38.8,39.7,1684660.0
KTL,2022-02-16,39.3,39.7,38.5,39.6,894710.0
KTL,2022-02-17,39.6,39.6,38.0,38.6,642656.0
KTL,2022-02-20,38.5,39.2,37.7,38.8,2000111.0
KTL,2022-02-22,38.5,39.7,38.1,38.8,3457123.0
KTL,2022-02-23,39.4,40.5,39.0,40.4,3790243.0
KTL,2022-02-24,40.6,41.0,38.5,40.4,1273366.0
KTL,2022-02-27,40.4,40.9,38.2,40.2,2030733.0
KTL,2022-02-28,39.4,40.4,38.0,39.1,1135338.0
KTL,2022-03-01,39.2,39.9,37.8,38.7,2148393.0
KTL,2022-03-02,38.6,38.9,37.0,38.6,645471.0
KTL,2022-03-03,38.3,38.8,37.5,38.7,898376.0
KTL,2022-03-06,38.2,38.6,37.3,38.5,596387.0
KTL,2022-03-07,38.2,38.8,37.0,38.0,746070.0
KTL,2022-03-08,38.2,38.2,37.0,38.0,775927.0
