symbol,date,open,high,low,close,volume
LANKABAFIN,2022-01-02,37.7,38.5,37.6,38.3,1936746.0
LANKABAFIN,2022-01-03,38.6,38.8,38.1,38.2,2222139.0
LANKABAFIN,2022-01-04,38.4,38.4,37.8,38.2,1703685.0
LANKABAFIN,2022-01-05,38.5,39.6,38.4,39.3,3046805.0
LANKABAFIN,2022-01-06,39.4,40.0,38.9,39.1,1924841.0
LANKABAFIN,2022-01-09,39.2,39.3,38.2,38.3,1968043.0
LANKABAFIN,2022-01-10,38.6,39.1,38.1,38.6,2224729.0
LANKABAFIN,2022-01-11,38.7,40.5,38.7,39.4,6817728.0
LANKABAFIN,2022-01-12,39.6,40.4,39.2,39.4,2925208.0
LANKABAFIN,2022-01-13,39.6,39.6,39.0,39.2,1736565.0
LANKABAFIN,2022-01-16,39.3,39.5,38.7,38.9,1761481.0
LANKABAFIN,2022-01-17,39.2,39.2,38.5,39.0,1943379.0
LANKABAFIN,2022-01-18,39.4,39.8,39.0,39.2,2315184.0
LANKABAFIN,2022-01-19,39.3,39.3,38.7,38.9,1677834.0
LANKABAFIN,2022-01-20,38.9,39.3,38.6,38.7,1959576.0
LANKABAFIN,2022-01-23,39.1,39.1,38.0,38.2,2185499.0
LANKABAFIN,2022-01-24,38.2,38.3,37.4,37.6,1768123.0
LANKABAFIN,2022-01-25,37.7,37.9,37.5,37.8,711302.0
LANKABAFIN,2022-01-26,38.1,39.1,37.8,38.7,1093924.0
LANKABAFIN,2022-01-27,38.7,39.1,38.3,38.5,873579.0
LANKABAFIN,2022-01-30,38.5,38.6,38.0,38.2,963240.0
LANKABAFIN,2022-01-31,38.6,38.8,37.7,37.8,1297043.0
LANKABAFIN,2022-02-01,38.1,38.5,37.8,38.2,1058919.0
LANKABAFIN,2022-02-02,38.3,38.6,37.8,38.0,1296111.0
LANKABAFIN,2022-02-03,38.3,38.7,38.1,38.5,1064574.0
LANKABAFIN,2022-02-06,38.7,39.5,38.4,39.3,2205326.0
LANKABAFIN,2022-02-07,39.4,39.9,39.2,39.4,2216876.0
LANKABAFIN,2022-02-08,39.5,41.5,39.4,40.6,6896023.0
LANKABAFIN,2022-02-09,40.4,40.9,39.7,39.9,2686924.0
LANKABAFIN,2022-02-10,40.1,40.2,39.1,39.4,2565425.0
LANKABAFIN,2022-02-13,39.6,39.6,39.0,39.2,1130066.0
LANKABAFIN,2022-02-14,39.4,39.7,39.0,39.2,1092776.0
LANKABAFIN,2022-02-15,39.2,39.2,38.2,38.4,1953434.0
LANKABAFIN,2022-02-16,38.6,38.8,37.8,38.0,1659846.0
LANKABAFIN,2022-02-17,38.2,38.2,37.1,37.4,1815885.0
LANKABAFIN,2022-02-20,37.5,37.5,36.6,36.8,1285692.0
LANKABAFIN,2022-02-22,36.9,37.4,36.0,36.7,1551670.0
LANKABAFIN,2022-02-23,37.0,37.1,36.7,36.8,787958.0
LANKABAFIN,2022-02-24,36.8,36.8,35.4,35.5,1957509.0
LANKABAFIN,2022-02-27,35.9,35.9,33.7,34.1,2226002.0
LANKABAFIN,2022-02-28,34.5,35.1,34.2,34.9,1201122.0
LANKABAFIN,2022-03-01,35.0,35.4,34.2,34.7,1556232.0
LANKABAFIN,2022-03-02,34.8,34.8,33.8,34.0,997824.0
LANKABAFIN,2022-03-03,34.0,34.0,33.2,33.8,915427.0
LANKABAFIN,2022-03-06,34.3,34.3,33.4,33.5,908684.0
LANKABAFIN,2022-03-07,33.6,33.6,31.3,31.6,1911841.0
LANKABAFIN,2022-03-08,31.9,32.4,29.9,31.9,2734913.0
LANKABAFIN,2022-03-09,32.6,33.4,32.5,33.3,1814979.0
LANKABAFIN,2022-03-10,33.4,34.0,32.9,33.8,1740054.0
LANKABAFIN,2022-03-13,33.8,34.7,33.7,34.5,1338251.0
LANKABAFIN,2022-03-14,34.7,35.0,34.1,34.2,983666.0
LANKABAFIN,2022-03-15,34.5,34.5,33.9,34.1,725800.0
LANKABAFIN,2022-03-16,34.4,34.4,33.8,33.9,496790.0
LANKABAFIN,2022-03-20,33.9,34.0,33.3,33.3,514373.0
LANKABAFIN,2022-03-21,33.1,33.4,32.7,32.8,803602.0
LANKABAFIN,2022-03-22,33.6,33.6,32.9,33.4,722458.0
LANKABAFIN,2022-03-23,33.4,33.5,32.9,32.9,758446.0
LANKABAFIN,2022-03-24,33.1,33.1,32.5,32.8,414803.0
LANKABAFIN,2022-03-27,32.7,32.8,32.2,32.3,532922.0
LANKABAFIN,2022-03-28,32.4,32.5,31.9,32.1,591857.0
LANKABAFIN,2022-03-29,32.1,32.8,32.1,32.2,812622.0
LANKABAFIN,2022-03-30,32.6,32.8,32.0,32.2,779796.0
LANKABAFIN,2022-03-31,32.4,32.5,32.0,32.3,574697.0
LANKABAFIN,2022-04-03,32.5,34.4,32.5,34.0,2168435.0
LANKABAFIN,2022-04-04,34.0,34.2,33.4,33.4,734539.0
LANKABAFIN,2022-04-05,33.0,33.2,32.8,32.8,840251.0
LANKABAFIN,2022-04-06,32.8,32.8,32.2,32.2,946494.0
LANKABAFIN,2022-04-07,32.3,32.3,31.6,31.7,679692.0
LANKABAFIN,2022-04-10,32.3,32.3,31.7,31.9,590806.0
LANKABAFIN,2022-04-11,32.0,32.7,31.3,31.5,1252719.0
LANKABAFIN,2022-04-12,31.2,31.5,29.7,30.2,2857095.0
LANKABAFIN,2022-04-13,30.2,30.4,29.6,30.0,831594.0
LANKABAFIN,2022-04-17,30.0,30.6,29.4,29.6,561311.0
LANKABAFIN,2022-04-18,29.8,29.8,29.1,29.1,413444.0
LANKABAFIN,2022-04-19,29.6,29.6,28.6,29.2,914822.0
LANKABAFIN,2022-04-20,29.8,30.5,29.0,30.2,928250.0
LANKABAFIN,2022-04-21,30.5,32.5,30.4,32.0,1656539.0
LANKABAFIN,2022-04-24,32.7,34.5,32.4,33.7,3503265.0
LANKABAFIN,2022-04-25,33.7,33.9,32.9,33.3,1884943.0
LANKABAFIN,2022-04-26,33.5,33.6,32.5,32.7,1232124.0
LANKABAFIN,2022-04-27,33.1,33.7,32.0,32.2,1111597.0
