symbol,date,open,high,low,close,volume
LEGACYFOOT,2022-01-02,66.0,67.9,65.3,67.1,55969.0
LEGACYFOOT,2022-01-03,66.6,67.7,66.4,66.5,54940.0
LEGACYFOOT,2022-01-04,67.0,67.0,65.5,65.7,35999.0
LEGACYFOOT,2022-01-05,65.5,67.2,65.5,65.7,43555.0
LEGACYFOOT,2022-01-06,65.5,66.5,65.4,66.1,77154.0
LEGACYFOOT,2022-01-09,65.9,67.2,64.4,65.1,145978.0
LEGACYFOOT,2022-01-10,65.1,66.8,64.9,65.3,47794.0
LEGACYFOOT,2022-01-11,66.0,66.5,65.3,66.0,82909.0
LEGACYFOOT,2022-01-12,66.2,66.4,64.2,64.5,68021.0
LEGACYFOOT,2022-01-13,64.6,65.9,64.1,64.7,50966.0
LEGACYFOOT,2022-01-16,66.5,69.3,65.5,68.6,189893.0
LEGACYFOOT,2022-01-17,68.6,69.9,66.4,66.8,102198.0
LEGACYFOOT,2022-01-18,68.0,68.0,65.8,66.2,100695.0
LEGACYFOOT,2022-01-19,67.5,68.6,66.6,67.9,91330.0
LEGACYFOOT,2022-01-20,68.0,68.4,66.7,67.0,84848.0
LEGACYFOOT,2022-01-23,67.0,67.0,65.0,65.4,71346.0
LEGACYFOOT,2022-01-24,65.4,66.5,64.3,64.4,52184.0
LEGACYFOOT,2022-01-25,64.7,65.4,62.7,63.7,70492.0
LEGACYFOOT,2022-01-26,65.5,65.5,62.8,63.1,63687.0
LEGACYFOOT,2022-01-27,64.3,67.3,62.0,66.8,184609.0
LEGACYFOOT,2022-01-30,66.2,66.2,63.4,64.1,54793.0
LEGACYFOOT,2022-01-31,65.0,65.0,62.0,62.9,82873.0
LEGACYFOOT,2022-02-01,62.0,65.0,59.3,64.3,95875.0
LEGACYFOOT,2022-02-02,64.9,64.9,63.0,64.5,27172.0
LEGACYFOOT,2022-02-03,64.0,64.9,62.7,62.8,42632.0
LEGACYFOOT,2022-02-06,64.0,64.0,61.7,61.9,57291.0
LEGACYFOOT,2022-02-07,63.0,63.0,61.7,61.9,32443.0
LEGACYFOOT,2022-02-08,61.9,63.2,61.5,61.9,53174.0
LEGACYFOOT,2022-02-09,63.0,63.0,61.5,62.7,67157.0
LEGACYFOOT,2022-02-10,62.3,63.8,62.3,63.1,65370.0
LEGACYFOOT,2022-02-13,64.0,64.0,62.8,63.0,30861.0
LEGACYFOOT,2022-02-14,62.5,63.3,62.3,62.6,37359.0
LEGACYFOOT,2022-02-15,62.0,63.7,62.0,63.4,51446.0
LEGACYFOOT,2022-02-16,63.4,66.8,63.4,65.9,190203.0
LEGACYFOOT,2022-02-17,66.8,67.8,64.8,65.5,190907.0
LEGACYFOOT,2022-02-20,66.0,69.4,66.0,67.9,490702.0
LEGACYFOOT,2022-02-22,68.5,69.0,66.2,66.8,172848.0
LEGACYFOOT,2022-02-23,66.0,66.9,64.3,64.9,127325.0
LEGACYFOOT,2022-02-24,64.2,64.9,62.5,63.6,151776.0
LEGACYFOOT,2022-02-27,62.7,63.6,61.2,61.9,86805.0
LEGACYFOOT,2022-02-28,63.9,63.9,62.0,62.4,47293.0
LEGACYFOOT,2022-03-01,63.0,63.7,62.0,62.1,36282.0
LEGACYFOOT,2022-03-02,62.3,62.3,60.3,61.2,53931.0
LEGACYFOOT,2022-03-03,61.1,61.8,60.2,60.7,26206.0
LEGACYFOOT,2022-03-06,62.0,62.0,60.2,60.6,16662.0
LEGACYFOOT,2022-03-07,60.6,60.6,57.0,57.5,37507.0
LEGACYFOOT,2022-03-08,60.6,61.0,57.3,59.9,33894.0
LEGACYFOOT,2022-03-09,60.2,62.7,60.2,62.2,62326.0
LEGACYFOOT,2022-03-10,63.9,63.9,61.0,61.1,31612.0
LEGACYFOOT,2022-03-13,61.1,61.8,60.0,60.8,52788.0
LEGACYFOOT,2022-03-14,62.2,62.7,61.0,62.1,49466.0
LEGACYFOOT,2022-03-15,62.2,62.7,60.9,62.0,66357.0
LEGACYFOOT,2022-03-16,60.9,63.5,60.8,62.5,64788.0
LEGACYFOOT,2022-03-20,63.0,63.0,61.3,61.3,78790.0
LEGACYFOOT,2022-03-21,61.0,61.4,60.1,60.2,46535.0
LEGACYFOOT,2022-03-22,61.8,62.1,60.7,61.7,42211.0
LEGACYFOOT,2022-03-23,61.7,61.7,60.5,60.5,72297.0
LEGACYFOOT,2022-03-24,60.5,61.0,59.3,59.5,134829.0
LEGACYFOOT,2022-03-27,59.8,61.2,59.5,60.4,34331.0
LEGACYFOOT,2022-03-28,61.0,61.9,61.0,61.7,81874.0
LEGACYFOOT,2022-03-29,61.7,62.3,60.5,60.5,79874.0
LEGACYFOOT,2022-03-30,60.9,60.9,59.4,59.7,45876.0
LEGACYFOOT,2022-03-31,59.5,60.0,59.0,59.1,55071.0
LEGACYFOOT,2022-04-03,59.8,60.0,58.5,58.7,22796.0
LEGACYFOOT,2022-04-04,59.0,59.2,58.1,58.7,23958.0
LEGACYFOOT,2022-04-05,58.7,58.7,58.1,58.5,19670.0
LEGACYFOOT,2022-04-06,58.1,58.4,57.4,57.9,16436.0
LEGACYFOOT,2022-04-07,57.5,57.9,57.1,57.6,12937.0
LEGACYFOOT,2022-04-10,57.5,59.0,57.4,57.6,18298.0
LEGACYFOOT,2022-04-11,57.7,58.0,57.5,57.7,17995.0
LEGACYFOOT,2022-04-12,57.7,58.6,57.5,57.7,26027.0
LEGACYFOOT,2022-04-13,57.7,58.7,57.5,58.3,19922.0
LEGACYFOOT,2022-04-17,59.7,59.7,57.5,57.6,13560.0
LEGACYFOOT,2022-04-18,57.6,57.6,56.5,56.5,27557.0
LEGACYFOOT,2022-04-19,55.4,58.0,55.4,56.9,28237.0
LEGACYFOOT,2022-04-20,58.1,58.1,56.1,57.1,14947.0
LEGACYFOOT,2022-04-21,58.9,58.9,57.0,57.2,26001.0
LEGACYFOOT,2022-04-24,57.4,58.3,57.2,57.8,17020.0
LEGACYFOOT,2022-04-25,59.6,59.6,56.8,56.9,23565.0
LEGACYFOOT,2022-04-26,57.0,58.5,56.6,57.1,7244.0
LEGACYFOOT,2022-04-27,57.8,58.3,57.0,57.2,13221.0
LEGACYFOOT,2022-04-28,57.0,58.8,56.6,56.8,18128.0
LEGACYFOOT,2022-05-05,58.7,58.7,57.2,57.6,3038.0
LEGACYFOOT,2022-05-08,58.9,58.9,57.4,58.1,24886.0
LEGACYFOOT,2022-05-09,58.7,61.0,58.3,60.8,118079.0
LEGACYFOOT,2022-05-10,60.7,62.6,60.5,60.7,93931.0
LEGACYFOOT,2022-05-11,60.1,61.8,59.5,60.1,89198.0
LEGACYFOOT,2022-05-12,60.0,60.0,59.0,59.3,35983.0
LEGACYFOOT,2022-05-16,57.8,59.0,56.8,56.9,68872.0
LEGACYFOOT,2022-05-17,58.3,58.3,55.0,56.0,15309.0
LEGACYFOOT,2022-05-18,58.9,58.9,53.7,53.8,72962.0
LEGACYFOOT,2022-05-19,53.2,55.0,53.2,54.0,8038.0
LEGACYFOOT,2022-05-22,54.2,55.0,52.9,53.3,21242.0
LEGACYFOOT,2022-05-23,57.0,57.0,54.0,55.3,7694.0
LEGACYFOOT,2022-05-24,56.0,56.0,53.0,54.3,30969.0
LEGACYFOOT,2022-05-25,54.3,54.3,52.5,52.8,34999.0
LEGACYFOOT,2022-05-26,52.5,55.0,52.5,53.2,35933.0
LEGACYFOOT,2022-05-29,55.3,56.2,53.9,55.8,30010.0
LEGACYFOOT,2022-05-30,54.8,57.4,54.8,55.0,38558.0
LEGACYFOOT,2022-05-31,55.9,55.9,54.3,54.9,11764.0
LEGACYFOOT,2022-06-01,54.2,59.0,54.2,58.5,68947.0
LEGACYFOOT,2022-06-02,60.0,60.2,57.4,57.9,57510.0
LEGACYFOOT,2022-06-05,57.4,58.9,57.1,57.3,24435.0
LEGACYFOOT,2022-06-06,61.0,61.0,56.2,57.3,43940.0
LEGACYFOOT,2022-06-07,56.3,57.4,56.3,57.0,20103.0
LEGACYFOOT,2022-06-08,56.5,57.7,56.3,57.3,35571.0
LEGACYFOOT,2022-06-09,60.4,60.4,57.0,57.4,22780.0
LEGACYFOOT,2022-06-12,56.7,57.7,56.3,56.3,47845.0
LEGACYFOOT,2022-06-13,55.5,58.0,55.3,55.9,30721.0
LEGACYFOOT,2022-06-14,56.2,56.7,55.0,55.3,27425.0
LEGACYFOOT,2022-06-15,56.4,59.5,56.4,58.9,92287.0
LEGACYFOOT,2022-06-16,60.8,60.8,58.4,58.7,45690.0
LEGACYFOOT,2022-06-19,59.0,59.5,57.6,58.2,55969.0
LEGACYFOOT,2022-06-20,57.3,58.6,57.1,57.1,42977.0
LEGACYFOOT,2022-06-21,58.5,58.5,56.0,56.9,26465.0
LEGACYFOOT,2022-06-22,56.4,59.1,56.4,58.8,51215.0
LEGACYFOOT,2022-06-23,58.6,59.6,58.5,58.7,70569.0
LEGACYFOOT,2022-06-26,58.1,59.2,58.0,58.3,42008.0
LEGACYFOOT,2022-06-27,57.6,59.2,57.6,59.0,59960.0
LEGACYFOOT,2022-06-28,58.0,59.0,58.0,58.2,56286.0
LEGACYFOOT,2022-06-29,58.1,61.8,58.0,60.7,83560.0
LEGACYFOOT,2022-06-30,61.1,65.0,61.1,63.6,365291.0
LEGACYFOOT,2022-07-03,63.0,65.0,62.8,63.7,156063.0
LEGACYFOOT,2022-07-04,62.6,63.9,62.5,63.4,88454.0
LEGACYFOOT,2022-07-05,64.1,64.1,62.2,62.5,103690.0
LEGACYFOOT,2022-07-06,62.4,63.8,62.4,63.4,49265.0
LEGACYFOOT,2022-07-07,63.5,66.8,63.5,66.2,309233.0
LEGACYFOOT,2022-07-12,68.9,68.9,66.2,66.7,89784.0
LEGACYFOOT,2022-07-13,65.8,67.0,65.4,65.5,54687.0
LEGACYFOOT,2022-07-14,65.0,66.8,64.2,66.6,107281.0
LEGACYFOOT,2022-07-17,66.1,67.6,65.3,65.9,88806.0
LEGACYFOOT,2022-07-18,65.9,65.9,64.6,64.6,78854.0
LEGACYFOOT,2022-07-19,64.0,64.0,63.4,63.4,10634.0
LEGACYFOOT,2022-07-20,64.5,64.5,62.2,62.8,74082.0
LEGACYFOOT,2022-07-21,63.6,63.6,61.6,61.6,52804.0
LEGACYFOOT,2022-07-24,65.7,65.7,60.4,60.4,6944.0
LEGACYFOOT,2022-07-25,60.4,60.4,59.2,60.1,51137.0
LEGACYFOOT,2022-07-26,63.7,63.7,58.9,58.9,43746.0
LEGACYFOOT,2022-07-27,57.9,58.1,57.8,57.8,22789.0
LEGACYFOOT,2022-07-28,57.5,57.5,56.7,56.7,14807.0
LEGACYFOOT,2022-07-31,58.7,60.0,58.7,59.6,17207.0
LEGACYFOOT,2022-08-01,60.0,61.4,59.0,59.9,19648.0
LEGACYFOOT,2022-08-02,61.4,61.4,58.8,60.1,33632.0
LEGACYFOOT,2022-08-03,62.9,62.9,59.7,59.8,30547.0
LEGACYFOOT,2022-08-04,59.8,59.9,58.7,58.8,63317.0
LEGACYFOOT,2022-08-07,59.0,59.9,58.8,58.9,25948.0
LEGACYFOOT,2022-08-08,62.0,62.0,58.8,59.3,46026.0
LEGACYFOOT,2022-08-10,59.0,59.8,58.7,58.7,48766.0
LEGACYFOOT,2022-08-11,58.9,59.7,58.7,59.2,38692.0
LEGACYFOOT,2022-08-14,61.8,61.8,58.8,59.9,37389.0
LEGACYFOOT,2022-08-16,60.0,63.5,60.0,62.8,129093.0
LEGACYFOOT,2022-08-17,63.6,63.6,61.0,61.3,29095.0
LEGACYFOOT,2022-08-21,60.0,62.9,60.0,62.7,205483.0
LEGACYFOOT,2022-08-22,63.0,64.7,61.5,61.9,139292.0
LEGACYFOOT,2022-08-23,64.0,64.0,61.6,62.2,98637.0
LEGACYFOOT,2022-08-24,61.6,63.2,61.6,61.8,51951.0
LEGACYFOOT,2022-08-25,61.9,64.5,61.9,63.0,173284.0
LEGACYFOOT,2022-08-28,64.4,65.9,62.1,62.5,132514.0
LEGACYFOOT,2022-08-29,62.9,63.5,62.5,62.9,84821.0
LEGACYFOOT,2022-08-30,62.9,64.2,62.5,62.6,80516.0
LEGACYFOOT,2022-08-31,63.6,63.8,62.0,62.6,115641.0
LEGACYFOOT,2022-09-01,62.2,65.1,62.1,64.8,144957.0
LEGACYFOOT,2022-09-04,64.8,68.4,64.6,65.2,239921.0
LEGACYFOOT,2022-09-05,65.9,65.9,62.7,62.9,78432.0
LEGACYFOOT,2022-09-06,65.7,65.7,62.5,64.5,140176.0
LEGACYFOOT,2022-09-07,66.5,67.0,63.0,63.4,109339.0
LEGACYFOOT,2022-09-08,64.5,64.5,62.0,62.4,68157.0
LEGACYFOOT,2022-09-11,62.3,62.9,60.5,61.5,121574.0
LEGACYFOOT,2022-09-12,60.0,62.0,59.5,59.9,85154.0
LEGACYFOOT,2022-09-13,59.9,62.2,59.8,60.6,46828.0
LEGACYFOOT,2022-09-14,61.0,64.4,60.7,61.4,149644.0
LEGACYFOOT,2022-09-15,61.5,65.2,61.4,64.7,187144.0
LEGACYFOOT,2022-09-18,65.3,66.9,62.2,62.5,271500.0
LEGACYFOOT,2022-09-19,62.6,63.9,61.7,62.3,174910.0
LEGACYFOOT,2022-09-20,62.2,63.5,59.5,60.2,246082.0
LEGACYFOOT,2022-09-21,59.7,61.0,59.3,59.4,124759.0
LEGACYFOOT,2022-09-22,59.0,60.9,59.0,59.9,92548.0
LEGACYFOOT,2022-09-25,60.1,61.9,60.1,60.8,60103.0
LEGACYFOOT,2022-09-26,60.5,62.7,59.1,59.8,51656.0
