symbol,date,open,high,low,close,volume
LHB,2022-01-02,71.9,74.8,71.9,74.3,1096006.0
LHB,2022-01-03,74.6,77.0,74.0,75.1,1964221.0
LHB,2022-01-04,75.2,77.8,74.0,77.4,2020142.0
LHB,2022-01-05,78.0,79.5,77.6,77.8,2318720.0
LHB,2022-01-06,78.9,83.5,78.5,81.5,5494246.0
LHB,2022-01-09,84.0,85.0,81.0,81.5,6653122.0
LHB,2022-01-10,82.0,83.7,80.0,83.2,6206789.0
LHB,2022-01-11,84.3,85.4,81.7,82.5,5423226.0
LHB,2022-01-12,82.7,83.1,79.3,79.7,3786518.0
LHB,2022-01-13,79.8,81.9,79.8,80.5,2062436.0
LHB,2022-01-16,81.7,81.8,78.8,79.4,2400088.0
LHB,2022-01-17,80.3,81.3,79.2,80.5,2642125.0
LHB,2022-01-18,81.1,82.0,79.2,79.6,2674192.0
LHB,2022-01-19,79.8,80.3,78.5,78.9,2518408.0
LHB,2022-01-20,79.0,79.0,76.8,77.0,2811075.0
LHB,2022-01-23,77.0,77.0,74.7,75.0,2325887.0
LHB,2022-01-24,75.1,77.3,75.0,75.2,1753426.0
LHB,2022-01-25,76.6,77.0,75.2,75.5,1364466.0
LHB,2022-01-26,76.0,76.3,75.2,75.5,844388.0
LHB,2022-01-27,75.9,76.2,74.9,75.3,1317401.0
LHB,2022-01-30,76.0,77.9,75.8,76.4,2565056.0
LHB,2022-01-31,77.4,77.9,75.7,76.0,1994908.0
LHB,2022-02-01,80.1,83.5,79.6,80.7,11218992.0
LHB,2022-02-02,81.2,82.0,79.6,79.8,3226319.0
LHB,2022-02-03,79.3,79.6,77.7,78.0,3180025.0
LHB,2022-02-06,78.3,80.0,77.5,79.6,2235227.0
LHB,2022-02-07,80.0,81.6,79.4,79.6,2736368.0
LHB,2022-02-08,80.1,80.3,78.7,78.9,1752950.0
LHB,2022-02-09,78.7,79.5,78.0,79.0,1735854.0
LHB,2022-02-10,79.5,79.8,78.9,79.1,1413952.0
LHB,2022-02-13,79.8,79.8,79.0,79.1,1526215.0
LHB,2022-02-14,79.2,79.4,77.6,77.8,1296970.0
LHB,2022-02-15,77.7,78.7,77.6,78.0,840274.0
LHB,2022-02-16,78.5,79.5,77.9,78.3,1562874.0
LHB,2022-02-17,78.2,78.3,77.0,77.5,1156449.0
LHB,2022-02-20,77.9,77.9,76.7,77.0,1454131.0
LHB,2022-02-23,75.3,75.5,73.7,74.0,2200008.0
LHB,2022-02-24,74.0,74.7,71.4,71.9,1516198.0
LHB,2022-02-27,71.9,71.9,68.2,69.0,2290565.0
LHB,2022-02-28,69.2,70.8,68.1,68.7,1360689.0
