symbol,date,open,high,low,close,volume
LINDEBD,2022-01-02,1600.0,1650.0,1592.0,1638.9,34751.0
LINDEBD,2022-01-03,1640.0,1641.0,1601.0,1604.6,29066.0
LINDEBD,2022-01-04,1622.0,1622.0,1596.0,1603.6,18099.0
LINDEBD,2022-01-05,1603.7,1611.8,1585.2,1588.8,20941.0
LINDEBD,2022-01-06,1597.9,1604.8,1588.0,1593.4,27592.0
LINDEBD,2022-01-09,1609.9,1609.9,1592.0,1594.5,23050.0
LINDEBD,2022-01-10,1606.0,1624.7,1593.2,1605.8,17085.0
LINDEBD,2022-01-11,1615.8,1628.9,1600.0,1620.2,25706.0
LINDEBD,2022-01-12,1617.0,1720.0,1617.0,1661.0,64269.0
LINDEBD,2022-01-13,1690.0,1720.0,1676.0,1703.8,73769.0
LINDEBD,2022-01-16,1717.9,1769.0,1717.9,1758.1,75089.0
LINDEBD,2022-01-17,1769.0,1775.0,1726.0,1735.0,49053.0
LINDEBD,2022-01-18,1735.1,1755.0,1701.7,1737.1,50300.0
LINDEBD,2022-01-19,1740.0,1778.0,1737.2,1768.8,52490.0
LINDEBD,2022-01-20,1775.0,1878.0,1775.0,1864.4,137330.0
LINDEBD,2022-01-23,1930.9,1979.8,1876.0,1937.9,151068.0
LINDEBD,2022-01-24,1934.9,1969.9,1890.0,1932.3,95921.0
LINDEBD,2022-01-25,1948.0,1968.0,1893.2,1904.8,80040.0
LINDEBD,2022-01-26,1911.0,1911.0,1835.4,1849.9,76858.0
LINDEBD,2022-01-27,1852.0,1860.0,1816.1,1820.8,39848.0
LINDEBD,2022-01-30,1825.1,1874.0,1801.2,1859.9,56513.0
LINDEBD,2022-01-31,1863.0,1869.5,1820.1,1824.3,29045.0
LINDEBD,2022-02-01,1824.4,1839.0,1771.0,1773.9,75064.0
LINDEBD,2022-02-02,1779.0,1788.9,1751.5,1759.1,33163.0
LINDEBD,2022-02-03,1768.7,1799.0,1755.0,1761.0,30546.0
LINDEBD,2022-02-06,1771.0,1794.0,1760.0,1768.3,19107.0
LINDEBD,2022-02-07,1788.6,1788.6,1759.0,1761.1,23283.0
LINDEBD,2022-02-08,1785.0,1787.0,1739.0,1745.6,24228.0
LINDEBD,2022-02-09,1746.0,1829.8,1746.0,1785.2,40367.0
LINDEBD,2022-02-10,1791.1,1820.0,1778.0,1796.6,23262.0
LINDEBD,2022-02-13,1794.1,1900.0,1794.1,1872.4,71528.0
LINDEBD,2022-02-14,1890.0,1909.9,1841.0,1854.0,49376.0
LINDEBD,2022-02-15,1842.0,1860.0,1830.0,1833.9,49846.0
LINDEBD,2022-02-16,1840.0,1860.0,1831.0,1841.0,27056.0
LINDEBD,2022-02-17,1841.3,1844.0,1805.0,1808.6,51323.0
LINDEBD,2022-02-20,1818.9,1869.0,1806.0,1860.3,63491.0
LINDEBD,2022-02-22,1875.0,1887.9,1808.0,1813.1,42740.0
LINDEBD,2022-02-23,1828.0,1828.0,1776.2,1786.5,55900.0
LINDEBD,2022-02-24,1807.9,1807.9,1742.0,1755.0,45822.0
LINDEBD,2022-02-27,1754.0,1754.0,1695.0,1697.1,36677.0
LINDEBD,2022-02-28,1749.5,1749.5,1700.0,1707.0,16349.0
LINDEBD,2022-03-01,1690.0,1698.9,1660.2,1662.7,38302.0
LINDEBD,2022-03-02,1679.0,1679.0,1615.2,1622.4,22766.0
LINDEBD,2022-03-03,1608.1,1719.0,1600.0,1679.2,32528.0
LINDEBD,2022-03-06,1700.0,1705.1,1612.0,1627.7,46882.0
LINDEBD,2022-03-07,1621.0,1628.5,1585.1,1593.8,26052.0
LINDEBD,2022-03-08,1609.0,1637.0,1570.1,1602.3,23421.0
LINDEBD,2022-03-09,1640.0,1640.0,1591.2,1615.1,29360.0
LINDEBD,2022-03-10,1615.3,1628.8,1582.8,1583.1,45537.0
LINDEBD,2022-03-13,1540.0,1560.0,1520.0,1551.7,37928.0
LINDEBD,2022-03-14,1555.0,1633.0,1552.1,1611.5,26674.0
LINDEBD,2022-03-15,1605.5,1613.5,1590.0,1601.3,17890.0
LINDEBD,2022-03-16,1595.5,1606.9,1590.0,1596.6,17517.0
LINDEBD,2022-03-20,1610.0,1612.0,1580.0,1587.7,18032.0
LINDEBD,2022-03-21,1581.0,1589.9,1565.0,1586.7,12095.0
LINDEBD,2022-03-22,1593.0,1593.5,1570.0,1574.9,24398.0
LINDEBD,2022-03-23,1607.3,1607.3,1576.1,1576.6,11449.0
LINDEBD,2022-03-24,1574.8,1587.0,1565.0,1569.5,9232.0
LINDEBD,2022-03-27,1575.0,1579.8,1561.1,1566.7,10354.0
LINDEBD,2022-03-28,1561.0,1597.0,1561.0,1591.0,8762.0
LINDEBD,2022-03-29,1582.1,1601.0,1582.0,1583.0,9876.0
LINDEBD,2022-03-30,1589.0,1592.0,1579.1,1581.4,20658.0
LINDEBD,2022-04-03,1549.8,1552.0,1549.8,1549.8,19954.0
LINDEBD,2022-04-04,1527.1,1541.5,1523.1,1523.8,6803.0
LINDEBD,2022-04-05,1545.0,1545.0,1510.0,1511.5,7945.0
LINDEBD,2022-04-06,1534.0,1534.0,1500.1,1501.9,8820.0
LINDEBD,2022-04-07,1495.0,1500.0,1488.0,1491.1,4182.0
LINDEBD,2022-04-10,1497.0,1497.0,1481.0,1488.2,3368.0
LINDEBD,2022-04-11,1488.2,1488.2,1460.0,1461.9,9581.0
LINDEBD,2022-04-12,1462.0,1462.1,1434.0,1443.9,5856.0
LINDEBD,2022-04-13,1426.0,1453.8,1426.0,1438.6,5073.0
