symbol,date,open,high,low,close,volume
LRGLOBMF1,2022-01-02,6.9,7.0,6.9,6.9,70009.0
LRGLOBMF1,2022-01-03,7.0,7.1,6.9,7.0,550431.0
LRGLOBMF1,2022-01-04,7.0,7.1,6.9,7.0,306725.0
LRGLOBMF1,2022-01-05,7.0,7.0,6.9,6.9,123410.0
LRGLOBMF1,2022-01-06,7.0,7.1,6.9,7.0,903837.0
LRGLOBMF1,2022-01-09,7.0,7.1,6.9,6.9,366574.0
LRGLOBMF1,2022-01-10,6.9,7.0,6.8,6.9,668232.0
LRGLOBMF1,2022-01-11,7.0,7.2,6.9,7.1,1750870.0
LRGLOBMF1,2022-01-12,7.1,7.2,6.9,6.9,2539531.0
LRGLOBMF1,2022-01-13,7.0,7.1,6.9,7.0,1117978.0
LRGLOBMF1,2022-01-16,6.9,7.0,6.8,6.8,2253736.0
LRGLOBMF1,2022-01-17,6.9,7.0,6.8,6.8,832097.0
LRGLOBMF1,2022-01-18,6.8,7.0,6.8,7.0,1331742.0
LRGLOBMF1,2022-01-19,7.0,7.0,6.9,7.0,903828.0
LRGLOBMF1,2022-01-20,7.0,7.1,6.9,7.0,997168.0
LRGLOBMF1,2022-01-23,7.0,7.0,6.9,7.0,572283.0
LRGLOBMF1,2022-01-24,7.0,7.0,6.9,7.0,286367.0
LRGLOBMF1,2022-01-25,7.0,7.0,6.9,7.0,407665.0
LRGLOBMF1,2022-01-26,7.0,7.0,6.9,6.9,360458.0
LRGLOBMF1,2022-01-27,6.9,6.9,6.8,6.8,536252.0
LRGLOBMF1,2022-01-30,6.8,6.9,6.8,6.9,269155.0
LRGLOBMF1,2022-01-31,6.9,6.9,6.7,6.8,553586.0
LRGLOBMF1,2022-02-01,6.8,6.9,6.8,6.9,243320.0
LRGLOBMF1,2022-02-02,6.9,6.9,6.8,6.9,285906.0
LRGLOBMF1,2022-02-03,6.8,6.9,6.8,6.9,367504.0
LRGLOBMF1,2022-02-06,6.9,6.9,6.8,6.9,277862.0
LRGLOBMF1,2022-02-07,6.8,6.9,6.8,6.8,173770.0
LRGLOBMF1,2022-02-08,6.8,6.9,6.8,6.8,259896.0
LRGLOBMF1,2022-02-09,6.9,6.9,6.8,6.8,509542.0
LRGLOBMF1,2022-02-10,6.8,6.9,6.8,6.9,289720.0
LRGLOBMF1,2022-02-13,6.9,6.9,6.8,6.8,272794.0
LRGLOBMF1,2022-02-14,6.9,6.9,6.8,6.8,680227.0
LRGLOBMF1,2022-02-15,6.9,6.9,6.8,6.8,534234.0
LRGLOBMF1,2022-02-16,6.8,6.8,6.7,6.8,454479.0
LRGLOBMF1,2022-02-17,6.8,6.9,6.7,6.7,222487.0
LRGLOBMF1,2022-02-20,6.7,6.8,6.7,6.7,423230.0
LRGLOBMF1,2022-02-22,6.8,6.8,6.6,6.6,108999.0
LRGLOBMF1,2022-02-23,6.7,6.8,6.7,6.7,142689.0
LRGLOBMF1,2022-02-24,6.7,6.9,6.7,6.8,1359789.0
LRGLOBMF1,2022-02-27,6.7,6.7,6.5,6.6,350139.0
LRGLOBMF1,2022-02-28,6.6,6.7,6.6,6.6,174843.0
LRGLOBMF1,2022-03-01,6.6,6.7,6.6,6.6,70272.0
LRGLOBMF1,2022-03-02,6.6,6.6,6.5,6.6,142026.0
LRGLOBMF1,2022-03-03,6.6,6.6,6.5,6.6,86626.0
LRGLOBMF1,2022-03-06,6.6,6.7,6.6,6.7,168284.0
LRGLOBMF1,2022-03-07,6.6,6.6,6.4,6.4,387112.0
LRGLOBMF1,2022-03-08,6.5,6.6,6.4,6.5,172307.0
LRGLOBMF1,2022-03-09,6.5,6.6,6.5,6.6,131580.0
LRGLOBMF1,2022-03-10,6.7,6.7,6.6,6.6,287347.0
LRGLOBMF1,2022-03-13,6.6,6.8,6.6,6.7,227050.0
LRGLOBMF1,2022-03-14,6.7,6.8,6.7,6.8,205751.0
LRGLOBMF1,2022-03-15,6.8,7.1,6.8,7.0,1287774.0
LRGLOBMF1,2022-03-16,7.0,7.0,6.9,6.9,177159.0
LRGLOBMF1,2022-03-20,6.8,6.8,6.8,6.8,118001.0
LRGLOBMF1,2022-03-21,6.8,6.8,6.7,6.7,212492.0
LRGLOBMF1,2022-03-22,6.7,6.8,6.7,6.8,119603.0
LRGLOBMF1,2022-03-23,6.8,6.8,6.7,6.8,76017.0
LRGLOBMF1,2022-03-24,6.8,6.8,6.7,6.7,42233.0
LRGLOBMF1,2022-03-27,6.8,6.8,6.7,6.7,146750.0
LRGLOBMF1,2022-03-28,6.7,6.8,6.6,6.7,178812.0
LRGLOBMF1,2022-03-29,6.7,6.8,6.7,6.8,216022.0
LRGLOBMF1,2022-03-30,6.8,6.8,6.7,6.8,62478.0
LRGLOBMF1,2022-03-31,6.7,6.8,6.7,6.7,331468.0
LRGLOBMF1,2022-04-03,6.7,6.8,6.6,6.7,77123.0
LRGLOBMF1,2022-04-04,6.7,6.7,6.6,6.6,152618.0
LRGLOBMF1,2022-04-05,6.7,6.7,6.6,6.6,83540.0
LRGLOBMF1,2022-04-06,6.7,6.7,6.6,6.6,20116.0
LRGLOBMF1,2022-04-07,6.6,6.7,6.6,6.6,233151.0
LRGLOBMF1,2022-04-10,6.6,6.6,6.5,6.5,107040.0
LRGLOBMF1,2022-04-11,6.5,6.6,6.5,6.6,216154.0
LRGLOBMF1,2022-04-12,6.6,6.6,6.5,6.5,350377.0
LRGLOBMF1,2022-04-13,6.5,6.6,6.4,6.5,207358.0
LRGLOBMF1,2022-04-17,6.5,6.6,6.5,6.5,123176.0
LRGLOBMF1,2022-04-18,6.5,6.5,6.5,6.5,136430.0
LRGLOBMF1,2022-04-19,6.5,6.6,6.4,6.5,45655.0
LRGLOBMF1,2022-04-20,6.6,6.7,6.6,6.6,227910.0
LRGLOBMF1,2022-04-21,6.7,6.7,6.6,6.6,190172.0
LRGLOBMF1,2022-04-24,6.7,6.7,6.6,6.7,117023.0
LRGLOBMF1,2022-04-25,6.7,6.7,6.6,6.7,92816.0
LRGLOBMF1,2022-04-26,6.6,6.7,6.6,6.6,96028.0
LRGLOBMF1,2022-04-27,6.7,6.7,6.6,6.7,84190.0
LRGLOBMF1,2022-04-28,6.7,6.8,6.7,6.7,159064.0
LRGLOBMF1,2022-05-05,6.8,6.8,6.6,6.7,88652.0
LRGLOBMF1,2022-05-08,6.8,6.8,6.6,6.7,219901.0
LRGLOBMF1,2022-05-09,6.8,6.8,6.7,6.7,321640.0
LRGLOBMF1,2022-05-10,6.8,6.9,6.7,6.8,426316.0
LRGLOBMF1,2022-05-11,6.7,6.8,6.7,6.7,190820.0
LRGLOBMF1,2022-05-12,6.7,6.8,6.6,6.7,236211.0
LRGLOBMF1,2022-05-16,6.7,6.7,6.5,6.5,373292.0
LRGLOBMF1,2022-05-17,6.6,6.6,6.4,6.5,325936.0
LRGLOBMF1,2022-05-18,6.5,6.6,6.5,6.6,1622894.0
LRGLOBMF1,2022-05-19,6.5,6.6,6.5,6.5,251594.0
LRGLOBMF1,2022-05-22,6.6,6.6,6.4,6.4,321373.0
LRGLOBMF1,2022-05-23,6.5,6.6,6.4,6.4,103763.0
LRGLOBMF1,2022-05-24,6.5,6.6,6.4,6.4,144186.0
LRGLOBMF1,2022-05-25,6.5,6.5,6.4,6.4,186904.0
LRGLOBMF1,2022-05-26,6.5,6.5,6.4,6.4,54639.0
LRGLOBMF1,2022-05-29,6.6,6.6,6.5,6.5,90131.0
LRGLOBMF1,2022-05-30,6.6,6.7,6.5,6.6,540595.0
LRGLOBMF1,2022-05-31,6.7,6.7,6.6,6.6,40107.0
LRGLOBMF1,2022-06-01,6.6,6.7,6.6,6.6,62966.0
LRGLOBMF1,2022-06-02,6.7,6.7,6.6,6.6,107633.0
LRGLOBMF1,2022-06-05,6.7,6.7,6.6,6.7,5908.0
LRGLOBMF1,2022-06-06,6.7,6.8,6.6,6.7,191401.0
LRGLOBMF1,2022-06-07,6.8,6.8,6.6,6.7,67458.0
LRGLOBMF1,2022-06-08,6.7,7.0,6.7,6.9,281445.0
LRGLOBMF1,2022-06-09,6.8,6.9,6.8,6.8,173265.0
LRGLOBMF1,2022-06-12,6.8,6.8,6.7,6.7,149674.0
LRGLOBMF1,2022-06-13,6.7,6.7,6.6,6.6,454180.0
LRGLOBMF1,2022-06-14,6.7,6.7,6.6,6.6,17501.0
LRGLOBMF1,2022-06-15,6.6,6.7,6.6,6.6,37356.0
LRGLOBMF1,2022-06-16,6.6,6.8,6.6,6.6,764566.0
LRGLOBMF1,2022-06-19,6.7,6.7,6.6,6.7,36124.0
LRGLOBMF1,2022-06-20,6.7,6.7,6.6,6.6,251088.0
LRGLOBMF1,2022-06-21,6.5,6.6,6.5,6.5,48925.0
LRGLOBMF1,2022-06-22,6.7,6.7,6.5,6.6,85788.0
LRGLOBMF1,2022-06-23,6.7,6.7,6.6,6.6,153639.0
LRGLOBMF1,2022-06-26,6.6,6.6,6.5,6.5,533084.0
LRGLOBMF1,2022-06-27,6.6,6.6,6.6,6.6,18545.0
LRGLOBMF1,2022-06-28,6.6,6.7,6.6,6.7,63481.0
LRGLOBMF1,2022-06-29,6.6,6.7,6.6,6.7,150189.0
LRGLOBMF1,2022-06-30,6.6,6.8,6.6,6.8,444770.0
LRGLOBMF1,2022-07-03,6.8,6.8,6.7,6.8,125551.0
LRGLOBMF1,2022-07-04,6.8,6.8,6.7,6.7,91604.0
LRGLOBMF1,2022-07-05,6.8,6.8,6.7,6.7,173628.0
LRGLOBMF1,2022-07-06,6.6,6.8,6.6,6.7,90852.0
LRGLOBMF1,2022-07-07,6.7,6.8,6.6,6.7,123416.0
LRGLOBMF1,2022-07-12,6.6,6.7,6.6,6.7,90474.0
LRGLOBMF1,2022-07-13,6.7,6.7,6.6,6.6,58554.0
LRGLOBMF1,2022-07-14,6.6,6.7,6.5,6.6,246018.0
LRGLOBMF1,2022-07-17,6.7,6.7,6.6,6.6,48022.0
LRGLOBMF1,2022-07-18,6.5,6.6,6.5,6.5,227697.0
LRGLOBMF1,2022-07-19,6.4,6.5,6.4,6.4,185241.0
LRGLOBMF1,2022-07-20,6.4,6.5,6.4,6.4,15542.0
LRGLOBMF1,2022-07-21,6.5,6.6,6.4,6.5,58143.0
LRGLOBMF1,2022-07-24,6.4,6.5,6.4,6.4,188206.0
LRGLOBMF1,2022-07-25,6.4,6.5,6.3,6.4,37327.0
LRGLOBMF1,2022-07-26,6.5,6.6,6.4,6.4,228962.0
LRGLOBMF1,2022-07-27,6.4,6.5,6.4,6.4,56706.0
