symbol,date,open,high,low,close,volume
MAKSONSPIN,2022-01-02,24.6,25.7,24.6,25.1,1051278.0
MAKSONSPIN,2022-01-03,25.1,26.6,25.1,25.9,2676940.0
MAKSONSPIN,2022-01-04,25.9,26.2,25.6,25.7,1341533.0
MAKSONSPIN,2022-01-05,25.7,28.0,25.7,27.9,5660459.0
MAKSONSPIN,2022-01-06,28.0,28.4,27.2,27.2,3352582.0
MAKSONSPIN,2022-01-09,27.5,27.7,26.2,26.3,2762599.0
MAKSONSPIN,2022-01-10,26.4,27.0,26.1,26.5,2620361.0
MAKSONSPIN,2022-01-11,26.6,27.4,26.4,26.6,3499555.0
MAKSONSPIN,2022-01-12,26.9,27.1,26.3,26.4,2895009.0
MAKSONSPIN,2022-01-13,26.8,26.8,26.1,26.4,1499224.0
MAKSONSPIN,2022-01-16,26.5,27.7,26.4,27.3,4833340.0
MAKSONSPIN,2022-01-17,27.6,27.8,27.2,27.4,3161066.0
MAKSONSPIN,2022-01-18,27.5,28.7,27.5,28.2,7250325.0
MAKSONSPIN,2022-01-19,28.7,29.0,28.1,28.4,4078207.0
MAKSONSPIN,2022-01-20,28.5,28.6,27.7,27.8,3632375.0
MAKSONSPIN,2022-01-23,27.8,28.1,27.4,27.7,2328808.0
MAKSONSPIN,2022-01-24,28.0,28.0,27.1,27.3,1782933.0
MAKSONSPIN,2022-01-25,27.5,29.0,27.4,28.3,4911433.0
MAKSONSPIN,2022-01-26,29.0,29.3,28.3,28.4,6222447.0
MAKSONSPIN,2022-01-27,28.6,28.9,28.2,28.4,4531190.0
MAKSONSPIN,2022-01-30,29.3,29.3,27.4,27.6,11600812.0
MAKSONSPIN,2022-01-31,27.8,28.3,27.3,27.5,2666889.0
MAKSONSPIN,2022-02-01,27.9,28.0,27.4,27.6,2481423.0
MAKSONSPIN,2022-02-02,27.6,28.1,27.2,27.3,3271200.0
MAKSONSPIN,2022-02-03,27.4,27.6,26.7,26.9,1973596.0
MAKSONSPIN,2022-02-06,27.0,27.3,26.8,27.0,2168312.0
MAKSONSPIN,2022-02-07,27.1,27.3,26.6,26.7,1385174.0
MAKSONSPIN,2022-02-08,26.6,26.8,26.5,26.5,1412986.0
MAKSONSPIN,2022-02-09,26.7,27.1,26.5,27.0,1477348.0
MAKSONSPIN,2022-02-10,27.3,27.3,26.6,26.7,1475427.0
MAKSONSPIN,2022-02-13,27.0,27.0,26.3,26.4,1473462.0
MAKSONSPIN,2022-02-14,26.5,26.6,26.0,26.3,763908.0
MAKSONSPIN,2022-02-15,26.4,27.0,26.2,26.4,1963846.0
MAKSONSPIN,2022-02-16,26.7,26.7,26.2,26.3,697594.0
MAKSONSPIN,2022-02-17,26.3,26.3,25.8,25.9,1169148.0
MAKSONSPIN,2022-02-20,25.9,25.9,25.2,25.3,776728.0
MAKSONSPIN,2022-02-22,25.3,25.7,25.0,25.6,723299.0
MAKSONSPIN,2022-02-23,26.1,26.1,25.6,25.7,1167387.0
MAKSONSPIN,2022-02-24,26.0,26.3,25.4,25.6,2633014.0
MAKSONSPIN,2022-02-27,25.6,25.7,24.8,24.9,1603210.0
MAKSONSPIN,2022-02-28,25.0,25.4,24.9,25.0,818811.0
MAKSONSPIN,2022-03-01,25.2,25.4,24.1,24.5,1210605.0
MAKSONSPIN,2022-03-02,24.7,24.7,23.6,23.9,1512751.0
MAKSONSPIN,2022-03-03,23.7,24.1,23.4,23.9,1046486.0
MAKSONSPIN,2022-03-06,24.2,24.2,23.4,23.6,847775.0
MAKSONSPIN,2022-03-07,23.4,23.8,22.3,22.5,1868895.0
MAKSONSPIN,2022-03-08,22.8,23.7,21.6,23.4,1395341.0
MAKSONSPIN,2022-03-09,23.7,24.5,23.3,24.2,2732011.0
MAKSONSPIN,2022-03-10,24.3,24.6,23.8,24.5,3070923.0
MAKSONSPIN,2022-03-13,24.8,25.5,24.5,25.3,1914728.0
MAKSONSPIN,2022-03-14,25.5,25.6,24.8,24.8,2100982.0
MAKSONSPIN,2022-03-15,24.9,25.0,24.4,24.5,3201733.0
MAKSONSPIN,2022-03-16,24.7,24.9,24.2,24.3,1205851.0
MAKSONSPIN,2022-03-20,24.6,24.6,23.9,23.9,1292808.0
MAKSONSPIN,2022-03-21,23.7,24.0,23.5,23.5,1143595.0
MAKSONSPIN,2022-03-22,23.6,24.4,23.6,24.2,1436101.0
MAKSONSPIN,2022-03-23,24.3,24.5,23.8,23.8,839622.0
MAKSONSPIN,2022-03-24,23.8,23.9,23.6,23.7,480033.0
MAKSONSPIN,2022-03-27,23.8,23.8,23.3,23.4,653867.0
MAKSONSPIN,2022-03-28,23.3,23.6,23.1,23.2,866648.0
MAKSONSPIN,2022-03-29,23.3,23.9,23.3,23.8,652072.0
MAKSONSPIN,2022-03-30,23.8,24.0,23.5,23.6,1281647.0
MAKSONSPIN,2022-03-31,23.8,23.9,23.3,23.6,751518.0
MAKSONSPIN,2022-04-03,23.8,23.8,23.3,23.6,1267428.0
MAKSONSPIN,2022-04-04,23.7,23.7,23.3,23.4,472671.0
MAKSONSPIN,2022-04-05,23.4,23.4,23.0,23.1,911095.0
MAKSONSPIN,2022-04-06,23.0,23.0,22.7,22.7,1553555.0
MAKSONSPIN,2022-04-07,22.8,22.8,22.3,22.4,1394138.0
MAKSONSPIN,2022-04-10,22.4,23.1,22.2,22.9,855338.0
MAKSONSPIN,2022-04-11,23.2,23.2,22.5,22.6,435493.0
MAKSONSPIN,2022-04-12,22.4,22.5,22.2,22.2,755051.0
MAKSONSPIN,2022-04-13,22.2,22.3,21.8,22.2,891495.0
MAKSONSPIN,2022-04-17,22.2,22.3,21.8,21.9,613517.0
MAKSONSPIN,2022-04-18,21.7,21.7,21.5,21.5,435569.0
MAKSONSPIN,2022-04-19,21.3,23.5,21.1,22.5,1182205.0
MAKSONSPIN,2022-04-20,22.5,23.6,22.5,23.2,1615424.0
MAKSONSPIN,2022-04-21,22.9,23.9,22.8,23.5,1437900.0
MAKSONSPIN,2022-04-24,23.7,24.2,23.3,23.4,1686853.0
MAKSONSPIN,2022-04-25,23.4,23.5,23.0,23.3,767109.0
MAKSONSPIN,2022-04-26,23.2,24.0,23.2,23.5,857760.0
MAKSONSPIN,2022-04-27,23.9,24.8,23.9,24.5,4145057.0
MAKSONSPIN,2022-04-28,24.7,24.7,24.0,24.1,1288301.0
MAKSONSPIN,2022-05-05,24.1,24.5,23.7,24.3,1161043.0
MAKSONSPIN,2022-05-08,24.3,25.5,24.3,25.3,2776148.0
MAKSONSPIN,2022-05-09,25.6,26.1,25.3,25.4,2831348.0
MAKSONSPIN,2022-05-10,25.7,26.6,25.5,25.6,4654805.0
