symbol,date,open,high,low,close,volume
MALEKSPIN,2022-01-02,26.3,27.1,25.9,26.9,1008561.0
MALEKSPIN,2022-01-03,27.4,27.9,26.8,27.1,1009339.0
MALEKSPIN,2022-01-04,27.3,27.3,26.6,26.8,792707.0
MALEKSPIN,2022-01-05,27.2,28.8,27.0,28.3,2027135.0
MALEKSPIN,2022-01-06,28.5,29.7,28.0,28.3,2415360.0
MALEKSPIN,2022-01-09,28.5,28.7,27.3,27.5,1420804.0
MALEKSPIN,2022-01-10,27.5,27.8,27.1,27.4,1805977.0
MALEKSPIN,2022-01-11,27.6,28.2,27.3,27.6,1532080.0
MALEKSPIN,2022-01-12,27.8,28.2,27.0,27.2,1363382.0
MALEKSPIN,2022-01-13,27.9,27.9,26.9,27.0,856317.0
MALEKSPIN,2022-01-16,27.4,28.5,27.1,28.2,1782929.0
MALEKSPIN,2022-01-17,28.5,28.9,27.9,28.5,1720227.0
MALEKSPIN,2022-01-18,28.6,31.3,28.6,30.4,5632767.0
MALEKSPIN,2022-01-19,31.0,31.5,30.1,30.6,1851870.0
MALEKSPIN,2022-01-20,30.6,30.7,29.2,29.5,1271049.0
MALEKSPIN,2022-01-23,29.3,29.7,28.5,28.7,757243.0
MALEKSPIN,2022-01-24,29.0,29.3,28.5,28.8,446470.0
MALEKSPIN,2022-01-25,29.0,31.6,28.9,31.6,3909826.0
MALEKSPIN,2022-01-26,34.7,34.7,34.7,34.7,3255988.0
MALEKSPIN,2022-01-27,35.6,36.7,33.1,33.9,10136757.0
MALEKSPIN,2022-01-30,35.5,36.5,30.8,31.5,9578089.0
MALEKSPIN,2022-01-31,31.7,32.8,30.0,30.4,5901415.0
MALEKSPIN,2022-02-01,31.3,32.5,30.7,32.1,3208838.0
MALEKSPIN,2022-02-02,32.4,32.8,31.1,31.3,1921286.0
MALEKSPIN,2022-02-03,31.3,31.6,30.4,30.7,2174132.0
MALEKSPIN,2022-02-06,31.1,32.1,30.8,31.3,1611851.0
MALEKSPIN,2022-02-07,31.5,31.9,30.6,30.7,1798228.0
MALEKSPIN,2022-02-08,31.0,31.2,30.4,30.7,1011289.0
MALEKSPIN,2022-02-09,31.0,31.8,30.9,31.5,1179149.0
MALEKSPIN,2022-02-10,31.9,31.9,31.2,31.4,1205173.0
MALEKSPIN,2022-02-13,31.4,31.7,30.9,31.3,1687259.0
MALEKSPIN,2022-02-14,31.6,31.7,31.0,31.5,1193914.0
MALEKSPIN,2022-02-15,31.8,32.8,31.7,31.8,3549019.0
MALEKSPIN,2022-02-16,32.5,32.5,31.3,31.5,1019704.0
MALEKSPIN,2022-02-17,31.6,31.7,30.8,31.3,1257412.0
MALEKSPIN,2022-02-20,31.2,31.2,30.7,31.1,873364.0
MALEKSPIN,2022-02-22,31.1,31.6,31.0,31.4,864730.0
MALEKSPIN,2022-02-23,32.7,32.7,31.6,31.8,1471732.0
MALEKSPIN,2022-02-24,32.0,32.6,31.2,31.6,2563034.0
MALEKSPIN,2022-02-27,31.7,31.8,30.3,30.5,1748751.0
MALEKSPIN,2022-02-28,31.3,31.3,30.4,30.7,722743.0
MALEKSPIN,2022-03-01,30.8,31.3,30.4,30.5,610107.0
MALEKSPIN,2022-03-02,30.7,30.7,29.6,29.8,777592.0
MALEKSPIN,2022-03-03,29.6,29.7,29.0,29.2,867126.0
MALEKSPIN,2022-03-06,29.2,29.5,28.5,28.7,665459.0
MALEKSPIN,2022-03-07,28.6,28.7,27.3,27.5,654316.0
MALEKSPIN,2022-03-08,28.0,29.0,26.8,28.4,900431.0
MALEKSPIN,2022-03-09,29.5,29.8,28.7,29.6,790472.0
MALEKSPIN,2022-03-10,29.7,30.7,29.1,30.5,1534558.0
MALEKSPIN,2022-03-13,30.7,31.5,30.5,31.2,1584050.0
MALEKSPIN,2022-03-14,31.6,31.6,30.6,30.6,1066225.0
MALEKSPIN,2022-03-15,30.4,30.9,30.1,30.3,910291.0
MALEKSPIN,2022-03-16,31.3,31.3,30.1,30.3,839617.0
MALEKSPIN,2022-03-20,30.3,30.3,29.7,29.7,485341.0
MALEKSPIN,2022-03-21,29.5,29.9,29.2,29.5,342455.0
MALEKSPIN,2022-03-22,30.0,30.5,29.5,30.1,824839.0
MALEKSPIN,2022-03-23,30.5,30.5,29.5,29.5,423957.0
MALEKSPIN,2022-03-24,29.2,29.5,29.0,29.2,1344939.0
