symbol,date,open,high,low,close,volume
MATINSPINN,2022-01-02,56.5,56.9,55.1,55.9,235484.0
MATINSPINN,2022-01-03,56.4,57.7,56.3,56.6,232213.0
MATINSPINN,2022-01-04,57.3,57.3,55.7,56.0,259221.0
MATINSPINN,2022-01-05,56.5,59.0,56.4,58.5,455375.0
MATINSPINN,2022-01-06,59.0,61.7,58.1,60.9,728112.0
MATINSPINN,2022-01-09,61.5,63.7,61.3,62.0,804621.0
MATINSPINN,2022-01-10,63.4,63.4,61.2,61.5,444861.0
MATINSPINN,2022-01-11,61.7,62.6,60.5,60.7,422045.0
MATINSPINN,2022-01-12,61.0,61.8,58.7,59.3,412946.0
MATINSPINN,2022-01-13,59.6,60.3,59.0,59.3,169746.0
MATINSPINN,2022-01-16,59.3,65.2,58.8,65.2,1367457.0
MATINSPINN,2022-01-17,66.5,66.8,64.0,64.4,629871.0
MATINSPINN,2022-01-18,64.6,66.8,64.1,65.5,682371.0
MATINSPINN,2022-01-19,66.0,70.3,66.0,67.4,1485802.0
MATINSPINN,2022-01-20,67.4,68.9,65.0,65.4,665582.0
MATINSPINN,2022-01-23,65.4,66.7,63.0,63.4,905169.0
MATINSPINN,2022-01-24,63.9,64.3,62.6,63.6,386811.0
MATINSPINN,2022-01-25,63.9,69.9,63.8,69.9,2007398.0
MATINSPINN,2022-01-26,76.8,76.8,72.2,76.1,4140159.0
MATINSPINN,2022-01-27,77.0,77.6,73.1,73.7,2101292.0
MATINSPINN,2022-01-30,75.8,80.2,72.1,73.4,3362182.0
MATINSPINN,2022-01-31,74.1,74.2,69.9,71.0,887781.0
MATINSPINN,2022-02-01,73.0,73.6,71.5,72.9,644457.0
MATINSPINN,2022-02-02,72.4,74.1,69.2,70.0,1101309.0
MATINSPINN,2022-02-03,71.0,71.0,69.2,69.6,900490.0
MATINSPINN,2022-02-06,70.7,72.0,68.2,69.5,893088.0
MATINSPINN,2022-02-07,71.0,71.6,69.0,69.2,544644.0
MATINSPINN,2022-02-08,69.3,69.9,68.0,68.5,475795.0
MATINSPINN,2022-02-09,69.0,71.0,68.9,70.6,365321.0
MATINSPINN,2022-02-10,70.9,71.5,69.5,70.1,492730.0
