symbol,date,open,high,low,close,volume
MEGCONMILK,2022-01-02,15.2,15.4,14.8,15.3,23209.0
MEGCONMILK,2022-01-03,15.9,15.9,14.4,15.6,11263.0
MEGCONMILK,2022-01-04,16.0,16.0,15.0,15.2,5522.0
MEGCONMILK,2022-01-05,15.8,15.8,15.2,15.3,17981.0
MEGCONMILK,2022-01-06,16.5,16.5,15.8,15.9,17092.0
MEGCONMILK,2022-01-09,15.5,16.0,15.3,15.4,26425.0
MEGCONMILK,2022-01-10,16.0,16.0,15.0,15.3,20962.0
MEGCONMILK,2022-01-11,15.2,15.3,15.0,15.1,61605.0
MEGCONMILK,2022-01-12,15.5,15.5,14.8,14.9,29499.0
MEGCONMILK,2022-01-13,15.5,15.7,14.6,14.9,22975.0
MEGCONMILK,2022-01-16,14.9,15.4,14.4,14.7,71742.0
MEGCONMILK,2022-01-17,14.8,15.1,14.8,14.8,15645.0
MEGCONMILK,2022-01-18,14.8,15.0,14.8,14.9,39062.0
MEGCONMILK,2022-01-19,14.9,14.9,14.6,14.7,29954.0
MEGCONMILK,2022-01-20,14.9,15.0,14.6,14.8,42416.0
MEGCONMILK,2022-01-23,16.0,16.0,14.5,14.8,14735.0
MEGCONMILK,2022-01-24,14.4,15.2,14.3,14.8,41554.0
MEGCONMILK,2022-01-25,14.8,14.8,14.4,14.5,24942.0
MEGCONMILK,2022-01-26,15.0,15.0,14.4,14.7,33506.0
MEGCONMILK,2022-01-27,14.9,15.0,14.1,14.5,27400.0
MEGCONMILK,2022-01-30,14.6,14.7,14.5,14.6,3302.0
MEGCONMILK,2022-01-31,14.7,14.7,14.3,14.5,10850.0
MEGCONMILK,2022-02-01,14.3,15.3,14.3,14.9,44932.0
MEGCONMILK,2022-02-02,14.7,15.0,14.6,14.7,37955.0
MEGCONMILK,2022-02-03,14.7,14.8,14.5,14.5,7400.0
MEGCONMILK,2022-02-06,15.0,15.0,14.5,14.6,20570.0
MEGCONMILK,2022-02-07,14.9,14.9,14.4,14.4,20042.0
MEGCONMILK,2022-02-08,14.9,14.9,14.5,14.6,35704.0
MEGCONMILK,2022-02-09,14.4,14.8,14.4,14.8,16592.0
MEGCONMILK,2022-02-10,14.5,15.3,14.5,15.1,48437.0
MEGCONMILK,2022-02-13,15.3,16.6,15.3,16.6,140687.0
MEGCONMILK,2022-02-14,17.0,17.9,16.5,16.8,104977.0
MEGCONMILK,2022-02-15,15.7,16.5,15.7,16.5,21986.0
MEGCONMILK,2022-02-16,16.5,17.0,16.1,16.4,43189.0
MEGCONMILK,2022-02-17,16.7,16.7,16.0,16.3,11177.0
MEGCONMILK,2022-02-20,16.1,16.5,16.0,16.4,30960.0
MEGCONMILK,2022-02-22,16.6,17.9,16.5,17.6,155796.0
MEGCONMILK,2022-02-23,17.9,17.9,16.8,17.0,45234.0
MEGCONMILK,2022-02-24,17.6,17.6,16.3,16.5,36040.0
MEGCONMILK,2022-02-27,15.7,16.5,14.9,15.1,64666.0
MEGCONMILK,2022-02-28,15.4,16.6,15.4,16.6,91035.0
MEGCONMILK,2022-03-01,17.2,18.2,17.2,18.0,276690.0
MEGCONMILK,2022-03-02,17.9,19.7,17.3,19.1,258497.0
MEGCONMILK,2022-03-03,19.5,20.3,19.1,19.9,219635.0
MEGCONMILK,2022-03-06,20.3,21.4,19.5,20.0,215355.0
MEGCONMILK,2022-03-07,19.7,20.1,18.0,18.0,300651.0
MEGCONMILK,2022-03-08,18.0,18.3,16.2,17.6,139791.0
MEGCONMILK,2022-03-09,18.1,19.3,18.1,19.3,154722.0
MEGCONMILK,2022-03-10,20.9,21.2,19.9,21.2,605320.0
MEGCONMILK,2022-03-13,21.0,23.2,21.0,23.1,212021.0
MEGCONMILK,2022-03-14,24.3,24.5,22.8,23.0,334365.0
MEGCONMILK,2022-03-15,22.6,22.6,22.6,22.6,50979.0
MEGCONMILK,2022-03-16,22.2,22.2,22.2,22.2,43738.0
MEGCONMILK,2022-03-20,21.8,21.8,21.8,21.8,5542.0
MEGCONMILK,2022-03-21,21.4,21.4,21.4,21.4,12584.0
MEGCONMILK,2022-03-22,21.0,21.5,21.0,21.2,279327.0
MEGCONMILK,2022-03-23,22.2,22.3,20.8,20.9,99252.0
MEGCONMILK,2022-03-24,21.0,21.4,20.5,20.6,41822.0
MEGCONMILK,2022-03-27,21.6,21.6,20.2,20.3,84437.0
MEGCONMILK,2022-03-28,20.1,21.0,19.9,20.4,54015.0
MEGCONMILK,2022-03-29,20.9,20.9,20.0,20.0,37623.0
