symbol,date,open,high,low,close,volume
MEGHNACEM,2022-01-02,73.7,74.9,72.6,73.2,3061.0
MEGHNACEM,2022-01-03,74.9,74.9,73.0,73.3,10206.0
MEGHNACEM,2022-01-04,75.7,75.7,73.1,74.4,6220.0
MEGHNACEM,2022-01-05,76.4,76.4,73.5,74.6,15476.0
MEGHNACEM,2022-01-06,76.8,76.8,73.3,75.2,5978.0
MEGHNACEM,2022-01-09,75.0,77.0,73.6,73.9,18790.0
MEGHNACEM,2022-01-10,76.9,76.9,74.1,74.9,10872.0
MEGHNACEM,2022-01-11,75.8,76.9,75.0,75.7,14083.0
MEGHNACEM,2022-01-12,77.4,77.4,75.0,75.1,14354.0
MEGHNACEM,2022-01-13,74.5,75.5,74.0,74.5,9284.0
MEGHNACEM,2022-01-16,76.8,78.0,76.0,76.5,11508.0
MEGHNACEM,2022-01-17,76.9,77.0,76.0,76.4,17181.0
MEGHNACEM,2022-01-18,77.2,78.5,77.2,78.0,27677.0
MEGHNACEM,2022-01-19,79.0,79.0,76.0,77.1,18475.0
MEGHNACEM,2022-01-20,83.0,83.0,77.1,78.0,20795.0
MEGHNACEM,2022-01-23,79.9,79.9,77.0,77.5,19990.0
MEGHNACEM,2022-01-24,78.7,78.7,75.0,75.2,7250.0
MEGHNACEM,2022-01-25,78.5,78.5,74.1,74.5,3121.0
MEGHNACEM,2022-01-26,78.3,78.3,74.5,74.6,8966.0
MEGHNACEM,2022-01-27,74.6,75.5,74.6,74.9,7514.0
MEGHNACEM,2022-01-30,74.9,77.0,74.6,74.8,8707.0
MEGHNACEM,2022-01-31,75.0,76.5,74.8,75.4,10475.0
MEGHNACEM,2022-02-01,77.0,77.0,75.2,76.0,5040.0
MEGHNACEM,2022-02-02,78.0,78.0,75.3,75.6,5081.0
MEGHNACEM,2022-02-03,75.2,82.0,75.2,77.2,16323.0
MEGHNACEM,2022-02-06,77.2,79.0,77.0,77.4,14920.0
MEGHNACEM,2022-02-07,77.6,77.7,75.5,75.7,7215.0
MEGHNACEM,2022-02-08,78.0,78.0,75.6,76.3,8745.0
MEGHNACEM,2022-02-09,78.0,78.0,76.1,76.2,4165.0
MEGHNACEM,2022-02-10,77.0,77.7,77.0,77.5,11432.0
MEGHNACEM,2022-02-13,79.0,79.0,77.0,77.6,16855.0
MEGHNACEM,2022-02-14,77.1,77.5,74.0,74.9,31589.0
MEGHNACEM,2022-02-15,77.8,77.8,74.3,74.8,8491.0
MEGHNACEM,2022-02-16,77.0,77.0,74.5,75.2,8399.0
MEGHNACEM,2022-02-17,75.4,75.8,75.0,75.4,6611.0
