symbol,date,open,high,low,close,volume
MEGHNALIFE,2022-01-02,71.9,72.1,70.0,70.4,97626.0
MEGHNALIFE,2022-01-03,70.8,74.0,70.8,73.0,185991.0
MEGHNALIFE,2022-01-04,73.7,80.3,73.1,80.3,790562.0
MEGHNALIFE,2022-01-05,82.5,84.0,78.1,81.7,522052.0
MEGHNALIFE,2022-01-06,81.0,83.6,78.0,78.6,375623.0
MEGHNALIFE,2022-01-09,78.1,86.3,78.1,81.1,565991.0
MEGHNALIFE,2022-01-10,82.2,86.4,82.2,84.9,740538.0
MEGHNALIFE,2022-01-11,86.4,87.8,80.5,81.1,327028.0
MEGHNALIFE,2022-01-12,81.2,81.9,78.2,78.5,215115.0
MEGHNALIFE,2022-01-13,79.0,81.7,78.6,80.9,146029.0
MEGHNALIFE,2022-01-16,83.6,84.5,80.2,80.8,181795.0
MEGHNALIFE,2022-01-17,81.9,86.8,81.3,85.3,606274.0
MEGHNALIFE,2022-01-18,86.0,89.0,85.1,86.5,696358.0
MEGHNALIFE,2022-01-19,85.1,88.0,84.1,84.2,305544.0
MEGHNALIFE,2022-01-20,86.2,86.2,82.2,82.5,179278.0
MEGHNALIFE,2022-01-23,81.5,83.5,81.2,81.7,151311.0
MEGHNALIFE,2022-01-24,83.6,84.2,81.8,81.9,181691.0
MEGHNALIFE,2022-01-25,81.9,82.7,80.5,80.8,104645.0
MEGHNALIFE,2022-01-26,80.1,81.3,80.1,80.5,81363.0
MEGHNALIFE,2022-01-27,80.5,83.4,80.5,81.0,73326.0
MEGHNALIFE,2022-01-30,80.5,81.5,80.5,80.9,65767.0
MEGHNALIFE,2022-01-31,80.2,82.0,80.2,80.8,85919.0
MEGHNALIFE,2022-02-01,80.6,81.6,80.0,80.8,103549.0
MEGHNALIFE,2022-02-02,81.2,87.0,81.1,85.1,545585.0
MEGHNALIFE,2022-02-03,86.0,87.8,82.9,83.1,241201.0
MEGHNALIFE,2022-02-06,84.6,85.2,82.1,82.4,203615.0
MEGHNALIFE,2022-02-07,83.5,84.9,82.8,83.3,179346.0
MEGHNALIFE,2022-02-08,83.7,84.4,81.6,81.9,136596.0
MEGHNALIFE,2022-02-09,81.6,83.5,81.6,82.2,110962.0
MEGHNALIFE,2022-02-10,82.1,83.1,81.7,82.3,62123.0
MEGHNALIFE,2022-02-13,83.9,83.9,81.5,81.6,133542.0
MEGHNALIFE,2022-02-14,81.7,82.0,79.9,80.2,107537.0
MEGHNALIFE,2022-02-15,80.4,81.6,78.2,78.8,53935.0
MEGHNALIFE,2022-02-16,80.0,80.1,77.4,78.0,81065.0
MEGHNALIFE,2022-02-17,78.1,78.7,77.5,78.0,60890.0
MEGHNALIFE,2022-02-20,77.5,79.9,75.6,77.4,29694.0
MEGHNALIFE,2022-02-22,77.0,78.5,76.0,76.2,52109.0
MEGHNALIFE,2022-02-23,78.0,78.0,76.2,76.6,46785.0
MEGHNALIFE,2022-02-24,77.0,78.0,74.2,75.0,96643.0
MEGHNALIFE,2022-02-27,74.6,74.6,70.0,70.5,127346.0
MEGHNALIFE,2022-02-28,72.9,72.9,70.3,70.9,80991.0
MEGHNALIFE,2022-03-01,71.3,75.9,70.0,71.2,137711.0
MEGHNALIFE,2022-03-02,72.0,75.0,70.8,74.0,111435.0
MEGHNALIFE,2022-03-03,74.5,74.9,73.2,73.5,65047.0
MEGHNALIFE,2022-03-06,72.3,74.7,72.3,72.8,62118.0
MEGHNALIFE,2022-03-07,71.5,71.5,69.7,70.4,96232.0
MEGHNALIFE,2022-03-08,70.1,73.9,67.2,70.4,77549.0
MEGHNALIFE,2022-03-09,72.0,73.8,71.2,73.4,59791.0
MEGHNALIFE,2022-03-10,73.5,75.9,72.1,73.0,96335.0
MEGHNALIFE,2022-03-13,74.7,74.7,73.1,73.4,86048.0
MEGHNALIFE,2022-03-14,73.4,76.5,73.4,75.7,121362.0
MEGHNALIFE,2022-03-15,76.4,76.9,75.5,75.6,162264.0
MEGHNALIFE,2022-03-16,75.1,76.7,74.1,75.2,97471.0
MEGHNALIFE,2022-03-20,76.5,76.5,73.7,74.3,24164.0
MEGHNALIFE,2022-03-21,73.3,75.4,72.9,73.0,41969.0
MEGHNALIFE,2022-03-22,75.0,75.0,73.6,74.8,23834.0
MEGHNALIFE,2022-03-23,75.1,77.5,74.0,74.7,183124.0
MEGHNALIFE,2022-03-24,75.5,81.0,75.1,79.0,277842.0
MEGHNALIFE,2022-03-27,79.2,79.7,77.7,78.0,96235.0
MEGHNALIFE,2022-03-28,77.2,78.5,76.5,76.5,94065.0
MEGHNALIFE,2022-03-29,75.5,78.0,75.1,75.3,55289.0
MEGHNALIFE,2022-03-30,76.8,77.0,74.3,75.7,102270.0
MEGHNALIFE,2022-03-31,76.7,76.7,74.2,74.5,89195.0
MEGHNALIFE,2022-04-03,74.5,75.6,74.1,74.5,45915.0
MEGHNALIFE,2022-04-04,74.3,74.9,73.1,73.7,65091.0
MEGHNALIFE,2022-04-05,72.3,74.0,72.3,73.0,42230.0
MEGHNALIFE,2022-04-06,71.6,72.9,71.6,72.5,47163.0
MEGHNALIFE,2022-04-07,71.7,73.1,71.6,72.8,42073.0
MEGHNALIFE,2022-04-10,72.5,74.3,72.3,73.5,66688.0
MEGHNALIFE,2022-04-11,74.1,74.1,72.9,73.3,18765.0
MEGHNALIFE,2022-04-12,72.5,72.6,71.9,71.9,26082.0
