symbol,date,open,high,low,close,volume
MERCANBANK,2022-01-02,17.4,18.1,17.3,18.0,4438090.0
MERCANBANK,2022-01-03,18.1,18.4,17.5,17.7,4352847.0
MERCANBANK,2022-01-04,17.8,17.9,17.6,17.8,1828035.0
MERCANBANK,2022-01-05,17.9,17.9,17.7,17.8,2973010.0
MERCANBANK,2022-01-06,17.8,18.4,17.8,18.1,4252593.0
MERCANBANK,2022-01-09,18.4,18.4,17.8,17.9,3592208.0
MERCANBANK,2022-01-10,17.9,17.9,17.7,17.8,2313737.0
MERCANBANK,2022-01-11,17.9,18.1,17.6,17.7,4468843.0
MERCANBANK,2022-01-12,18.0,18.0,17.6,17.8,2126399.0
MERCANBANK,2022-01-13,17.7,17.9,17.5,17.5,1815606.0
MERCANBANK,2022-01-16,17.6,17.6,17.2,17.3,2433226.0
MERCANBANK,2022-01-17,17.3,17.6,17.2,17.4,1532461.0
MERCANBANK,2022-01-18,17.5,17.6,17.2,17.3,4032233.0
MERCANBANK,2022-01-19,17.3,17.5,17.2,17.4,1699819.0
MERCANBANK,2022-01-20,17.4,17.5,17.3,17.4,1089225.0
MERCANBANK,2022-01-23,17.4,17.4,17.2,17.3,1792951.0
MERCANBANK,2022-01-24,17.3,17.4,17.1,17.1,1326936.0
MERCANBANK,2022-01-25,17.3,17.5,17.2,17.3,966362.0
MERCANBANK,2022-01-26,17.3,17.5,17.3,17.4,850382.0
MERCANBANK,2022-01-27,17.4,17.5,17.3,17.4,1172121.0
MERCANBANK,2022-01-30,17.4,17.4,17.2,17.3,1902677.0
MERCANBANK,2022-01-31,17.4,17.5,17.2,17.5,1915209.0
MERCANBANK,2022-02-01,17.5,17.7,17.4,17.5,2464934.0
MERCANBANK,2022-02-02,17.5,17.6,17.4,17.4,997064.0
MERCANBANK,2022-02-03,17.4,17.8,17.3,17.6,1813145.0
MERCANBANK,2022-02-06,17.7,18.0,17.6,17.7,1987085.0
MERCANBANK,2022-02-07,17.7,17.7,17.5,17.5,841707.0
MERCANBANK,2022-02-08,17.6,17.8,17.5,17.7,1544574.0
MERCANBANK,2022-02-09,17.7,18.0,17.7,17.9,2551106.0
MERCANBANK,2022-02-10,18.0,18.0,17.8,17.9,1920608.0
MERCANBANK,2022-02-13,17.9,18.1,17.8,18.0,2530984.0
MERCANBANK,2022-02-14,18.1,18.4,18.0,18.1,3456956.0
MERCANBANK,2022-02-15,18.1,18.1,17.7,17.8,1982586.0
MERCANBANK,2022-02-16,17.9,18.0,17.7,17.7,1626556.0
