symbol,date,open,high,low,close,volume
METROSPIN,2022-01-02,23.8,23.9,23.4,23.7,711408.0
METROSPIN,2022-01-03,24.0,24.8,23.8,24.1,1136302.0
METROSPIN,2022-01-04,24.1,24.1,23.5,23.7,738564.0
METROSPIN,2022-01-05,23.8,26.0,23.8,26.0,3188827.0
METROSPIN,2022-01-06,26.6,27.0,25.4,25.6,1352525.0
METROSPIN,2022-01-09,25.6,25.9,24.4,24.5,1305142.0
METROSPIN,2022-01-10,24.6,25.5,24.3,25.1,1084746.0
METROSPIN,2022-01-11,25.2,26.3,24.7,24.8,1560834.0
METROSPIN,2022-01-12,25.2,25.5,24.6,24.6,997596.0
METROSPIN,2022-01-13,24.7,25.3,24.3,24.5,676892.0
METROSPIN,2022-01-16,24.6,26.5,24.6,25.9,2885996.0
METROSPIN,2022-01-17,26.4,26.9,25.7,26.1,2161597.0
METROSPIN,2022-01-18,26.3,28.4,26.3,28.1,3804527.0
METROSPIN,2022-01-19,28.3,28.7,27.1,27.8,2080258.0
METROSPIN,2022-01-20,28.2,28.3,26.8,27.0,1477347.0
METROSPIN,2022-01-23,27.4,27.7,26.1,26.5,672028.0
METROSPIN,2022-01-24,27.0,27.0,25.6,25.7,793721.0
METROSPIN,2022-01-25,26.2,27.9,25.7,27.2,1621114.0
METROSPIN,2022-01-26,27.5,28.0,27.1,27.2,1268075.0
METROSPIN,2022-01-27,27.3,27.5,26.3,26.6,1415616.0
METROSPIN,2022-01-30,27.6,27.8,26.2,26.3,2169482.0
METROSPIN,2022-01-31,26.5,26.8,25.8,26.1,923705.0
METROSPIN,2022-02-01,26.4,26.5,26.0,26.1,890930.0
METROSPIN,2022-02-02,26.2,26.6,25.7,25.8,697058.0
METROSPIN,2022-02-03,25.9,26.1,25.3,25.5,796163.0
METROSPIN,2022-02-06,25.3,25.5,24.8,25.2,873974.0
METROSPIN,2022-02-07,25.2,25.6,24.9,25.0,472050.0
METROSPIN,2022-02-08,25.0,25.1,24.8,24.9,695137.0
METROSPIN,2022-02-09,25.2,25.7,24.8,25.3,531666.0
METROSPIN,2022-02-10,25.5,25.7,25.1,25.4,548640.0
METROSPIN,2022-02-13,25.6,25.7,25.0,25.1,359553.0
METROSPIN,2022-02-14,25.4,25.4,24.8,24.8,394383.0
METROSPIN,2022-02-15,25.0,25.4,24.6,24.7,693639.0
METROSPIN,2022-02-16,25.0,25.3,24.6,24.7,357156.0
METROSPIN,2022-02-17,24.9,24.9,24.2,24.3,298175.0
METROSPIN,2022-02-20,24.1,24.1,23.5,23.7,412823.0
METROSPIN,2022-02-22,24.0,24.0,23.2,23.7,450231.0
METROSPIN,2022-02-23,24.0,24.3,23.6,24.0,344186.0
METROSPIN,2022-02-24,24.1,24.8,23.9,24.2,719911.0
METROSPIN,2022-02-27,24.5,24.5,22.7,22.8,457554.0
METROSPIN,2022-02-28,23.3,23.8,22.9,23.5,416318.0
METROSPIN,2022-03-01,23.9,23.9,22.9,23.1,340266.0
METROSPIN,2022-03-02,23.3,23.3,22.7,22.7,216034.0
METROSPIN,2022-03-03,23.0,23.0,22.4,22.6,245627.0
METROSPIN,2022-03-06,22.6,22.8,22.2,22.3,208795.0
METROSPIN,2022-03-07,22.3,22.3,20.7,20.9,603683.0
METROSPIN,2022-03-08,21.0,22.4,19.7,21.8,580386.0
METROSPIN,2022-03-09,22.5,23.5,21.8,23.3,534901.0
METROSPIN,2022-03-10,23.3,24.1,22.9,23.3,921136.0
METROSPIN,2022-03-13,24.0,24.3,23.6,24.1,492514.0
METROSPIN,2022-03-14,24.2,24.2,23.7,23.7,453506.0
METROSPIN,2022-03-15,23.9,23.9,23.3,23.5,389887.0
METROSPIN,2022-03-16,23.8,24.0,23.1,23.3,369917.0
METROSPIN,2022-03-20,23.2,23.3,22.9,22.9,278379.0
METROSPIN,2022-03-21,22.8,23.2,22.7,22.8,210178.0
METROSPIN,2022-03-22,23.2,23.8,23.0,23.5,282067.0
METROSPIN,2022-03-23,23.7,23.7,23.1,23.1,336563.0
METROSPIN,2022-03-24,23.5,23.5,22.8,23.0,217103.0
METROSPIN,2022-03-27,23.3,23.3,22.6,22.7,176272.0
METROSPIN,2022-03-28,22.9,22.9,22.5,22.7,136022.0
METROSPIN,2022-03-29,23.0,23.2,22.8,22.9,277729.0
METROSPIN,2022-03-30,23.4,23.4,22.7,22.8,202599.0
METROSPIN,2022-03-31,22.8,22.8,22.5,22.6,255478.0
METROSPIN,2022-04-03,22.8,23.0,22.6,22.9,174031.0
METROSPIN,2022-04-04,23.0,23.0,22.5,22.6,91512.0
METROSPIN,2022-04-05,22.5,22.6,22.2,22.2,109080.0
METROSPIN,2022-04-06,22.2,22.4,21.8,21.9,191042.0
METROSPIN,2022-04-07,22.0,22.0,21.5,21.8,120034.0
METROSPIN,2022-04-10,22.2,22.2,21.7,22.0,116372.0
METROSPIN,2022-04-11,22.4,22.4,21.6,21.7,69406.0
METROSPIN,2022-04-12,22.0,22.0,21.3,21.3,108740.0
METROSPIN,2022-04-13,21.0,21.4,20.9,21.2,172361.0
METROSPIN,2022-04-17,21.2,21.2,20.8,20.8,113063.0
METROSPIN,2022-04-18,20.5,20.7,20.4,20.4,94814.0
METROSPIN,2022-04-19,20.0,20.9,20.0,20.7,250290.0
METROSPIN,2022-04-20,21.0,21.4,20.8,21.3,146863.0
METROSPIN,2022-04-21,21.3,22.0,21.0,21.7,246044.0
METROSPIN,2022-04-24,21.8,22.4,21.6,21.7,220555.0
METROSPIN,2022-04-25,21.5,21.6,21.1,21.3,163762.0
METROSPIN,2022-04-26,21.5,21.6,21.0,21.2,197349.0
METROSPIN,2022-04-27,21.0,21.2,20.5,20.7,455686.0
METROSPIN,2022-04-28,20.8,20.8,20.5,20.6,180036.0
METROSPIN,2022-05-05,20.3,20.5,20.1,20.3,79480.0
METROSPIN,2022-05-08,20.4,22.3,20.3,22.1,570083.0
METROSPIN,2022-05-09,22.1,22.5,21.8,21.9,341561.0
METROSPIN,2022-05-10,22.0,23.5,21.8,22.2,1013230.0
METROSPIN,2022-05-11,22.2,22.2,21.6,21.6,227040.0
METROSPIN,2022-05-12,22.2,22.2,21.0,21.5,233897.0
METROSPIN,2022-05-16,21.3,21.4,20.5,20.6,392089.0
METROSPIN,2022-05-17,21.8,21.8,20.2,20.9,243259.0
METROSPIN,2022-05-18,21.0,21.2,20.1,20.2,226178.0
METROSPIN,2022-05-19,20.0,21.4,19.6,20.5,399275.0
METROSPIN,2022-05-22,20.6,20.6,19.9,20.0,193928.0
METROSPIN,2022-05-23,21.5,21.5,20.5,20.9,243810.0
METROSPIN,2022-05-24,21.0,21.2,20.3,20.5,141381.0
METROSPIN,2022-05-25,19.8,20.7,19.8,20.2,78755.0
METROSPIN,2022-05-26,20.2,20.6,20.0,20.3,116501.0
METROSPIN,2022-05-29,21.0,21.5,20.8,21.4,153132.0
METROSPIN,2022-05-30,21.4,21.8,21.0,21.1,267661.0
METROSPIN,2022-05-31,21.0,21.3,20.8,20.9,117305.0
METROSPIN,2022-06-01,21.5,21.5,20.7,21.3,132674.0
