symbol,date,open,high,low,close,volume
MHSML,2022-01-02,25.8,25.8,25.4,25.5,140222.0
MHSML,2022-01-03,25.8,26.3,25.2,25.4,432273.0
MHSML,2022-01-04,25.8,26.0,24.6,24.9,232634.0
MHSML,2022-01-05,25.5,26.7,25.4,26.3,725865.0
MHSML,2022-01-06,26.3,27.1,26.3,26.5,909616.0
MHSML,2022-01-09,26.5,27.1,26.3,26.5,726214.0
MHSML,2022-01-10,26.8,26.8,26.3,26.5,514367.0
MHSML,2022-01-11,26.5,29.0,26.5,27.7,2112594.0
MHSML,2022-01-12,28.3,29.4,27.9,28.7,1671944.0
MHSML,2022-01-13,29.2,29.6,28.4,28.9,1386932.0
MHSML,2022-01-16,29.4,31.5,29.0,31.3,1955535.0
MHSML,2022-01-17,31.4,32.3,30.8,31.4,1032742.0
MHSML,2022-01-18,31.3,32.2,30.4,31.5,1837625.0
MHSML,2022-01-19,34.2,34.2,30.3,30.8,4144320.0
MHSML,2022-01-20,31.7,32.4,31.2,32.0,1803879.0
MHSML,2022-01-23,32.4,32.4,31.2,31.5,1218061.0
MHSML,2022-01-24,32.2,32.2,30.5,30.6,797000.0
MHSML,2022-01-25,30.6,32.0,30.6,31.4,1512372.0
MHSML,2022-01-26,31.8,31.9,30.9,31.0,912513.0
MHSML,2022-01-27,31.0,31.3,30.1,30.5,1053818.0
MHSML,2022-01-30,31.1,31.4,29.9,30.8,1779911.0
MHSML,2022-01-31,31.5,31.6,30.6,30.8,594347.0
MHSML,2022-02-01,31.4,31.4,30.7,31.2,652065.0
MHSML,2022-02-02,31.4,31.9,31.3,31.4,921297.0
MHSML,2022-02-03,31.6,31.8,31.2,31.2,862316.0
MHSML,2022-02-06,31.6,31.6,30.9,31.2,747336.0
MHSML,2022-02-07,31.4,31.4,30.6,30.8,698079.0
MHSML,2022-02-08,31.4,31.5,30.5,30.8,964366.0
MHSML,2022-02-10,31.0,31.1,30.7,30.8,255323.0
MHSML,2022-02-13,31.5,32.3,30.5,31.5,2604767.0
MHSML,2022-02-14,31.2,31.8,31.1,31.4,769230.0
MHSML,2022-02-15,31.5,31.5,30.8,30.9,762796.0
MHSML,2022-02-16,30.9,31.2,29.9,30.2,663951.0
MHSML,2022-02-17,30.5,30.5,29.6,30.0,421682.0
MHSML,2022-02-20,30.0,30.3,29.6,30.0,768359.0
MHSML,2022-02-22,30.3,30.7,29.8,30.4,618820.0
MHSML,2022-02-23,30.4,30.9,30.4,30.7,846876.0
MHSML,2022-02-24,30.8,31.3,30.4,30.5,886823.0
MHSML,2022-02-27,30.2,30.9,30.0,30.4,568491.0
MHSML,2022-02-28,30.8,31.0,30.5,30.8,207395.0
MHSML,2022-03-01,31.3,32.0,30.9,31.8,1424807.0
MHSML,2022-03-02,32.3,32.6,31.7,32.3,1472054.0
MHSML,2022-03-03,32.2,32.5,31.9,32.4,788858.0
MHSML,2022-03-06,32.8,33.8,32.7,33.1,1301247.0
MHSML,2022-03-07,33.7,33.7,31.1,32.3,1828310.0
MHSML,2022-03-08,32.3,33.0,31.8,32.4,852357.0
MHSML,2022-03-09,33.0,33.3,32.3,32.6,702745.0
MHSML,2022-03-10,33.2,33.2,32.1,32.6,330173.0
MHSML,2022-03-13,32.9,33.9,32.8,33.6,1587080.0
MHSML,2022-03-14,33.6,35.6,33.6,35.3,2039652.0
MHSML,2022-03-15,35.9,36.0,35.2,35.9,2125843.0
MHSML,2022-03-16,36.0,37.9,35.7,37.4,2555400.0
MHSML,2022-03-20,37.8,38.4,36.7,37.8,2361258.0
MHSML,2022-03-21,38.0,38.8,37.4,37.7,1842176.0
MHSML,2022-03-22,38.1,38.1,37.0,37.0,1053670.0
MHSML,2022-03-23,36.5,36.9,36.3,36.3,997227.0
MHSML,2022-03-24,36.7,37.3,35.6,36.6,1501671.0
MHSML,2022-03-27,36.5,37.2,35.9,36.2,2179551.0
MHSML,2022-03-28,36.4,36.5,35.5,35.5,678999.0
MHSML,2022-03-29,35.8,37.2,35.2,36.8,1128479.0
MHSML,2022-03-30,37.0,37.3,36.2,36.4,898548.0
MHSML,2022-03-31,36.9,37.0,35.8,36.0,355284.0
MHSML,2022-04-03,36.5,38.5,36.5,37.8,2319501.0
MHSML,2022-04-04,38.1,38.8,37.7,37.9,1624300.0
MHSML,2022-04-05,37.6,38.0,37.2,37.7,1798437.0
MHSML,2022-04-06,38.2,40.4,37.8,39.5,2800625.0
MHSML,2022-04-07,39.5,40.0,38.8,38.8,1755778.0
MHSML,2022-04-10,38.1,38.1,38.1,38.1,165282.0
MHSML,2022-04-11,37.4,37.4,37.4,37.4,120017.0
MHSML,2022-04-12,36.7,36.7,36.7,36.7,47565.0
MHSML,2022-04-13,36.0,36.5,36.0,36.3,1379114.0
MHSML,2022-04-17,36.5,37.0,35.6,35.6,282687.0
MHSML,2022-04-18,35.4,35.4,34.9,34.9,37016.0
MHSML,2022-04-19,34.3,34.7,34.3,34.3,611243.0
