symbol,date,open,high,low,close,volume
MIDASFIN,2022-01-02,18.4,18.4,17.5,18.0,218804.0
MIDASFIN,2022-01-03,18.2,18.2,17.5,17.7,324346.0
MIDASFIN,2022-01-04,17.8,17.8,17.3,17.4,295472.0
MIDASFIN,2022-01-05,17.8,18.4,17.5,17.7,322404.0
MIDASFIN,2022-01-06,18.0,18.1,17.7,17.8,280557.0
MIDASFIN,2022-01-09,17.6,17.9,17.3,17.5,104262.0
MIDASFIN,2022-01-10,17.3,17.6,17.1,17.4,321149.0
MIDASFIN,2022-01-11,17.7,17.8,17.2,17.4,615623.0
MIDASFIN,2022-01-12,17.7,17.7,16.8,16.9,308956.0
MIDASFIN,2022-01-13,17.3,17.3,16.6,16.7,270919.0
MIDASFIN,2022-01-16,17.0,17.0,16.7,16.7,195475.0
MIDASFIN,2022-01-17,17.0,17.0,16.7,16.9,117084.0
MIDASFIN,2022-01-18,17.1,17.2,16.7,16.8,295040.0
MIDASFIN,2022-01-19,16.9,17.0,16.7,16.8,128134.0
MIDASFIN,2022-01-20,16.8,17.0,16.7,16.8,133743.0
MIDASFIN,2022-01-23,16.9,16.9,16.5,16.5,187254.0
MIDASFIN,2022-01-24,16.8,16.8,16.4,16.5,143562.0
MIDASFIN,2022-01-25,16.5,16.7,16.4,16.6,107084.0
MIDASFIN,2022-01-26,16.5,17.1,16.5,17.0,283705.0
MIDASFIN,2022-01-27,17.2,17.2,16.8,16.9,154487.0
MIDASFIN,2022-01-30,16.6,17.0,16.6,16.7,112782.0
MIDASFIN,2022-01-31,16.6,16.8,16.5,16.7,160425.0
MIDASFIN,2022-02-01,16.9,17.0,16.7,16.9,116946.0
MIDASFIN,2022-02-02,17.0,17.1,16.7,16.7,172073.0
MIDASFIN,2022-02-03,17.0,17.0,16.6,16.9,68802.0
MIDASFIN,2022-02-06,17.0,17.2,16.7,16.9,200620.0
MIDASFIN,2022-02-07,16.9,17.0,16.7,16.8,134745.0
MIDASFIN,2022-02-08,16.8,17.7,16.8,17.4,561395.0
MIDASFIN,2022-02-09,17.6,17.6,17.0,17.1,120153.0
MIDASFIN,2022-02-10,17.4,17.4,17.0,17.0,179133.0
MIDASFIN,2022-02-13,17.2,17.2,16.8,16.8,126249.0
MIDASFIN,2022-02-14,16.9,17.2,16.8,16.9,175378.0
MIDASFIN,2022-02-15,17.1,17.1,16.6,16.7,80101.0
MIDASFIN,2022-02-16,17.1,17.1,16.6,16.7,71362.0
MIDASFIN,2022-02-17,16.6,16.6,16.3,16.4,90573.0
MIDASFIN,2022-02-20,16.3,16.4,15.7,15.9,174383.0
MIDASFIN,2022-02-22,15.7,16.4,15.6,16.1,250795.0
MIDASFIN,2022-02-23,16.1,16.3,15.8,16.1,128751.0
MIDASFIN,2022-02-24,16.0,16.2,15.7,15.8,104840.0
MIDASFIN,2022-02-27,15.8,15.8,14.8,14.9,143460.0
MIDASFIN,2022-02-28,15.0,15.2,14.9,15.0,57032.0
MIDASFIN,2022-03-01,15.3,15.7,15.1,15.2,50244.0
MIDASFIN,2022-03-02,14.6,15.3,14.3,15.0,101017.0
MIDASFIN,2022-03-03,15.3,15.3,14.5,14.9,62907.0
MIDASFIN,2022-03-06,14.9,15.1,14.3,14.6,53870.0
MIDASFIN,2022-03-07,14.8,14.8,13.8,13.9,149736.0
MIDASFIN,2022-03-08,14.6,14.6,13.7,14.4,97640.0
MIDASFIN,2022-03-09,14.7,15.3,14.5,15.2,124121.0
MIDASFIN,2022-03-10,15.4,15.5,14.9,15.0,161637.0
MIDASFIN,2022-03-13,15.1,15.9,15.1,15.6,222258.0
MIDASFIN,2022-03-14,15.6,15.8,15.6,15.7,91702.0
MIDASFIN,2022-03-15,15.8,15.8,15.4,15.4,57879.0
MIDASFIN,2022-03-16,15.8,15.8,15.4,15.5,28240.0
MIDASFIN,2022-03-20,16.0,16.0,15.2,15.2,65521.0
MIDASFIN,2022-03-21,15.0,15.1,14.9,15.0,118875.0
MIDASFIN,2022-03-22,15.0,15.4,15.0,15.1,38334.0
MIDASFIN,2022-03-23,15.1,15.2,15.0,15.0,72384.0
MIDASFIN,2022-03-24,15.1,15.2,14.8,15.0,64983.0
MIDASFIN,2022-03-27,14.9,15.2,14.8,14.9,72458.0
MIDASFIN,2022-03-28,14.9,14.9,14.7,14.8,59663.0
MIDASFIN,2022-03-29,14.7,15.0,14.7,14.9,29938.0
MIDASFIN,2022-03-30,14.8,15.0,14.7,14.8,61344.0
MIDASFIN,2022-03-31,14.7,15.0,14.7,14.8,50610.0
MIDASFIN,2022-04-03,14.7,15.9,14.7,15.5,153213.0
MIDASFIN,2022-04-04,15.7,15.7,15.2,15.2,41530.0
MIDASFIN,2022-04-05,15.0,15.2,14.9,15.0,22729.0
