symbol,date,open,high,low,close,volume
MIRACLEIND,2022-01-02,28.9,29.8,28.3,29.4,193859.0
MIRACLEIND,2022-01-03,29.2,29.8,29.0,29.2,249707.0
MIRACLEIND,2022-01-04,29.0,31.0,29.0,30.7,734843.0
MIRACLEIND,2022-01-05,31.2,31.6,30.7,31.2,696050.0
MIRACLEIND,2022-01-06,31.6,31.7,30.4,30.6,422389.0
MIRACLEIND,2022-01-09,30.6,31.5,30.0,30.1,548769.0
MIRACLEIND,2022-01-10,30.5,30.5,30.0,30.1,251486.0
MIRACLEIND,2022-01-11,30.9,32.1,30.1,31.3,609021.0
MIRACLEIND,2022-01-12,31.8,31.9,30.3,30.5,439446.0
MIRACLEIND,2022-01-13,31.2,31.2,29.7,29.9,183223.0
MIRACLEIND,2022-01-16,30.4,30.6,29.4,29.6,247697.0
MIRACLEIND,2022-01-17,30.1,30.3,29.7,30.0,154348.0
MIRACLEIND,2022-01-18,30.6,30.6,29.2,29.6,255825.0
MIRACLEIND,2022-01-19,29.7,30.1,29.2,29.4,314177.0
MIRACLEIND,2022-01-20,30.0,30.3,29.2,29.4,287553.0
MIRACLEIND,2022-01-23,29.9,29.9,28.8,29.2,254519.0
MIRACLEIND,2022-01-24,29.4,29.4,28.2,28.3,123655.0
MIRACLEIND,2022-01-25,28.8,28.8,28.0,28.2,126069.0
MIRACLEIND,2022-01-26,29.1,29.1,27.9,28.2,104104.0
MIRACLEIND,2022-01-27,28.1,28.4,27.4,27.7,197700.0
MIRACLEIND,2022-01-30,27.5,28.0,27.3,27.8,149249.0
MIRACLEIND,2022-01-31,28.0,28.0,27.1,27.4,64685.0
MIRACLEIND,2022-02-01,29.0,29.0,27.4,28.0,192030.0
MIRACLEIND,2022-02-02,28.0,28.9,27.9,28.3,168103.0
MIRACLEIND,2022-02-03,28.3,29.3,28.3,29.0,477023.0
MIRACLEIND,2022-02-06,29.4,29.4,28.6,28.7,94476.0
MIRACLEIND,2022-02-07,28.5,29.0,28.0,28.3,170189.0
MIRACLEIND,2022-02-08,28.2,28.5,27.5,27.9,206544.0
MIRACLEIND,2022-02-09,27.9,28.5,27.8,27.9,241897.0
MIRACLEIND,2022-02-10,28.2,28.7,28.0,28.2,262396.0
MIRACLEIND,2022-02-13,28.7,28.7,28.0,28.1,150135.0
MIRACLEIND,2022-02-14,27.8,28.5,27.6,27.8,97329.0
MIRACLEIND,2022-02-15,28.2,28.2,27.7,27.9,132233.0
MIRACLEIND,2022-02-16,27.8,28.5,27.4,27.8,277583.0
MIRACLEIND,2022-02-17,28.0,28.3,27.6,28.0,117034.0
MIRACLEIND,2022-02-20,28.3,29.7,28.1,28.8,795600.0
MIRACLEIND,2022-02-22,29.2,30.7,29.0,29.3,893814.0
MIRACLEIND,2022-02-23,29.5,29.5,28.5,28.6,398835.0
MIRACLEIND,2022-02-24,28.7,28.9,27.6,27.7,337473.0
MIRACLEIND,2022-02-27,27.7,27.7,26.0,26.2,274786.0
MIRACLEIND,2022-02-28,26.4,27.3,26.4,26.7,167763.0
MIRACLEIND,2022-03-01,27.2,27.7,26.9,27.2,203757.0
MIRACLEIND,2022-03-02,27.1,27.2,26.0,26.4,213540.0
MIRACLEIND,2022-03-03,27.1,27.1,26.2,26.7,75664.0
MIRACLEIND,2022-03-06,26.9,27.1,26.2,26.5,142533.0
MIRACLEIND,2022-03-07,26.8,26.8,25.8,26.0,101822.0
